ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CNE1000031W9,457983958,39EA,EUR,2020-11-30,5.2929,5.3,5.1714,5.2571,15184,31,5.24667857
CNE1000031W9,457983958,39EA,EUR,2020-12-01,5.1214,5.1429,5.0714,5.1357,4585,16,5.12921429
CNE1000031W9,457983958,39EA,EUR,2020-12-02,5.0,5.0286,4.9071,5.0,5786,18,4.97775
CNE1000031W9,457983958,39EA,EUR,2020-12-03,4.9929,5.0,4.9,4.9929,817,8,4.96428571
CNE1000031W9,457983958,39EA,EUR,2020-12-04,5.1929,5.3214,5.15,5.1643,5618,14,5.23225
CNE1000031W9,457983958,39EA,EUR,2020-12-07,5.3286,5.3857,5.2786,5.2786,12670,14,5.32857143
CNE1000031W9,457983958,39EA,EUR,2020-12-08,5.7857,5.7857,5.5929,5.7357,16982,22,5.67817857
CNE1000031W9,457983958,39EA,EUR,2020-12-09,5.5929,5.6214,5.4,5.6214,8482,18,5.547
CNE1000031W9,457983958,39EA,EUR,2020-12-10,5.6286,5.6857,5.4571,5.6357,6332,17,5.56575
CNE1000031W9,457983958,39EA,EUR,2020-12-11,5.5143,5.5143,5.4286,5.4714,1148,3,5.44321429
CNE1000031W9,457983958,39EA,EUR,2020-12-14,5.6571,5.7643,5.5929,5.65,4110,13,5.70660714
CNE1000031W9,457983958,39EA,EUR,2020-12-15,5.7429,5.7429,5.6429,5.6571,471,3,5.73325
CNE1000031W9,457983958,39EA,EUR,2020-12-16,5.8,5.8,5.7429,5.7929,13888,10,5.77189286
CNE1000031W9,457983958,39EA,EUR,2020-12-17,5.8,5.8214,5.7143,5.8214,5692,12,5.78225
CNE1000031W9,457983958,39EA,EUR,2020-12-18,6.1071,6.2429,6.0714,6.2429,4009,16,6.15485714
CNE1000031W9,457983958,39EA,EUR,2020-12-21,6.5286,6.7143,6.4929,6.6786,22871,38,6.64042857
