ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CNE1000055Y4,603530911,3KLA,EUR,2022-12-16,1.675,1.675,1.675,1.675,0,0,1.675
CNE1000055Y4,603530911,3KLA,EUR,2022-12-19,1.625,1.625,1.625,1.625,0,0,1.625
CNE1000055Y4,603530911,3KLA,EUR,2022-12-20,1.625,1.625,1.625,1.625,0,0,1.625
CNE1000055Y4,603530911,3KLA,EUR,2022-12-21,1.625,1.625,1.625,1.625,0,0,1.625
CNE1000055Y4,603530911,3KLA,EUR,2022-12-22,1.625,1.625,1.625,1.625,0,0,1.625
CNE1000055Y4,603530911,3KLA,EUR,2022-12-23,1.6125,1.6125,1.6125,1.6125,0,0,1.6125
CNE1000055Y4,603530911,3KLA,EUR,2022-12-27,1.7,1.75,1.7,1.75,1342,2,1.7339375
CNE1000055Y4,603530911,3KLA,EUR,2022-12-28,1.65,1.65,1.65,1.65,0,0,1.65
CNE1000055Y4,603530911,3KLA,EUR,2022-12-29,1.7375,1.7375,1.6,1.6,214,1,1.7375
CNE1000055Y4,603530911,3KLA,EUR,2022-12-30,1.6125,1.6125,1.6125,1.6125,0,0,1.6125
CNE1000055Y4,603530911,3KLA,EUR,2023-01-02,1.6125,1.6125,1.6125,1.6125,0,0,1.6125
CNE1000055Y4,603530911,3KLA,EUR,2023-01-03,1.6875,1.6875,1.6875,1.6875,0,0,1.6875
CNE1000055Y4,603530911,3KLA,EUR,2023-01-04,1.6625,1.6625,1.6625,1.6625,0,0,1.6625
CNE1000055Y4,603530911,3KLA,EUR,2023-01-05,1.725,1.725,1.725,1.725,0,0,1.725
CNE1000055Y4,603530911,3KLA,EUR,2023-01-06,1.8125,1.8125,1.8125,1.8125,0,0,1.8125
CNE1000055Y4,603530911,3KLA,EUR,2023-01-09,1.8625,1.8625,1.8625,1.8625,0,0,1.8625
CNE1000055Y4,603530911,3KLA,EUR,2023-01-10,1.8375,1.8375,1.8375,1.8375,0,0,1.8375
CNE1000055Y4,603530911,3KLA,EUR,2023-01-11,1.825,1.825,1.7625,1.7625,547,1,1.825
CNE1000055Y4,603530911,3KLA,EUR,2023-01-12,1.7875,1.7875,1.7875,1.7875,0,0,1.7875
CNE1000055Y4,603530911,3KLA,EUR,2023-01-13,1.7625,1.7625,1.7625,1.7625,0,0,1.7625
CNE1000055Y4,603530911,3KLA,EUR,2023-01-16,1.8,1.8,1.8,1.8,0,0,1.8
CNE1000055Y4,603530911,3KLA,EUR,2023-01-17,1.875,1.875,1.775,1.775,139,1,1.875
CNE1000055Y4,603530911,3KLA,EUR,2023-01-18,1.7375,1.7375,1.7375,1.7375,0,0,1.7375
CNE1000055Y4,603530911,3KLA,EUR,2023-01-19,1.75,1.75,1.75,1.75,0,0,1.75
CNE1000055Y4,603530911,3KLA,EUR,2023-01-20,1.8625,1.8625,1.8625,1.8625,0,0,1.8625
