ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CNE100005D27,603526826,I54,EUR,2022-12-16,2.96,2.96,2.96,2.96,0,0,2.96
CNE100005D27,603526826,I54,EUR,2022-12-19,2.98,2.98,2.98,2.98,0,0,2.98
CNE100005D27,603526826,I54,EUR,2022-12-20,2.98,2.98,2.98,2.98,0,0,2.98
CNE100005D27,603526826,I54,EUR,2022-12-21,2.98,2.98,2.98,2.98,0,0,2.98
CNE100005D27,603526826,I54,EUR,2022-12-22,3.22,3.22,2.96,2.96,103,1,3.22
CNE100005D27,603526826,I54,EUR,2022-12-23,2.96,2.96,2.96,2.96,0,0,2.96
CNE100005D27,603526826,I54,EUR,2022-12-27,2.94,2.94,2.94,2.94,0,0,2.94
CNE100005D27,603526826,I54,EUR,2022-12-28,3.2,3.2,3.2,3.2,85,1,3.2
CNE100005D27,603526826,I54,EUR,2022-12-29,2.98,2.98,2.98,2.98,0,0,2.98
CNE100005D27,603526826,I54,EUR,2022-12-30,2.96,2.96,2.96,2.96,0,0,2.96
CNE100005D27,603526826,I54,EUR,2023-01-02,2.94,2.94,2.94,2.94,0,0,2.94
CNE100005D27,603526826,I54,EUR,2023-01-03,2.94,2.94,2.94,2.94,0,0,2.94
CNE100005D27,603526826,I54,EUR,2023-01-04,2.94,2.94,2.94,2.94,0,0,2.94
CNE100005D27,603526826,I54,EUR,2023-01-05,2.94,2.94,2.94,2.94,0,0,2.94
CNE100005D27,603526826,I54,EUR,2023-01-06,2.96,2.96,2.96,2.96,0,0,2.96
CNE100005D27,603526826,I54,EUR,2023-01-09,2.94,2.94,2.94,2.94,0,0,2.94
CNE100005D27,603526826,I54,EUR,2023-01-10,3.18,3.18,2.9,2.9,28,1,3.18
CNE100005D27,603526826,I54,EUR,2023-01-11,2.9,2.9,2.9,2.9,0,0,2.9
CNE100005D27,603526826,I54,EUR,2023-01-12,2.92,2.92,2.92,2.92,0,0,2.92
CNE100005D27,603526826,I54,EUR,2023-01-13,2.9,2.9,2.9,2.9,0,0,2.9
CNE100005D27,603526826,I54,EUR,2023-01-16,2.92,2.92,2.92,2.92,0,0,2.92
CNE100005D27,603526826,I54,EUR,2023-01-17,2.88,2.88,2.88,2.88,0,0,2.88
CNE100005D27,603526826,I54,EUR,2023-01-18,3.14,3.14,3.14,3.14,97,1,3.14
CNE100005D27,603526826,I54,EUR,2023-01-19,2.86,2.86,2.86,2.86,0,0,2.86
CNE100005D27,603526826,I54,EUR,2023-01-20,3.12,3.12,2.88,2.88,9,1,3.12
CNE100005D27,603526826,I54,EUR,2023-01-23,2.86,2.86,2.86,2.86,0,0,2.86
CNE100005D27,603526826,I54,EUR,2023-01-24,2.88,2.88,2.88,2.88,0,0,2.88
CNE100005D27,603526826,I54,EUR,2023-01-25,2.86,2.86,2.86,2.86,0,0,2.86
CNE100005D27,603526826,I54,EUR,2023-01-26,2.86,2.86,2.86,2.86,0,0,2.86
CNE100005D27,603526826,I54,EUR,2023-01-27,3.12,3.12,3.12,3.12,332,1,3.12
CNE100005D27,603526826,I54,EUR,2023-01-30,2.86,2.86,2.86,2.86,478,1,2.86
CNE100005D27,603526826,I54,EUR,2023-01-31,2.86,2.86,2.86,2.86,0,0,2.86
CNE100005D27,603526826,I54,EUR,2023-02-01,2.84,2.84,2.84,2.84,0,0,2.84
CNE100005D27,603526826,I54,EUR,2023-02-02,2.92,2.92,2.92,2.92,0,0,2.92
CNE100005D27,603526826,I54,EUR,2023-02-03,2.86,2.86,2.86,2.86,0,0,2.86
CNE100005D27,603526826,I54,EUR,2023-02-06,2.88,2.88,2.88,2.88,0,0,2.88
CNE100005D27,603526826,I54,EUR,2023-02-07,2.88,2.88,2.88,2.88,0,0,2.88
CNE100005D27,603526826,I54,EUR,2023-02-08,2.88,2.88,2.88,2.88,0,0,2.88
CNE100005D27,603526826,I54,EUR,2023-02-09,3.16,3.16,2.88,2.88,68,1,3.16
CNE100005D27,603526826,I54,EUR,2023-02-10,2.88,2.88,2.88,2.88,0,0,2.88
