ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CZ0005112300,103312808,CEZ,EUR,2019-01-02,21.12,21.12,20.88,20.88,75,1,21.12
CZ0005112300,103312808,CEZ,EUR,2019-01-03,20.84,20.84,20.84,20.84,0,0,20.84
CZ0005112300,103312808,CEZ,EUR,2019-01-04,20.96,20.96,20.96,20.96,0,0,20.96
CZ0005112300,103312808,CEZ,EUR,2019-01-07,21.3,21.3,21.0,21.0,110,1,21.3
CZ0005112300,103312808,CEZ,EUR,2019-01-08,21.3,21.3,21.3,21.3,50,1,21.3
CZ0005112300,103312808,CEZ,EUR,2019-01-09,21.2,21.2,21.2,21.2,100,1,21.2
CZ0005112300,103312808,CEZ,EUR,2019-01-10,21.04,21.04,21.04,21.04,0,0,21.04
CZ0005112300,103312808,CEZ,EUR,2019-01-11,21.22,21.22,21.22,21.22,0,0,21.22
CZ0005112300,103312808,CEZ,EUR,2019-01-14,21.54,21.54,21.26,21.26,1072,3,21.523
CZ0005112300,103312808,CEZ,EUR,2019-01-15,21.08,21.08,21.08,21.08,0,0,21.08
CZ0005112300,103312808,CEZ,EUR,2019-01-16,20.94,20.94,20.84,20.84,8500,2,20.875
CZ0005112300,103312808,CEZ,EUR,2019-01-17,20.9,20.9,20.9,20.9,1000,1,20.9
CZ0005112300,103312808,CEZ,EUR,2019-01-18,20.86,20.86,20.86,20.86,0,0,20.86
CZ0005112300,103312808,CEZ,EUR,2019-01-21,21.0,21.0,21.0,21.0,805,1,21.0
CZ0005112300,103312808,CEZ,EUR,2019-01-22,20.9,20.9,20.9,20.9,418,1,20.9
CZ0005112300,103312808,CEZ,EUR,2019-01-23,20.92,21.16,20.88,20.94,2374,5,20.971
CZ0005112300,103312808,CEZ,EUR,2019-01-24,21.24,21.24,21.24,21.24,2000,1,21.24
CZ0005112300,103312808,CEZ,EUR,2019-01-25,21.22,21.22,21.22,21.22,0,0,21.22
CZ0005112300,103312808,CEZ,EUR,2019-01-28,21.56,21.56,21.56,21.56,20,1,21.56
CZ0005112300,103312808,CEZ,EUR,2019-01-29,21.22,21.22,21.22,21.22,0,0,21.22
CZ0005112300,103312808,CEZ,EUR,2019-01-30,21.3,21.3,21.3,21.3,0,0,21.3
CZ0005112300,103312808,CEZ,EUR,2019-01-31,21.7,21.7,21.7,21.7,100,1,21.7
CZ0005112300,103312808,CEZ,EUR,2019-02-01,22.0,22.0,22.0,22.0,500,1,22.0
CZ0005112300,103312808,CEZ,EUR,2019-02-04,22.16,22.16,21.8,21.8,1000,1,22.16
CZ0005112300,103312808,CEZ,EUR,2019-02-05,22.16,22.16,22.12,22.12,1000,2,22.16
CZ0005112300,103312808,CEZ,EUR,2019-02-06,21.88,21.88,21.88,21.88,0,0,21.88
CZ0005112300,103312808,CEZ,EUR,2019-02-07,22.04,22.04,21.76,21.76,800,1,22.04
CZ0005112300,103312808,CEZ,EUR,2019-02-08,21.58,21.58,21.58,21.58,0,0,21.58
CZ0005112300,103312808,CEZ,EUR,2019-02-11,21.66,21.66,21.66,21.66,0,0,21.66
CZ0005112300,103312808,CEZ,EUR,2019-02-12,21.2,21.2,21.2,21.2,300,1,21.2
CZ0005112300,103312808,CEZ,EUR,2019-02-13,21.18,21.26,21.18,21.26,2952,2,21.26
CZ0005112300,103312808,CEZ,EUR,2019-02-14,21.24,21.24,21.24,21.24,1500,1,21.24
CZ0005112300,103312808,CEZ,EUR,2019-02-15,21.48,21.48,21.28,21.28,500,1,21.48
CZ0005112300,103312808,CEZ,EUR,2019-02-18,21.48,21.48,21.48,21.48,20,1,21.48
CZ0005112300,103312808,CEZ,EUR,2019-02-19,21.48,21.48,21.4,21.4,3320,2,21.4
CZ0005112300,103312808,CEZ,EUR,2019-02-20,21.52,21.52,21.52,21.52,0,0,21.52
CZ0005112300,103312808,CEZ,EUR,2019-02-21,21.7,21.7,21.4,21.4,307,2,21.69
CZ0005112300,103312808,CEZ,EUR,2019-02-22,21.42,21.42,21.42,21.42,200,1,21.42
CZ0005112300,103312808,CEZ,EUR,2019-02-25,21.2,21.4,21.2,21.4,46,2,21.313
CZ0005112300,103312808,CEZ,EUR,2019-02-26,21.32,21.32,21.32,21.32,0,0,21.32
CZ0005112300,103312808,CEZ,EUR,2019-02-27,21.26,21.26,21.26,21.26,0,0,21.26
CZ0005112300,103312808,CEZ,EUR,2019-02-28,21.36,21.58,21.36,21.58,77,2,21.437
CZ0005112300,103312808,CEZ,EUR,2019-03-01,21.32,21.32,21.32,21.32,0,0,21.32
CZ0005112300,103312808,CEZ,EUR,2019-03-04,21.68,21.68,21.68,21.68,47,1,21.68
CZ0005112300,103312808,CEZ,EUR,2019-03-05,21.1,21.1,21.1,21.1,0,0,21.1
CZ0005112300,103312808,CEZ,EUR,2019-03-06,21.16,21.16,21.16,21.16,0,0,21.16
CZ0005112300,103312808,CEZ,EUR,2019-03-07,21.02,21.02,21.02,21.02,0,0,21.02
CZ0005112300,103312808,CEZ,EUR,2019-03-08,21.26,21.26,21.1,21.1,45,1,21.26
CZ0005112300,103312808,CEZ,EUR,2019-03-11,21.16,21.16,21.16,21.16,0,0,21.16
CZ0005112300,103312808,CEZ,EUR,2019-03-12,21.02,21.02,21.0,21.0,8050,2,21.0
CZ0005112300,103312808,CEZ,EUR,2019-03-13,20.98,20.98,20.98,20.98,0,0,20.98
CZ0005112300,103312808,CEZ,EUR,2019-03-14,21.0,21.0,21.0,21.0,0,0,21.0
CZ0005112300,103312808,CEZ,EUR,2019-03-15,21.06,21.06,21.06,21.06,0,0,21.06
CZ0005112300,103312808,CEZ,EUR,2019-03-18,21.26,21.26,21.26,21.26,20,1,21.26
CZ0005112300,103312808,CEZ,EUR,2019-03-19,21.12,21.12,21.12,21.12,2000,1,21.12
CZ0005112300,103312808,CEZ,EUR,2019-03-20,21.12,21.38,21.12,21.38,1885,2,21.146
CZ0005112300,103312808,CEZ,EUR,2019-03-21,21.4,21.4,21.4,21.4,100,1,21.4
CZ0005112300,103312808,CEZ,EUR,2019-03-22,21.4,21.4,21.4,21.4,20,1,21.4
CZ0005112300,103312808,CEZ,EUR,2019-03-25,21.14,21.14,21.14,21.14,18,1,21.14
CZ0005112300,103312808,CEZ,EUR,2019-03-26,21.2,21.2,21.2,21.2,0,0,21.2
CZ0005112300,103312808,CEZ,EUR,2019-03-27,21.0,21.0,21.0,21.0,0,0,21.0
CZ0005112300,103312808,CEZ,EUR,2019-03-28,20.94,20.94,20.94,20.94,0,0,20.94
CZ0005112300,103312808,CEZ,EUR,2019-03-29,20.92,20.92,20.92,20.92,0,0,20.92
CZ0005112300,103312808,CEZ,EUR,2019-04-01,20.96,20.96,20.96,20.96,0,0,20.96
CZ0005112300,103312808,CEZ,EUR,2019-04-02,20.98,20.98,20.98,20.98,0,0,20.98
CZ0005112300,103312808,CEZ,EUR,2019-04-03,20.8,20.8,20.72,20.72,1293,2,20.741
CZ0005112300,103312808,CEZ,EUR,2019-04-04,20.72,20.72,20.72,20.72,0,0,20.72
CZ0005112300,103312808,CEZ,EUR,2019-04-05,20.88,21.22,20.88,21.22,3778,4,21.004
CZ0005112300,103312808,CEZ,EUR,2019-04-08,21.06,21.06,21.06,21.06,100,1,21.06
CZ0005112300,103312808,CEZ,EUR,2019-04-09,21.08,21.08,21.08,21.08,250,1,21.08
CZ0005112300,103312808,CEZ,EUR,2019-04-10,21.1,21.1,21.1,21.1,588,1,21.1
CZ0005112300,103312808,CEZ,EUR,2019-04-11,21.42,21.42,21.42,21.42,50,1,21.42
