ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
DE000A0D6554,34029401,NDX1,EUR,2019-01-02,6.6317,7.0251,6.5879,6.8634,575627,1556,6.84936413
DE000A0D6554,34029401,NDX1,EUR,2019-01-03,6.8153,6.8677,6.5967,6.6098,620115,1652,6.71952872
DE000A0D6554,34029401,NDX1,EUR,2019-01-04,6.7147,6.8852,6.5617,6.7366,523831,1475,6.67887319
DE000A0D6554,34029401,NDX1,EUR,2019-01-07,6.8808,6.9158,6.7191,6.8896,561507,1657,6.82400906
DE000A0D6554,34029401,NDX1,EUR,2019-01-08,6.9945,7.3442,6.977,7.1082,1206728,2475,7.15275056
DE000A0D6554,34029401,NDX1,EUR,2019-01-09,7.2787,7.3267,7.012,7.0732,837019,1999,7.1413845
DE000A0D6554,34029401,NDX1,EUR,2019-01-10,7.1519,7.3442,6.9246,7.13,744154,1671,7.0574505
DE000A0D6554,34029401,NDX1,EUR,2019-01-11,7.2131,7.6065,7.1519,7.2262,1309952,2496,7.37045437
DE000A0D6554,34029401,NDX1,EUR,2019-01-14,7.1868,7.353,7.0907,7.3355,489945,1389,7.25460797
DE000A0D6554,34029401,NDX1,EUR,2019-01-15,7.589,7.8295,7.3923,7.4317,1287022,2752,7.62050775
DE000A0D6554,34029401,NDX1,EUR,2019-01-16,7.5715,7.6371,7.3792,7.4754,756887,1673,7.46488012
DE000A0D6554,34029401,NDX1,EUR,2019-01-17,7.4666,7.6677,7.4317,7.6021,742926,1625,7.5470655
DE000A0D6554,34029401,NDX1,EUR,2019-01-18,7.6502,7.847,7.5934,7.7377,727176,1817,7.72804819
DE000A0D6554,34029401,NDX1,EUR,2019-01-21,7.7726,8.0087,7.6459,7.9213,584095,1542,7.84695469
DE000A0D6554,34029401,NDX1,EUR,2019-01-22,7.9125,8.0524,7.8251,8.0262,727914,1821,7.97547863
DE000A0D6554,34029401,NDX1,EUR,2019-01-23,7.9562,8.1923,7.8732,8.1748,868957,2488,8.09351081
DE000A0D6554,34029401,NDX1,EUR,2019-01-24,8.1355,8.4808,8.1355,8.3715,1102861,2961,8.33394675
DE000A0D6554,34029401,NDX1,EUR,2019-01-25,8.3934,8.6557,8.3759,8.5508,1200777,3150,8.56432809
DE000A0D6554,34029401,NDX1,EUR,2019-01-28,8.5857,8.7169,8.4808,8.6207,807447,2170,8.61853547
DE000A0D6554,34029401,NDX1,EUR,2019-01-29,8.5726,8.9049,8.4896,8.848,1058273,2842,8.72476444
DE000A0D6554,34029401,NDX1,EUR,2019-01-30,8.7431,8.8743,8.5595,8.6163,832540,2347,8.65744238
DE000A0D6554,34029401,NDX1,EUR,2019-01-31,8.5857,8.8437,8.5857,8.6994,787877,1942,8.70465525
DE000A0D6554,34029401,NDX1,EUR,2019-02-01,8.6819,8.8087,8.5683,8.647,641256,2019,8.67842588
DE000A0D6554,34029401,NDX1,EUR,2019-02-04,8.612,8.7038,8.2535,8.4371,703023,1637,8.46771656
DE000A0D6554,34029401,NDX1,EUR,2019-02-05,8.424,8.5726,8.3147,8.4852,435567,1384,8.42531241
DE000A0D6554,34029401,NDX1,EUR,2019-02-06,8.4983,8.612,8.4459,8.5027,344820,1007,8.53591294
DE000A0D6554,34029401,NDX1,EUR,2019-02-07,8.5245,8.5683,8.2623,8.3803,639056,1682,8.41831791
DE000A0D6554,34029401,NDX1,EUR,2019-02-08,8.2797,8.459,8.2054,8.306,657524,1826,8.30072287
DE000A0D6554,34029401,NDX1,EUR,2019-02-11,8.306,8.6207,8.2623,8.5683,663941,1576,8.50006613
DE000A0D6554,34029401,NDX1,EUR,2019-02-12,8.5333,8.7475,8.5333,8.6644,644934,1637,8.66181394
DE000A0D6554,34029401,NDX1,EUR,2019-02-13,8.7956,9.1584,8.7256,9.0185,1232531,2816,8.98137516
DE000A0D6554,34029401,NDX1,EUR,2019-02-14,9.0448,9.1409,8.8743,9.0972,710575,1749,9.01809628
DE000A0D6554,34029401,NDX1,EUR,2019-02-15,8.9879,9.1366,8.8349,8.9486,642672,1506,8.99973572
