ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
DE000A0F5UE8,38734029,EXXU,EUR,2019-01-02,39.946,40.01,38.594,39.76,1923,22,39.1222
DE000A0F5UE8,38734029,EXXU,EUR,2019-01-03,39.106,39.28,38.48,38.48,1895,12,38.9456
DE000A0F5UE8,38734029,EXXU,EUR,2019-01-04,39.52,40.456,39.434,40.28,1027,11,39.528
DE000A0F5UE8,38734029,EXXU,EUR,2019-01-07,40.56,40.56,39.854,40.07,2371,20,40.005
DE000A0F5UE8,38734029,EXXU,EUR,2019-01-08,40.086,40.6,40.084,40.58,2848,12,40.3254
DE000A0F5UE8,38734029,EXXU,EUR,2019-01-09,41.08,41.16,41.024,41.024,1036,7,41.1324
DE000A0F5UE8,38734029,EXXU,EUR,2019-01-10,41.006,41.524,40.92,41.524,870,7,41.0148
DE000A0F5UE8,38734029,EXXU,EUR,2019-01-11,41.256,41.46,41.244,41.46,446,2,41.2512
DE000A0F5UE8,38734029,EXXU,EUR,2019-01-14,41.22,41.22,40.864,40.914,390,4,41.0252
DE000A0F5UE8,38734029,EXXU,EUR,2019-01-15,41.586,41.8,41.464,41.63,480,8,41.6472
DE000A0F5UE8,38734029,EXXU,EUR,2019-01-16,42.07,42.37,42.0,42.33,2832,11,42.2582
DE000A0F5UE8,38734029,EXXU,EUR,2019-01-17,42.066,42.43,42.064,42.426,6124,12,42.164
DE000A0F5UE8,38734029,EXXU,EUR,2019-01-18,42.55,43.4,42.45,43.066,4990,15,42.8416
DE000A0F5UE8,38734029,EXXU,EUR,2019-01-21,43.176,43.286,43.0,43.176,2243,14,43.1622
DE000A0F5UE8,38734029,EXXU,EUR,2019-01-22,42.77,42.86,41.9,41.9,8336,30,42.5234
DE000A0F5UE8,38734029,EXXU,EUR,2019-01-23,42.066,42.596,42.064,42.25,977,10,42.425
DE000A0F5UE8,38734029,EXXU,EUR,2019-01-24,42.38,42.966,42.38,42.926,4072,20,42.7078
DE000A0F5UE8,38734029,EXXU,EUR,2019-01-25,43.296,43.74,43.294,43.496,6807,19,43.5414
DE000A0F5UE8,38734029,EXXU,EUR,2019-01-28,43.52,43.64,42.92,43.164,5970,15,43.2498
DE000A0F5UE8,38734029,EXXU,EUR,2019-01-29,43.286,43.5,43.126,43.126,770,11,43.4066
DE000A0F5UE8,38734029,EXXU,EUR,2019-01-30,43.176,43.774,43.174,43.774,7829,23,43.5882
DE000A0F5UE8,38734029,EXXU,EUR,2019-01-31,44.024,44.55,43.99,44.55,2176,17,44.208
DE000A0F5UE8,38734029,EXXU,EUR,2019-02-01,44.47,44.47,44.134,44.2,1765,19,44.2566
DE000A0F5UE8,38734029,EXXU,EUR,2019-02-04,44.776,44.776,44.18,44.32,27596,52,44.4048
DE000A0F5UE8,38734029,EXXU,EUR,2019-02-05,44.646,45.346,44.44,45.196,13713,42,45.0084
DE000A0F5UE8,38734029,EXXU,EUR,2019-02-06,45.62,45.69,44.934,45.286,19797,44,45.391
DE000A0F5UE8,38734029,EXXU,EUR,2019-02-07,45.046,45.226,44.11,44.506,2726,20,44.6708
DE000A0F5UE8,38734029,EXXU,EUR,2019-02-08,44.304,44.65,44.17,44.406,3115,17,44.473
DE000A0F5UE8,38734029,EXXU,EUR,2019-02-11,44.75,45.276,44.7,44.896,5136,27,44.9912
DE000A0F5UE8,38734029,EXXU,EUR,2019-02-12,44.896,45.326,44.886,44.886,1517,15,45.1664
DE000A0F5UE8,38734029,EXXU,EUR,2019-02-13,45.536,45.756,45.424,45.446,19538,46,45.5462
