ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
DE000A0LR9G9,423679706,EXL,EUR,2020-05-25,14.0,14.6,11.55,12.75,72457,223,12.81
DE000A0LR9G9,423679706,EXL,EUR,2020-05-26,14.7,16.8,14.0,14.0,61245,205,14.925
DE000A0LR9G9,423679706,EXL,EUR,2020-05-27,13.9,14.4,12.85,12.9,19826,93,13.37
DE000A0LR9G9,423679706,EXL,EUR,2020-05-28,13.4,13.6,11.95,12.0,35003,87,12.795
DE000A0LR9G9,423679706,EXL,EUR,2020-05-29,12.15,13.0,12.15,12.6,11850,56,12.68
DE000A0LR9G9,423679706,EXL,EUR,2020-06-02,13.85,13.85,12.9,13.25,57533,245,13.33
DE000A0LR9G9,423679706,EXL,EUR,2020-06-03,13.5,13.55,13.0,13.2,24863,153,13.36
DE000A0LR9G9,423679706,EXL,EUR,2020-06-04,13.15,13.5,13.0,13.2,19007,128,13.215
DE000A0LR9G9,423679706,EXL,EUR,2020-06-05,13.45,13.5,12.4,13.1,64453,243,12.86
DE000A0LR9G9,423679706,EXL,EUR,2020-06-08,13.0,13.0,12.2,12.4,57179,195,12.575
DE000A0LR9G9,423679706,EXL,EUR,2020-06-09,12.5,12.8,11.8,12.0,53973,193,12.09
DE000A0LR9G9,423679706,EXL,EUR,2020-06-10,12.0,12.3,11.8,11.95,23980,137,12.03
DE000A0LR9G9,423679706,EXL,EUR,2020-06-11,12.0,12.1,11.8,11.85,21311,80,11.93
DE000A0LR9G9,423679706,EXL,EUR,2020-06-12,11.8,12.05,11.8,12.0,16829,101,11.925
DE000A0LR9G9,423679706,EXL,EUR,2020-06-15,12.0,12.35,11.55,11.95,21067,112,12.01
DE000A0LR9G9,423679706,EXL,EUR,2020-06-16,12.2,12.5,12.0,12.15,16554,99,12.33
DE000A0LR9G9,423679706,EXL,EUR,2020-06-17,12.75,12.75,11.3,11.7,28587,142,11.83
DE000A0LR9G9,423679706,EXL,EUR,2020-06-18,11.9,12.15,11.5,12.0,18948,101,11.79
DE000A0LR9G9,423679706,EXL,EUR,2020-06-19,12.0,12.0,11.5,11.6,9853,64,11.755
DE000A0LR9G9,423679706,EXL,EUR,2020-06-22,11.85,12.0,11.5,11.55,13375,90,11.675
DE000A0LR9G9,423679706,EXL,EUR,2020-06-23,12.0,12.0,11.6,11.75,15606,75,11.82
DE000A0LR9G9,423679706,EXL,EUR,2020-06-24,11.95,12.0,11.5,11.6,6363,44,11.745
DE000A0LR9G9,423679706,EXL,EUR,2020-06-25,11.6,11.75,11.4,11.5,12538,57,11.515
DE000A0LR9G9,423679706,EXL,EUR,2020-06-26,11.45,11.5,10.8,11.2,17992,104,11.11
DE000A0LR9G9,423679706,EXL,EUR,2020-06-29,10.8,11.45,10.75,11.2,6471,50,11.115
DE000A0LR9G9,423679706,EXL,EUR,2020-06-30,11.35,11.45,11.15,11.25,7040,48,11.32
DE000A0LR9G9,423679706,EXL,EUR,2020-07-01,11.25,11.45,11.15,11.2,4851,38,11.25
DE000A0LR9G9,423679706,EXL,EUR,2020-07-02,11.25,11.8,10.9,11.4,16072,61,11.21
DE000A0LR9G9,423679706,EXL,EUR,2020-07-03,11.55,13.2,11.3,13.2,40653,139,12.525
DE000A0LR9G9,423679706,EXL,EUR,2020-07-06,12.95,13.4,12.05,13.4,27774,113,12.74
DE000A0LR9G9,423679706,EXL,EUR,2020-07-07,12.9,13.5,12.65,13.2,23169,92,13.135
DE000A0LR9G9,423679706,EXL,EUR,2020-07-08,13.3,13.35,12.8,13.25,6189,43,13.115
DE000A0LR9G9,423679706,EXL,EUR,2020-07-09,13.25,13.45,13.0,13.45,8155,56,13.215
DE000A0LR9G9,423679706,EXL,EUR,2020-07-10,12.4,13.3,12.4,13.1,23076,66,13.03
DE000A0LR9G9,423679706,EXL,EUR,2020-07-13,13.3,13.5,12.95,13.05,11552,62,13.215
DE000A0LR9G9,423679706,EXL,EUR,2020-07-14,12.85,13.25,12.8,13.2,4385,34,13.095
DE000A0LR9G9,423679706,EXL,EUR,2020-07-15,13.0,13.4,13.0,13.15,23388,78,13.305
DE000A0LR9G9,423679706,EXL,EUR,2020-07-16,13.3,13.8,13.15,13.8,23167,89,13.495
DE000A0LR9G9,423679706,EXL,EUR,2020-07-17,13.75,14.4,13.55,14.4,24023,104,13.94
DE000A0LR9G9,423679706,EXL,EUR,2020-07-20,14.15,14.4,13.75,14.0,25484,84,14.14
DE000A0LR9G9,423679706,EXL,EUR,2020-07-21,14.35,14.45,13.8,14.2,11819,56,14.21
DE000A0LR9G9,423679706,EXL,EUR,2020-07-22,14.1,14.5,13.9,14.3,8942,50,14.225
DE000A0LR9G9,423679706,EXL,EUR,2020-07-23,14.3,14.3,13.8,14.25,6678,42,14.025
DE000A0LR9G9,423679706,EXL,EUR,2020-07-24,13.8,14.3,12.7,13.2,46109,154,13.265
DE000A0LR9G9,423679706,EXL,EUR,2020-07-27,12.8,13.1,11.9,12.3,20395,80,12.695
