ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-01-02,77.771,77.931,77.645,77.645,26964,40,77.88962
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-01-03,77.779,77.826,77.685,77.685,2272,10,77.80728
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-01-04,77.879,77.879,77.72,77.72,5092,12,77.84464
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-01-07,77.801,77.854,77.695,77.695,4379,14,77.82506
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-01-08,77.866,77.866,77.706,77.706,1932,6,77.81336
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-01-09,77.858,77.858,77.724,77.724,4171,10,77.82028
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-01-10,77.847,77.848,77.679,77.679,7733,8,77.77768
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-01-11,77.844,77.845,77.69,77.69,4791,15,77.79028
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-01-14,77.939,77.939,77.678,77.678,47829,77,77.85902
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-01-15,77.758,77.84,77.685,77.685,2928,9,77.77614
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-01-16,77.776,77.915,77.732,77.732,9032,9,77.81886
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-01-17,77.825,77.827,77.654,77.654,7712,14,77.77946
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-01-18,77.755,77.814,77.689,77.689,3764,13,77.7602
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-01-21,77.75,77.823,77.681,77.681,4693,15,77.80314
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-01-22,77.83,77.833,77.707,77.707,4457,12,77.82078
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-01-23,77.766,77.821,77.697,77.697,3612,42,77.77572
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-01-24,77.755,77.827,77.685,77.685,7363,23,77.79296
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-01-25,77.748,77.82,77.672,77.672,2317,9,77.79562
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-01-28,77.826,77.906,77.675,77.675,5540,13,77.81232
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-01-29,77.77,77.813,77.688,77.688,7476,24,77.76718
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-01-30,77.76,77.76,77.68,77.68,15248,5,77.7561
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-01-31,77.725,77.797,77.636,77.636,2479,15,77.74508
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-02-01,77.811,77.812,77.685,77.685,9459,16,77.78838
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-02-04,77.73,77.808,77.642,77.642,3407,16,77.77784
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-02-05,77.892,77.892,77.619,77.619,5720,12,77.76072
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-02-06,77.718,77.741,77.62,77.62,1390,5,77.71962
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-02-07,77.716,77.783,77.63,77.63,3229,10,77.75554
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-02-08,77.78,77.78,77.623,77.623,5585,9,77.7436
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-02-11,77.74,77.771,77.717,77.736,10371,17,77.74956
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-02-12,77.711,77.785,77.657,77.657,10079,61,77.7314
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-02-13,77.782,77.782,77.619,77.619,13572,65,77.7352
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-02-14,77.749,77.749,77.617,77.617,31032,11,77.70874
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-02-15,77.471,77.534,77.403,77.403,1983,11,77.47648
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-02-18,77.49,77.519,77.448,77.448,9730,19,77.4813
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-02-19,77.512,77.512,77.435,77.435,9720,12,77.47212
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-02-20,77.452,77.513,77.444,77.444,4106,11,77.46908
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-02-21,77.516,77.517,77.458,77.458,9612,15,77.5059
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-02-22,77.455,77.627,77.449,77.458,26139,15,77.45282
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-02-25,77.627,77.627,77.446,77.459,4448,13,77.49582
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-02-26,77.462,77.622,77.453,77.453,22645,15,77.47066
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-02-27,77.462,77.495,77.444,77.444,3391,8,77.47018
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-02-28,77.42,77.481,77.419,77.43,5256,11,77.4391
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-03-01,77.487,77.548,77.439,77.439,17127,15,77.49322
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-03-04,77.476,77.484,77.349,77.425,5433,14,77.44536
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-03-05,77.462,77.487,77.433,77.443,7515,11,77.4506
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-03-06,77.49,77.49,77.452,77.453,2235,9,77.48012
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-03-07,77.477,77.485,77.425,77.425,1784,14,77.463
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-03-08,77.441,77.441,77.38,77.38,1608,8,77.43178
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-03-11,77.483,77.483,77.427,77.427,3618,15,77.46312
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-03-12,77.45,77.477,77.422,77.424,3889,16,77.44846
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-03-13,77.433,77.472,77.339,77.416,40422,14,77.41526
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-03-14,77.446,77.46,77.344,77.406,6885,9,77.43354
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-03-15,77.426,77.475,77.333,77.404,34994,17,77.40672
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-03-18,77.4,77.451,77.4,77.401,3956,10,77.41854
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-03-19,77.412,77.46,77.297,77.435,33481,21,77.35096
DE000A0Q4RZ9,74991935,EXVM,EUR,2019-03-20,77.467,77.467,77.409,77.409,64,1,77.467
