ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
DE000A0WMPJ6,53902669,AIXA,EUR,2019-01-02,8.478,8.854,8.234,8.756,1497967,2786,8.5204
DE000A0WMPJ6,53902669,AIXA,EUR,2019-01-03,8.68,8.688,7.74,7.856,3465954,6204,8.0276
DE000A0WMPJ6,53902669,AIXA,EUR,2019-01-04,7.89,8.22,7.882,8.188,1785683,2929,8.1128
DE000A0WMPJ6,53902669,AIXA,EUR,2019-01-07,8.298,8.578,8.2,8.54,1588881,2824,8.4078
DE000A0WMPJ6,53902669,AIXA,EUR,2019-01-08,8.62,8.64,8.282,8.428,1402680,2375,8.4599
DE000A0WMPJ6,53902669,AIXA,EUR,2019-01-09,8.57,8.84,8.55,8.642,1711899,3192,8.6944
DE000A0WMPJ6,53902669,AIXA,EUR,2019-01-10,8.73,8.73,8.42,8.644,1014470,2031,8.5453
DE000A0WMPJ6,53902669,AIXA,EUR,2019-01-11,8.55,8.728,8.262,8.432,1140644,1851,8.4099
DE000A0WMPJ6,53902669,AIXA,EUR,2019-01-14,8.388,8.6,8.16,8.186,1427140,2434,8.3219
DE000A0WMPJ6,53902669,AIXA,EUR,2019-01-15,8.324,8.42,8.056,8.124,1168925,2053,8.202
DE000A0WMPJ6,53902669,AIXA,EUR,2019-01-16,8.188,8.668,8.114,8.572,1381670,2286,8.4797
DE000A0WMPJ6,53902669,AIXA,EUR,2019-01-17,8.538,8.548,8.124,8.2,1514879,2597,8.2409
DE000A0WMPJ6,53902669,AIXA,EUR,2019-01-18,8.348,8.526,8.158,8.444,1711351,2839,8.3466
DE000A0WMPJ6,53902669,AIXA,EUR,2019-01-21,8.478,8.676,8.362,8.578,1042461,1689,8.5547
DE000A0WMPJ6,53902669,AIXA,EUR,2019-01-22,8.498,8.55,8.16,8.254,2074411,3546,8.2726
DE000A0WMPJ6,53902669,AIXA,EUR,2019-01-23,8.202,8.47,8.066,8.304,2153842,3044,8.2656
DE000A0WMPJ6,53902669,AIXA,EUR,2019-01-24,8.368,9.0,8.202,8.514,5139001,7517,8.6751
DE000A0WMPJ6,53902669,AIXA,EUR,2019-01-25,8.748,8.828,8.252,8.4,5123270,6726,8.4332
DE000A0WMPJ6,53902669,AIXA,EUR,2019-01-28,8.488,8.598,8.152,8.272,3615971,5319,8.3758
DE000A0WMPJ6,53902669,AIXA,EUR,2019-01-29,8.3,8.598,8.202,8.486,2146874,3002,8.4855
DE000A0WMPJ6,53902669,AIXA,EUR,2019-01-30,8.526,8.62,8.352,8.424,1153017,2388,8.463
DE000A0WMPJ6,53902669,AIXA,EUR,2019-01-31,8.528,8.83,8.42,8.704,2056064,3630,8.619
DE000A0WMPJ6,53902669,AIXA,EUR,2019-02-01,8.698,8.894,8.652,8.696,1406575,3005,8.7901
DE000A0WMPJ6,53902669,AIXA,EUR,2019-02-04,8.75,9.118,8.666,8.962,1346775,2795,8.942
DE000A0WMPJ6,53902669,AIXA,EUR,2019-02-05,9.0,9.498,8.99,9.394,1654597,3604,9.2795
DE000A0WMPJ6,53902669,AIXA,EUR,2019-02-06,9.416,9.902,9.302,9.838,2472865,5002,9.676
DE000A0WMPJ6,53902669,AIXA,EUR,2019-02-07,9.874,9.988,9.24,9.512,1923460,3816,9.6828
DE000A0WMPJ6,53902669,AIXA,EUR,2019-02-08,9.45,9.74,9.254,9.42,1605632,3650,9.4839
DE000A0WMPJ6,53902669,AIXA,EUR,2019-02-11,9.47,9.66,9.318,9.372,985590,2401,9.4424
DE000A0WMPJ6,53902669,AIXA,EUR,2019-02-12,9.46,9.888,9.44,9.85,1559084,2406,9.7071
DE000A0WMPJ6,53902669,AIXA,EUR,2019-02-13,9.948,10.205,9.736,9.9,1903079,3425,9.9566
DE000A0WMPJ6,53902669,AIXA,EUR,2019-02-14,10.0,10.06,9.81,9.85,977265,2343,9.8919
DE000A0WMPJ6,53902669,AIXA,EUR,2019-02-15,9.832,10.03,9.652,9.96,803812,1801,9.9167
DE000A0WMPJ6,53902669,AIXA,EUR,2019-02-18,10.03,10.095,9.79,9.85,1017044,2054,9.8814
DE000A0WMPJ6,53902669,AIXA,EUR,2019-02-19,9.858,9.98,9.696,9.878,607356,1370,9.8211
DE000A0WMPJ6,53902669,AIXA,EUR,2019-02-20,9.78,9.972,9.466,9.512,1698393,4183,9.6681
DE000A0WMPJ6,53902669,AIXA,EUR,2019-02-21,9.578,9.71,9.1,9.202,2100333,4621,9.2513
DE000A0WMPJ6,53902669,AIXA,EUR,2019-02-22,9.3,9.634,9.242,9.534,1770342,3826,9.4809
DE000A0WMPJ6,53902669,AIXA,EUR,2019-02-25,9.662,9.95,9.662,9.738,1866786,3655,9.8106
DE000A0WMPJ6,53902669,AIXA,EUR,2019-02-26,8.99,9.45,8.4,8.424,8846188,16684,8.7287
DE000A0WMPJ6,53902669,AIXA,EUR,2019-02-27,8.498,8.588,8.05,8.184,4566027,7475,8.2229
DE000A0WMPJ6,53902669,AIXA,EUR,2019-02-28,8.222,8.25,7.828,7.858,4929017,7704,7.9764
DE000A0WMPJ6,53902669,AIXA,EUR,2019-03-01,7.928,8.078,7.6,7.748,4889917,7089,7.8839
DE000A0WMPJ6,53902669,AIXA,EUR,2019-03-04,7.878,8.152,7.752,8.026,3162279,5656,7.9598
DE000A0WMPJ6,53902669,AIXA,EUR,2019-03-05,8.048,8.278,7.882,8.27,2503030,4435,8.1139
DE000A0WMPJ6,53902669,AIXA,EUR,2019-03-06,8.244,8.332,8.008,8.028,1762093,3343,8.1327
DE000A0WMPJ6,53902669,AIXA,EUR,2019-03-07,8.03,8.12,7.872,8.038,2055010,4563,7.9832
DE000A0WMPJ6,53902669,AIXA,EUR,2019-03-08,7.922,7.996,7.65,7.788,2461615,4477,7.7854
DE000A0WMPJ6,53902669,AIXA,EUR,2019-03-11,7.79,8.07,7.646,7.94,2322347,3947,7.8222
DE000A0WMPJ6,53902669,AIXA,EUR,2019-03-12,8.05,8.1,7.776,7.824,1486838,3106,7.8781
DE000A0WMPJ6,53902669,AIXA,EUR,2019-03-13,7.77,7.848,7.662,7.77,1120627,2120,7.7371
DE000A0WMPJ6,53902669,AIXA,EUR,2019-03-14,7.702,7.818,7.652,7.726,1038771,2033,7.7266
DE000A0WMPJ6,53902669,AIXA,EUR,2019-03-15,7.664,7.914,7.664,7.878,1293045,2190,7.8153
DE000A0WMPJ6,53902669,AIXA,EUR,2019-03-18,7.95,7.99,7.73,7.892,1429993,2703,7.8447
DE000A0WMPJ6,53902669,AIXA,EUR,2019-03-19,7.898,8.342,7.85,8.31,3992497,6570,8.1754
DE000A0WMPJ6,53902669,AIXA,EUR,2019-03-20,8.32,8.45,8.06,8.12,2182068,3319,8.1756
DE000A0WMPJ6,53902669,AIXA,EUR,2019-03-21,8.178,8.354,8.082,8.27,1794103,2879,8.2727
DE000A0WMPJ6,53902669,AIXA,EUR,2019-03-22,8.3,8.532,8.242,8.416,2942966,4567,8.438
