ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
DE000A0Z1JH9,60851737,PSAN,EUR,2019-01-02,15.76,16.1,15.54,15.7,5621,30,15.794
DE000A0Z1JH9,60851737,PSAN,EUR,2019-01-03,15.96,16.2,15.74,15.86,1535,15,15.91
DE000A0Z1JH9,60851737,PSAN,EUR,2019-01-04,16.1,16.1,15.7,15.86,991,10,15.898
DE000A0Z1JH9,60851737,PSAN,EUR,2019-01-07,15.7,16.16,15.7,15.96,1996,21,15.882
DE000A0Z1JH9,60851737,PSAN,EUR,2019-01-08,16.06,16.16,15.8,15.8,10326,76,15.93
DE000A0Z1JH9,60851737,PSAN,EUR,2019-01-09,15.7,16.2,15.7,16.0,5088,37,16.052
DE000A0Z1JH9,60851737,PSAN,EUR,2019-01-10,16.0,16.4,16.0,16.26,5564,30,16.238
DE000A0Z1JH9,60851737,PSAN,EUR,2019-01-11,16.2,16.26,16.14,16.16,1954,27,16.202
DE000A0Z1JH9,60851737,PSAN,EUR,2019-01-14,16.0,16.2,16.0,16.06,1326,18,16.07
DE000A0Z1JH9,60851737,PSAN,EUR,2019-01-15,16.0,16.26,16.0,16.2,2399,15,16.134
DE000A0Z1JH9,60851737,PSAN,EUR,2019-01-16,16.06,16.5,16.04,16.4,2796,25,16.328
DE000A0Z1JH9,60851737,PSAN,EUR,2019-01-17,16.36,16.5,16.24,16.44,2832,17,16.37
DE000A0Z1JH9,60851737,PSAN,EUR,2019-01-18,16.44,16.46,16.04,16.1,18312,88,16.208
DE000A0Z1JH9,60851737,PSAN,EUR,2019-01-21,16.1,16.4,16.0,16.2,12631,68,16.188
DE000A0Z1JH9,60851737,PSAN,EUR,2019-01-22,16.06,16.16,15.8,15.9,7181,43,15.994
DE000A0Z1JH9,60851737,PSAN,EUR,2019-01-23,16.06,16.3,15.94,16.1,2065,23,16.124
DE000A0Z1JH9,60851737,PSAN,EUR,2019-01-24,15.9,15.96,15.64,15.8,3392,18,15.874
DE000A0Z1JH9,60851737,PSAN,EUR,2019-01-25,15.8,15.96,15.8,15.9,1934,20,15.918
DE000A0Z1JH9,60851737,PSAN,EUR,2019-01-28,16.06,16.6,15.8,16.6,18199,43,16.188
DE000A0Z1JH9,60851737,PSAN,EUR,2019-01-29,16.4,16.46,16.0,16.3,6047,32,16.264
DE000A0Z1JH9,60851737,PSAN,EUR,2019-01-30,16.3,16.3,15.94,16.26,4785,25,16.2
DE000A0Z1JH9,60851737,PSAN,EUR,2019-01-31,16.1,16.2,15.94,15.96,4840,29,16.02
DE000A0Z1JH9,60851737,PSAN,EUR,2019-02-01,16.0,16.26,15.94,16.16,9886,40,16.114
DE000A0Z1JH9,60851737,PSAN,EUR,2019-02-04,15.9,16.16,15.9,16.1,4445,27,16.006
DE000A0Z1JH9,60851737,PSAN,EUR,2019-02-05,16.06,16.86,16.0,16.3,31912,135,16.38
DE000A0Z1JH9,60851737,PSAN,EUR,2019-02-06,16.2,16.36,15.6,15.86,15876,79,15.908
DE000A0Z1JH9,60851737,PSAN,EUR,2019-02-07,15.86,16.1,15.74,16.06,3814,19,15.984
DE000A0Z1JH9,60851737,PSAN,EUR,2019-02-08,16.0,16.0,15.84,15.86,1422,18,15.958
DE000A0Z1JH9,60851737,PSAN,EUR,2019-02-11,16.0,16.2,15.84,16.2,11906,44,16.132
DE000A0Z1JH9,60851737,PSAN,EUR,2019-02-12,16.1,16.2,15.94,16.0,4951,18,16.034
