ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
DE000A12UP29,167136518,LQAG,EUR,2019-01-02,4.67,5.02,4.5,4.63,2782,8,4.762
DE000A12UP29,167136518,LQAG,EUR,2019-01-03,5.02,5.02,4.82,4.86,18584,24,4.98
DE000A12UP29,167136518,LQAG,EUR,2019-01-04,4.99,4.99,4.76,4.76,1929,5,4.907
DE000A12UP29,167136518,LQAG,EUR,2019-01-07,4.71,4.73,4.61,4.73,556,4,4.621
DE000A12UP29,167136518,LQAG,EUR,2019-01-08,4.6,4.94,4.6,4.79,523,4,4.777
DE000A12UP29,167136518,LQAG,EUR,2019-01-09,4.7,4.7,4.68,4.68,500,1,4.7
DE000A12UP29,167136518,LQAG,EUR,2019-01-10,4.56,5.18,4.56,5.02,7900,10,4.968
DE000A12UP29,167136518,LQAG,EUR,2019-01-11,4.91,4.91,4.91,4.91,0,0,4.91
DE000A12UP29,167136518,LQAG,EUR,2019-01-14,4.84,5.06,4.84,4.89,909,8,4.931
DE000A12UP29,167136518,LQAG,EUR,2019-01-15,4.83,4.92,4.83,4.92,778,4,4.847
DE000A12UP29,167136518,LQAG,EUR,2019-01-16,4.84,4.86,4.84,4.86,800,2,4.844
DE000A12UP29,167136518,LQAG,EUR,2019-01-17,4.87,4.87,4.87,4.87,0,0,4.87
DE000A12UP29,167136518,LQAG,EUR,2019-01-18,4.82,5.0,4.74,5.0,7217,15,4.931
DE000A12UP29,167136518,LQAG,EUR,2019-01-21,4.95,4.95,4.86,4.87,1586,3,4.872
DE000A12UP29,167136518,LQAG,EUR,2019-01-22,4.8,4.8,4.8,4.8,0,0,4.8
DE000A12UP29,167136518,LQAG,EUR,2019-01-23,4.71,4.9,4.71,4.8,5705,8,4.895
DE000A12UP29,167136518,LQAG,EUR,2019-01-24,4.71,4.8,4.71,4.8,333,1,4.71
DE000A12UP29,167136518,LQAG,EUR,2019-01-25,4.71,4.72,4.59,4.67,4059,11,4.683
