ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
DE000A161N30,199224273,GLJ,EUR,2019-01-02,74.7,75.9,71.4,71.9,114823,2180,72.45
DE000A161N30,199224273,GLJ,EUR,2019-01-03,71.6,72.5,68.95,70.4,123416,2333,70.19
DE000A161N30,199224273,GLJ,EUR,2019-01-04,71.05,74.95,70.4,74.6,111498,2077,72.475
DE000A161N30,199224273,GLJ,EUR,2019-01-07,74.75,75.35,73.65,74.6,72678,1283,74.39
DE000A161N30,199224273,GLJ,EUR,2019-01-08,74.35,74.35,69.85,70.0,202455,3117,70.68
DE000A161N30,199224273,GLJ,EUR,2019-01-09,71.6,72.75,69.65,71.9,152252,2364,71.43
DE000A161N30,199224273,GLJ,EUR,2019-01-10,71.5,74.3,70.1,73.8,106819,2128,73.25
DE000A161N30,199224273,GLJ,EUR,2019-01-11,73.65,74.75,73.15,73.6,139032,1842,73.6
DE000A161N30,199224273,GLJ,EUR,2019-01-14,73.9,73.9,72.25,73.15,63431,1149,72.97
DE000A161N30,199224273,GLJ,EUR,2019-01-15,72.9,74.6,72.9,74.3,87891,1933,74.065
DE000A161N30,199224273,GLJ,EUR,2019-01-16,74.2,75.1,73.0,73.95,67699,1366,73.83
DE000A161N30,199224273,GLJ,EUR,2019-01-17,73.65,75.6,72.75,74.7,65456,1348,74.85
DE000A161N30,199224273,GLJ,EUR,2019-01-18,75.35,76.85,75.1,76.55,76331,1508,76.185
DE000A161N30,199224273,GLJ,EUR,2019-01-21,76.75,78.7,76.65,78.4,63066,1129,77.885
DE000A161N30,199224273,GLJ,EUR,2019-01-22,78.25,78.65,76.55,77.65,46707,810,77.825
DE000A161N30,199224273,GLJ,EUR,2019-01-23,79.55,81.0,78.75,79.85,115278,1866,79.81
DE000A161N30,199224273,GLJ,EUR,2019-01-24,80.3,81.25,79.5,80.7,84788,1454,80.515
DE000A161N30,199224273,GLJ,EUR,2019-01-25,80.95,83.05,80.95,82.85,94108,1958,82.575
DE000A161N30,199224273,GLJ,EUR,2019-01-28,82.9,83.25,80.8,81.65,60449,1098,82.085
DE000A161N30,199224273,GLJ,EUR,2019-01-29,81.4,82.05,80.75,81.2,51503,997,81.41
DE000A161N30,199224273,GLJ,EUR,2019-01-30,81.45,81.6,79.75,80.6,66139,1478,80.6
DE000A161N30,199224273,GLJ,EUR,2019-01-31,81.0,82.0,79.8,80.2,83933,1443,80.435
DE000A161N30,199224273,GLJ,EUR,2019-02-01,80.2,80.85,79.4,79.85,79509,1479,80.0
DE000A161N30,199224273,GLJ,EUR,2019-02-04,80.05,80.3,78.85,79.75,94169,1669,79.75
DE000A161N30,199224273,GLJ,EUR,2019-02-05,79.95,83.15,79.45,82.75,114221,1634,81.675
DE000A161N30,199224273,GLJ,EUR,2019-02-06,83.2,83.55,81.4,82.25,117669,1921,82.68
DE000A161N30,199224273,GLJ,EUR,2019-02-07,83.8,85.55,82.35,83.85,108309,1924,84.11
DE000A161N30,199224273,GLJ,EUR,2019-02-08,83.0,84.15,76.45,78.3,146956,2666,79.165
DE000A161N30,199224273,GLJ,EUR,2019-02-11,80.05,80.05,77.35,79.0,114990,2058,78.45
DE000A161N30,199224273,GLJ,EUR,2019-02-12,79.1,80.3,79.1,79.6,64471,1107,79.675
DE000A161N30,199224273,GLJ,EUR,2019-02-13,80.0,80.9,79.55,80.0,72110,1337,80.185
DE000A161N30,199224273,GLJ,EUR,2019-02-14,80.35,82.2,80.0,81.7,104186,1773,81.495
DE000A161N30,199224273,GLJ,EUR,2019-02-15,81.3,85.0,81.25,84.0,122543,2549,83.495
DE000A161N30,199224273,GLJ,EUR,2019-02-18,83.7,84.65,83.3,83.8,65424,1273,83.96
DE000A161N30,199224273,GLJ,EUR,2019-02-19,84.05,84.05,82.7,83.85,71619,1375,83.44
DE000A161N30,199224273,GLJ,EUR,2019-02-20,84.1,88.0,83.95,87.8,131368,2528,86.54
DE000A161N30,199224273,GLJ,EUR,2019-02-21,87.8,88.15,85.9,86.1,71703,1584,86.285
DE000A161N30,199224273,GLJ,EUR,2019-02-22,87.05,88.0,86.3,86.9,73921,1604,87.015
DE000A161N30,199224273,GLJ,EUR,2019-02-25,87.15,87.85,86.85,87.35,41416,1034,87.32
DE000A161N30,199224273,GLJ,EUR,2019-02-26,86.95,88.25,86.55,88.05,33440,808,87.71
DE000A161N30,199224273,GLJ,EUR,2019-02-27,88.15,88.35,87.15,88.05,41886,905,87.745
DE000A161N30,199224273,GLJ,EUR,2019-02-28,87.95,89.7,87.3,89.7,72006,1146,89.075
DE000A161N30,199224273,GLJ,EUR,2019-03-01,89.6,90.5,89.4,90.25,64331,1092,89.99
DE000A161N30,199224273,GLJ,EUR,2019-03-04,90.15,91.45,89.3,91.05,60483,1422,90.96
DE000A161N30,199224273,GLJ,EUR,2019-03-05,90.7,91.55,89.45,90.7,44897,1138,90.33
DE000A161N30,199224273,GLJ,EUR,2019-03-06,91.05,91.45,89.55,90.25,72280,1098,90.465
DE000A161N30,199224273,GLJ,EUR,2019-03-07,89.8,90.65,89.3,89.55,59985,1010,89.775
DE000A161N30,199224273,GLJ,EUR,2019-03-08,89.05,89.65,87.0,88.15,60529,1494,88.41
DE000A161N30,199224273,GLJ,EUR,2019-03-11,88.25,90.0,88.15,89.3,40191,893,88.82
DE000A161N30,199224273,GLJ,EUR,2019-03-12,89.95,90.0,89.3,89.3,40388,824,89.63
DE000A161N30,199224273,GLJ,EUR,2019-03-13,89.55,89.9,87.9,89.0,51726,828,88.82
DE000A161N30,199224273,GLJ,EUR,2019-03-14,88.95,89.5,88.25,89.15,58505,1034,89.04
DE000A161N30,199224273,GLJ,EUR,2019-03-15,88.6,90.15,88.6,89.8,51184,1193,89.585
DE000A161N30,199224273,GLJ,EUR,2019-03-18,89.0,90.05,88.75,89.0,37697,658,89.265
DE000A161N30,199224273,GLJ,EUR,2019-03-19,88.9,91.9,88.55,91.75,71064,1465,90.64
DE000A161N30,199224273,GLJ,EUR,2019-03-20,90.0,90.55,81.7,81.8,280323,5164,83.91
DE000A161N30,199224273,GLJ,EUR,2019-03-21,82.15,83.8,80.15,81.85,123275,2104,81.72
DE000A161N30,199224273,GLJ,EUR,2019-03-22,82.2,83.95,82.05,82.25,74442,1418,82.965
DE000A161N30,199224273,GLJ,EUR,2019-03-25,82.15,83.3,81.0,82.95,75314,1446,82.81
DE000A161N30,199224273,GLJ,EUR,2019-03-26,83.2,83.75,82.6,83.25,53468,1176,83.155
DE000A161N30,199224273,GLJ,EUR,2019-03-27,83.45,86.7,83.25,84.95,78834,1456,84.87
DE000A161N30,199224273,GLJ,EUR,2019-03-28,84.65,85.7,84.0,84.25,51256,880,84.75
DE000A161N30,199224273,GLJ,EUR,2019-03-29,84.75,87.95,84.0,86.65,75234,1282,85.92
DE000A161N30,199224273,GLJ,EUR,2019-04-01,86.9,89.15,86.05,88.0,59875,1151,87.74
DE000A161N30,199224273,GLJ,EUR,2019-04-02,88.8,89.95,88.05,89.1,76249,1494,88.79
DE000A161N30,199224273,GLJ,EUR,2019-04-03,89.95,90.75,88.9,89.45,53064,985,89.59
DE000A161N30,199224273,GLJ,EUR,2019-04-04,89.7,90.35,88.55,90.0,45744,720,89.48
DE000A161N30,199224273,GLJ,EUR,2019-04-05,90.05,91.7,89.5,91.15,61757,1083,90.845
DE000A161N30,199224273,GLJ,EUR,2019-04-08,91.4,94.85,90.5,91.8,103858,1342,92.365
DE000A161N30,199224273,GLJ,EUR,2019-04-09,93.0,93.15,89.05,89.5,68466,1178,90.14
DE000A161N30,199224273,GLJ,EUR,2019-04-10,90.0,90.15,88.2,89.55,56579,1008,89.46
DE000A161N30,199224273,GLJ,EUR,2019-04-11,90.0,91.95,88.85,91.65,76533,1313,90.695
DE000A161N30,199224273,GLJ,EUR,2019-04-12,91.85,93.5,90.5,93.05,44529,1038,92.39
DE000A161N30,199224273,GLJ,EUR,2019-04-15,93.45,94.5,92.75,94.05,41244,780,93.55
DE000A161N30,199224273,GLJ,EUR,2019-04-16,94.55,94.55,92.85,94.05,69766,1425,93.58
DE000A161N30,199224273,GLJ,EUR,2019-04-17,93.75,94.25,93.3,93.8,28717,582,93.745
DE000A161N30,199224273,GLJ,EUR,2019-04-18,93.75,94.65,93.05,94.25,37882,704,94.06
DE000A161N30,199224273,GLJ,EUR,2019-04-23,94.95,95.0,93.65,94.15,43415,866,94.155
DE000A161N30,199224273,GLJ,EUR,2019-04-24,94.4,94.5,93.65,93.75,46980,1021,94.06
DE000A161N30,199224273,GLJ,EUR,2019-04-25,94.0,94.15,92.3,92.85,59035,1201,93.395
DE000A161N30,199224273,GLJ,EUR,2019-04-26,93.35,94.15,92.2,93.9,87161,1419,93.43
DE000A161N30,199224273,GLJ,EUR,2019-04-29,93.65,94.65,92.95,94.3,48427,960,93.975
DE000A161N30,199224273,GLJ,EUR,2019-04-30,94.45,95.4,93.8,94.65,44533,713,94.61
DE000A161N30,199224273,GLJ,EUR,2019-05-02,94.95,95.1,91.25,92.4,78919,1527,92.91
DE000A161N30,199224273,GLJ,EUR,2019-05-03,92.2,94.15,91.35,92.95,49659,1120,93.175
DE000A161N30,199224273,GLJ,EUR,2019-05-06,92.45,93.25,89.2,91.35,52332,1050,90.54
DE000A161N30,199224273,GLJ,EUR,2019-05-07,92.85,92.85,88.65,89.05,92606,1777,90.45
DE000A161N30,199224273,GLJ,EUR,2019-05-08,89.2,91.5,89.2,90.9,53755,993,90.34
DE000A161N30,199224273,GLJ,EUR,2019-05-09,91.0,92.7,89.35,90.1,109581,1874,90.785
DE000A161N30,199224273,GLJ,EUR,2019-05-10,90.0,91.2,89.0,89.05,38592,765,89.97
DE000A161N30,199224273,GLJ,EUR,2019-05-13,90.25,90.25,85.4,87.1,61112,946,87.24
DE000A161N30,199224273,GLJ,EUR,2019-05-14,85.6,88.8,85.05,88.35,70868,915,88.22
DE000A161N30,199224273,GLJ,EUR,2019-05-15,88.45,88.5,86.7,88.15,60531,878,87.925
DE000A161N30,199224273,GLJ,EUR,2019-05-16,87.6,90.2,87.6,89.45,68113,1325,89.05
DE000A161N30,199224273,GLJ,EUR,2019-05-17,89.45,89.75,88.55,89.4,37813,671,89.13
DE000A161N30,199224273,GLJ,EUR,2019-05-20,88.95,89.8,86.0,86.85,32328,635,87.29
DE000A161N30,199224273,GLJ,EUR,2019-05-21,87.1,90.0,87.1,88.65,52242,861,88.37
DE000A161N30,199224273,GLJ,EUR,2019-05-22,89.45,91.0,87.85,90.85,58035,1050,90.02
DE000A161N30,199224273,GLJ,EUR,2019-05-23,91.0,91.0,87.9,88.7,58854,1194,89.235
DE000A161N30,199224273,GLJ,EUR,2019-05-24,88.2,89.55,88.2,88.75,36103,666,88.945
DE000A161N30,199224273,GLJ,EUR,2019-05-27,89.3,90.0,87.65,88.4,16816,269,88.28
DE000A161N30,199224273,GLJ,EUR,2019-05-28,88.25,88.75,86.6,87.55,78543,476,87.635
DE000A161N30,199224273,GLJ,EUR,2019-05-29,86.2,87.75,85.0,85.7,50206,938,86.04
DE000A161N30,199224273,GLJ,EUR,2019-05-30,85.7,87.2,85.7,87.1,43170,832,86.775
DE000A161N30,199224273,GLJ,EUR,2019-05-31,86.3,86.9,84.15,85.5,88046,1415,85.51
DE000A161N30,199224273,GLJ,EUR,2019-06-03,85.5,85.5,82.5,83.85,85552,1203,83.65
DE000A161N30,199224273,GLJ,EUR,2019-06-04,82.8,86.1,82.8,85.4,73340,1214,85.04
DE000A161N30,199224273,GLJ,EUR,2019-06-05,86.05,87.3,84.65,86.4,49032,989,86.55
DE000A161N30,199224273,GLJ,EUR,2019-06-06,87.0,89.9,86.5,88.8,131608,2224,88.6
DE000A161N30,199224273,GLJ,EUR,2019-06-07,89.45,89.45,87.7,87.9,88319,1785,88.365
DE000A161N30,199224273,GLJ,EUR,2019-06-11,89.85,90.25,88.55,89.5,84789,1387,89.55
DE000A161N30,199224273,GLJ,EUR,2019-06-12,89.05,89.65,88.55,89.3,80635,1258,88.99
DE000A161N30,199224273,GLJ,EUR,2019-06-13,89.5,89.75,87.15,87.3,67549,1177,87.855
DE000A161N30,199224273,GLJ,EUR,2019-06-14,87.05,88.6,85.6,87.2,101010,1574,87.475
DE000A161N30,199224273,GLJ,EUR,2019-06-17,87.95,88.3,86.35,86.9,104715,1694,87.175
DE000A161N30,199224273,GLJ,EUR,2019-06-18,87.1,89.05,85.8,89.0,95290,1555,87.72
