ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
DE000A1YC996,385953061,PU11,EUR,2019-10-04,12.0,12.0,12.0,12.0,3500,2,12.0
DE000A1YC996,385953061,PU11,EUR,2019-10-07,12.2,14.8,12.2,12.7,8166,3,12.585
DE000A1YC996,385953061,PU11,EUR,2019-10-08,13.7,14.2,13.7,14.1,4100,3,13.835
DE000A1YC996,385953061,PU11,EUR,2019-10-09,13.9,13.9,13.5,13.5,1312,3,13.85
DE000A1YC996,385953061,PU11,EUR,2019-10-10,13.6,18.0,13.3,17.9,14931,17,15.255
DE000A1YC996,385953061,PU11,EUR,2019-10-11,18.0,20.4,17.8,20.4,8801,13,19.045
DE000A1YC996,385953061,PU11,EUR,2019-10-14,20.0,22.4,19.2,21.0,4360,10,20.465
DE000A1YC996,385953061,PU11,EUR,2019-10-15,21.0,21.2,19.7,21.2,1020,6,20.65
DE000A1YC996,385953061,PU11,EUR,2019-10-16,20.0,21.8,20.0,21.0,1270,4,21.13
DE000A1YC996,385953061,PU11,EUR,2019-10-17,21.6,21.8,21.0,21.8,1520,7,21.18
DE000A1YC996,385953061,PU11,EUR,2019-10-18,21.4,22.0,21.4,21.6,398,3,21.79
DE000A1YC996,385953061,PU11,EUR,2019-10-21,21.0,21.6,20.2,21.6,610,5,20.995
DE000A1YC996,385953061,PU11,EUR,2019-10-22,20.2,20.4,19.9,19.9,200,2,20.25
DE000A1YC996,385953061,PU11,EUR,2019-10-23,20.0,20.8,20.0,20.0,909,4,20.23
DE000A1YC996,385953061,PU11,EUR,2019-10-24,19.9,20.8,19.8,20.8,430,3,19.87
DE000A1YC996,385953061,PU11,EUR,2019-10-25,20.4,21.6,20.2,20.6,1540,6,20.49
DE000A1YC996,385953061,PU11,EUR,2019-10-28,20.4,21.6,20.4,20.8,2545,10,20.685
DE000A1YC996,385953061,PU11,EUR,2019-10-29,20.4,21.0,20.4,21.0,386,3,20.4
DE000A1YC996,385953061,PU11,EUR,2019-10-30,20.2,20.2,19.9,19.9,205,2,20.2
DE000A1YC996,385953061,PU11,EUR,2019-10-31,20.4,20.4,20.0,20.0,1051,3,20.135
DE000A1YC996,385953061,PU11,EUR,2019-11-01,20.8,20.8,19.8,19.8,900,4,20.535
DE000A1YC996,385953061,PU11,EUR,2019-11-04,20.6,21.0,20.0,20.4,365,5,20.225
DE000A1YC996,385953061,PU11,EUR,2019-11-05,20.8,20.8,19.5,19.7,1060,6,20.05
DE000A1YC996,385953061,PU11,EUR,2019-11-06,20.4,20.4,19.6,19.6,50,1,20.4
DE000A1YC996,385953061,PU11,EUR,2019-11-07,20.0,20.0,19.2,19.2,125,1,20.0
DE000A1YC996,385953061,PU11,EUR,2019-11-08,19.6,19.6,18.3,19.0,1365,7,18.8
DE000A1YC996,385953061,PU11,EUR,2019-11-11,18.2,18.9,18.1,18.6,650,5,18.64
DE000A1YC996,385953061,PU11,EUR,2019-11-12,19.0,19.0,17.3,18.6,6008,9,17.865
DE000A1YC996,385953061,PU11,EUR,2019-11-13,17.4,17.8,16.7,16.8,2236,8,17.105
DE000A1YC996,385953061,PU11,EUR,2019-11-14,17.9,18.0,17.0,17.0,2800,3,17.97
DE000A1YC996,385953061,PU11,EUR,2019-11-15,19.0,19.2,18.2,18.2,635,3,18.955
DE000A1YC996,385953061,PU11,EUR,2019-11-18,18.6,19.8,18.1,18.1,1405,7,19.18
DE000A1YC996,385953061,PU11,EUR,2019-11-19,19.7,19.7,18.9,18.9,700,3,19.23
DE000A1YC996,385953061,PU11,EUR,2019-11-20,19.5,19.5,18.9,18.9,2727,8,19.385
DE000A1YC996,385953061,PU11,EUR,2019-11-21,18.9,18.9,17.4,17.4,1577,6,18.36
DE000A1YC996,385953061,PU11,EUR,2019-11-22,17.7,17.8,17.7,17.8,1220,5,17.735
DE000A1YC996,385953061,PU11,EUR,2019-11-25,17.7,17.7,17.7,17.7,0,0,17.7
DE000A1YC996,385953061,PU11,EUR,2019-11-26,17.9,17.9,17.0,17.6,5920,13,17.305
DE000A1YC996,385953061,PU11,EUR,2019-11-27,17.5,17.5,17.0,17.2,525,3,17.325
DE000A1YC996,385953061,PU11,EUR,2019-11-28,17.0,17.2,16.6,16.9,950,4,17.03
DE000A1YC996,385953061,PU11,EUR,2019-11-29,17.0,17.2,16.9,17.2,1011,6,16.97
DE000A1YC996,385953061,PU11,EUR,2019-12-02,16.8,17.2,16.8,17.2,20,1,16.8
DE000A1YC996,385953061,PU11,EUR,2019-12-03,16.8,16.8,16.8,16.8,0,0,16.8
DE000A1YC996,385953061,PU11,EUR,2019-12-04,16.8,16.8,16.1,16.5,2040,6,16.41
DE000A1YC996,385953061,PU11,EUR,2019-12-05,15.6,16.5,15.6,16.3,5625,13,16.15
DE000A1YC996,385953061,PU11,EUR,2019-12-06,16.3,17.3,16.3,17.2,2115,6,16.72
DE000A1YC996,385953061,PU11,EUR,2019-12-09,17.0,17.4,17.0,17.2,357,3,17.28
DE000A1YC996,385953061,PU11,EUR,2019-12-10,17.2,17.2,16.7,17.2,590,2,17.19
DE000A1YC996,385953061,PU11,EUR,2019-12-11,17.1,17.1,16.9,16.9,500,1,17.1
DE000A1YC996,385953061,PU11,EUR,2019-12-12,17.1,17.1,16.5,16.9,1680,10,16.575
DE000A1YC996,385953061,PU11,EUR,2019-12-13,17.0,17.0,17.0,17.0,120,2,17.0
DE000A1YC996,385953061,PU11,EUR,2019-12-16,17.3,17.4,16.6,16.8,65,3,17.115
DE000A1YC996,385953061,PU11,EUR,2019-12-17,16.8,16.8,16.8,16.8,0,0,16.8
DE000A1YC996,385953061,PU11,EUR,2019-12-18,17.5,17.5,16.6,16.6,410,3,17.34
DE000A1YC996,385953061,PU11,EUR,2019-12-19,16.5,16.5,16.3,16.3,30,1,16.5
DE000A1YC996,385953061,PU11,EUR,2019-12-20,16.0,16.4,16.0,16.4,505,2,16.0
DE000A1YC996,385953061,PU11,EUR,2019-12-23,16.1,16.2,16.0,16.0,1550,5,16.175
DE000A1YC996,385953061,PU11,EUR,2019-12-27,15.7,16.7,15.1,16.0,880,8,15.44
DE000A1YC996,385953061,PU11,EUR,2019-12-30,15.0,16.0,15.0,15.9,1000,2,15.2
DE000A1YC996,385953061,PU11,EUR,2020-01-02,15.3,15.3,14.0,14.6,1740,6,14.315
DE000A1YC996,385953061,PU11,EUR,2020-01-03,14.5,14.5,13.9,14.2,197,3,14.045
DE000A1YC996,385953061,PU11,EUR,2020-01-06,14.3,14.9,14.3,14.8,523,2,14.86
DE000A1YC996,385953061,PU11,EUR,2020-01-07,14.7,14.7,14.7,14.7,0,0,14.7
DE000A1YC996,385953061,PU11,EUR,2020-01-08,15.0,16.4,15.0,16.0,3940,9,15.715
DE000A1YC996,385953061,PU11,EUR,2020-01-09,16.6,16.6,16.4,16.4,2,1,16.6
DE000A1YC996,385953061,PU11,EUR,2020-01-10,16.1,17.0,16.1,16.9,725,3,16.8
DE000A1YC996,385953061,PU11,EUR,2020-01-13,17.3,18.0,17.0,18.0,590,3,17.355
DE000A1YC996,385953061,PU11,EUR,2020-01-14,17.6,17.9,17.6,17.8,610,5,17.62
DE000A1YC996,385953061,PU11,EUR,2020-01-15,18.5,18.5,17.6,17.6,264,3,18.31
DE000A1YC996,385953061,PU11,EUR,2020-01-16,17.6,17.8,17.4,17.8,2105,6,17.495
DE000A1YC996,385953061,PU11,EUR,2020-01-17,17.8,17.8,17.8,17.8,0,0,17.8
DE000A1YC996,385953061,PU11,EUR,2020-01-20,18.1,18.1,17.9,17.9,1317,2,18.06
DE000A1YC996,385953061,PU11,EUR,2020-01-21,17.9,18.0,17.9,17.9,650,4,17.94
DE000A1YC996,385953061,PU11,EUR,2020-01-22,17.9,17.9,17.7,17.7,622,2,17.825
DE000A1YC996,385953061,PU11,EUR,2020-01-23,18.0,18.0,17.4,17.6,152,3,17.99
DE000A1YC996,385953061,PU11,EUR,2020-01-24,17.1,17.5,17.1,17.5,1500,4,17.265
DE000A1YC996,385953061,PU11,EUR,2020-01-27,17.3,17.3,15.7,16.2,2720,10,16.335
DE000A1YC996,385953061,PU11,EUR,2020-01-28,16.4,16.6,16.4,16.6,30,1,16.4
DE000A1YC996,385953061,PU11,EUR,2020-01-29,16.8,16.9,16.6,16.6,550,2,16.865
DE000A1YC996,385953061,PU11,EUR,2020-01-30,16.9,16.9,16.9,16.9,0,0,16.9
DE000A1YC996,385953061,PU11,EUR,2020-01-31,16.7,17.1,16.4,17.1,645,3,16.87
DE000A1YC996,385953061,PU11,EUR,2020-02-03,16.7,16.7,16.7,16.7,0,0,16.7
DE000A1YC996,385953061,PU11,EUR,2020-02-04,16.5,16.5,15.8,15.8,150,1,16.5
DE000A1YC996,385953061,PU11,EUR,2020-02-05,16.0,16.0,15.9,15.9,5,1,16.0
DE000A1YC996,385953061,PU11,EUR,2020-02-06,15.7,16.0,15.7,15.7,923,5,15.885
DE000A1YC996,385953061,PU11,EUR,2020-02-07,16.0,16.0,15.9,15.9,280,1,16.0
DE000A1YC996,385953061,PU11,EUR,2020-02-10,15.7,15.7,15.0,15.6,1890,9,15.19
DE000A1YC996,385953061,PU11,EUR,2020-02-11,15.2,15.7,15.2,15.7,75,1,15.2
DE000A1YC996,385953061,PU11,EUR,2020-02-12,15.4,15.8,15.4,15.8,600,2,15.485
DE000A1YC996,385953061,PU11,EUR,2020-02-13,15.5,15.5,15.3,15.3,1100,3,15.48
DE000A1YC996,385953061,PU11,EUR,2020-02-14,15.3,15.7,15.3,15.6,909,5,15.67
DE000A1YC996,385953061,PU11,EUR,2020-02-17,15.4,15.7,15.4,15.7,1650,2,15.49
DE000A1YC996,385953061,PU11,EUR,2020-02-18,15.5,15.5,15.4,15.4,100,1,15.5
DE000A1YC996,385953061,PU11,EUR,2020-02-19,15.2,15.2,14.2,15.0,1462,8,14.665
DE000A1YC996,385953061,PU11,EUR,2020-02-20,15.5,15.6,14.9,15.2,2304,10,15.4
DE000A1YC996,385953061,PU11,EUR,2020-02-21,15.4,15.4,15.3,15.3,850,2,15.34
DE000A1YC996,385953061,PU11,EUR,2020-02-24,15.1,15.1,15.1,15.1,0,0,15.1
DE000A1YC996,385953061,PU11,EUR,2020-02-25,14.9,14.9,14.6,14.8,380,3,14.76
DE000A1YC996,385953061,PU11,EUR,2020-02-26,14.4,14.4,13.9,14.3,400,3,14.09
DE000A1YC996,385953061,PU11,EUR,2020-02-27,13.7,13.9,11.4,11.8,15421,16,13.635
DE000A1YC996,385953061,PU11,EUR,2020-02-28,11.0,12.2,11.0,12.2,1870,7,11.295
DE000A1YC996,385953061,PU11,EUR,2020-03-02,12.0,12.5,12.0,12.1,402,5,12.165
DE000A1YC996,385953061,PU11,EUR,2020-03-03,12.3,12.5,11.8,11.8,664,4,12.255
DE000A1YC996,385953061,PU11,EUR,2020-03-04,11.2,11.2,11.2,11.2,0,0,11.2
DE000A1YC996,385953061,PU11,EUR,2020-03-05,11.4,11.8,11.4,11.6,656,3,11.43
DE000A1YC996,385953061,PU11,EUR,2020-03-06,11.5,12.1,11.4,11.9,1437,8,11.46
DE000A1YC996,385953061,PU11,EUR,2020-03-09,11.3,11.5,10.9,11.0,185,3,11.18
DE000A1YC996,385953061,PU11,EUR,2020-03-10,10.95,11.6,10.95,11.5,1250,6,11.3
DE000A1YC996,385953061,PU11,EUR,2020-03-11,11.0,11.1,10.3,10.6,1890,6,10.765
DE000A1YC996,385953061,PU11,EUR,2020-03-12,9.8,10.8,9.1,9.55,377,3,10.415
DE000A1YC996,385953061,PU11,EUR,2020-03-13,9.55,9.55,9.55,9.55,0,0,9.55
DE000A1YC996,385953061,PU11,EUR,2020-03-16,9.15,9.15,7.6,8.5,2500,7,7.995
DE000A1YC996,385953061,PU11,EUR,2020-03-17,7.1,9.25,7.0,9.25,1930,7,7.485
DE000A1YC996,385953061,PU11,EUR,2020-03-18,8.75,8.75,7.8,8.65,929,7,8.11
DE000A1YC996,385953061,PU11,EUR,2020-03-19,8.3,10.1,8.3,9.9,3460,12,9.455
DE000A1YC996,385953061,PU11,EUR,2020-03-20,10.0,11.7,10.0,10.3,1294,11,10.915
DE000A1YC996,385953061,PU11,EUR,2020-03-23,11.6,11.6,10.2,11.3,4415,12,10.96
DE000A1YC996,385953061,PU11,EUR,2020-03-24,11.8,11.9,11.6,11.8,1922,7,11.715
DE000A1YC996,385953061,PU11,EUR,2020-03-25,13.0,14.2,12.1,13.8,4707,18,13.555
DE000A1YC996,385953061,PU11,EUR,2020-03-26,13.6,13.9,12.6,13.6,2979,14,12.935
DE000A1YC996,385953061,PU11,EUR,2020-03-27,13.8,15.5,13.8,14.3,5920,29,14.725
DE000A1YC996,385953061,PU11,EUR,2020-03-30,14.8,15.3,13.7,14.4,7908,29,14.505
DE000A1YC996,385953061,PU11,EUR,2020-03-31,14.4,14.5,14.2,14.3,2135,9,14.31
DE000A1YC996,385953061,PU11,EUR,2020-04-01,14.1,14.1,13.6,14.0,212,3,13.885
DE000A1YC996,385953061,PU11,EUR,2020-04-02,13.8,13.95,13.7,13.95,450,3,13.86
DE000A1YC996,385953061,PU11,EUR,2020-04-03,14.1,14.5,13.4,13.9,3297,16,13.975
DE000A1YC996,385953061,PU11,EUR,2020-04-06,14.3,14.8,13.5,14.4,2950,20,13.895
DE000A1YC996,385953061,PU11,EUR,2020-04-07,14.4,14.5,13.7,13.8,1419,10,14.24
DE000A1YC996,385953061,PU11,EUR,2020-04-08,14.6,14.6,13.7,13.9,803,4,13.785
DE000A1YC996,385953061,PU11,EUR,2020-04-09,13.7,13.7,12.6,12.9,1157,8,13.03
DE000A1YC996,385953061,PU11,EUR,2020-04-14,12.9,13.1,11.9,12.9,3063,16,12.47
DE000A1YC996,385953061,PU11,EUR,2020-04-15,12.5,13.0,12.1,12.2,1276,8,12.49
DE000A1YC996,385953061,PU11,EUR,2020-04-16,12.6,12.6,12.5,12.5,20,1,12.6
DE000A1YC996,385953061,PU11,EUR,2020-04-17,12.1,12.6,12.1,12.3,1143,8,12.39
DE000A1YC996,385953061,PU11,EUR,2020-04-20,12.5,13.7,12.1,13.3,3827,15,13.01
DE000A1YC996,385953061,PU11,EUR,2020-04-21,13.5,13.5,12.9,13.2,58,3,13.28
DE000A1YC996,385953061,PU11,EUR,2020-04-22,12.9,13.0,11.8,12.7,1142,9,12.24
DE000A1YC996,385953061,PU11,EUR,2020-04-23,12.9,12.9,12.4,12.4,200,1,12.9
DE000A1YC996,385953061,PU11,EUR,2020-04-24,12.0,13.5,12.0,12.8,2830,7,13.17
DE000A1YC996,385953061,PU11,EUR,2020-04-27,13.2,13.5,12.6,13.5,400,5,13.13
DE000A1YC996,385953061,PU11,EUR,2020-04-28,12.7,12.8,12.6,12.6,350,3,12.7
DE000A1YC996,385953061,PU11,EUR,2020-04-29,12.3,12.4,11.0,12.3,5587,17,11.78
DE000A1YC996,385953061,PU11,EUR,2020-04-30,12.0,12.4,11.6,11.9,1040,8,11.94
DE000A1YC996,385953061,PU11,EUR,2020-05-04,11.4,12.2,11.4,12.0,1250,4,11.91
DE000A1YC996,385953061,PU11,EUR,2020-05-05,12.2,12.2,11.9,12.1,960,9,12.02
DE000A1YC996,385953061,PU11,EUR,2020-05-06,11.8,12.3,11.8,12.3,398,3,12.06
DE000A1YC996,385953061,PU11,EUR,2020-05-07,13.1,13.4,12.8,13.1,620,4,13.07
DE000A1YC996,385953061,PU11,EUR,2020-05-08,12.9,14.4,12.8,13.9,900,4,14.0
DE000A1YC996,385953061,PU11,EUR,2020-05-11,14.0,16.7,13.8,15.0,5365,26,15.31
DE000A1YC996,385953061,PU11,EUR,2020-05-12,15.3,15.3,14.5,15.2,2908,14,14.86
DE000A1YC996,385953061,PU11,EUR,2020-05-13,15.1,15.2,14.9,14.9,1098,6,15.05
DE000A1YC996,385953061,PU11,EUR,2020-05-14,14.6,14.9,14.6,14.8,839,7,14.63
DE000A1YC996,385953061,PU11,EUR,2020-05-15,15.0,15.5,14.8,15.5,2157,12,15.07
DE000A1YC996,385953061,PU11,EUR,2020-05-18,15.3,15.8,15.0,15.8,1950,4,15.19
DE000A1YC996,385953061,PU11,EUR,2020-05-19,15.0,16.0,15.0,16.0,100,1,15.0
DE000A1YC996,385953061,PU11,EUR,2020-05-20,15.8,16.0,14.5,15.9,1406,8,15.16
DE000A1YC996,385953061,PU11,EUR,2020-05-21,15.3,15.6,15.3,15.6,5,1,15.3
DE000A1YC996,385953061,PU11,EUR,2020-05-22,14.6,15.3,14.5,15.3,163,2,14.76
DE000A1YC996,385953061,PU11,EUR,2020-05-25,14.5,15.1,14.5,14.7,3719,6,14.6
DE000A1YC996,385953061,PU11,EUR,2020-05-26,14.6,14.6,14.3,14.3,420,2,14.45
DE000A1YC996,385953061,PU11,EUR,2020-05-27,14.2,15.3,14.2,15.3,840,5,14.35
DE000A1YC996,385953061,PU11,EUR,2020-05-28,15.4,15.4,15.0,15.0,850,3,15.34
DE000A1YC996,385953061,PU11,EUR,2020-05-29,15.8,16.0,15.6,16.0,210,2,15.72
DE000A1YC996,385953061,PU11,EUR,2020-06-02,15.8,16.0,15.3,15.3,1050,5,15.83
DE000A1YC996,385953061,PU11,EUR,2020-06-03,15.8,16.1,15.6,16.1,380,3,15.78
DE000A1YC996,385953061,PU11,EUR,2020-06-04,15.2,15.2,15.2,15.2,0,0,15.2
DE000A1YC996,385953061,PU11,EUR,2020-06-05,14.8,15.5,14.0,15.3,3807,16,14.75
DE000A1YC996,385953061,PU11,EUR,2020-06-08,15.4,15.5,15.3,15.5,1066,3,15.39
DE000A1YC996,385953061,PU11,EUR,2020-06-09,15.5,15.5,14.6,15.0,684,5,15.0
DE000A1YC996,385953061,PU11,EUR,2020-06-10,14.9,15.6,14.5,15.6,261,3,14.75
DE000A1YC996,385953061,PU11,EUR,2020-06-11,15.7,15.7,14.8,15.5,640,6,15.16
DE000A1YC996,385953061,PU11,EUR,2020-06-12,15.5,15.5,15.5,15.5,0,0,15.5
DE000A1YC996,385953061,PU11,EUR,2020-06-15,15.1,15.1,15.1,15.1,0,0,15.1
DE000A1YC996,385953061,PU11,EUR,2020-06-16,14.9,15.0,14.7,15.0,195,2,14.84
DE000A1YC996,385953061,PU11,EUR,2020-06-17,15.0,15.1,14.8,15.0,805,6,15.0
DE000A1YC996,385953061,PU11,EUR,2020-06-18,15.0,15.0,14.9,15.0,630,4,14.97
DE000A1YC996,385953061,PU11,EUR,2020-06-19,14.9,15.0,14.9,15.0,170,2,14.9
DE000A1YC996,385953061,PU11,EUR,2020-06-22,15.0,15.0,15.0,15.0,0,0,15.0
DE000A1YC996,385953061,PU11,EUR,2020-06-23,14.8,15.2,14.7,15.2,530,5,14.8
DE000A1YC996,385953061,PU11,EUR,2020-06-24,15.0,15.0,14.9,15.0,100,1,14.95
DE000A1YC996,385953061,PU11,EUR,2020-06-25,14.8,16.4,14.7,16.3,6589,21,15.39
DE000A1YC996,385953061,PU11,EUR,2020-06-26,15.6,15.9,15.4,15.9,365,4,15.5
DE000A1YC996,385953061,PU11,EUR,2020-06-29,15.6,16.0,15.2,16.0,998,5,15.54
DE000A1YC996,385953061,PU11,EUR,2020-06-30,16.3,17.0,16.3,16.7,890,8,16.42
DE000A1YC996,385953061,PU11,EUR,2020-07-01,16.3,16.8,16.2,16.8,1260,6,16.55
DE000A1YC996,385953061,PU11,EUR,2020-07-02,16.6,17.0,16.5,16.8,1560,8,16.74
DE000A1YC996,385953061,PU11,EUR,2020-07-03,17.0,17.0,16.6,16.9,650,8,16.82
DE000A1YC996,385953061,PU11,EUR,2020-07-06,17.0,17.0,17.0,17.0,0,0,17.0
DE000A1YC996,385953061,PU11,EUR,2020-07-07,16.9,17.0,16.6,17.0,300,5,16.72
DE000A1YC996,385953061,PU11,EUR,2020-07-08,17.2,17.5,16.9,17.5,3519,9,17.03
DE000A1YC996,385953061,PU11,EUR,2020-07-09,17.5,19.0,17.5,18.0,3640,11,18.02
DE000A1YC996,385953061,PU11,EUR,2020-07-10,18.3,18.6,17.7,18.6,265,4,17.85
DE000A1YC996,385953061,PU11,EUR,2020-07-13,18.4,19.4,18.3,19.0,1310,12,18.95
DE000A1YC996,385953061,PU11,EUR,2020-07-14,18.8,19.9,18.6,19.4,5637,16,19.4
DE000A1YC996,385953061,PU11,EUR,2020-07-15,19.8,19.9,19.2,19.7,2535,25,19.56
DE000A1YC996,385953061,PU11,EUR,2020-07-16,19.6,20.2,19.5,20.1,2440,10,19.94
DE000A1YC996,385953061,PU11,EUR,2020-07-17,20.3,21.6,20.3,21.0,4030,41,20.87
DE000A1YC996,385953061,PU11,EUR,2020-07-20,21.8,21.9,20.7,21.3,3956,28,21.23
DE000A1YC996,385953061,PU11,EUR,2020-07-21,21.5,21.9,21.1,21.4,2516,22,21.49
DE000A1YC996,385953061,PU11,EUR,2020-07-22,21.7,21.7,19.9,20.7,3012,30,20.8
DE000A1YC996,385953061,PU11,EUR,2020-07-23,21.0,21.5,20.9,20.9,2132,17,21.17
DE000A1YC996,385953061,PU11,EUR,2020-07-24,21.6,21.8,19.4,20.9,6057,20,19.88
DE000A1YC996,385953061,PU11,EUR,2020-07-27,21.1,21.4,20.5,21.0,3336,30,21.02
DE000A1YC996,385953061,PU11,EUR,2020-07-28,21.9,21.9,21.3,21.4,2239,17,21.53
DE000A1YC996,385953061,PU11,EUR,2020-07-29,21.2,22.2,21.2,22.0,1420,17,21.71
DE000A1YC996,385953061,PU11,EUR,2020-07-30,21.8,22.0,21.3,22.0,886,8,21.43
DE000A1YC996,385953061,PU11,EUR,2020-07-31,22.1,22.3,21.6,22.0,1827,12,21.94
DE000A1YC996,385953061,PU11,EUR,2020-08-03,22.1,22.4,21.7,22.4,1545,9,21.88
DE000A1YC996,385953061,PU11,EUR,2020-08-04,22.5,22.5,21.4,21.4,778,8,21.81
DE000A1YC996,385953061,PU11,EUR,2020-08-05,21.4,21.8,20.9,21.8,1677,15,21.37
DE000A1YC996,385953061,PU11,EUR,2020-08-06,20.6,21.6,20.6,21.5,4266,11,20.96
DE000A1YC996,385953061,PU11,EUR,2020-08-07,20.4,21.2,19.8,21.2,8844,40,20.26
DE000A1YC996,385953061,PU11,EUR,2020-08-10,21.3,21.3,20.4,20.5,1023,12,21.01
DE000A1YC996,385953061,PU11,EUR,2020-08-11,20.4,21.2,19.9,21.2,3019,12,19.99
DE000A1YC996,385953061,PU11,EUR,2020-08-12,21.0,21.0,18.6,20.4,6523,25,19.61
DE000A1YC996,385953061,PU11,EUR,2020-08-13,19.1,20.0,19.0,20.0,425,7,19.37
DE000A1YC996,385953061,PU11,EUR,2020-08-14,19.4,19.7,19.3,19.7,1043,12,19.46
DE000A1YC996,385953061,PU11,EUR,2020-08-17,19.6,19.6,19.3,19.6,1070,3,19.32
DE000A1YC996,385953061,PU11,EUR,2020-08-18,19.7,19.7,19.5,19.7,460,2,19.63
DE000A1YC996,385953061,PU11,EUR,2020-08-19,19.4,19.7,18.1,18.7,1951,10,18.97
DE000A1YC996,385953061,PU11,EUR,2020-08-20,17.9,19.5,16.9,18.9,3334,16,18.12
DE000A1YC996,385953061,PU11,EUR,2020-08-21,19.0,19.6,18.6,19.4,850,4,19.2
DE000A1YC996,385953061,PU11,EUR,2020-08-24,19.2,19.2,18.9,19.0,530,5,19.06
DE000A1YC996,385953061,PU11,EUR,2020-08-25,18.6,18.7,18.4,18.4,470,4,18.6
DE000A1YC996,385953061,PU11,EUR,2020-08-26,18.4,19.5,18.4,19.5,600,2,19.11
DE000A1YC996,385953061,PU11,EUR,2020-08-27,19.7,20.2,19.6,20.2,2010,4,19.87
DE000A1YC996,385953061,PU11,EUR,2020-08-28,19.9,20.1,19.7,20.1,351,5,19.81
DE000A1YC996,385953061,PU11,EUR,2020-08-31,19.8,20.0,19.7,19.9,499,7,19.84
DE000A1YC996,385953061,PU11,EUR,2020-09-01,20.1,20.1,19.5,20.0,691,5,19.61
DE000A1YC996,385953061,PU11,EUR,2020-09-02,19.8,20.1,19.4,20.1,760,3,19.6
DE000A1YC996,385953061,PU11,EUR,2020-09-03,19.9,20.3,19.9,20.3,660,4,19.99
DE000A1YC996,385953061,PU11,EUR,2020-09-04,19.9,20.2,19.6,19.8,230,4,19.93
DE000A1YC996,385953061,PU11,EUR,2020-09-07,19.4,19.9,19.3,19.9,113,1,19.35
DE000A1YC996,385953061,PU11,EUR,2020-09-08,19.7,20.2,19.6,20.2,487,6,19.99
DE000A1YC996,385953061,PU11,EUR,2020-09-09,20.5,20.5,19.8,19.8,373,4,20.12
DE000A1YC996,385953061,PU11,EUR,2020-09-10,19.9,20.0,19.6,19.9,447,4,19.79
