ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
DE000A2DAM03,270900387,AAG,EUR,2019-01-02,29.4,30.6,28.4,30.05,81259,663,29.845
DE000A2DAM03,270900387,AAG,EUR,2019-01-03,30.1,30.1,28.6,28.8,61696,623,29.225
DE000A2DAM03,270900387,AAG,EUR,2019-01-04,29.55,31.4,28.9,31.0,55414,533,30.585
DE000A2DAM03,270900387,AAG,EUR,2019-01-07,31.7,32.5,30.8,31.9,39768,459,31.38
DE000A2DAM03,270900387,AAG,EUR,2019-01-08,32.25,33.0,31.5,32.45,80562,669,32.32
DE000A2DAM03,270900387,AAG,EUR,2019-01-09,32.75,34.7,32.6,33.75,72391,650,33.835
DE000A2DAM03,270900387,AAG,EUR,2019-01-10,33.9,34.1,32.6,33.5,53549,509,33.305
DE000A2DAM03,270900387,AAG,EUR,2019-01-11,33.85,34.3,31.6,32.25,44305,476,32.415
DE000A2DAM03,270900387,AAG,EUR,2019-01-14,32.5,32.5,30.7,31.4,63607,569,31.36
DE000A2DAM03,270900387,AAG,EUR,2019-01-15,31.6,32.8,31.5,32.6,46943,601,32.035
DE000A2DAM03,270900387,AAG,EUR,2019-01-16,32.8,34.5,32.3,33.35,59364,609,33.57
DE000A2DAM03,270900387,AAG,EUR,2019-01-17,33.55,34.2,32.2,33.05,63831,590,33.175
DE000A2DAM03,270900387,AAG,EUR,2019-01-18,33.05,34.3,33.0,33.8,51576,611,33.85
DE000A2DAM03,270900387,AAG,EUR,2019-01-21,34.05,35.9,33.9,35.55,62237,623,35.05
DE000A2DAM03,270900387,AAG,EUR,2019-01-22,35.4,35.6,34.4,34.75,44706,490,34.845
DE000A2DAM03,270900387,AAG,EUR,2019-01-23,34.7,36.2,33.8,35.35,46194,571,35.45
DE000A2DAM03,270900387,AAG,EUR,2019-01-24,35.45,36.0,34.5,35.4,86682,923,35.09
DE000A2DAM03,270900387,AAG,EUR,2019-01-25,36.1,37.5,35.8,36.95,81182,609,36.825
DE000A2DAM03,270900387,AAG,EUR,2019-01-28,37.0,37.2,36.0,36.7,63525,527,36.525
DE000A2DAM03,270900387,AAG,EUR,2019-01-29,36.7,36.7,35.1,35.4,45837,483,35.765
DE000A2DAM03,270900387,AAG,EUR,2019-01-30,35.4,35.9,34.4,35.6,41740,457,35.075
DE000A2DAM03,270900387,AAG,EUR,2019-01-31,36.1,37.4,35.3,36.05,69195,766,36.275
DE000A2DAM03,270900387,AAG,EUR,2019-02-01,36.85,37.0,34.2,34.65,63957,652,35.285
DE000A2DAM03,270900387,AAG,EUR,2019-02-04,35.4,35.5,33.5,34.3,43622,398,34.24
DE000A2DAM03,270900387,AAG,EUR,2019-02-05,34.5,35.1,33.6,34.45,55243,615,34.265
DE000A2DAM03,270900387,AAG,EUR,2019-02-06,34.3,35.1,33.5,34.85,88385,909,34.445
DE000A2DAM03,270900387,AAG,EUR,2019-02-07,34.8,35.2,32.7,33.0,64141,717,33.735
DE000A2DAM03,270900387,AAG,EUR,2019-02-08,32.6,32.9,29.4,29.6,168526,1469,30.585
DE000A2DAM03,270900387,AAG,EUR,2019-02-11,30.5,31.0,29.5,29.8,66420,515,30.15
DE000A2DAM03,270900387,AAG,EUR,2019-02-12,30.4,30.7,29.0,30.2,164034,1226,29.73
DE000A2DAM03,270900387,AAG,EUR,2019-02-13,30.5,30.7,29.5,30.0,78543,820,30.07
DE000A2DAM03,270900387,AAG,EUR,2019-02-14,30.25,30.3,27.5,28.2,214833,1782,28.645
DE000A2DAM03,270900387,AAG,EUR,2019-02-15,28.95,29.0,27.4,27.7,201923,1227,27.695
DE000A2DAM03,270900387,AAG,EUR,2019-02-18,28.1,29.1,27.7,28.5,183314,1171,28.51
DE000A2DAM03,270900387,AAG,EUR,2019-02-19,28.85,29.2,28.3,28.5,61683,518,28.675
DE000A2DAM03,270900387,AAG,EUR,2019-02-20,28.8,28.8,27.7,28.45,101564,698,28.295
DE000A2DAM03,270900387,AAG,EUR,2019-02-21,28.65,28.8,27.6,28.3,54183,452,28.095
DE000A2DAM03,270900387,AAG,EUR,2019-02-22,28.7,28.7,27.8,28.0,45507,440,28.045
DE000A2DAM03,270900387,AAG,EUR,2019-02-25,28.15,29.0,27.9,28.6,72161,565,28.485
DE000A2DAM03,270900387,AAG,EUR,2019-02-26,28.5,28.7,28.1,28.25,44354,357,28.335
DE000A2DAM03,270900387,AAG,EUR,2019-02-27,28.3,28.3,27.1,27.5,96779,716,27.565
DE000A2DAM03,270900387,AAG,EUR,2019-02-28,28.0,28.4,24.9,25.3,570818,3777,25.59
DE000A2DAM03,270900387,AAG,EUR,2019-03-01,25.55,25.9,24.8,25.0,306775,1600,25.2
DE000A2DAM03,270900387,AAG,EUR,2019-03-04,25.15,27.3,25.0,27.0,291007,1803,26.31
DE000A2DAM03,270900387,AAG,EUR,2019-03-05,27.05,27.1,25.5,25.55,169626,1101,25.9
DE000A2DAM03,270900387,AAG,EUR,2019-03-06,25.75,27.0,25.1,26.75,156039,982,25.99
DE000A2DAM03,270900387,AAG,EUR,2019-03-07,27.0,27.3,25.9,26.1,103251,532,26.42
DE000A2DAM03,270900387,AAG,EUR,2019-03-08,25.8,26.2,25.1,25.9,73530,495,25.585
DE000A2DAM03,270900387,AAG,EUR,2019-03-11,26.25,27.1,25.7,26.7,77923,484,26.46
DE000A2DAM03,270900387,AAG,EUR,2019-03-12,26.95,28.2,26.9,27.3,138335,744,27.575
DE000A2DAM03,270900387,AAG,EUR,2019-03-13,27.35,28.2,27.0,27.7,83095,554,27.68
DE000A2DAM03,270900387,AAG,EUR,2019-03-14,27.7,29.3,27.5,29.3,136835,696,28.675
DE000A2DAM03,270900387,AAG,EUR,2019-03-15,28.9,30.6,28.9,30.1,132556,991,30.005
DE000A2DAM03,270900387,AAG,EUR,2019-03-18,30.65,30.8,29.5,29.85,103642,762,29.955
DE000A2DAM03,270900387,AAG,EUR,2019-03-19,29.7,30.1,28.2,29.1,85460,623,28.995
DE000A2DAM03,270900387,AAG,EUR,2019-03-20,28.85,29.3,28.7,28.85,34768,296,28.935
DE000A2DAM03,270900387,AAG,EUR,2019-03-21,28.95,29.4,28.5,29.0,44885,370,28.895
DE000A2DAM03,270900387,AAG,EUR,2019-03-22,29.2,29.6,28.3,28.55,65626,562,28.92
DE000A2DAM03,270900387,AAG,EUR,2019-03-25,28.0,28.3,27.0,27.1,57005,377,27.505
DE000A2DAM03,270900387,AAG,EUR,2019-03-26,27.5,28.0,26.7,27.15,59343,347,27.325
DE000A2DAM03,270900387,AAG,EUR,2019-03-27,27.6,27.8,26.4,26.6,55508,394,27.08
DE000A2DAM03,270900387,AAG,EUR,2019-03-28,26.6,28.0,26.6,27.6,38632,320,27.465
DE000A2DAM03,270900387,AAG,EUR,2019-03-29,27.55,28.7,27.5,28.1,45799,380,28.135
DE000A2DAM03,270900387,AAG,EUR,2019-04-01,28.2,29.0,28.1,28.8,35215,333,28.62
DE000A2DAM03,270900387,AAG,EUR,2019-04-02,28.95,30.9,28.6,30.5,96068,660,30.195
DE000A2DAM03,270900387,AAG,EUR,2019-04-03,30.75,31.0,30.0,30.75,88795,603,30.515
DE000A2DAM03,270900387,AAG,EUR,2019-04-04,30.8,31.0,30.3,30.45,33668,330,30.64
DE000A2DAM03,270900387,AAG,EUR,2019-04-05,30.4,32.0,30.4,31.55,76314,532,31.395
DE000A2DAM03,270900387,AAG,EUR,2019-04-08,31.6,31.6,29.8,30.35,75458,501,30.36
DE000A2DAM03,270900387,AAG,EUR,2019-04-09,30.55,30.6,29.5,30.0,49836,330,29.975
DE000A2DAM03,270900387,AAG,EUR,2019-04-10,30.05,30.4,29.0,29.6,23305,237,29.885
DE000A2DAM03,270900387,AAG,EUR,2019-04-11,29.06,31.2,29.04,30.6,38680,283,30.41
DE000A2DAM03,270900387,AAG,EUR,2019-04-12,30.66,32.6,30.44,31.76,120615,767,31.926
DE000A2DAM03,270900387,AAG,EUR,2019-04-15,31.9,32.96,31.54,32.76,58842,478,32.626
DE000A2DAM03,270900387,AAG,EUR,2019-04-16,33.0,34.1,32.74,33.46,85175,537,33.626
DE000A2DAM03,270900387,AAG,EUR,2019-04-17,33.56,35.0,33.2,34.46,92296,557,34.482
DE000A2DAM03,270900387,AAG,EUR,2019-04-18,34.64,34.9,33.2,34.7,67200,424,34.1
DE000A2DAM03,270900387,AAG,EUR,2019-04-23,34.64,34.76,33.9,34.2,26046,232,34.276
DE000A2DAM03,270900387,AAG,EUR,2019-04-24,34.36,34.56,32.8,33.4,58066,452,33.648
DE000A2DAM03,270900387,AAG,EUR,2019-04-25,33.2,34.56,33.2,33.96,42640,368,33.998
DE000A2DAM03,270900387,AAG,EUR,2019-04-26,33.8,34.06,32.54,33.36,30612,237,33.308
DE000A2DAM03,270900387,AAG,EUR,2019-04-29,33.76,34.5,32.7,34.5,48058,287,33.562
DE000A2DAM03,270900387,AAG,EUR,2019-04-30,34.26,34.3,32.8,33.06,49346,398,33.294
DE000A2DAM03,270900387,AAG,EUR,2019-05-02,32.8,33.9,32.2,33.5,71375,496,33.276
DE000A2DAM03,270900387,AAG,EUR,2019-05-03,33.3,33.6,32.6,33.14,25397,280,33.104
DE000A2DAM03,270900387,AAG,EUR,2019-05-06,32.9,32.9,30.6,30.8,84784,466,31.182
DE000A2DAM03,270900387,AAG,EUR,2019-05-07,31.26,31.5,30.6,31.1,46763,347,31.156
DE000A2DAM03,270900387,AAG,EUR,2019-05-08,31.16,31.7,30.4,30.4,36568,238,30.916
DE000A2DAM03,270900387,AAG,EUR,2019-05-09,30.26,30.46,28.84,29.0,71464,433,29.578
DE000A2DAM03,270900387,AAG,EUR,2019-05-10,29.26,30.0,28.9,29.4,28006,214,29.524
DE000A2DAM03,270900387,AAG,EUR,2019-05-13,29.76,29.76,26.8,26.96,114402,912,27.678
DE000A2DAM03,270900387,AAG,EUR,2019-05-14,27.86,28.86,27.24,27.76,62460,689,27.682
DE000A2DAM03,270900387,AAG,EUR,2019-05-15,27.9,28.1,24.0,24.0,414182,2011,25.074
