ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
DE000A3H2101,452335695,AAQ1,EUR,2020-10-29,2.7,2.85,2.7,2.85,1908,7,2.801
DE000A3H2101,452335695,AAQ1,EUR,2020-10-30,2.7,2.71,2.66,2.71,1640,3,2.676
DE000A3H2101,452335695,AAQ1,EUR,2020-11-02,2.62,2.8,2.62,2.71,401,3,2.67
DE000A3H2101,452335695,AAQ1,EUR,2020-11-03,2.68,2.68,2.6,2.6,602,3,2.669
DE000A3H2101,452335695,AAQ1,EUR,2020-11-04,2.5,2.68,2.33,2.43,2658,8,2.376
DE000A3H2101,452335695,AAQ1,EUR,2020-11-05,2.35,2.52,2.35,2.38,791,6,2.462
DE000A3H2101,452335695,AAQ1,EUR,2020-11-06,2.34,2.4,2.25,2.33,389,6,2.301
DE000A3H2101,452335695,AAQ1,EUR,2020-11-09,2.29,2.38,2.2,2.38,6097,12,2.296
DE000A3H2101,452335695,AAQ1,EUR,2020-11-10,2.35,2.35,2.35,2.35,0,0,2.35
DE000A3H2101,452335695,AAQ1,EUR,2020-11-11,2.31,2.5,2.3,2.37,798,8,2.384
DE000A3H2101,452335695,AAQ1,EUR,2020-11-12,2.35,2.35,2.35,2.35,0,0,2.35
DE000A3H2101,452335695,AAQ1,EUR,2020-11-13,2.31,2.4,2.31,2.35,4650,6,2.392
DE000A3H2101,452335695,AAQ1,EUR,2020-11-16,2.33,2.37,2.33,2.37,1001,3,2.333
DE000A3H2101,452335695,AAQ1,EUR,2020-11-17,2.4,2.4,2.38,2.38,140,2,2.4
DE000A3H2101,452335695,AAQ1,EUR,2020-11-18,2.36,2.51,2.36,2.5,4021,7,2.457
DE000A3H2101,452335695,AAQ1,EUR,2020-11-19,2.69,2.92,2.55,2.64,11920,21,2.777
DE000A3H2101,452335695,AAQ1,EUR,2020-11-20,2.62,2.62,2.62,2.62,0,0,2.62
DE000A3H2101,452335695,AAQ1,EUR,2020-11-23,2.69,2.7,2.3,2.42,11472,11,2.468
DE000A3H2101,452335695,AAQ1,EUR,2020-11-24,2.36,2.48,2.35,2.38,8892,17,2.366
DE000A3H2101,452335695,AAQ1,EUR,2020-11-25,2.4,2.42,2.4,2.42,244,2,2.4
DE000A3H2101,452335695,AAQ1,EUR,2020-11-26,2.4,2.44,2.4,2.44,256,1,2.4
DE000A3H2101,452335695,AAQ1,EUR,2020-11-27,2.45,2.48,2.4,2.48,665,5,2.449
DE000A3H2101,452335695,AAQ1,EUR,2020-11-30,2.48,2.48,2.36,2.42,493,21,2.365
DE000A3H2101,452335695,AAQ1,EUR,2020-12-01,2.36,2.42,2.36,2.42,5,1,2.36
DE000A3H2101,452335695,AAQ1,EUR,2020-12-02,2.44,2.45,2.39,2.45,4483,9,2.429
DE000A3H2101,452335695,AAQ1,EUR,2020-12-03,2.5,2.5,2.46,2.46,1000,3,2.494
DE000A3H2101,452335695,AAQ1,EUR,2020-12-04,2.44,2.47,2.4,2.47,287,3,2.412
DE000A3H2101,452335695,AAQ1,EUR,2020-12-07,2.5,2.52,2.43,2.48,323,5,2.493
DE000A3H2101,452335695,AAQ1,EUR,2020-12-08,2.55,3.0,2.45,2.86,29999,41,2.802
DE000A3H2101,452335695,AAQ1,EUR,2020-12-09,3.0,3.2,3.0,3.15,9978,13,3.05
DE000A3H2101,452335695,AAQ1,EUR,2020-12-10,3.16,3.16,2.91,3.02,5733,14,2.972
DE000A3H2101,452335695,AAQ1,EUR,2020-12-11,3.02,3.02,2.9,3.0,112,3,2.917
DE000A3H2101,452335695,AAQ1,EUR,2020-12-14,2.91,3.1,2.9,3.04,3661,7,2.985
DE000A3H2101,452335695,AAQ1,EUR,2020-12-15,3.08,3.08,2.98,3.03,1158,6,3.027
DE000A3H2101,452335695,AAQ1,EUR,2020-12-16,2.98,3.1,2.9,2.9,3466,9,2.966
DE000A3H2101,452335695,AAQ1,EUR,2020-12-17,2.98,3.37,2.9,3.37,10645,17,3.226
DE000A3H2101,452335695,AAQ1,EUR,2020-12-18,3.85,3.85,3.47,3.5,12660,13,3.726
DE000A3H2101,452335695,AAQ1,EUR,2020-12-21,3.35,3.37,3.3,3.37,4485,11,3.316
DE000A3H2101,452335695,AAQ1,EUR,2020-12-22,3.35,3.54,3.3,3.33,5451,10,3.352
DE000A3H2101,452335695,AAQ1,EUR,2020-12-23,3.3,3.4,3.14,3.29,662,6,3.32
DE000A3H2101,452335695,AAQ1,EUR,2020-12-28,3.3,3.3,3.11,3.16,1920,12,3.162
DE000A3H2101,452335695,AAQ1,EUR,2020-12-29,3.1,3.1,3.0,3.04,2158,8,3.087
DE000A3H2101,452335695,AAQ1,EUR,2020-12-30,3.05,3.15,3.05,3.15,3719,9,3.074
DE000A3H2101,452335695,AAQ1,EUR,2021-01-04,3.25,3.35,3.1,3.2,2240,8,3.226
DE000A3H2101,452335695,AAQ1,EUR,2021-01-05,3.1,3.4,3.1,3.38,4271,6,3.345
