ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
DE000ETF9090,418728926,E909,EUR,2020-04-22,25.93,25.93,25.91,25.91,40,1,25.93
DE000ETF9090,418728926,E909,EUR,2020-04-23,25.736,26.2,25.734,26.11,170,5,25.9086
DE000ETF9090,418728926,E909,EUR,2020-04-24,26.15,26.4,26.15,26.4,558,1,26.15
DE000ETF9090,418728926,E909,EUR,2020-04-27,27.0,29.8,26.35,26.546,1296,13,26.9906
DE000ETF9090,418728926,E909,EUR,2020-04-28,26.98,27.236,26.98,27.036,2620,4,27.038
DE000ETF9090,418728926,E909,EUR,2020-04-29,27.36,27.84,27.12,27.776,263,4,27.2802
DE000ETF9090,418728926,E909,EUR,2020-04-30,28.14,28.14,27.196,27.196,2614,10,27.6874
DE000ETF9090,418728926,E909,EUR,2020-05-04,26.0,26.62,26.0,26.214,3712,9,26.2126
DE000ETF9090,418728926,E909,EUR,2020-05-05,26.53,28.0,26.464,26.8,3541,9,26.5376
DE000ETF9090,418728926,E909,EUR,2020-05-06,26.796,26.796,26.53,26.53,100,1,26.795
DE000ETF9090,418728926,E909,EUR,2020-05-07,26.804,27.006,26.794,26.99,552,9,26.8572
DE000ETF9090,418728926,E909,EUR,2020-05-08,27.304,27.38,27.16,27.35,340,7,27.2314
DE000ETF9090,418728926,E909,EUR,2020-05-11,27.64,27.64,26.994,27.14,760,4,27.1502
DE000ETF9090,418728926,E909,EUR,2020-05-12,27.266,27.27,27.116,27.116,546,4,27.227
DE000ETF9090,418728926,E909,EUR,2020-05-13,26.88,26.88,26.45,26.45,145,3,26.6094
DE000ETF9090,418728926,E909,EUR,2020-05-14,26.3,26.5,25.594,25.99,5635,9,26.2062
DE000ETF9090,418728926,E909,EUR,2020-05-15,26.526,26.526,26.234,26.28,1267,4,26.2944
DE000ETF9090,418728926,E909,EUR,2020-05-18,26.846,27.676,26.844,27.676,6958,13,27.4174
DE000ETF9090,418728926,E909,EUR,2020-05-19,27.936,28.006,27.65,27.74,4346,4,27.7054
DE000ETF9090,418728926,E909,EUR,2020-05-20,27.846,28.126,27.73,28.126,325,4,27.8814
DE000ETF9090,418728926,E909,EUR,2020-05-21,27.75,27.75,27.75,27.75,0,0,27.75
DE000ETF9090,418728926,E909,EUR,2020-05-22,27.52,27.886,27.35,27.776,584,6,27.5364
DE000ETF9090,418728926,E909,EUR,2020-05-25,28.246,28.49,28.02,28.49,1326,4,28.2204
DE000ETF9090,418728926,E909,EUR,2020-05-26,28.9,28.986,28.774,28.866,435,6,28.9196
DE000ETF9090,418728926,E909,EUR,2020-05-27,29.116,29.39,28.974,29.21,2608,11,29.1984
DE000ETF9090,418728926,E909,EUR,2020-05-28,29.626,29.626,29.4,29.546,348,5,29.5234
DE000ETF9090,418728926,E909,EUR,2020-05-29,29.136,29.356,28.974,29.09,752,5,29.0916
DE000ETF9090,418728926,E909,EUR,2020-06-02,30.16,30.196,29.944,30.12,1984,21,30.1188
DE000ETF9090,418728926,E909,EUR,2020-06-03,30.53,31.396,30.53,31.27,4808,20,30.8442
DE000ETF9090,418728926,E909,EUR,2020-06-04,31.37,31.37,30.97,31.156,6240,24,31.0648
DE000ETF9090,418728926,E909,EUR,2020-06-05,31.42,32.16,31.42,32.16,2364,17,31.717
DE000ETF9090,418728926,E909,EUR,2020-06-08,32.076,32.19,31.84,32.06,9653,21,32.0576
DE000ETF9090,418728926,E909,EUR,2020-06-09,32.366,32.44,31.36,31.6,3354,19,31.9962
DE000ETF9090,418728926,E909,EUR,2020-06-10,31.946,31.946,31.31,31.31,1422,11,31.5302
DE000ETF9090,418728926,E909,EUR,2020-06-11,30.446,30.7,29.864,29.976,3011,12,30.3734
DE000ETF9090,418728926,E909,EUR,2020-06-12,29.816,30.416,29.47,30.026,3193,22,29.9146
DE000ETF9090,418728926,E909,EUR,2020-06-15,29.17,29.91,29.11,29.81,1854,11,29.3996
DE000ETF9090,418728926,E909,EUR,2020-06-16,30.696,30.98,30.56,30.79,1495,9,30.8526
DE000ETF9090,418728926,E909,EUR,2020-06-17,30.804,30.986,30.724,30.936,1491,9,30.826
DE000ETF9090,418728926,E909,EUR,2020-06-18,30.99,31.2,30.78,30.936,590,7,30.8578
DE000ETF9090,418728926,E909,EUR,2020-06-19,30.87,31.35,30.87,31.076,2068,9,31.266
DE000ETF9090,418728926,E909,EUR,2020-06-22,30.776,31.136,30.774,30.876,2308,9,30.989
DE000ETF9090,418728926,E909,EUR,2020-06-23,31.16,31.7,31.16,31.49,524,8,31.519
DE000ETF9090,418728926,E909,EUR,2020-06-24,30.826,30.826,30.486,30.486,75,1,30.825
DE000ETF9090,418728926,E909,EUR,2020-06-25,30.46,30.86,30.24,30.76,2485,15,30.5104
DE000ETF9090,418728926,E909,EUR,2020-06-26,31.126,31.126,30.44,30.496,369,6,30.7692
DE000ETF9090,418728926,E909,EUR,2020-06-29,30.456,30.956,30.434,30.816,902,11,30.5822
DE000ETF9090,418728926,E909,EUR,2020-06-30,30.976,30.98,30.74,30.94,204,5,30.8882
DE000ETF9090,418728926,E909,EUR,2020-07-01,31.0,31.066,30.534,30.87,1662,7,30.9726
DE000ETF9090,418728926,E909,EUR,2020-07-02,31.206,31.79,31.204,31.726,1697,9,31.3796
DE000ETF9090,418728926,E909,EUR,2020-07-03,31.766,31.836,31.514,31.53,531,6,31.7442
DE000ETF9090,418728926,E909,EUR,2020-07-06,32.176,32.226,31.964,32.054,372,6,32.1028
DE000ETF9090,418728926,E909,EUR,2020-07-07,31.756,31.836,31.624,31.74,1452,8,31.6974
DE000ETF9090,418728926,E909,EUR,2020-07-08,31.596,31.696,31.526,31.526,383,5,31.681
DE000ETF9090,418728926,E909,EUR,2020-07-09,31.83,31.956,31.46,31.46,287,9,31.831
DE000ETF9090,418728926,E909,EUR,2020-07-10,31.306,31.946,31.304,31.8,185,6,31.5132
DE000ETF9090,418728926,E909,EUR,2020-07-13,32.304,32.39,31.98,32.234,865,10,32.1676
DE000ETF9090,418728926,E909,EUR,2020-07-14,31.676,32.006,31.674,32.006,1423,9,31.8408
DE000ETF9090,418728926,E909,EUR,2020-07-15,32.46,32.546,32.29,32.49,557,5,32.4846
DE000ETF9090,418728926,E909,EUR,2020-07-16,32.42,32.53,32.314,32.396,3021,10,32.3326
DE000ETF9090,418728926,E909,EUR,2020-07-17,32.436,32.516,32.41,32.47,2436,8,32.4382
DE000ETF9090,418728926,E909,EUR,2020-07-20,32.55,32.846,32.3,32.75,6120,13,32.5684
DE000ETF9090,418728926,E909,EUR,2020-07-21,33.246,33.396,32.954,33.01,1863,12,33.2748
DE000ETF9090,418728926,E909,EUR,2020-07-22,33.164,33.166,32.78,32.9,749,5,32.9154
DE000ETF9090,418728926,E909,EUR,2020-07-23,33.054,33.2,32.91,32.91,1010,9,33.1278
DE000ETF9090,418728926,E909,EUR,2020-07-24,32.606,32.606,32.25,32.27,1690,4,32.428
DE000ETF9090,418728926,E909,EUR,2020-07-27,32.38,32.48,32.25,32.25,3822,9,32.3142
DE000ETF9090,418728926,E909,EUR,2020-07-28,32.1,32.226,32.1,32.226,916,7,32.1672
DE000ETF9090,418728926,E909,EUR,2020-07-29,32.19,32.21,32.164,32.21,432,5,32.176
DE000ETF9090,418728926,E909,EUR,2020-07-30,31.916,31.916,30.9,31.166,1920,15,31.6124
DE000ETF9090,418728926,E909,EUR,2020-07-31,31.21,31.42,30.8,30.86,1573,14,31.2924
DE000ETF9090,418728926,E909,EUR,2020-08-03,31.24,31.816,31.24,31.736,1173,9,31.5906
DE000ETF9090,418728926,E909,EUR,2020-08-04,31.926,31.926,31.6,31.6,1300,3,31.9058
DE000ETF9090,418728926,E909,EUR,2020-08-05,31.786,32.02,31.784,31.806,241,5,31.9138
DE000ETF9090,418728926,E909,EUR,2020-08-06,31.816,31.816,31.604,31.666,10,2,31.7102
DE000ETF9090,418728926,E909,EUR,2020-08-07,31.57,31.91,31.57,31.91,67,5,31.6338
DE000ETF9090,418728926,E909,EUR,2020-08-10,32.16,32.16,31.94,31.986,401,5,31.9974
DE000ETF9090,418728926,E909,EUR,2020-08-11,32.336,32.846,32.334,32.616,804,8,32.6886
DE000ETF9090,418728926,E909,EUR,2020-08-12,32.62,32.906,32.62,32.906,1670,2,32.6634
DE000ETF9090,418728926,E909,EUR,2020-08-13,33.02,33.02,32.716,32.716,1222,5,32.8434
DE000ETF9090,418728926,E909,EUR,2020-08-14,32.796,32.796,32.28,32.476,312,6,32.436
DE000ETF9090,418728926,E909,EUR,2020-08-17,32.524,32.616,32.404,32.554,1951,11,32.502
DE000ETF9090,418728926,E909,EUR,2020-08-18,32.376,32.89,32.374,32.48,827,6,32.5698
DE000ETF9090,418728926,E909,EUR,2020-08-19,32.73,32.76,32.73,32.76,3,1,32.73
