ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
DE000WACK012,44234804,WAC,EUR,2019-01-02,16.64,17.02,16.16,16.78,75490,508,16.664
DE000WACK012,44234804,WAC,EUR,2019-01-03,16.68,16.88,16.4,16.56,60544,381,16.592
DE000WACK012,44234804,WAC,EUR,2019-01-04,16.66,17.82,16.66,17.58,123541,795,17.262
DE000WACK012,44234804,WAC,EUR,2019-01-07,17.82,17.96,17.54,17.78,49018,533,17.748
DE000WACK012,44234804,WAC,EUR,2019-01-08,17.9,18.58,17.66,18.34,108703,744,18.218
DE000WACK012,44234804,WAC,EUR,2019-01-09,18.5,19.22,18.5,18.8,112510,727,18.904
DE000WACK012,44234804,WAC,EUR,2019-01-10,18.7,19.04,18.36,18.76,76916,493,18.676
DE000WACK012,44234804,WAC,EUR,2019-01-11,18.96,18.96,18.3,18.52,59654,405,18.55
DE000WACK012,44234804,WAC,EUR,2019-01-14,18.82,18.96,18.14,18.58,73243,411,18.426
DE000WACK012,44234804,WAC,EUR,2019-01-15,18.42,18.8,18.24,18.36,43774,304,18.41
DE000WACK012,44234804,WAC,EUR,2019-01-16,18.28,19.96,18.24,19.02,131416,892,18.734
DE000WACK012,44234804,WAC,EUR,2019-01-17,19.48,19.5,18.74,19.26,129458,817,19.138
DE000WACK012,44234804,WAC,EUR,2019-01-18,19.34,19.62,19.3,19.42,74891,527,19.412
DE000WACK012,44234804,WAC,EUR,2019-01-21,19.7,19.7,19.34,19.5,65352,431,19.478
DE000WACK012,44234804,WAC,EUR,2019-01-22,19.74,19.74,18.56,18.72,120510,957,18.94
DE000WACK012,44234804,WAC,EUR,2019-01-23,18.9,19.3,18.32,19.02,114226,893,18.816
DE000WACK012,44234804,WAC,EUR,2019-01-24,19.08,19.44,18.92,19.1,47413,366,19.154
DE000WACK012,44234804,WAC,EUR,2019-01-25,19.4,19.9,19.18,19.72,82249,540,19.584
DE000WACK012,44234804,WAC,EUR,2019-01-28,19.8,19.9,19.1,19.28,81854,641,19.522
DE000WACK012,44234804,WAC,EUR,2019-01-29,19.3,19.32,18.82,19.2,94617,641,19.06
DE000WACK012,44234804,WAC,EUR,2019-01-30,19.28,19.82,19.08,19.36,57302,482,19.336
DE000WACK012,44234804,WAC,EUR,2019-01-31,19.6,19.88,19.3,19.5,66462,509,19.544
DE000WACK012,44234804,WAC,EUR,2019-02-01,19.72,20.02,19.38,19.56,124192,755,19.664
DE000WACK012,44234804,WAC,EUR,2019-02-04,19.94,20.04,19.3,19.48,121194,869,19.554
DE000WACK012,44234804,WAC,EUR,2019-02-05,19.7,20.24,19.36,19.76,88534,681,19.646
DE000WACK012,44234804,WAC,EUR,2019-02-06,20.12,20.14,19.6,19.86,115400,685,19.832
DE000WACK012,44234804,WAC,EUR,2019-02-07,19.92,20.04,19.0,19.12,126039,837,19.424
DE000WACK012,44234804,WAC,EUR,2019-02-08,19.06,19.3,18.5,18.6,65634,471,18.754
DE000WACK012,44234804,WAC,EUR,2019-02-11,18.7,19.22,18.3,19.08,41358,325,19.016
DE000WACK012,44234804,WAC,EUR,2019-02-12,19.3,19.5,19.24,19.3,39814,300,19.35
DE000WACK012,44234804,WAC,EUR,2019-02-13,19.36,20.0,19.36,19.52,41534,364,19.53
DE000WACK012,44234804,WAC,EUR,2019-02-14,19.68,19.76,19.22,19.36,49206,444,19.47
DE000WACK012,44234804,WAC,EUR,2019-02-15,19.48,19.96,19.14,19.74,66331,533,19.552
DE000WACK012,44234804,WAC,EUR,2019-02-18,19.96,20.66,19.54,20.36,118341,773,20.296
DE000WACK012,44234804,WAC,EUR,2019-02-19,20.5,21.0,20.22,20.6,130465,884,20.626
DE000WACK012,44234804,WAC,EUR,2019-02-20,20.68,20.98,20.4,20.8,66114,482,20.676
DE000WACK012,44234804,WAC,EUR,2019-02-21,20.98,21.3,20.18,20.28,100808,715,20.536
DE000WACK012,44234804,WAC,EUR,2019-02-22,20.52,20.88,20.22,20.76,58895,436,20.578
DE000WACK012,44234804,WAC,EUR,2019-02-25,21.0,21.14,20.56,20.8,77426,522,20.914
DE000WACK012,44234804,WAC,EUR,2019-02-26,20.84,20.84,20.36,20.56,38900,338,20.578
DE000WACK012,44234804,WAC,EUR,2019-02-27,20.84,20.84,19.88,20.08,60849,475,20.118
DE000WACK012,44234804,WAC,EUR,2019-02-28,20.0,20.26,19.72,20.12,58294,388,20.034
DE000WACK012,44234804,WAC,EUR,2019-03-01,20.2,20.7,20.2,20.42,70503,453,20.528
DE000WACK012,44234804,WAC,EUR,2019-03-04,20.62,20.88,20.36,20.74,61173,417,20.706
DE000WACK012,44234804,WAC,EUR,2019-03-05,20.78,20.94,20.22,20.44,89052,739,20.542
DE000WACK012,44234804,WAC,EUR,2019-03-06,20.82,20.82,20.22,20.4,36865,293,20.434
DE000WACK012,44234804,WAC,EUR,2019-03-07,20.4,20.4,19.38,19.54,116669,925,19.636
DE000WACK012,44234804,WAC,EUR,2019-03-08,19.5,19.54,18.96,19.16,53326,393,19.166
DE000WACK012,44234804,WAC,EUR,2019-03-11,19.5,20.94,19.14,19.62,60419,432,19.502
DE000WACK012,44234804,WAC,EUR,2019-03-12,20.68,21.08,19.8,20.08,119672,742,20.168
DE000WACK012,44234804,WAC,EUR,2019-03-13,20.3,21.02,19.96,20.62,58097,387,20.486
DE000WACK012,44234804,WAC,EUR,2019-03-14,21.46,23.48,21.46,23.22,401112,2550,22.798
DE000WACK012,44234804,WAC,EUR,2019-03-15,23.24,23.66,22.82,22.9,136439,819,23.098
DE000WACK012,44234804,WAC,EUR,2019-03-18,22.92,23.02,22.16,22.46,103508,897,22.532
DE000WACK012,44234804,WAC,EUR,2019-03-19,22.24,22.46,22.0,22.14,120705,715,22.188
DE000WACK012,44234804,WAC,EUR,2019-03-20,22.14,22.14,21.34,21.7,125840,861,21.708
DE000WACK012,44234804,WAC,EUR,2019-03-21,21.62,22.14,21.46,21.78,97029,742,21.796
DE000WACK012,44234804,WAC,EUR,2019-03-22,22.14,22.14,21.32,21.4,100954,656,21.674
DE000WACK012,44234804,WAC,EUR,2019-03-25,21.32,21.4,20.92,21.06,87886,713,21.1
DE000WACK012,44234804,WAC,EUR,2019-03-26,21.18,21.54,20.98,21.32,108405,691,21.282
DE000WACK012,44234804,WAC,EUR,2019-03-27,21.3,21.66,21.18,21.32,125639,679,21.42
DE000WACK012,44234804,WAC,EUR,2019-03-28,21.42,21.46,20.92,21.06,77003,523,21.088
DE000WACK012,44234804,WAC,EUR,2019-03-29,21.08,21.5,21.08,21.2,64251,363,21.28
DE000WACK012,44234804,WAC,EUR,2019-04-01,21.76,22.18,21.12,21.96,154956,1187,21.52
DE000WACK012,44234804,WAC,EUR,2019-04-02,22.18,22.18,21.74,22.0,155064,1138,21.942
DE000WACK012,44234804,WAC,EUR,2019-04-03,22.18,23.38,22.06,23.24,178279,1168,22.692
DE000WACK012,44234804,WAC,EUR,2019-04-04,23.24,23.98,22.94,23.66,198087,1286,23.45
DE000WACK012,44234804,WAC,EUR,2019-04-05,23.98,24.44,23.72,24.28,274183,963,24.11
DE000WACK012,44234804,WAC,EUR,2019-04-08,24.14,24.6,23.92,24.38,133933,721,24.16
DE000WACK012,44234804,WAC,EUR,2019-04-09,24.5,24.6,23.46,23.88,141093,723,24.102
DE000WACK012,44234804,WAC,EUR,2019-04-10,23.96,24.32,23.84,24.08,95967,679,23.958
DE000WACK012,44234804,WAC,EUR,2019-04-11,24.12,24.28,23.68,24.18,119601,951,24.057
DE000WACK012,44234804,WAC,EUR,2019-04-12,24.3,25.22,24.04,24.84,199230,1068,24.7
DE000WACK012,44234804,WAC,EUR,2019-04-15,24.94,25.02,24.32,24.66,92386,568,24.594
DE000WACK012,44234804,WAC,EUR,2019-04-16,24.54,24.9,24.4,24.58,54485,301,24.546
DE000WACK012,44234804,WAC,EUR,2019-04-17,24.88,24.98,24.48,24.86,90889,580,24.737
DE000WACK012,44234804,WAC,EUR,2019-04-18,24.7,25.04,24.32,24.76,103398,640,24.643
DE000WACK012,44234804,WAC,EUR,2019-04-23,24.96,25.3,24.22,24.72,77444,707,24.653
DE000WACK012,44234804,WAC,EUR,2019-04-24,24.74,25.58,24.54,25.18,102129,696,25.195
DE000WACK012,44234804,WAC,EUR,2019-04-25,25.38,25.38,24.68,24.8,75653,488,24.985
DE000WACK012,44234804,WAC,EUR,2019-04-26,24.96,25.0,24.42,24.8,52621,424,24.651
DE000WACK012,44234804,WAC,EUR,2019-04-29,25.04,25.24,24.6,25.0,72572,468,24.887
DE000WACK012,44234804,WAC,EUR,2019-04-30,25.24,25.26,24.58,24.7,65086,594,24.871
DE000WACK012,44234804,WAC,EUR,2019-05-02,25.12,25.12,24.34,24.42,82575,531,24.515
DE000WACK012,44234804,WAC,EUR,2019-05-03,24.42,24.6,24.16,24.4,103568,610,24.352
DE000WACK012,44234804,WAC,EUR,2019-05-06,24.7,24.7,22.84,23.84,254196,1364,23.515
DE000WACK012,44234804,WAC,EUR,2019-05-07,24.84,25.48,23.7,24.02,266431,2037,24.64
DE000WACK012,44234804,WAC,EUR,2019-05-08,24.06,24.48,23.62,24.16,130047,1079,23.934
DE000WACK012,44234804,WAC,EUR,2019-05-09,24.26,24.26,22.74,22.86,110543,840,23.144
DE000WACK012,44234804,WAC,EUR,2019-05-10,23.18,24.1,23.0,23.68,172267,1036,23.619
DE000WACK012,44234804,WAC,EUR,2019-05-13,23.98,24.28,22.26,22.38,201280,1194,22.768
DE000WACK012,44234804,WAC,EUR,2019-05-14,22.94,23.64,22.3,23.06,133715,771,22.884
DE000WACK012,44234804,WAC,EUR,2019-05-15,23.5,23.64,22.18,22.72,112343,646,22.613
DE000WACK012,44234804,WAC,EUR,2019-05-16,22.98,23.54,22.38,23.38,114587,790,23.081
DE000WACK012,44234804,WAC,EUR,2019-05-17,23.4,23.5,22.82,23.14,71444,545,23.035
DE000WACK012,44234804,WAC,EUR,2019-05-20,23.02,23.3,21.88,22.12,156662,899,22.269
DE000WACK012,44234804,WAC,EUR,2019-05-21,22.16,22.52,22.06,22.3,90712,608,22.251
DE000WACK012,44234804,WAC,EUR,2019-05-22,22.6,22.82,22.22,22.62,172616,952,22.602
DE000WACK012,44234804,WAC,EUR,2019-05-23,22.78,22.78,21.62,22.22,90105,527,22.352
DE000WACK012,44234804,WAC,EUR,2019-05-24,22.2,22.56,22.0,22.26,86742,557,22.352
DE000WACK012,44234804,WAC,EUR,2019-05-27,22.44,23.0,22.18,22.44,85213,530,22.381
DE000WACK012,44234804,WAC,EUR,2019-05-28,23.08,23.08,22.28,22.82,103156,498,22.698
DE000WACK012,44234804,WAC,EUR,2019-05-29,22.84,22.84,21.72,21.9,185060,1007,22.048
DE000WACK012,44234804,WAC,EUR,2019-05-30,21.44,21.56,20.8,21.1,84859,516,21.048
DE000WACK012,44234804,WAC,EUR,2019-05-31,21.16,21.16,20.32,20.8,115634,682,20.596
DE000WACK012,44234804,WAC,EUR,2019-06-03,20.72,21.0,20.22,20.66,84015,524,20.468
DE000WACK012,44234804,WAC,EUR,2019-06-04,20.6,21.6,20.56,21.38,113538,742,21.209
DE000WACK012,44234804,WAC,EUR,2019-06-05,21.52,21.68,21.08,21.34,147390,809,21.39
DE000WACK012,44234804,WAC,EUR,2019-06-06,21.28,21.28,20.74,20.96,137934,747,20.987
DE000WACK012,44234804,WAC,EUR,2019-06-07,20.86,21.4,20.86,21.26,128128,748,21.238
DE000WACK012,44234804,WAC,EUR,2019-06-11,21.32,22.5,21.3,22.08,230902,1364,22.169
DE000WACK012,44234804,WAC,EUR,2019-06-12,22.18,22.18,21.82,21.98,75801,492,22.001
DE000WACK012,44234804,WAC,EUR,2019-06-13,22.08,22.5,21.82,22.5,163550,661,22.238
DE000WACK012,44234804,WAC,EUR,2019-06-14,22.48,22.5,22.1,22.42,134726,671,22.325
DE000WACK012,44234804,WAC,EUR,2019-06-17,22.58,22.58,21.98,22.1,93114,532,22.127
DE000WACK012,44234804,WAC,EUR,2019-06-18,21.94,22.76,21.6,22.62,176036,1044,22.203
DE000WACK012,44234804,WAC,EUR,2019-06-19,22.36,23.1,22.36,22.64,193254,905,22.828
DE000WACK012,44234804,WAC,EUR,2019-06-20,22.8,23.0,22.5,22.52,102060,785,22.712
DE000WACK012,44234804,WAC,EUR,2019-06-21,22.52,22.72,22.02,22.36,117025,517,22.379
DE000WACK012,44234804,WAC,EUR,2019-06-24,22.24,22.54,21.8,21.94,108622,591,22.131
DE000WACK012,44234804,WAC,EUR,2019-06-25,22.04,22.12,21.74,21.96,89148,543,21.991
DE000WACK012,44234804,WAC,EUR,2019-06-26,21.7,22.08,21.52,21.66,66822,416,21.81
DE000WACK012,44234804,WAC,EUR,2019-06-27,21.76,22.06,21.64,21.82,88276,522,21.863
DE000WACK012,44234804,WAC,EUR,2019-06-28,21.74,22.3,21.74,22.12,220762,1052,22.055
DE000WACK012,44234804,WAC,EUR,2019-07-01,22.5,22.9,22.16,22.32,226708,1277,22.581
DE000WACK012,44234804,WAC,EUR,2019-07-02,22.36,22.36,21.44,21.74,269536,1353,21.755
DE000WACK012,44234804,WAC,EUR,2019-07-03,21.76,21.96,20.46,21.04,415481,1967,21.356
DE000WACK012,44234804,WAC,EUR,2019-07-04,20.82,21.48,20.0,21.3,1234524,3493,20.891
DE000WACK012,44234804,WAC,EUR,2019-07-05,21.44,21.44,20.66,20.78,341704,1310,20.887
DE000WACK012,44234804,WAC,EUR,2019-07-08,20.82,20.9,20.2,20.48,284550,1172,20.562
DE000WACK012,44234804,WAC,EUR,2019-07-09,20.42,20.66,18.9,19.08,800631,3086,19.443
DE000WACK012,44234804,WAC,EUR,2019-07-10,19.18,19.45,18.93,19.03,302727,1625,19.156
DE000WACK012,44234804,WAC,EUR,2019-07-11,19.15,19.34,18.6,19.21,270798,1523,18.959
DE000WACK012,44234804,WAC,EUR,2019-07-12,19.36,19.58,18.95,19.1,181451,980,19.261
DE000WACK012,44234804,WAC,EUR,2019-07-15,19.46,19.56,18.95,19.16,113612,611,19.131
DE000WACK012,44234804,WAC,EUR,2019-07-16,19.19,19.63,19.06,19.45,202976,1101,19.387
DE000WACK012,44234804,WAC,EUR,2019-07-17,19.53,19.53,18.85,19.0,150386,713,19.132
DE000WACK012,44234804,WAC,EUR,2019-07-18,18.9,18.94,18.37,18.45,222192,949,18.61
DE000WACK012,44234804,WAC,EUR,2019-07-19,18.79,19.04,18.45,18.77,166731,1031,18.791
DE000WACK012,44234804,WAC,EUR,2019-07-22,18.84,19.18,18.55,19.02,151009,926,18.89
DE000WACK012,44234804,WAC,EUR,2019-07-23,19.07,19.33,18.83,19.0,175812,940,19.054
DE000WACK012,44234804,WAC,EUR,2019-07-24,19.06,19.38,18.97,19.22,149248,691,19.208
DE000WACK012,44234804,WAC,EUR,2019-07-25,19.5,19.52,18.85,19.07,247123,1536,19.236
DE000WACK012,44234804,WAC,EUR,2019-07-26,19.27,19.27,18.84,18.85,104145,676,18.957
DE000WACK012,44234804,WAC,EUR,2019-07-29,19.06,19.18,18.64,18.72,129702,583,18.781
DE000WACK012,44234804,WAC,EUR,2019-07-30,18.91,18.92,17.86,18.07,302683,1448,18.109
DE000WACK012,44234804,WAC,EUR,2019-07-31,18.24,18.56,17.97,18.31,187423,976,18.336
DE000WACK012,44234804,WAC,EUR,2019-08-01,18.3,18.35,17.71,18.06,112664,588,18.115
DE000WACK012,44234804,WAC,EUR,2019-08-02,17.7,18.07,17.31,17.72,385568,1825,17.671
DE000WACK012,44234804,WAC,EUR,2019-08-05,17.91,17.97,17.33,17.35,134936,772,17.473
DE000WACK012,44234804,WAC,EUR,2019-08-06,18.0,18.27,15.95,16.1,1315063,6303,16.406
DE000WACK012,44234804,WAC,EUR,2019-08-07,16.34,16.41,15.37,15.73,484072,2133,15.786
DE000WACK012,44234804,WAC,EUR,2019-08-08,16.34,16.34,15.25,15.84,604332,2885,15.594
DE000WACK012,44234804,WAC,EUR,2019-08-09,15.8,15.86,15.1,15.27,415633,1741,15.336
DE000WACK012,44234804,WAC,EUR,2019-08-12,15.79,15.9,15.0,15.16,278883,1294,15.256
DE000WACK012,44234804,WAC,EUR,2019-08-13,15.15,15.56,14.81,15.34,327245,1408,15.181
DE000WACK012,44234804,WAC,EUR,2019-08-14,15.47,15.49,14.52,14.78,292597,994,14.837
DE000WACK012,44234804,WAC,EUR,2019-08-15,14.51,14.84,14.13,14.39,320964,1378,14.416
DE000WACK012,44234804,WAC,EUR,2019-08-16,14.55,14.99,14.2,14.81,254517,866,14.66
DE000WACK012,44234804,WAC,EUR,2019-08-19,15.24,15.76,14.9,15.41,291044,1118,15.335
DE000WACK012,44234804,WAC,EUR,2019-08-20,15.73,15.95,15.33,15.52,449311,2183,15.712
DE000WACK012,44234804,WAC,EUR,2019-08-21,15.69,15.85,15.46,15.58,141457,650,15.644
DE000WACK012,44234804,WAC,EUR,2019-08-22,15.8,16.15,15.4,15.8,317609,999,15.834
DE000WACK012,44234804,WAC,EUR,2019-08-23,16.03,16.13,15.69,15.85,298444,1332,15.888
DE000WACK012,44234804,WAC,EUR,2019-08-26,15.88,15.98,15.26,15.65,276199,1189,15.553
DE000WACK012,44234804,WAC,EUR,2019-08-27,15.52,15.83,15.5,15.76,131878,591,15.702
DE000WACK012,44234804,WAC,EUR,2019-08-28,15.95,15.99,15.36,15.55,154192,665,15.531
DE000WACK012,44234804,WAC,EUR,2019-08-29,15.65,16.1,15.59,15.94,148958,599,15.889
DE000WACK012,44234804,WAC,EUR,2019-08-30,16.09,16.33,15.94,16.14,229942,885,16.147
DE000WACK012,44234804,WAC,EUR,2019-09-02,16.25,16.4,15.68,15.9,135657,557,15.855
