ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
DE000ZAL1111,168731675,ZAL,EUR,2019-01-02,22.54,23.38,21.82,22.96,964380,5141,22.7235
DE000ZAL1111,168731675,ZAL,EUR,2019-01-03,23.0,24.48,22.9,23.97,1496798,9680,23.8905
DE000ZAL1111,168731675,ZAL,EUR,2019-01-04,24.44,24.97,23.75,24.76,1200758,6541,24.5265
DE000ZAL1111,168731675,ZAL,EUR,2019-01-07,25.0,26.45,24.65,26.2,1264549,5773,25.61
DE000ZAL1111,168731675,ZAL,EUR,2019-01-08,26.4,26.99,25.78,26.59,1693706,9976,26.5985
DE000ZAL1111,168731675,ZAL,EUR,2019-01-09,26.99,27.4,26.75,27.18,1064668,6101,27.1105
DE000ZAL1111,168731675,ZAL,EUR,2019-01-10,27.19,27.75,26.91,27.5,783065,5200,27.2805
DE000ZAL1111,168731675,ZAL,EUR,2019-01-11,27.74,27.94,26.28,26.93,1097857,5801,26.863
DE000ZAL1111,168731675,ZAL,EUR,2019-01-14,26.91,26.96,26.21,26.5,756168,3485,26.492
DE000ZAL1111,168731675,ZAL,EUR,2019-01-15,26.7,27.36,26.15,26.26,673972,3467,26.5335
DE000ZAL1111,168731675,ZAL,EUR,2019-01-16,26.39,26.52,25.87,26.1,616924,3642,26.096
DE000ZAL1111,168731675,ZAL,EUR,2019-01-17,26.0,26.49,25.88,26.29,483507,2564,26.187
DE000ZAL1111,168731675,ZAL,EUR,2019-01-18,26.31,26.79,26.19,26.61,826650,4313,26.4725
DE000ZAL1111,168731675,ZAL,EUR,2019-01-21,26.7,27.73,26.46,27.09,542208,2725,27.0445
DE000ZAL1111,168731675,ZAL,EUR,2019-01-22,27.0,28.19,26.9,27.98,883181,4740,27.855
DE000ZAL1111,168731675,ZAL,EUR,2019-01-23,27.79,28.62,27.65,28.49,1256079,6794,28.3695
DE000ZAL1111,168731675,ZAL,EUR,2019-01-24,28.55,29.27,28.34,29.03,914200,5848,28.895
DE000ZAL1111,168731675,ZAL,EUR,2019-01-25,29.3,30.01,28.98,29.93,1026560,6718,29.687
DE000ZAL1111,168731675,ZAL,EUR,2019-01-28,30.15,30.59,27.78,28.72,1178103,5832,29.2475
DE000ZAL1111,168731675,ZAL,EUR,2019-01-29,27.6,27.79,26.0,26.39,1961398,10869,26.664
DE000ZAL1111,168731675,ZAL,EUR,2019-01-30,26.24,26.59,25.18,26.09,934680,4669,26.107
DE000ZAL1111,168731675,ZAL,EUR,2019-01-31,26.28,27.0,25.59,26.65,1358056,7012,26.291
DE000ZAL1111,168731675,ZAL,EUR,2019-02-01,26.73,27.58,26.59,27.28,865896,5340,27.1135
DE000ZAL1111,168731675,ZAL,EUR,2019-02-04,27.49,27.5,26.69,27.09,879737,4240,27.0115
DE000ZAL1111,168731675,ZAL,EUR,2019-02-05,27.04,27.84,26.91,27.76,837384,4258,27.4805
DE000ZAL1111,168731675,ZAL,EUR,2019-02-06,27.69,27.74,26.95,27.15,972150,4942,27.217
DE000ZAL1111,168731675,ZAL,EUR,2019-02-07,27.15,27.15,25.46,25.61,1074560,5411,26.1105
DE000ZAL1111,168731675,ZAL,EUR,2019-02-08,25.51,26.14,25.02,25.19,722787,4001,25.3955
DE000ZAL1111,168731675,ZAL,EUR,2019-02-11,25.51,26.21,25.27,26.09,721544,4264,25.9955
DE000ZAL1111,168731675,ZAL,EUR,2019-02-12,26.27,27.53,26.26,26.94,947188,5274,26.886
DE000ZAL1111,168731675,ZAL,EUR,2019-02-13,27.01,27.05,25.53,25.68,1057363,6462,25.9685
DE000ZAL1111,168731675,ZAL,EUR,2019-02-14,25.74,26.34,25.29,25.73,762896,5831,25.7665
DE000ZAL1111,168731675,ZAL,EUR,2019-02-15,24.5,26.38,23.57,26.14,1908915,9702,25.2365
DE000ZAL1111,168731675,ZAL,EUR,2019-02-18,25.92,27.3,25.7,26.98,904800,5370,26.843
DE000ZAL1111,168731675,ZAL,EUR,2019-02-19,26.86,27.14,26.0,26.67,681788,4387,26.492
DE000ZAL1111,168731675,ZAL,EUR,2019-02-20,26.62,27.07,26.5,26.89,618121,3689,26.857
DE000ZAL1111,168731675,ZAL,EUR,2019-02-21,26.94,27.22,26.3,26.5,541494,3216,26.6475
DE000ZAL1111,168731675,ZAL,EUR,2019-02-22,26.6,26.6,25.8,26.18,742742,4021,26.2
DE000ZAL1111,168731675,ZAL,EUR,2019-02-25,26.46,27.69,26.17,27.26,790590,3816,27.2085
DE000ZAL1111,168731675,ZAL,EUR,2019-02-26,26.64,27.06,25.89,26.95,1065563,6588,26.684
DE000ZAL1111,168731675,ZAL,EUR,2019-02-27,26.65,26.96,26.02,26.18,1099462,5129,26.2655
DE000ZAL1111,168731675,ZAL,EUR,2019-02-28,27.53,32.6,27.3,32.4,6486479,32717,31.344
DE000ZAL1111,168731675,ZAL,EUR,2019-03-01,32.42,32.97,31.64,32.75,2315210,12927,32.3945
DE000ZAL1111,168731675,ZAL,EUR,2019-03-04,33.3,33.3,31.7,32.11,1339877,7898,32.095
DE000ZAL1111,168731675,ZAL,EUR,2019-03-05,32.03,32.82,31.66,32.73,1295684,7086,32.2835
DE000ZAL1111,168731675,ZAL,EUR,2019-03-06,32.5,34.35,32.47,34.13,2044107,12111,33.928
