ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
DK0015250344,140077506,ALMB,DKK,2019-01-02,12.25,12.3725,12.005,12.2745,110616,327,12.25539
DK0015250344,140077506,ALMB,DKK,2019-01-03,12.25,12.4215,12.152,12.2745,68501,254,12.30243
DK0015250344,140077506,ALMB,DKK,2019-01-04,12.299,12.544,12.299,12.4215,123738,351,12.446
DK0015250344,140077506,ALMB,DKK,2019-01-07,12.593,12.7155,12.495,12.6665,84978,294,12.58859
DK0015250344,140077506,ALMB,DKK,2019-01-08,12.6665,12.887,12.642,12.789,116138,347,12.77038
DK0015250344,140077506,ALMB,DKK,2019-01-09,12.7645,12.9115,12.691,12.7645,105011,356,12.82624
DK0015250344,140077506,ALMB,DKK,2019-01-10,12.7155,12.8135,12.642,12.7645,93735,314,12.72285
DK0015250344,140077506,ALMB,DKK,2019-01-11,12.838,12.9605,12.7155,12.8625,77641,224,12.83212
DK0015250344,140077506,ALMB,DKK,2019-01-14,12.8625,12.8625,12.642,12.838,78335,234,12.77283
DK0015250344,140077506,ALMB,DKK,2019-01-15,12.8625,12.9605,12.8135,12.887,98573,250,12.87818
DK0015250344,140077506,ALMB,DKK,2019-01-16,12.8135,13.132,12.8135,13.1075,53314,188,13.02665
DK0015250344,140077506,ALMB,DKK,2019-01-17,13.083,13.3525,13.034,13.3525,120718,286,13.19766
DK0015250344,140077506,ALMB,DKK,2019-01-18,13.4015,13.475,13.23,13.2545,109599,343,13.33535
DK0015250344,140077506,ALMB,DKK,2019-01-21,13.328,13.426,13.23,13.328,61074,228,13.31379
DK0015250344,140077506,ALMB,DKK,2019-01-22,13.328,13.328,13.1075,13.3035,66000,178,13.27851
DK0015250344,140077506,ALMB,DKK,2019-01-23,13.3035,13.622,13.1565,13.4995,164330,396,13.40346
DK0015250344,140077506,ALMB,DKK,2019-01-24,13.4995,13.7935,13.4995,13.622,94343,348,13.65679
DK0015250344,140077506,ALMB,DKK,2019-01-25,13.671,13.8915,13.6465,13.769,106009,263,13.77929
DK0015250344,140077506,ALMB,DKK,2019-01-28,13.7935,13.818,13.671,13.6955,57151,179,13.73666
DK0015250344,140077506,ALMB,DKK,2019-01-29,13.72,13.72,13.4505,13.475,95524,238,13.5779
DK0015250344,140077506,ALMB,DKK,2019-01-30,13.4505,13.573,13.3525,13.475,48397,172,13.47941
DK0015250344,140077506,ALMB,DKK,2019-01-31,13.4505,13.6955,13.4505,13.6955,140155,236,13.60289
DK0015250344,140077506,ALMB,DKK,2019-02-01,13.72,13.769,13.6465,13.7445,86362,262,13.72784
DK0015250344,140077506,ALMB,DKK,2019-02-04,13.7445,13.7445,13.6465,13.72,39461,161,13.69991
DK0015250344,140077506,ALMB,DKK,2019-02-05,13.72,13.769,13.377,13.72,147969,372,13.64258
DK0015250344,140077506,ALMB,DKK,2019-02-06,13.7445,13.8915,13.6955,13.72,128844,286,13.79301
DK0015250344,140077506,ALMB,DKK,2019-02-07,13.7935,13.9405,13.6465,13.7445,129215,384,13.80526
DK0015250344,140077506,ALMB,DKK,2019-02-08,13.7445,13.7445,13.3525,13.524,129938,337,13.54262
DK0015250344,140077506,ALMB,DKK,2019-02-11,13.5485,13.72,13.5485,13.72,112767,295,13.6759
DK0015250344,140077506,ALMB,DKK,2019-02-12,13.7445,13.8915,13.72,13.818,112338,240,13.80183
