ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
ES0109427734,34390116,A3M,EUR,2019-01-02,4.376,4.38,4.27,4.35,270974,754,4.3294
ES0109427734,34390116,A3M,EUR,2019-01-03,4.32,4.39,4.254,4.278,396438,1214,4.3056
ES0109427734,34390116,A3M,EUR,2019-01-04,4.276,4.4,4.27,4.35,595497,1388,4.3416
ES0109427734,34390116,A3M,EUR,2019-01-07,4.378,4.458,4.348,4.43,425485,1302,4.4162
ES0109427734,34390116,A3M,EUR,2019-01-08,4.468,4.55,4.394,4.426,441607,1240,4.4488
ES0109427734,34390116,A3M,EUR,2019-01-09,4.53,4.7,4.474,4.644,1267949,2516,4.6352
ES0109427734,34390116,A3M,EUR,2019-01-10,4.63,4.64,4.52,4.528,442152,1085,4.5668
ES0109427734,34390116,A3M,EUR,2019-01-11,4.542,4.558,4.442,4.48,487876,1428,4.4916
ES0109427734,34390116,A3M,EUR,2019-01-14,4.5,4.524,4.424,4.43,337128,1137,4.4554
ES0109427734,34390116,A3M,EUR,2019-01-15,4.49,4.49,4.284,4.302,717888,2010,4.3566
ES0109427734,34390116,A3M,EUR,2019-01-16,4.35,4.35,4.22,4.312,478987,1436,4.3066
ES0109427734,34390116,A3M,EUR,2019-01-17,4.2,4.204,3.918,3.966,3046918,5802,3.997
ES0109427734,34390116,A3M,EUR,2019-01-18,3.998,4.106,3.924,4.1,1457179,3461,4.043
ES0109427734,34390116,A3M,EUR,2019-01-21,4.188,4.334,4.15,4.246,1331339,2831,4.263
ES0109427734,34390116,A3M,EUR,2019-01-22,4.236,4.236,4.116,4.192,520857,1137,4.1844
ES0109427734,34390116,A3M,EUR,2019-01-23,4.166,4.25,4.134,4.17,994053,2386,4.1766
ES0109427734,34390116,A3M,EUR,2019-01-24,4.23,4.44,4.17,4.42,1413279,3253,4.3312
ES0109427734,34390116,A3M,EUR,2019-01-25,4.45,4.54,4.368,4.4,731903,2235,4.4404
ES0109427734,34390116,A3M,EUR,2019-01-28,4.42,4.512,4.36,4.388,575892,1336,4.4142
ES0109427734,34390116,A3M,EUR,2019-01-29,4.402,4.402,4.336,4.362,320432,1059,4.3744
ES0109427734,34390116,A3M,EUR,2019-01-30,4.324,4.394,4.23,4.268,486205,1379,4.2666
ES0109427734,34390116,A3M,EUR,2019-01-31,4.28,4.286,4.16,4.238,675585,1514,4.2066
ES0109427734,34390116,A3M,EUR,2019-02-01,4.254,4.326,4.15,4.326,771613,1633,4.2658
ES0109427734,34390116,A3M,EUR,2019-02-04,4.32,4.394,4.272,4.324,346591,1006,4.3332
ES0109427734,34390116,A3M,EUR,2019-02-05,4.312,4.39,4.274,4.356,453334,1226,4.3566
ES0109427734,34390116,A3M,EUR,2019-02-06,4.326,4.388,4.25,4.318,336925,1027,4.2926
ES0109427734,34390116,A3M,EUR,2019-02-07,4.26,4.322,4.08,4.082,597357,1397,4.1424
ES0109427734,34390116,A3M,EUR,2019-02-08,4.08,4.08,3.99,4.03,465292,1253,4.019
ES0109427734,34390116,A3M,EUR,2019-02-11,4.04,4.134,4.03,4.096,295348,781,4.0856
ES0109427734,34390116,A3M,EUR,2019-02-12,4.28,4.382,4.112,4.116,539488,1106,4.2108
