ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
ES0178430E18,80742557,TEFOF,USD,2019-01-02,8.28,8.28,8.28,8.28,0,0,8.28
ES0178430E18,80742557,TEFOF,USD,2019-01-03,8.28,8.28,8.28,8.28,0,0,8.28
ES0178430E18,80742557,TEFOF,USD,2019-01-04,8.28,8.28,8.28,8.28,0,0,8.28
ES0178430E18,80742557,TEFOF,USD,2019-01-07,8.28,8.28,8.28,8.28,0,0,8.28
ES0178430E18,80742557,TEFOF,USD,2019-01-08,8.68,8.68,8.68,8.68,1,1,8.68
ES0178430E18,80742557,TEFOF,USD,2019-01-09,8.68,8.68,8.68,8.68,0,0,8.68
ES0178430E18,80742557,TEFOF,USD,2019-01-10,8.68,8.68,8.68,8.68,0,0,8.68
ES0178430E18,80742557,TEFOF,USD,2019-01-11,8.68,8.68,8.68,8.68,0,0,8.68
ES0178430E18,80742557,TEFOF,USD,2019-01-14,8.68,8.68,8.68,8.68,0,0,8.68
ES0178430E18,80742557,TEFOF,USD,2019-01-15,8.68,8.68,8.68,8.68,0,0,8.68
ES0178430E18,80742557,TEFOF,USD,2019-01-16,8.68,8.68,8.68,8.68,0,0,8.68
ES0178430E18,80742557,TEFOF,USD,2019-01-17,8.68,8.68,8.68,8.68,0,0,8.68
ES0178430E18,80742557,TEFOF,USD,2019-01-18,8.68,8.68,8.68,8.68,0,0,8.68
ES0178430E18,80742557,TEFOF,USD,2019-01-22,8.68,8.68,8.68,8.68,0,0,8.68
ES0178430E18,80742557,TEFOF,USD,2019-01-23,8.68,8.68,8.68,8.68,0,0,8.68
ES0178430E18,80742557,TEFOF,USD,2019-01-24,8.68,8.68,8.68,8.68,0,0,8.68
ES0178430E18,80742557,TEFOF,USD,2019-01-25,8.67,8.67,8.67,8.67,10,1,8.67
ES0178430E18,80742557,TEFOF,USD,2019-01-28,8.67,8.67,8.67,8.67,0,0,8.67
ES0178430E18,80742557,TEFOF,USD,2019-01-29,8.67,8.67,8.67,8.67,0,0,8.67
ES0178430E18,80742557,TEFOF,USD,2019-01-30,8.67,8.67,8.67,8.67,0,0,8.67
ES0178430E18,80742557,TEFOF,USD,2019-01-31,8.67,8.67,8.67,8.67,0,0,8.67
ES0178430E18,80742557,TEFOF,USD,2019-02-01,8.67,8.67,8.67,8.67,0,0,8.67
ES0178430E18,80742557,TEFOF,USD,2019-02-04,8.67,8.67,8.67,8.67,0,0,8.67
ES0178430E18,80742557,TEFOF,USD,2019-02-05,8.67,8.67,8.67,8.67,0,0,8.67
ES0178430E18,80742557,TEFOF,USD,2019-02-06,8.67,8.67,8.67,8.67,0,0,8.67
ES0178430E18,80742557,TEFOF,USD,2019-02-07,8.67,8.67,8.67,8.67,0,0,8.67
ES0178430E18,80742557,TEFOF,USD,2019-02-08,8.67,8.67,8.67,8.67,0,0,8.67
ES0178430E18,80742557,TEFOF,USD,2019-02-11,8.67,8.67,8.67,8.67,0,0,8.67
ES0178430E18,80742557,TEFOF,USD,2019-02-12,8.67,8.67,8.67,8.67,0,0,8.67
ES0178430E18,80742557,TEFOF,USD,2019-02-13,8.67,8.67,8.67,8.67,0,0,8.67
ES0178430E18,80742557,TEFOF,USD,2019-02-14,8.67,8.67,8.67,8.67,0,0,8.67
ES0178430E18,80742557,TEFOF,USD,2019-02-15,8.32,8.32,8.32,8.32,3,1,8.32
ES0178430E18,80742557,TEFOF,USD,2019-02-19,8.32,8.32,8.32,8.32,0,0,8.32
ES0178430E18,80742557,TEFOF,USD,2019-02-20,8.32,8.32,8.32,8.32,0,0,8.32
ES0178430E18,80742557,TEFOF,USD,2019-02-21,8.32,8.32,8.32,8.32,0,0,8.32
ES0178430E18,80742557,TEFOF,USD,2019-02-22,8.32,8.32,8.32,8.32,0,0,8.32
ES0178430E18,80742557,TEFOF,USD,2019-02-25,8.71,8.71,8.71,8.71,11,1,8.71
ES0178430E18,80742557,TEFOF,USD,2019-02-26,8.71,8.71,8.71,8.71,0,0,8.71
ES0178430E18,80742557,TEFOF,USD,2019-02-27,8.71,8.71,8.71,8.71,0,0,8.71
ES0178430E18,80742557,TEFOF,USD,2019-02-28,8.71,8.71,8.71,8.71,0,0,8.71
ES0178430E18,80742557,TEFOF,USD,2019-03-01,8.34,8.34,8.34,8.34,4,1,8.34
ES0178430E18,80742557,TEFOF,USD,2019-03-04,8.34,8.34,8.34,8.34,0,0,8.34
ES0178430E18,80742557,TEFOF,USD,2019-03-05,8.495,8.495,8.33,8.33,12,3,8.36457
ES0178430E18,80742557,TEFOF,USD,2019-03-06,8.5775,8.65,8.5775,8.65,2,2,8.61375
ES0178430E18,80742557,TEFOF,USD,2019-03-07,8.65,8.65,8.65,8.65,0,0,8.65
ES0178430E18,80742557,TEFOF,USD,2019-03-08,8.65,8.65,8.65,8.65,0,0,8.65
ES0178430E18,80742557,TEFOF,USD,2019-03-11,8.45,8.45,8.45,8.45,75,2,8.45
ES0178430E18,80742557,TEFOF,USD,2019-03-12,8.5625,8.57,8.5575,8.57,7000,6,8.56536
ES0178430E18,80742557,TEFOF,USD,2019-03-13,8.605,8.62,8.605,8.62,464,2,8.6125
ES0178430E18,80742557,TEFOF,USD,2019-03-14,8.645,8.65,8.645,8.65,5500,3,8.6475
ES0178430E18,80742557,TEFOF,USD,2019-03-15,8.75,8.75,8.75,8.75,14,1,8.75
ES0178430E18,80742557,TEFOF,USD,2019-03-18,8.87,8.88,8.87,8.88,1800,3,8.87569
