ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
FI4000292438,454367874,28Q,EUR,2020-11-10,10.08,10.08,10.08,10.08,0,0,10.08
FI4000292438,454367874,28Q,EUR,2020-11-11,10.04,10.04,10.04,10.04,0,0,10.04
FI4000292438,454367874,28Q,EUR,2020-11-12,10.04,10.04,10.04,10.04,0,0,10.04
FI4000292438,454367874,28Q,EUR,2020-11-13,10.0,10.0,10.0,10.0,0,0,10.0
FI4000292438,454367874,28Q,EUR,2020-11-16,10.26,10.26,10.26,10.26,0,0,10.26
FI4000292438,454367874,28Q,EUR,2020-11-17,10.08,10.08,10.08,10.08,0,0,10.08
FI4000292438,454367874,28Q,EUR,2020-11-18,9.99,9.99,9.99,9.99,0,0,9.99
FI4000292438,454367874,28Q,EUR,2020-11-19,9.74,9.74,9.74,9.74,0,0,9.74
FI4000292438,454367874,28Q,EUR,2020-11-20,9.74,9.74,9.74,9.74,0,0,9.74
FI4000292438,454367874,28Q,EUR,2020-11-23,9.74,9.74,9.74,9.74,0,0,9.74
FI4000292438,454367874,28Q,EUR,2020-11-24,9.67,9.67,9.67,9.67,0,0,9.67
FI4000292438,454367874,28Q,EUR,2020-11-25,9.7,9.7,9.7,9.7,0,0,9.7
FI4000292438,454367874,28Q,EUR,2020-11-26,9.89,9.89,9.89,9.89,0,0,9.89
FI4000292438,454367874,28Q,EUR,2020-11-27,9.96,9.96,9.96,9.96,0,0,9.96
FI4000292438,454367874,28Q,EUR,2020-11-30,9.96,9.96,9.96,9.96,0,0,9.96
FI4000292438,454367874,28Q,EUR,2020-12-01,9.91,9.91,9.91,9.91,0,0,9.91
FI4000292438,454367874,28Q,EUR,2020-12-02,9.89,9.89,9.8,9.8,2500,1,9.89
FI4000292438,454367874,28Q,EUR,2020-12-03,9.76,9.76,9.76,9.76,0,0,9.76
FI4000292438,454367874,28Q,EUR,2020-12-04,9.76,9.76,9.76,9.76,0,0,9.76
FI4000292438,454367874,28Q,EUR,2020-12-07,9.83,9.83,9.83,9.83,0,0,9.83
FI4000292438,454367874,28Q,EUR,2020-12-08,9.83,9.83,9.83,9.83,0,0,9.83
FI4000292438,454367874,28Q,EUR,2020-12-09,9.83,9.83,9.83,9.83,0,0,9.83
FI4000292438,454367874,28Q,EUR,2020-12-10,9.83,9.83,9.83,9.83,0,0,9.83
FI4000292438,454367874,28Q,EUR,2020-12-11,9.83,9.83,9.83,9.83,0,0,9.83
FI4000292438,454367874,28Q,EUR,2020-12-14,9.82,9.83,9.82,9.83,50,1,9.82
FI4000292438,454367874,28Q,EUR,2020-12-15,9.8,9.8,9.8,9.8,0,0,9.8
FI4000292438,454367874,28Q,EUR,2020-12-16,9.8,9.8,9.8,9.8,0,0,9.8
FI4000292438,454367874,28Q,EUR,2020-12-17,9.8,9.8,9.8,9.8,0,0,9.8
