ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
FR0012435121,183530579,ELIS,EUR,2019-01-02,14.45,14.56,14.14,14.5,817408,3763,14.447
FR0012435121,183530579,ELIS,EUR,2019-01-03,14.29,14.47,13.99,14.05,935002,4797,14.134
FR0012435121,183530579,ELIS,EUR,2019-01-04,14.5,14.68,14.31,14.68,559105,2699,14.523
FR0012435121,183530579,ELIS,EUR,2019-01-07,15.18,15.41,14.67,15.03,513724,3444,14.958
FR0012435121,183530579,ELIS,EUR,2019-01-08,15.17,15.39,15.03,15.36,720954,3699,15.2795
FR0012435121,183530579,ELIS,EUR,2019-01-09,15.39,15.4,15.01,15.09,900049,4120,15.154
FR0012435121,183530579,ELIS,EUR,2019-01-10,15.1,15.19,14.75,14.93,650253,3050,14.92
FR0012435121,183530579,ELIS,EUR,2019-01-11,14.94,14.94,14.475,14.55,729397,3512,14.637
FR0012435121,183530579,ELIS,EUR,2019-01-14,14.58,14.64,13.81,13.96,1185675,5559,13.9645
FR0012435121,183530579,ELIS,EUR,2019-01-15,13.99,14.04,13.55,13.56,1164091,5164,13.696
FR0012435121,183530579,ELIS,EUR,2019-01-16,13.73,13.85,13.6,13.6,955194,4401,13.6675
FR0012435121,183530579,ELIS,EUR,2019-01-17,13.69,13.71,13.28,13.28,1162836,4193,13.4445
FR0012435121,183530579,ELIS,EUR,2019-01-18,13.35,13.75,13.25,13.68,1676645,6487,13.517
FR0012435121,183530579,ELIS,EUR,2019-01-21,13.67,13.93,13.49,13.6,863119,2916,13.6575
FR0012435121,183530579,ELIS,EUR,2019-01-22,13.55,13.75,13.55,13.63,420496,1836,13.6495
FR0012435121,183530579,ELIS,EUR,2019-01-23,13.56,13.85,13.55,13.71,692876,2938,13.73
FR0012435121,183530579,ELIS,EUR,2019-01-24,13.71,13.84,13.68,13.79,983438,3258,13.783
FR0012435121,183530579,ELIS,EUR,2019-01-25,13.85,13.99,13.69,13.98,861048,2811,13.865
FR0012435121,183530579,ELIS,EUR,2019-01-28,14.0,14.03,13.55,13.55,602498,2416,13.74
FR0012435121,183530579,ELIS,EUR,2019-01-29,13.55,13.94,13.51,13.78,1095967,4260,13.7365
FR0012435121,183530579,ELIS,EUR,2019-01-30,13.81,14.08,13.72,13.82,895235,4200,13.8755
FR0012435121,183530579,ELIS,EUR,2019-01-31,14.15,14.78,13.97,14.13,1489058,6822,14.2945
FR0012435121,183530579,ELIS,EUR,2019-02-01,14.15,14.29,13.95,14.03,768923,3166,14.1215
FR0012435121,183530579,ELIS,EUR,2019-02-04,14.12,14.17,13.99,14.02,484052,1680,14.0645
FR0012435121,183530579,ELIS,EUR,2019-02-05,14.05,14.71,14.0,14.62,893541,3880,14.4325
FR0012435121,183530579,ELIS,EUR,2019-02-06,14.56,14.56,14.31,14.31,659789,2642,14.3775
FR0012435121,183530579,ELIS,EUR,2019-02-07,14.32,14.32,13.76,13.85,852817,3140,13.924
FR0012435121,183530579,ELIS,EUR,2019-02-08,13.84,13.99,13.68,13.68,732342,2984,13.8185
FR0012435121,183530579,ELIS,EUR,2019-02-11,13.85,14.04,13.68,13.98,634274,2425,13.904
FR0012435121,183530579,ELIS,EUR,2019-02-12,13.82,13.92,13.47,13.59,958978,3845,13.6355
FR0012435121,183530579,ELIS,EUR,2019-02-13,13.63,13.85,13.48,13.78,723983,2503,13.709
FR0012435121,183530579,ELIS,EUR,2019-02-14,13.93,14.33,13.82,14.11,765426,2806,14.12
FR0012435121,183530579,ELIS,EUR,2019-02-15,14.25,14.41,14.05,14.21,693384,2395,14.2135
FR0012435121,183530579,ELIS,EUR,2019-02-18,14.3,14.33,13.99,14.13,428353,1772,14.137
FR0012435121,183530579,ELIS,EUR,2019-02-19,14.2,14.22,13.91,13.95,444383,1864,13.9985
FR0012435121,183530579,ELIS,EUR,2019-02-20,13.98,14.33,13.92,14.33,534353,1964,14.1875
FR0012435121,183530579,ELIS,EUR,2019-02-21,14.39,14.39,14.0,14.01,539649,2128,14.1075
FR0012435121,183530579,ELIS,EUR,2019-02-22,14.12,14.33,14.12,14.23,403848,1767,14.237
FR0012435121,183530579,ELIS,EUR,2019-02-25,14.25,14.58,14.2,14.4,587612,2332,14.434
FR0012435121,183530579,ELIS,EUR,2019-02-26,14.4,14.4,14.0,14.08,428355,1960,14.06
FR0012435121,183530579,ELIS,EUR,2019-02-27,14.08,14.19,13.95,13.95,480429,1921,14.0155
FR0012435121,183530579,ELIS,EUR,2019-02-28,13.9,13.95,13.78,13.78,885700,2913,13.83
FR0012435121,183530579,ELIS,EUR,2019-03-01,13.94,14.39,13.88,14.27,653936,2203,14.2705
FR0012435121,183530579,ELIS,EUR,2019-03-04,14.38,14.46,14.19,14.2,806730,3181,14.2615
FR0012435121,183530579,ELIS,EUR,2019-03-05,14.18,14.2,13.97,14.14,546329,2710,14.101
FR0012435121,183530579,ELIS,EUR,2019-03-06,14.2,14.3,14.11,14.12,439382,1764,14.1515
FR0012435121,183530579,ELIS,EUR,2019-03-07,13.7,13.72,12.97,13.56,2861208,12053,13.3375
FR0012435121,183530579,ELIS,EUR,2019-03-08,13.46,13.77,13.36,13.66,1282895,6231,13.632
FR0012435121,183530579,ELIS,EUR,2019-03-11,13.69,14.31,13.68,14.3,1180985,4338,14.17
FR0012435121,183530579,ELIS,EUR,2019-03-12,14.37,14.78,14.18,14.31,1234162,5250,14.441
FR0012435121,183530579,ELIS,EUR,2019-03-13,14.35,14.62,14.23,14.54,768265,2973,14.493
