ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
FR0014003T71,497004328,ALODC,EUR,2021-06-16,0.01,0.01,0.01,0.01,0,0,0.01
FR0014003T71,497004328,ALODC,EUR,2021-06-17,7.5,7.5,7.5,7.5,0,0,7.5
FR0014003T71,497004328,ALODC,EUR,2021-06-18,7.5,7.69,7.38,7.5,66837,490,7.506
FR0014003T71,497004328,ALODC,EUR,2021-06-21,7.5,7.5,7.47,7.49,18464,119,7.494
FR0014003T71,497004328,ALODC,EUR,2021-06-22,7.5,7.62,7.49,7.59,24623,169,7.545
FR0014003T71,497004328,ALODC,EUR,2021-06-23,7.6,7.6,7.49,7.5,15848,113,7.526
FR0014003T71,497004328,ALODC,EUR,2021-06-24,7.5,7.6,7.47,7.5,10291,92,7.505
FR0014003T71,497004328,ALODC,EUR,2021-06-25,7.51,7.51,7.48,7.5,3422,37,7.488
FR0014003T71,497004328,ALODC,EUR,2021-06-28,7.5,7.51,7.48,7.5,6874,56,7.495
FR0014003T71,497004328,ALODC,EUR,2021-06-29,7.49,7.51,7.48,7.5,5089,46,7.499
FR0014003T71,497004328,ALODC,EUR,2021-06-30,7.5,7.5,7.49,7.5,3429,38,7.498
FR0014003T71,497004328,ALODC,EUR,2021-07-01,7.5,7.52,7.49,7.49,6640,40,7.512
FR0014003T71,497004328,ALODC,EUR,2021-07-02,7.52,7.6,7.5,7.51,4316,65,7.557
FR0014003T71,497004328,ALODC,EUR,2021-07-05,7.58,7.6,7.53,7.6,3147,41,7.586
FR0014003T71,497004328,ALODC,EUR,2021-07-06,7.6,7.62,7.56,7.6,3614,35,7.596
FR0014003T71,497004328,ALODC,EUR,2021-07-07,7.64,7.64,7.56,7.6,1881,38,7.595
FR0014003T71,497004328,ALODC,EUR,2021-07-08,7.65,7.65,7.51,7.6,3655,43,7.601
FR0014003T71,497004328,ALODC,EUR,2021-07-09,7.55,7.58,7.53,7.55,1145,17,7.544
FR0014003T71,497004328,ALODC,EUR,2021-07-12,7.55,7.59,7.53,7.53,1937,33,7.544
FR0014003T71,497004328,ALODC,EUR,2021-07-13,7.53,7.6,7.53,7.6,1098,21,7.582
