ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
FR0014003TT8,500760943,DSY,EUR,2021-07-07,41.75,42.68,41.7,42.54,1749217,14442,42.433
FR0014003TT8,500760943,DSY,EUR,2021-07-08,42.5,42.7,41.94,42.58,2210571,21633,42.39
FR0014003TT8,500760943,DSY,EUR,2021-07-09,42.74,42.95,42.14,42.63,2069309,16651,42.542
FR0014003TT8,500760943,DSY,EUR,2021-07-12,43.13,43.5,42.5,43.16,1731009,16071,43.177
FR0014003TT8,500760943,DSY,EUR,2021-07-13,43.3,43.63,42.9,43.58,1668659,14630,43.374
FR0014003TT8,500760943,DSY,EUR,2021-07-14,43.52,44.2,43.4,43.79,1314471,13835,43.751
FR0014003TT8,500760943,DSY,EUR,2021-07-15,43.82,44.14,43.28,43.45,1926031,19405,43.612
FR0014003TT8,500760943,DSY,EUR,2021-07-16,43.75,43.86,43.31,43.6,1655099,15898,43.542
FR0014003TT8,500760943,DSY,EUR,2021-07-19,43.86,44.0,43.3,43.63,2125050,15382,43.516
FR0014003TT8,500760943,DSY,EUR,2021-07-20,43.88,43.9,42.7,43.18,1696624,15768,43.249
FR0014003TT8,500760943,DSY,EUR,2021-07-21,43.11,43.75,43.1,43.24,2104562,22012,43.375
FR0014003TT8,500760943,DSY,EUR,2021-07-22,43.24,44.47,43.24,44.35,1627550,15710,44.042
FR0014003TT8,500760943,DSY,EUR,2021-07-23,44.55,44.8,44.14,44.45,1561341,13529,44.436
FR0014003TT8,500760943,DSY,EUR,2021-07-26,44.76,44.83,44.19,44.38,1471420,13631,44.465
FR0014003TT8,500760943,DSY,EUR,2021-07-27,44.67,46.69,43.95,44.96,2671344,32776,45.579
FR0014003TT8,500760943,DSY,EUR,2021-07-28,45.23,46.46,44.8,46.29,1993579,22367,45.642
FR0014003TT8,500760943,DSY,EUR,2021-07-29,46.75,46.95,45.85,45.97,1764637,16435,46.147
FR0014003TT8,500760943,DSY,EUR,2021-07-30,45.63,46.74,45.5,46.52,1632417,17324,46.395
FR0014003TT8,500760943,DSY,EUR,2021-08-02,46.72,46.99,45.92,46.94,1421016,17379,46.522
