ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
FR0014003VY4,498969646,HDF,EUR,2021-06-24,31.1,33.3,29.0,32.3,125861,2477,31.682
FR0014003VY4,498969646,HDF,EUR,2021-06-25,33.0,33.26,32.2,32.2,86472,1967,32.842
FR0014003VY4,498969646,HDF,EUR,2021-06-28,33.5,33.5,32.5,32.8,66631,1416,33.16
FR0014003VY4,498969646,HDF,EUR,2021-06-29,32.9,33.0,30.1,31.3,49674,1124,31.698
FR0014003VY4,498969646,HDF,EUR,2021-06-30,31.5,32.6,31.0,31.6,20883,528,31.636
FR0014003VY4,498969646,HDF,EUR,2021-07-01,32.06,32.4,31.34,31.6,9259,322,31.934
FR0014003VY4,498969646,HDF,EUR,2021-07-02,31.8,31.8,31.14,31.5,6323,249,31.444
FR0014003VY4,498969646,HDF,EUR,2021-07-05,31.5,31.56,31.0,31.1,9534,320,31.228
FR0014003VY4,498969646,HDF,EUR,2021-07-06,31.0,31.0,30.2,30.4,24307,486,30.524
FR0014003VY4,498969646,HDF,EUR,2021-07-07,30.4,30.9,30.0,30.2,6940,301,30.412
FR0014003VY4,498969646,HDF,EUR,2021-07-08,30.2,30.86,29.64,30.86,13405,376,30.028
FR0014003VY4,498969646,HDF,EUR,2021-07-09,30.8,30.9,30.3,30.5,6333,212,30.662
FR0014003VY4,498969646,HDF,EUR,2021-07-12,30.4,30.4,29.84,29.86,6144,204,30.122
FR0014003VY4,498969646,HDF,EUR,2021-07-13,29.5,29.8,28.4,28.96,14966,355,29.334
FR0014003VY4,498969646,HDF,EUR,2021-07-14,28.96,28.96,28.0,28.8,5723,256,28.326
FR0014003VY4,498969646,HDF,EUR,2021-07-15,28.8,28.8,28.0,28.3,7805,243,28.378
FR0014003VY4,498969646,HDF,EUR,2021-07-16,28.3,30.5,28.1,30.3,9648,297,29.608
FR0014003VY4,498969646,HDF,EUR,2021-07-19,30.76,30.76,29.1,29.8,7001,243,29.906
FR0014003VY4,498969646,HDF,EUR,2021-07-20,29.8,30.5,29.8,30.26,3157,132,30.09
FR0014003VY4,498969646,HDF,EUR,2021-07-21,30.5,30.6,30.0,30.2,2486,129,30.43
FR0014003VY4,498969646,HDF,EUR,2021-07-22,30.76,30.86,30.0,30.0,3010,144,30.55
FR0014003VY4,498969646,HDF,EUR,2021-07-23,30.0,30.9,30.0,30.56,4234,116,30.616
FR0014003VY4,498969646,HDF,EUR,2021-07-26,31.0,31.26,30.5,31.16,5738,229,31.04
FR0014003VY4,498969646,HDF,EUR,2021-07-27,31.3,31.3,30.6,30.8,7858,125,30.894
FR0014003VY4,498969646,HDF,EUR,2021-07-28,31.0,31.2,30.5,30.7,4988,146,30.804
FR0014003VY4,498969646,HDF,EUR,2021-07-29,31.0,31.26,30.74,30.8,3723,119,30.922
FR0014003VY4,498969646,HDF,EUR,2021-07-30,31.16,31.5,30.74,31.5,7054,228,31.204
FR0014003VY4,498969646,HDF,EUR,2021-08-02,31.46,31.5,30.74,30.76,3045,117,31.126
FR0014003VY4,498969646,HDF,EUR,2021-08-03,31.2,31.2,30.34,30.7,3680,104,30.742
FR0014003VY4,498969646,HDF,EUR,2021-08-04,31.1,31.1,30.54,30.76,3258,105,30.754
FR0014003VY4,498969646,HDF,EUR,2021-08-05,30.86,30.96,30.6,30.8,2699,101,30.776
FR0014003VY4,498969646,HDF,EUR,2021-08-06,30.7,31.46,30.7,31.3,4388,192,31.09
FR0014003VY4,498969646,HDF,EUR,2021-08-09,31.26,31.46,31.1,31.46,3029,125,31.224
FR0014003VY4,498969646,HDF,EUR,2021-08-10,31.46,31.5,31.2,31.2,2513,106,31.37
FR0014003VY4,498969646,HDF,EUR,2021-08-11,31.46,31.46,31.1,31.2,1749,73,31.264
FR0014003VY4,498969646,HDF,EUR,2021-08-12,31.1,31.5,31.1,31.5,5163,137,31.35
FR0014003VY4,498969646,HDF,EUR,2021-08-13,31.4,31.5,31.2,31.4,7074,88,31.46
FR0014003VY4,498969646,HDF,EUR,2021-08-16,31.3,31.3,31.0,31.06,3836,100,31.104
FR0014003VY4,498969646,HDF,EUR,2021-08-17,31.3,31.3,30.74,30.96,3905,92,30.984
FR0014003VY4,498969646,HDF,EUR,2021-08-18,31.0,31.06,30.74,30.96,2823,98,30.916
FR0014003VY4,498969646,HDF,EUR,2021-08-19,31.0,31.1,30.5,31.1,5592,155,30.806
FR0014003VY4,498969646,HDF,EUR,2021-08-20,30.96,31.1,30.8,30.96,708,49,30.936
FR0014003VY4,498969646,HDF,EUR,2021-08-23,30.8,31.1,30.8,30.9,1859,61,30.92
FR0014003VY4,498969646,HDF,EUR,2021-08-24,31.16,31.16,30.8,31.0,2775,101,30.962
FR0014003VY4,498969646,HDF,EUR,2021-08-25,31.16,31.16,30.9,31.16,3456,80,31.044
FR0014003VY4,498969646,HDF,EUR,2021-08-26,31.2,31.3,31.0,31.1,1841,79,31.134
FR0014003VY4,498969646,HDF,EUR,2021-08-27,31.2,31.4,31.04,31.2,2935,98,31.238
FR0014003VY4,498969646,HDF,EUR,2021-08-30,31.36,31.5,31.1,31.3,4474,130,31.362
FR0014003VY4,498969646,HDF,EUR,2021-08-31,31.46,31.46,31.1,31.1,1647,70,31.282
FR0014003VY4,498969646,HDF,EUR,2021-09-01,31.1,31.26,30.94,31.16,2447,118,31.078
FR0014003VY4,498969646,HDF,EUR,2021-09-02,31.2,31.6,31.0,31.5,5529,161,31.418
FR0014003VY4,498969646,HDF,EUR,2021-09-03,31.4,31.56,31.1,31.36,2251,74,31.288
FR0014003VY4,498969646,HDF,EUR,2021-09-06,31.6,31.7,31.14,31.2,3744,116,31.462
FR0014003VY4,498969646,HDF,EUR,2021-09-07,31.2,31.3,31.0,31.1,1685,79,31.098
FR0014003VY4,498969646,HDF,EUR,2021-09-08,31.2,31.2,31.0,31.1,809,47,31.07
FR0014003VY4,498969646,HDF,EUR,2021-09-09,31.06,31.1,30.9,31.1,1327,47,30.99
FR0014003VY4,498969646,HDF,EUR,2021-09-10,31.1,31.1,30.9,31.0,875,48,31.004
FR0014003VY4,498969646,HDF,EUR,2021-09-13,30.96,31.06,30.8,30.9,2866,89,30.958
FR0014003VY4,498969646,HDF,EUR,2021-09-14,31.1,31.1,30.4,30.5,2855,89,30.674
FR0014003VY4,498969646,HDF,EUR,2021-09-15,30.56,30.56,28.5,29.5,4147,149,29.896
FR0014003VY4,498969646,HDF,EUR,2021-09-16,30.0,30.0,28.9,29.5,1848,85,29.576
FR0014003VY4,498969646,HDF,EUR,2021-09-17,29.56,29.56,28.5,28.9,5219,191,29.01
FR0014003VY4,498969646,HDF,EUR,2021-09-20,28.86,28.86,28.0,28.4,8350,237,28.35
FR0014003VY4,498969646,HDF,EUR,2021-09-21,28.1,28.26,27.4,27.6,8349,249,27.882
