ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
FR0014005HJ9,521525007,OVH,EUR,2021-10-22,22.0,22.08,21.85,22.01,273986,2022,21.974
FR0014005HJ9,521525007,OVH,EUR,2021-10-25,21.86,22.05,21.23,21.25,127266,1841,21.638
FR0014005HJ9,521525007,OVH,EUR,2021-10-26,21.39,21.95,21.23,21.75,133273,2775,21.637
FR0014005HJ9,521525007,OVH,EUR,2021-10-27,21.85,21.85,21.11,21.13,151836,1579,21.297
FR0014005HJ9,521525007,OVH,EUR,2021-10-28,21.35,21.5,20.8,20.95,108753,1600,21.059
FR0014005HJ9,521525007,OVH,EUR,2021-10-29,21.02,21.17,20.02,20.16,335755,2407,20.234
FR0014005HJ9,521525007,OVH,EUR,2021-11-01,20.48,21.5,20.18,21.4,102907,1286,20.976
FR0014005HJ9,521525007,OVH,EUR,2021-11-02,21.5,21.5,20.8,21.37,64460,1119,21.278
FR0014005HJ9,521525007,OVH,EUR,2021-11-03,21.43,21.72,21.31,21.5,114603,1240,21.498
FR0014005HJ9,521525007,OVH,EUR,2021-11-04,21.55,21.63,21.01,21.14,114018,1464,21.268
FR0014005HJ9,521525007,OVH,EUR,2021-11-05,21.21,21.46,20.53,20.81,129901,1644,21.003
FR0014005HJ9,521525007,OVH,EUR,2021-11-08,20.96,21.07,20.72,20.89,75496,1121,20.862
FR0014005HJ9,521525007,OVH,EUR,2021-11-09,20.77,21.0,20.18,20.26,121205,1753,20.537
FR0014005HJ9,521525007,OVH,EUR,2021-11-10,20.25,20.75,20.25,20.49,72078,1049,20.42
FR0014005HJ9,521525007,OVH,EUR,2021-11-11,20.46,20.65,20.35,20.4,42543,780,20.458
FR0014005HJ9,521525007,OVH,EUR,2021-11-12,20.46,20.99,20.4,20.92,51004,855,20.713
FR0014005HJ9,521525007,OVH,EUR,2021-11-15,20.45,20.46,20.25,20.3,151001,1901,20.402
FR0014005HJ9,521525007,OVH,EUR,2021-11-16,20.3,21.3,20.25,21.3,269278,3159,20.95
FR0014005HJ9,521525007,OVH,EUR,2021-11-17,21.3,21.4,21.0,21.32,74164,1198,21.264
FR0014005HJ9,521525007,OVH,EUR,2021-11-18,21.35,21.37,20.98,21.35,116569,1248,21.174
FR0014005HJ9,521525007,OVH,EUR,2021-11-19,21.25,21.33,20.85,20.9,52111,825,21.071
FR0014005HJ9,521525007,OVH,EUR,2021-11-22,20.9,21.0,20.4,20.43,62819,1041,20.636
FR0014005HJ9,521525007,OVH,EUR,2021-11-23,20.3,20.42,19.6,20.0,271177,2943,19.972
FR0014005HJ9,521525007,OVH,EUR,2021-11-24,19.95,21.05,19.95,20.5,141833,1880,20.709
FR0014005HJ9,521525007,OVH,EUR,2021-11-25,20.8,20.96,20.25,20.49,91263,1267,20.627
FR0014005HJ9,521525007,OVH,EUR,2021-11-26,20.1,20.6,19.85,20.51,236216,2203,20.179
FR0014005HJ9,521525007,OVH,EUR,2021-11-29,20.25,20.65,20.18,20.44,109879,1923,20.395
FR0014005HJ9,521525007,OVH,EUR,2021-11-30,20.14,20.53,20.14,20.32,151306,1528,20.316
FR0014005HJ9,521525007,OVH,EUR,2021-12-01,20.5,20.89,20.22,20.77,117535,1109,20.595
FR0014005HJ9,521525007,OVH,EUR,2021-12-02,20.54,20.77,20.32,20.75,61552,816,20.583
FR0014005HJ9,521525007,OVH,EUR,2021-12-03,20.75,21.28,20.55,21.05,143418,1662,20.963
FR0014005HJ9,521525007,OVH,EUR,2021-12-06,21.1,21.81,21.1,21.6,127218,1873,21.499
FR0014005HJ9,521525007,OVH,EUR,2021-12-07,21.68,21.9,21.2,21.4,90196,1465,21.525
FR0014005HJ9,521525007,OVH,EUR,2021-12-08,21.45,21.54,21.27,21.34,58709,1607,21.401
FR0014005HJ9,521525007,OVH,EUR,2021-12-09,21.38,21.61,21.25,21.47,81976,1011,21.488
FR0014005HJ9,521525007,OVH,EUR,2021-12-10,21.4,21.9,21.35,21.53,102212,1024,21.6
FR0014005HJ9,521525007,OVH,EUR,2021-12-13,21.9,22.13,21.64,21.9,122572,1430,21.926
FR0014005HJ9,521525007,OVH,EUR,2021-12-14,21.95,21.99,20.95,20.96,125769,1602,21.308
FR0014005HJ9,521525007,OVH,EUR,2021-12-15,21.0,21.2,20.47,20.67,111812,1174,20.664
FR0014005HJ9,521525007,OVH,EUR,2021-12-16,21.1,21.54,20.86,20.97,137154,1569,21.051
FR0014005HJ9,521525007,OVH,EUR,2021-12-17,21.09,21.28,20.55,21.16,57975,787,20.908
FR0014005HJ9,521525007,OVH,EUR,2021-12-20,21.16,21.65,20.63,21.57,81571,1391,21.228
FR0014005HJ9,521525007,OVH,EUR,2021-12-21,21.8,21.98,21.41,21.74,68599,1500,21.758
FR0014005HJ9,521525007,OVH,EUR,2021-12-22,21.8,23.25,21.8,23.25,273034,3152,22.666
FR0014005HJ9,521525007,OVH,EUR,2021-12-23,23.29,23.9,22.85,23.59,170018,2358,23.488
FR0014005HJ9,521525007,OVH,EUR,2021-12-24,23.8,23.8,23.25,23.45,25646,451,23.496
FR0014005HJ9,521525007,OVH,EUR,2021-12-27,23.57,23.7,23.26,23.7,77841,1017,23.561
FR0014005HJ9,521525007,OVH,EUR,2021-12-28,23.7,24.44,23.36,24.32,238505,2829,24.09
FR0014005HJ9,521525007,OVH,EUR,2021-12-29,24.32,25.34,24.0,24.8,306447,3774,24.809
FR0014005HJ9,521525007,OVH,EUR,2021-12-30,24.71,25.0,24.41,24.48,89230,1420,24.712
FR0014005HJ9,521525007,OVH,EUR,2021-12-31,24.35,25.4,24.35,25.4,62460,985,24.851
FR0014005HJ9,521525007,OVH,EUR,2022-01-03,26.4,28.2,25.63,27.6,493371,6410,27.495
FR0014005HJ9,521525007,OVH,EUR,2022-01-04,28.09,28.11,26.5,26.82,363805,5592,27.137
FR0014005HJ9,521525007,OVH,EUR,2022-01-05,26.64,26.69,25.42,25.91,275213,3911,26.003
FR0014005HJ9,521525007,OVH,EUR,2022-01-06,25.3,25.81,24.65,25.02,256421,3669,25.098
FR0014005HJ9,521525007,OVH,EUR,2022-01-07,24.91,25.2,23.73,23.96,238606,2806,24.496
FR0014005HJ9,521525007,OVH,EUR,2022-01-10,24.25,25.06,24.2,24.79,300395,2976,24.685
FR0014005HJ9,521525007,OVH,EUR,2022-01-11,25.13,25.25,24.31,24.47,147299,1754,24.716
FR0014005HJ9,521525007,OVH,EUR,2022-01-12,25.9,26.27,25.21,25.58,499912,4979,25.695
FR0014005HJ9,521525007,OVH,EUR,2022-01-13,25.94,26.77,25.25,26.5,428684,3865,26.151
FR0014005HJ9,521525007,OVH,EUR,2022-01-14,26.11,26.7,25.24,25.34,145569,2284,25.98
FR0014005HJ9,521525007,OVH,EUR,2022-01-17,25.52,26.17,25.38,25.38,101063,1395,25.727
