ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
FR001400AYG6,571594686,DEEZR,EUR,2022-07-06,5.99,6.1,5.85,5.85,103888,736,5.996
FR001400AYG6,571594686,DEEZR,EUR,2022-07-07,5.9,5.97,5.32,5.58,58999,518,5.6565
FR001400AYG6,571594686,DEEZR,EUR,2022-07-08,5.5,5.5,5.1,5.1,70678,567,5.331
FR001400AYG6,571594686,DEEZR,EUR,2022-07-11,5.05,5.1,4.8,4.85,37137,362,4.979
FR001400AYG6,571594686,DEEZR,EUR,2022-07-12,4.805,4.9,4.55,4.72,31754,217,4.7035
FR001400AYG6,571594686,DEEZR,EUR,2022-07-13,4.72,5.04,4.7,5.04,37607,186,4.93
FR001400AYG6,571594686,DEEZR,EUR,2022-07-14,5.04,5.04,4.94,4.99,5110,57,4.993
FR001400AYG6,571594686,DEEZR,EUR,2022-07-15,4.94,5.0,4.79,4.8,16369,86,4.887
FR001400AYG6,571594686,DEEZR,EUR,2022-07-18,4.8,4.85,4.65,4.76,32835,169,4.7775
FR001400AYG6,571594686,DEEZR,EUR,2022-07-19,4.78,4.8,4.67,4.68,9166,89,4.742
FR001400AYG6,571594686,DEEZR,EUR,2022-07-20,4.7,4.8,4.68,4.71,7067,79,4.737
FR001400AYG6,571594686,DEEZR,EUR,2022-07-21,4.7,4.71,4.55,4.59,11163,81,4.624
FR001400AYG6,571594686,DEEZR,EUR,2022-07-22,4.49,4.5,4.26,4.35,35296,239,4.382
FR001400AYG6,571594686,DEEZR,EUR,2022-07-25,4.27,4.27,4.12,4.17,37241,143,4.228
FR001400AYG6,571594686,DEEZR,EUR,2022-07-26,4.0,4.1,3.82,3.89,42821,171,3.977
FR001400AYG6,571594686,DEEZR,EUR,2022-07-27,3.89,3.94,3.6,3.7,45530,351,3.7915
FR001400AYG6,571594686,DEEZR,EUR,2022-07-28,3.69,3.7,3.445,3.5,38350,191,3.563
FR001400AYG6,571594686,DEEZR,EUR,2022-07-29,3.55,3.7,3.35,3.7,25026,155,3.47
FR001400AYG6,571594686,DEEZR,EUR,2022-08-01,3.8,4.29,3.78,4.18,34791,251,4.0675
FR001400AYG6,571594686,DEEZR,EUR,2022-08-02,4.27,4.95,4.25,4.82,70788,439,4.6935
FR001400AYG6,571594686,DEEZR,EUR,2022-08-03,4.9,5.2,4.85,5.09,70207,391,5.058
FR001400AYG6,571594686,DEEZR,EUR,2022-08-04,5.11,5.145,4.87,4.92,22565,142,4.995
FR001400AYG6,571594686,DEEZR,EUR,2022-08-05,4.92,4.92,4.445,4.64,43341,252,4.6485
FR001400AYG6,571594686,DEEZR,EUR,2022-08-08,4.76,4.83,4.6,4.67,31723,146,4.746
FR001400AYG6,571594686,DEEZR,EUR,2022-08-09,4.68,4.68,4.585,4.59,7898,73,4.622
FR001400AYG6,571594686,DEEZR,EUR,2022-08-10,4.59,4.6,4.52,4.56,8339,73,4.566
FR001400AYG6,571594686,DEEZR,EUR,2022-08-11,4.54,4.61,4.5,4.55,13565,87,4.577
FR001400AYG6,571594686,DEEZR,EUR,2022-08-12,4.545,4.6,4.5,4.55,5842,49,4.5405
FR001400AYG6,571594686,DEEZR,EUR,2022-08-15,4.55,4.55,4.5,4.55,2218,33,4.537
FR001400AYG6,571594686,DEEZR,EUR,2022-08-16,4.53,4.55,4.38,4.45,7261,55,4.48
FR001400AYG6,571594686,DEEZR,EUR,2022-08-17,4.47,4.47,4.27,4.37,6330,56,4.36
FR001400AYG6,571594686,DEEZR,EUR,2022-08-18,4.39,4.39,4.35,4.38,1142,18,4.36
