ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
FR001400CFI7,589617851,AVT,EUR,2020-09-30,53.6,58.4,49.64,56.8,1060,111,54.572
FR001400CFI7,589617851,AVT,EUR,2020-10-01,58.4,60.0,52.8,55.76,893,94,56.76
FR001400CFI7,589617851,AVT,EUR,2020-10-02,58.36,58.4,53.6,54.24,555,106,54.72
FR001400CFI7,589617851,AVT,EUR,2020-10-05,53.6,55.2,50.72,52.0,1149,132,52.148
FR001400CFI7,589617851,AVT,EUR,2020-10-06,50.48,51.2,48.8,50.0,1530,182,49.7
FR001400CFI7,589617851,AVT,EUR,2020-10-07,48.8,49.6,44.04,49.6,2561,269,47.1
FR001400CFI7,589617851,AVT,EUR,2020-10-08,50.24,57.6,48.8,53.6,5182,385,54.34
FR001400CFI7,589617851,AVT,EUR,2020-10-09,56.8,57.2,52.0,52.28,1314,142,53.828
FR001400CFI7,589617851,AVT,EUR,2020-10-12,51.52,53.68,51.2,52.52,612,78,52.04
FR001400CFI7,589617851,AVT,EUR,2020-10-13,51.44,53.68,50.48,51.28,804,76,51.408
FR001400CFI7,589617851,AVT,EUR,2020-10-14,50.52,51.2,49.32,49.64,534,75,50.18
FR001400CFI7,589617851,AVT,EUR,2020-10-15,48.88,49.28,46.72,47.04,816,136,47.8
FR001400CFI7,589617851,AVT,EUR,2020-10-16,46.88,48.4,46.72,47.2,601,125,47.228
FR001400CFI7,589617851,AVT,EUR,2020-10-19,48.0,49.6,46.96,48.0,573,55,48.46
FR001400CFI7,589617851,AVT,EUR,2020-10-20,47.28,51.2,43.2,48.8,1514,135,47.796
FR001400CFI7,589617851,AVT,EUR,2020-10-21,48.8,81.52,47.36,77.6,34444,1864,71.028
FR001400CFI7,589617851,AVT,EUR,2020-10-22,74.4,77.6,63.2,64.8,17185,1558,68.664
FR001400CFI7,589617851,AVT,EUR,2020-10-23,65.6,70.72,61.6,64.0,9623,691,65.964
FR001400CFI7,589617851,AVT,EUR,2020-10-26,61.92,62.4,57.6,57.6,5859,400,59.236
FR001400CFI7,589617851,AVT,EUR,2020-10-27,57.6,59.92,48.8,50.8,8422,549,51.64
FR001400CFI7,589617851,AVT,EUR,2020-10-28,48.0,49.56,44.8,46.8,4586,396,46.376
FR001400CFI7,589617851,AVT,EUR,2020-10-29,46.4,46.88,44.8,45.0,1238,128,45.64
FR001400CFI7,589617851,AVT,EUR,2020-10-30,44.8,54.24,44.48,47.2,7493,482,49.512
FR001400CFI7,589617851,AVT,EUR,2020-11-02,50.88,50.88,46.4,47.2,1454,146,47.712
FR001400CFI7,589617851,AVT,EUR,2020-11-03,47.84,50.4,47.2,48.96,954,110,49.148
FR001400CFI7,589617851,AVT,EUR,2020-11-04,50.24,51.2,49.2,51.12,1047,86,50.252
FR001400CFI7,589617851,AVT,EUR,2020-11-05,50.72,51.16,48.96,50.52,323,41,50.128
FR001400CFI7,589617851,AVT,EUR,2020-11-06,51.12,60.8,51.04,53.36,9565,589,56.328
FR001400CFI7,589617851,AVT,EUR,2020-11-09,54.4,55.92,52.48,54.0,1753,183,54.032
FR001400CFI7,589617851,AVT,EUR,2020-11-10,53.52,55.2,52.0,54.4,1317,122,53.208
FR001400CFI7,589617851,AVT,EUR,2020-11-11,54.4,60.0,54.24,56.6,2879,203,57.496
FR001400CFI7,589617851,AVT,EUR,2020-11-12,56.0,57.92,52.8,55.36,969,120,54.868
FR001400CFI7,589617851,AVT,EUR,2020-11-13,55.2,56.0,53.6,55.16,965,93,54.752
FR001400CFI7,589617851,AVT,EUR,2020-11-16,55.6,59.2,53.76,54.96,4937,260,56.34
FR001400CFI7,589617851,AVT,EUR,2020-11-17,54.4,55.2,53.2,53.2,1361,152,53.952
FR001400CFI7,589617851,AVT,EUR,2020-11-18,53.28,54.0,48.8,51.92,5249,355,51.508
FR001400CFI7,589617851,AVT,EUR,2020-11-19,50.48,52.56,50.0,50.76,1749,172,50.904
FR001400CFI7,589617851,AVT,EUR,2020-11-20,51.2,51.6,49.6,51.04,2209,194,50.196
FR001400CFI7,589617851,AVT,EUR,2020-11-23,49.68,51.2,49.6,50.56,2206,191,50.156
FR001400CFI7,589617851,AVT,EUR,2020-11-24,50.24,50.96,49.6,49.68,1803,164,49.948
FR001400CFI7,589617851,AVT,EUR,2020-11-25,49.6,50.4,48.8,49.16,1862,156,49.516
FR001400CFI7,589617851,AVT,EUR,2020-11-26,49.92,50.08,49.12,49.2,1987,157,49.652
FR001400CFI7,589617851,AVT,EUR,2020-11-27,49.96,50.32,48.8,48.88,3896,233,49.092
FR001400CFI7,589617851,AVT,EUR,2020-11-30,49.52,49.52,48.0,48.24,3420,299,48.592
FR001400CFI7,589617851,AVT,EUR,2020-12-01,48.24,49.6,48.0,48.0,4234,300,48.436
FR001400CFI7,589617851,AVT,EUR,2020-12-02,60.8,66.88,52.8,53.44,36983,1955,59.04
FR001400CFI7,589617851,AVT,EUR,2020-12-03,52.0,54.4,49.0,51.2,9703,584,51.052
FR001400CFI7,589617851,AVT,EUR,2020-12-04,51.2,53.04,49.6,50.8,5825,325,50.62
FR001400CFI7,589617851,AVT,EUR,2020-12-07,49.92,50.96,48.88,48.88,4114,329,49.368
FR001400CFI7,589617851,AVT,EUR,2020-12-08,48.88,51.84,48.88,49.04,5197,264,49.888
FR001400CFI7,589617851,AVT,EUR,2020-12-09,50.76,50.76,48.16,48.24,5178,261,48.968
FR001400CFI7,589617851,AVT,EUR,2020-12-10,49.32,49.36,48.0,48.0,3438,280,48.224
FR001400CFI7,589617851,AVT,EUR,2020-12-11,48.0,48.56,45.28,45.44,8427,534,46.196
FR001400CFI7,589617851,AVT,EUR,2020-12-14,46.4,47.2,45.6,46.0,3583,282,46.348
FR001400CFI7,589617851,AVT,EUR,2020-12-15,46.8,46.8,43.2,44.76,4274,320,45.116
FR001400CFI7,589617851,AVT,EUR,2020-12-16,45.68,46.32,43.2,43.2,3106,342,44.368
FR001400CFI7,589617851,AVT,EUR,2020-12-17,43.52,44.48,42.0,43.56,2362,229,43.348
FR001400CFI7,589617851,AVT,EUR,2020-12-18,42.56,45.16,42.56,43.44,1732,183,43.812
FR001400CFI7,589617851,AVT,EUR,2020-12-21,43.2,43.76,41.6,42.4,4252,337,42.456
FR001400CFI7,589617851,AVT,EUR,2020-12-22,43.84,45.36,41.76,44.04,2994,222,44.228
FR001400CFI7,589617851,AVT,EUR,2020-12-23,44.0,50.72,43.2,44.8,11579,779,46.36
FR001400CFI7,589617851,AVT,EUR,2020-12-24,46.24,47.2,44.0,44.64,3517,237,45.012
FR001400CFI7,589617851,AVT,EUR,2020-12-28,44.0,44.8,43.2,43.36,5184,254,43.676
FR001400CFI7,589617851,AVT,EUR,2020-12-29,43.28,44.24,42.8,43.2,3521,235,43.48
FR001400CFI7,589617851,AVT,EUR,2020-12-30,42.8,43.76,42.0,42.0,3715,201,42.56
