ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
FR001400X2S4,767901404,ATO,EUR,2019-01-02,3963.0022,4037.987,3908.1626,4016.7227,47,6847,3991.4292864
FR001400X2S4,767901404,ATO,EUR,2019-01-03,3954.0488,3956.2872,3792.8875,3804.0792,73,9259,3858.1354248
FR001400X2S4,767901404,ATO,EUR,2019-01-04,3824.2244,3957.4063,3777.219,3943.9762,63,9789,3867.7603384
FR001400X2S4,767901404,ATO,EUR,2019-01-07,3931.6653,3937.2612,3838.7737,3902.5667,65,8017,3884.0443492
FR001400X2S4,767901404,ATO,EUR,2019-01-08,3911.5201,4101.78,3892.4941,4018.961,90,13993,4018.0097164
FR001400X2S4,767901404,ATO,EUR,2019-01-09,4055.8938,4135.3553,4032.3911,4111.8526,68,9897,4099.1499764
FR001400X2S4,767901404,ATO,EUR,2019-01-10,4083.8732,4203.6251,4045.8212,4173.4073,79,10813,4144.4206456
FR001400X2S4,767901404,ATO,EUR,2019-01-11,4196.91,4206.9826,4054.7746,4110.7334,80,11447,4108.215302
FR001400X2S4,767901404,ATO,EUR,2019-01-14,4088.3499,4088.3499,3848.8463,3879.064,103,13667,3901.5594536
FR001400X2S4,767901404,ATO,EUR,2019-01-15,3917.116,3971.9556,3858.9188,3893.6133,94,14082,3896.3552852
FR001400X2S4,767901404,ATO,EUR,2019-01-16,3915.9968,3973.0748,3867.8723,3949.5721,119,16807,3926.4051608
FR001400X2S4,767901404,ATO,EUR,2019-01-17,3943.9762,3951.8105,3904.8051,3930.5461,81,11406,3934.5191868
FR001400X2S4,767901404,ATO,EUR,2019-01-18,3967.4789,4127.5211,3957.4063,4121.9252,136,16867,4055.5580712
FR001400X2S4,767901404,ATO,EUR,2019-01-21,4120.806,4128.6403,4058.1322,4062.6089,51,5716,4079.9001492
FR001400X2S4,767901404,ATO,EUR,2019-01-22,4069.3239,4116.3293,4040.2254,4072.6815,42,6008,4076.9902916
FR001400X2S4,767901404,ATO,EUR,2019-01-23,4046.9404,4185.7182,4020.0802,4076.039,62,9106,4113.6992644
FR001400X2S4,767901404,ATO,EUR,2019-01-24,4099.5417,4352.4755,4099.5417,4267.4181,120,16466,4266.1310356
FR001400X2S4,767901404,ATO,EUR,2019-01-25,4336.807,4337.9262,4259.5839,4320.0194,75,10618,4310.506364
FR001400X2S4,767901404,ATO,EUR,2019-01-28,4300.9934,4308.8276,4162.2155,4164.4539,67,11201,4213.977434
FR001400X2S4,767901404,ATO,EUR,2019-01-29,4168.9306,4306.5892,4163.3347,4230.4853,89,12001,4245.8179912
FR001400X2S4,767901404,ATO,EUR,2019-01-30,4325.6152,4661.368,4325.6152,4511.3985,279,32809,4542.5115488
FR001400X2S4,767901404,ATO,EUR,2019-01-31,4521.471,4580.7874,4403.9576,4461.0355,161,20646,4484.1465204
FR001400X2S4,767901404,ATO,EUR,2019-02-01,4478.9424,4502.445,4431.937,4462.1547,79,11733,4468.589974
FR001400X2S4,767901404,ATO,EUR,2019-02-04,4482.2999,4511.3985,4429.6986,4499.0875,68,10374,4486.776584
FR001400X2S4,767901404,ATO,EUR,2019-02-05,4512.5176,4647.9379,4477.8232,4539.3779,133,18146,4552.0245448
FR001400X2S4,767901404,ATO,EUR,2019-02-06,4536.0203,4612.1243,4502.445,4583.0257,84,11215,4574.0163532
FR001400X2S4,767901404,ATO,EUR,2019-02-07,4556.1655,4577.4298,4364.7864,4364.7864,135,15789,4428.0758028
FR001400X2S4,767901404,ATO,EUR,2019-02-08,4369.2631,4459.9164,4318.9002,4364.7864,89,11509,4392.0383356
FR001400X2S4,767901404,ATO,EUR,2019-02-11,4403.9576,4527.0669,4369.2631,4493.4916,80,9969,4475.4729064
FR001400X2S4,767901404,ATO,EUR,2019-02-12,4552.808,4567.3573,4439.7712,4444.2479,71,10143,4493.6035576
FR001400X2S4,767901404,ATO,EUR,2019-02-13,4475.5848,4562.8806,4462.1547,4541.6162,62,7194,4527.7384256
FR001400X2S4,767901404,ATO,EUR,2019-02-14,4594.2175,4671.4406,4558.4038,4599.8134,90,13092,4614.2507304
FR001400X2S4,767901404,ATO,EUR,2019-02-15,4569.5956,4673.679,4524.8286,4634.5078,96,12493,4623.6518088
FR001400X2S4,767901404,ATO,EUR,2019-02-18,4637.8653,4661.368,4596.4558,4632.2695,50,7916,4627.4010484
FR001400X2S4,767901404,ATO,EUR,2019-02-19,4644.5804,4683.7516,4616.601,4649.0571,101,12893,4641.9503364
FR001400X2S4,767901404,ATO,EUR,2019-02-20,4664.7256,4707.2543,4605.4092,4636.7462,92,13029,4640.5513664
