ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
GA0000121459,1411175,EC,EUR,2019-01-02,125.0,127.5,124.5,127.0,199,25,125.92
GA0000121459,1411175,EC,EUR,2019-01-03,125.5,126.0,124.0,126.0,209,18,125.13
GA0000121459,1411175,EC,EUR,2019-01-04,126.0,129.0,126.0,129.0,500,38,127.23
GA0000121459,1411175,EC,EUR,2019-01-07,131.0,131.0,120.0,124.0,1775,114,124.41
GA0000121459,1411175,EC,EUR,2019-01-08,125.5,127.0,124.5,124.5,290,29,125.46
GA0000121459,1411175,EC,EUR,2019-01-09,125.5,126.5,125.0,125.0,552,45,125.74
GA0000121459,1411175,EC,EUR,2019-01-10,126.0,127.5,125.5,126.5,1049,59,126.36
GA0000121459,1411175,EC,EUR,2019-01-11,127.0,128.0,126.0,126.5,591,46,126.4
GA0000121459,1411175,EC,EUR,2019-01-14,126.0,126.0,125.0,126.0,923,31,125.35
GA0000121459,1411175,EC,EUR,2019-01-15,126.0,126.5,126.0,126.5,181,12,126.06
GA0000121459,1411175,EC,EUR,2019-01-16,126.0,127.0,124.4,124.5,359,32,125.31
GA0000121459,1411175,EC,EUR,2019-01-17,124.5,125.0,124.0,124.0,77,13,124.44
GA0000121459,1411175,EC,EUR,2019-01-18,125.0,127.0,125.0,127.0,298,22,125.76
GA0000121459,1411175,EC,EUR,2019-01-21,125.0,127.0,122.7,125.5,348,33,125.86
GA0000121459,1411175,EC,EUR,2019-01-22,125.0,125.5,124.0,124.0,619,42,124.65
GA0000121459,1411175,EC,EUR,2019-01-23,124.5,125.5,123.5,124.0,411,32,124.42
GA0000121459,1411175,EC,EUR,2019-01-24,123.5,126.0,123.0,123.5,1747,34,124.08
GA0000121459,1411175,EC,EUR,2019-01-25,125.0,126.0,124.0,124.5,549,27,124.8
GA0000121459,1411175,EC,EUR,2019-01-28,125.0,125.0,123.5,124.0,737,51,124.42
GA0000121459,1411175,EC,EUR,2019-01-29,123.5,124.0,122.5,123.5,410,41,123.03
GA0000121459,1411175,EC,EUR,2019-01-30,124.0,124.5,123.0,124.5,89,15,124.05
GA0000121459,1411175,EC,EUR,2019-01-31,125.0,125.5,124.0,124.5,240,21,124.81
GA0000121459,1411175,EC,EUR,2019-02-01,126.5,139.0,126.5,135.0,2663,151,132.78
GA0000121459,1411175,EC,EUR,2019-02-04,134.7,135.5,129.5,132.0,850,47,132.45
GA0000121459,1411175,EC,EUR,2019-02-05,130.0,131.5,129.5,130.0,1003,40,129.94
GA0000121459,1411175,EC,EUR,2019-02-06,129.5,130.0,128.0,130.0,173,19,129.21
GA0000121459,1411175,EC,EUR,2019-02-07,129.0,129.0,127.0,127.5,659,33,127.91
GA0000121459,1411175,EC,EUR,2019-02-08,127.0,127.5,125.0,126.5,271,26,126.03
GA0000121459,1411175,EC,EUR,2019-02-11,126.0,128.0,125.0,128.0,387,18,126.18
GA0000121459,1411175,EC,EUR,2019-02-12,126.5,127.5,125.5,126.5,190,27,126.4
GA0000121459,1411175,EC,EUR,2019-02-13,126.0,130.5,126.0,130.0,347,27,129.3
GA0000121459,1411175,EC,EUR,2019-02-14,130.0,130.5,128.0,129.0,225,25,129.73
GA0000121459,1411175,EC,EUR,2019-02-15,129.5,131.5,129.5,131.5,161,16,130.14
GA0000121459,1411175,EC,EUR,2019-02-18,130.5,132.0,130.5,132.0,138,16,131.12
GA0000121459,1411175,EC,EUR,2019-02-19,130.5,134.0,130.5,133.0,406,29,132.21
GA0000121459,1411175,EC,EUR,2019-02-20,132.0,133.5,130.5,130.5,201,27,131.7
GA0000121459,1411175,EC,EUR,2019-02-21,131.0,131.5,130.0,131.5,257,25,130.54
GA0000121459,1411175,EC,EUR,2019-02-22,130.0,131.5,130.0,130.5,66,9,130.34
GA0000121459,1411175,EC,EUR,2019-02-25,131.0,131.5,130.0,131.5,260,17,130.92
GA0000121459,1411175,EC,EUR,2019-02-26,133.0,133.5,130.5,131.0,557,35,131.66
GA0000121459,1411175,EC,EUR,2019-02-27,133.0,134.0,131.5,132.5,769,47,132.29
GA0000121459,1411175,EC,EUR,2019-02-28,133.0,133.5,132.5,133.0,78,14,132.91
GA0000121459,1411175,EC,EUR,2019-03-01,133.0,134.5,133.0,134.0,374,27,133.8
GA0000121459,1411175,EC,EUR,2019-03-04,133.0,134.0,132.5,133.0,116,15,132.78
GA0000121459,1411175,EC,EUR,2019-03-05,133.0,134.5,133.0,134.0,256,27,133.84
GA0000121459,1411175,EC,EUR,2019-03-06,134.5,135.0,134.0,134.5,238,24,134.57
GA0000121459,1411175,EC,EUR,2019-03-07,133.5,135.0,133.5,134.0,251,30,134.21
GA0000121459,1411175,EC,EUR,2019-03-08,134.0,134.5,133.0,133.0,184,13,133.47
GA0000121459,1411175,EC,EUR,2019-03-11,133.0,134.5,133.0,133.5,83,12,133.23
