ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
GB00B0130H42,38715305,ITM,GBP,2019-01-02,24.7008,25.896,24.1032,25.896,73068,14,24.73769546
GB00B0130H42,38715305,ITM,GBP,2019-01-03,24.9996,27.2904,24.9996,26.7426,262646,38,26.32631826
GB00B0130H42,38715305,ITM,GBP,2019-01-04,26.7924,27.6888,26.7924,26.892,72602,7,26.8611712
GB00B0130H42,38715305,ITM,GBP,2019-01-07,27.6888,29.8801,27.2904,29.4319,252660,36,28.51851811
GB00B0130H42,38715305,ITM,GBP,2019-01-08,27.9876,27.9876,23.7048,23.8542,768221,87,25.02155596
GB00B0130H42,38715305,ITM,GBP,2019-01-09,23.904,24.3024,21.912,24.1032,458898,56,23.6191855
GB00B0130H42,38715305,ITM,GBP,2019-01-10,23.904,24.402,22.41,22.8582,324997,42,23.27058489
GB00B0130H42,38715305,ITM,GBP,2019-01-11,23.0076,23.0076,20.3184,21.5136,632893,96,21.65307804
GB00B0130H42,38715305,ITM,GBP,2019-01-14,22.908,22.908,19.5216,19.5216,1630205,160,20.66504431
GB00B0130H42,38715305,ITM,GBP,2019-01-15,20.1192,21.414,19.8204,19.92,435947,62,20.35429176
GB00B0130H42,38715305,ITM,GBP,2019-01-16,20.7168,21.7128,20.7168,20.8164,193236,32,20.96683284
GB00B0130H42,38715305,ITM,GBP,2019-01-17,21.3144,21.8124,20.7168,20.916,32483,14,21.12320511
GB00B0130H42,38715305,ITM,GBP,2019-01-18,21.1152,21.3144,20.2188,20.9658,73918,16,21.08236904
GB00B0130H42,38715305,ITM,GBP,2019-01-21,21.414,21.912,20.7168,21.2646,80993,24,21.49869777
GB00B0130H42,38715305,ITM,GBP,2019-01-22,22.41,22.41,20.916,20.916,77230,18,21.14511715
GB00B0130H42,38715305,ITM,GBP,2019-01-23,20.916,20.916,20.7168,20.8164,31166,11,20.79751254
GB00B0130H42,38715305,ITM,GBP,2019-01-24,21.1152,21.1152,20.2188,20.4678,196715,19,20.61225622
