ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
GB00B02LCQ05,300356886,AGY,GBP,2019-01-02,6.2693,6.2693,6.2693,6.2693,0,0,6.269286
GB00B02LCQ05,300356886,AGY,GBP,2019-01-03,6.2693,6.2693,6.2693,6.2693,0,0,6.269286
GB00B02LCQ05,300356886,AGY,GBP,2019-01-04,6.2693,6.2693,6.2693,6.2693,0,0,6.269286
GB00B02LCQ05,300356886,AGY,GBP,2019-01-07,6.2693,6.2693,6.2693,6.2693,0,0,6.269286
GB00B02LCQ05,300356886,AGY,GBP,2019-01-08,6.4442,6.4442,6.4442,6.4442,0,0,6.4442
GB00B02LCQ05,300356886,AGY,GBP,2019-01-09,6.5363,6.5363,6.4442,6.4442,2149,2,6.53626
GB00B02LCQ05,300356886,AGY,GBP,2019-01-10,6.3982,6.4442,6.3982,6.4442,8266,1,6.39817
GB00B02LCQ05,300356886,AGY,GBP,2019-01-11,6.3245,6.3245,6.3245,6.3245,0,0,6.324522
GB00B02LCQ05,300356886,AGY,GBP,2019-01-14,6.3521,6.3521,6.3521,6.3521,3526,1,6.35214
GB00B02LCQ05,300356886,AGY,GBP,2019-01-15,6.3061,6.3061,6.3061,6.3061,12700,1,6.30611
GB00B02LCQ05,300356886,AGY,GBP,2019-01-16,6.4442,6.5547,6.4442,6.5547,3772,1,6.4442
GB00B02LCQ05,300356886,AGY,GBP,2019-01-17,6.3982,6.3982,6.389,6.389,16228,1,6.39817
GB00B02LCQ05,300356886,AGY,GBP,2019-01-18,6.389,6.389,6.389,6.389,0,0,6.388964
GB00B02LCQ05,300356886,AGY,GBP,2019-01-21,6.389,6.389,6.389,6.389,0,0,6.388964
GB00B02LCQ05,300356886,AGY,GBP,2019-01-22,6.389,6.389,6.389,6.389,0,0,6.388964
GB00B02LCQ05,300356886,AGY,GBP,2019-01-23,6.389,6.389,6.389,6.389,0,0,6.388964
GB00B02LCQ05,300356886,AGY,GBP,2019-01-24,6.389,6.389,6.389,6.389,0,0,6.388964
GB00B02LCQ05,300356886,AGY,GBP,2019-01-25,6.5823,6.5823,6.4442,6.4442,3499,1,6.58229
GB00B02LCQ05,300356886,AGY,GBP,2019-01-28,6.4442,6.4442,6.4442,6.4442,0,0,6.4442
GB00B02LCQ05,300356886,AGY,GBP,2019-01-29,6.4442,6.4442,6.4442,6.4442,0,0,6.4442
GB00B02LCQ05,300356886,AGY,GBP,2019-01-30,6.5363,6.5363,6.4442,6.4442,1000,1,6.53626
GB00B02LCQ05,300356886,AGY,GBP,2019-01-31,6.7204,6.7664,6.7204,6.7664,8850,2,6.7461568
GB00B02LCQ05,300356886,AGY,GBP,2019-02-01,6.4994,6.4994,6.4994,6.4994,0,0,6.499436
GB00B02LCQ05,300356886,AGY,GBP,2019-02-04,6.8124,6.8124,6.6191,6.6191,10000,1,6.81244
GB00B02LCQ05,300356886,AGY,GBP,2019-02-05,6.6191,6.6191,6.6191,6.6191,0,0,6.619114
GB00B02LCQ05,300356886,AGY,GBP,2019-02-06,6.6744,6.6744,6.6191,6.6191,7001,1,6.67435
GB00B02LCQ05,300356886,AGY,GBP,2019-02-07,6.6191,6.6191,6.6191,6.6191,0,0,6.619114
GB00B02LCQ05,300356886,AGY,GBP,2019-02-08,6.6191,6.6191,6.6191,6.6191,0,0,6.619114
GB00B02LCQ05,300356886,AGY,GBP,2019-02-11,6.6191,6.6191,6.6191,6.6191,0,0,6.619114
GB00B02LCQ05,300356886,AGY,GBP,2019-02-12,6.6191,6.6191,6.6191,6.6191,0,0,6.619114
GB00B02LCQ05,300356886,AGY,GBP,2019-02-13,6.6744,6.6744,6.6744,6.6744,0,0,6.67435
GB00B02LCQ05,300356886,AGY,GBP,2019-02-14,6.6191,6.6191,6.6191,6.6191,0,0,6.619114
GB00B02LCQ05,300356886,AGY,GBP,2019-02-15,6.6191,6.6191,6.6191,6.6191,0,0,6.619114
