ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
GB00B06KBB18,300356866,AKN,GBP,2019-01-02,0.315,0.315,0.315,0.315,0,0,0.315
GB00B06KBB18,300356866,AKN,GBP,2019-01-03,0.32,0.32,0.32,0.32,0,0,0.32
GB00B06KBB18,300356866,AKN,GBP,2019-01-04,0.315,0.315,0.315,0.315,0,0,0.315
GB00B06KBB18,300356866,AKN,GBP,2019-01-07,0.325,0.325,0.325,0.325,0,0,0.325
GB00B06KBB18,300356866,AKN,GBP,2019-01-08,0.325,0.325,0.325,0.325,0,0,0.325
GB00B06KBB18,300356866,AKN,GBP,2019-01-09,0.305,0.305,0.305,0.305,0,0,0.305
GB00B06KBB18,300356866,AKN,GBP,2019-01-10,0.295,0.295,0.295,0.295,0,0,0.295
GB00B06KBB18,300356866,AKN,GBP,2019-01-11,0.305,0.305,0.305,0.305,0,0,0.305
GB00B06KBB18,300356866,AKN,GBP,2019-01-14,0.305,0.305,0.305,0.305,0,0,0.305
GB00B06KBB18,300356866,AKN,GBP,2019-01-15,0.305,0.305,0.305,0.305,0,0,0.305
GB00B06KBB18,300356866,AKN,GBP,2019-01-16,0.305,0.305,0.305,0.305,0,0,0.305
GB00B06KBB18,300356866,AKN,GBP,2019-01-17,0.295,0.295,0.295,0.295,0,0,0.295
GB00B06KBB18,300356866,AKN,GBP,2019-01-18,0.29,0.29,0.29,0.29,0,0,0.29
GB00B06KBB18,300356866,AKN,GBP,2019-01-21,0.29,0.29,0.29,0.29,0,0,0.29
GB00B06KBB18,300356866,AKN,GBP,2019-01-22,0.29,0.29,0.29,0.29,0,0,0.29
GB00B06KBB18,300356866,AKN,GBP,2019-01-23,0.29,0.29,0.29,0.29,0,0,0.29
GB00B06KBB18,300356866,AKN,GBP,2019-01-24,0.29,0.29,0.29,0.29,0,0,0.29
GB00B06KBB18,300356866,AKN,GBP,2019-01-25,0.29,0.29,0.29,0.29,0,0,0.29
GB00B06KBB18,300356866,AKN,GBP,2019-01-28,0.28,0.28,0.28,0.28,0,0,0.28
GB00B06KBB18,300356866,AKN,GBP,2019-01-29,0.275,0.275,0.275,0.275,0,0,0.275
GB00B06KBB18,300356866,AKN,GBP,2019-01-30,0.275,0.275,0.275,0.275,0,0,0.275
GB00B06KBB18,300356866,AKN,GBP,2019-01-31,0.275,0.275,0.275,0.275,0,0,0.275
GB00B06KBB18,300356866,AKN,GBP,2019-02-01,0.28,0.28,0.28,0.28,0,0,0.28
GB00B06KBB18,300356866,AKN,GBP,2019-02-04,0.255,0.255,0.255,0.255,0,0,0.255
GB00B06KBB18,300356866,AKN,GBP,2019-02-05,0.255,0.255,0.255,0.255,0,0,0.255
GB00B06KBB18,300356866,AKN,GBP,2019-02-06,0.255,0.255,0.255,0.255,0,0,0.255
GB00B06KBB18,300356866,AKN,GBP,2019-02-07,0.25,0.25,0.25,0.25,0,0,0.25
GB00B06KBB18,300356866,AKN,GBP,2019-02-08,0.3,0.3,0.3,0.3,0,0,0.3
GB00B06KBB18,300356866,AKN,GBP,2019-02-11,0.3,0.3,0.3,0.3,71109,1,0.3
GB00B06KBB18,300356866,AKN,GBP,2019-02-12,0.3,0.3,0.285,0.285,83999,1,0.3
GB00B06KBB18,300356866,AKN,GBP,2019-02-13,0.285,0.285,0.285,0.285,0,0,0.285
GB00B06KBB18,300356866,AKN,GBP,2019-02-14,0.285,0.285,0.285,0.285,0,0,0.285
GB00B06KBB18,300356866,AKN,GBP,2019-02-15,0.28,0.28,0.28,0.28,0,0,0.28
GB00B06KBB18,300356866,AKN,GBP,2019-02-18,0.29,0.29,0.29,0.29,0,0,0.29
GB00B06KBB18,300356866,AKN,GBP,2019-02-19,0.27,0.27,0.27,0.27,0,0,0.27
GB00B06KBB18,300356866,AKN,GBP,2019-02-20,0.27,0.27,0.27,0.27,0,0,0.27
GB00B06KBB18,300356866,AKN,GBP,2019-02-21,0.27,0.27,0.27,0.27,0,0,0.27
