ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
GB00B0744B38,34777674,BNZL,GBP,2019-01-02,2347.0,2373.0,2331.0,2358.0,1105709,5264,2355.3
GB00B0744B38,34777674,BNZL,GBP,2019-01-03,2349.0,2352.0,2310.0,2315.0,750605,4695,2323.1
GB00B0744B38,34777674,BNZL,GBP,2019-01-04,2338.0,2363.0,2302.0,2356.0,819357,5349,2337.8
GB00B0744B38,34777674,BNZL,GBP,2019-01-07,2371.0,2371.0,2329.0,2351.0,699291,4045,2347.8
GB00B0744B38,34777674,BNZL,GBP,2019-01-08,2352.0,2422.0,2346.0,2395.0,1333104,7451,2397.5
GB00B0744B38,34777674,BNZL,GBP,2019-01-09,2418.0,2422.0,2402.0,2422.0,1211811,5903,2416.5
GB00B0744B38,34777674,BNZL,GBP,2019-01-10,2415.0,2442.0,2406.0,2442.0,758420,3910,2435.6
GB00B0744B38,34777674,BNZL,GBP,2019-01-11,2443.0,2462.0,2423.0,2442.0,707345,4005,2440.0
GB00B0744B38,34777674,BNZL,GBP,2019-01-14,2433.0,2441.0,2405.0,2416.0,645666,3660,2416.7
GB00B0744B38,34777674,BNZL,GBP,2019-01-15,2416.0,2442.0,2410.0,2431.0,735964,3513,2430.1
GB00B0744B38,34777674,BNZL,GBP,2019-01-16,2374.0,2407.0,2321.0,2407.0,1875849,9454,2377.3
GB00B0744B38,34777674,BNZL,GBP,2019-01-17,2391.0,2420.0,2391.0,2412.0,624090,3144,2409.8
GB00B0744B38,34777674,BNZL,GBP,2019-01-18,2425.0,2431.0,2401.0,2421.0,1114442,6672,2416.4
GB00B0744B38,34777674,BNZL,GBP,2019-01-21,2418.0,2451.0,2418.0,2450.0,977583,5150,2445.6
GB00B0744B38,34777674,BNZL,GBP,2019-01-22,2443.0,2454.0,2399.0,2410.0,1049984,5792,2418.5
GB00B0744B38,34777674,BNZL,GBP,2019-01-23,2405.0,2408.0,2373.0,2388.0,1001631,5264,2390.6
GB00B0744B38,34777674,BNZL,GBP,2019-01-24,2392.0,2412.0,2379.0,2381.0,916439,4697,2390.7
GB00B0744B38,34777674,BNZL,GBP,2019-01-25,2367.0,2372.0,2336.0,2343.0,1481722,7156,2350.3
GB00B0744B38,34777674,BNZL,GBP,2019-01-28,2337.0,2361.0,2337.0,2357.0,1101125,5670,2353.5
GB00B0744B38,34777674,BNZL,GBP,2019-01-29,2364.0,2415.0,2358.0,2394.0,1023478,6056,2397.5
GB00B0744B38,34777674,BNZL,GBP,2019-01-30,2393.0,2428.0,2385.0,2426.0,882348,3851,2416.5
GB00B0744B38,34777674,BNZL,GBP,2019-01-31,2432.0,2448.0,2393.0,2400.0,1239787,6186,2406.9
GB00B0744B38,34777674,BNZL,GBP,2019-02-01,2406.0,2441.0,2394.0,2434.0,863724,4565,2431.1
GB00B0744B38,34777674,BNZL,GBP,2019-02-04,2433.0,2445.0,2429.0,2440.0,715908,3397,2438.9
GB00B0744B38,34777674,BNZL,GBP,2019-02-05,2443.0,2483.0,2433.0,2476.0,806010,3593,2470.9
GB00B0744B38,34777674,BNZL,GBP,2019-02-06,2463.0,2499.0,2458.0,2458.0,843109,4014,2468.0
GB00B0744B38,34777674,BNZL,GBP,2019-02-07,2449.0,2472.0,2440.0,2449.0,964516,5375,2456.3
GB00B0744B38,34777674,BNZL,GBP,2019-02-08,2446.0,2468.0,2434.0,2454.0,788097,4133,2456.6
GB00B0744B38,34777674,BNZL,GBP,2019-02-11,2472.0,2483.0,2456.0,2474.0,628804,3323,2471.6
GB00B0744B38,34777674,BNZL,GBP,2019-02-12,2475.0,2485.0,2452.0,2463.0,592153,3581,2465.3
GB00B0744B38,34777674,BNZL,GBP,2019-02-13,2470.0,2492.0,2465.0,2465.0,911382,3581,2474.2
GB00B0744B38,34777674,BNZL,GBP,2019-02-14,2469.0,2493.0,2467.0,2480.0,974730,5119,2480.5
GB00B0744B38,34777674,BNZL,GBP,2019-02-15,2485.0,2494.0,2469.0,2488.0,737375,3527,2486.9
GB00B0744B38,34777674,BNZL,GBP,2019-02-18,2483.0,2502.0,2475.0,2495.0,533835,3290,2490.4
GB00B0744B38,34777674,BNZL,GBP,2019-02-19,2500.0,2501.0,2481.0,2490.0,711932,4157,2490.2
GB00B0744B38,34777674,BNZL,GBP,2019-02-20,2500.0,2518.0,2491.0,2515.0,994463,5317,2508.6
GB00B0744B38,34777674,BNZL,GBP,2019-02-21,2522.0,2538.0,2513.0,2528.0,1075955,5411,2526.8
GB00B0744B38,34777674,BNZL,GBP,2019-02-22,2545.0,2547.0,2527.0,2539.0,1079717,5516,2536.8
GB00B0744B38,34777674,BNZL,GBP,2019-02-25,2502.0,2539.0,2414.0,2446.0,1796435,11593,2441.0
GB00B0744B38,34777674,BNZL,GBP,2019-02-26,2434.0,2440.0,2413.0,2420.0,1000659,6167,2424.8
GB00B0744B38,34777674,BNZL,GBP,2019-02-27,2395.0,2401.0,2349.0,2375.0,1120011,7594,2369.0
GB00B0744B38,34777674,BNZL,GBP,2019-02-28,2370.0,2390.0,2348.0,2373.0,1460178,7654,2365.7
GB00B0744B38,34777674,BNZL,GBP,2019-03-01,2374.0,2394.0,2367.0,2394.0,979163,5330,2384.4
GB00B0744B38,34777674,BNZL,GBP,2019-03-04,2394.0,2424.0,2386.0,2416.0,950016,4894,2413.0
GB00B0744B38,34777674,BNZL,GBP,2019-03-05,2416.0,2464.0,2411.0,2457.0,1127724,6414,2446.8
GB00B0744B38,34777674,BNZL,GBP,2019-03-06,2457.0,2474.0,2449.0,2457.0,1165696,6130,2459.0
GB00B0744B38,34777674,BNZL,GBP,2019-03-07,2454.0,2462.0,2433.0,2458.0,1021999,5871,2449.7
GB00B0744B38,34777674,BNZL,GBP,2019-03-08,2407.0,2450.0,2401.0,2430.0,1343704,8771,2429.0
GB00B0744B38,34777674,BNZL,GBP,2019-03-11,2439.0,2453.0,2430.0,2441.0,873515,5617,2440.8
