ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
GB00B0KM9T71,39131980,STEM,GBP,2019-01-02,277.0,285.6,268.4,272.0,51022,146,274.34
GB00B0KM9T71,39131980,STEM,GBP,2019-01-03,258.4,265.0,255.0,262.0,145768,222,260.42
GB00B0KM9T71,39131980,STEM,GBP,2019-01-04,268.0,268.0,260.4,262.0,26657,54,262.02
GB00B0KM9T71,39131980,STEM,GBP,2019-01-07,263.2,265.6,255.0,263.0,55221,153,261.78
GB00B0KM9T71,39131980,STEM,GBP,2019-01-08,260.0,269.6,260.0,269.4,37449,101,267.68
GB00B0KM9T71,39131980,STEM,GBP,2019-01-09,262.0,280.0,262.0,277.4,39599,104,275.4
GB00B0KM9T71,39131980,STEM,GBP,2019-01-10,278.0,282.6,278.0,280.0,37588,87,279.46
GB00B0KM9T71,39131980,STEM,GBP,2019-01-11,271.4,282.0,269.0,271.0,78639,111,275.06
GB00B0KM9T71,39131980,STEM,GBP,2019-01-14,267.0,278.6,267.0,275.4,10134,54,274.96
GB00B0KM9T71,39131980,STEM,GBP,2019-01-15,267.0,279.0,267.0,279.0,25928,75,277.52
GB00B0KM9T71,39131980,STEM,GBP,2019-01-16,267.0,275.0,260.0,260.0,24059,97,266.08
GB00B0KM9T71,39131980,STEM,GBP,2019-01-17,271.0,271.0,250.0,250.4,89468,130,256.26
GB00B0KM9T71,39131980,STEM,GBP,2019-01-18,249.0,260.0,249.0,254.0,60520,189,256.5
GB00B0KM9T71,39131980,STEM,GBP,2019-01-21,260.4,263.6,257.4,260.4,24783,47,261.3
GB00B0KM9T71,39131980,STEM,GBP,2019-01-22,262.0,270.0,261.0,266.0,26897,47,265.3
GB00B0KM9T71,39131980,STEM,GBP,2019-01-23,265.0,270.0,265.0,269.0,10857,39,268.38
GB00B0KM9T71,39131980,STEM,GBP,2019-01-24,273.0,273.0,265.4,266.6,5525,71,267.76
GB00B0KM9T71,39131980,STEM,GBP,2019-01-25,265.0,276.6,265.0,272.6,49156,140,272.04
GB00B0KM9T71,39131980,STEM,GBP,2019-01-28,278.0,286.0,272.4,275.4,114795,212,278.16
GB00B0KM9T71,39131980,STEM,GBP,2019-01-29,274.4,280.6,266.0,274.0,76968,132,274.56
GB00B0KM9T71,39131980,STEM,GBP,2019-01-30,272.6,280.0,272.0,280.0,42873,159,276.6
