ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
GB00B128J450,55584363,IPO,GBP,2019-01-02,107.6,112.4,106.4,112.4,398579,310,111.06
GB00B128J450,55584363,IPO,GBP,2019-01-03,109.2,111.2,108.0,109.4,380036,523,109.465
GB00B128J450,55584363,IPO,GBP,2019-01-04,108.6,111.6,105.8,107.0,343424,271,107.98
GB00B128J450,55584363,IPO,GBP,2019-01-07,105.4,109.6,105.4,109.0,236745,218,107.89
GB00B128J450,55584363,IPO,GBP,2019-01-08,105.4,110.6,105.4,108.2,291190,334,108.69
GB00B128J450,55584363,IPO,GBP,2019-01-09,110.0,112.0,107.0,109.0,583411,269,109.23
GB00B128J450,55584363,IPO,GBP,2019-01-10,107.0,111.4,107.0,109.8,603958,379,109.845
GB00B128J450,55584363,IPO,GBP,2019-01-11,107.8,113.6,107.8,109.8,766667,657,111.23
GB00B128J450,55584363,IPO,GBP,2019-01-14,110.6,113.2,107.6,111.6,328384,353,110.56
GB00B128J450,55584363,IPO,GBP,2019-01-15,109.0,113.6,109.0,111.2,554648,365,111.31
GB00B128J450,55584363,IPO,GBP,2019-01-16,109.2,110.8,108.6,110.0,410347,279,109.905
GB00B128J450,55584363,IPO,GBP,2019-01-17,111.0,111.0,106.6,109.2,420652,449,108.56
GB00B128J450,55584363,IPO,GBP,2019-01-18,110.0,111.0,108.4,109.0,518072,605,109.42
GB00B128J450,55584363,IPO,GBP,2019-01-21,109.6,110.2,107.2,108.2,145848,251,108.39
GB00B128J450,55584363,IPO,GBP,2019-01-22,106.0,109.2,103.8,106.0,640215,769,106.255
GB00B128J450,55584363,IPO,GBP,2019-01-23,108.2,108.2,103.6,106.0,605806,620,106.075
GB00B128J450,55584363,IPO,GBP,2019-01-24,104.6,108.4,104.6,107.8,501915,241,107.745
GB00B128J450,55584363,IPO,GBP,2019-01-25,105.6,110.0,105.6,108.8,169988,244,108.68
GB00B128J450,55584363,IPO,GBP,2019-01-28,106.2,109.6,106.2,108.4,126976,172,108.345
GB00B128J450,55584363,IPO,GBP,2019-01-29,108.4,112.0,108.4,112.0,743833,625,110.63
GB00B128J450,55584363,IPO,GBP,2019-01-30,109.0,112.8,109.0,112.4,282931,358,111.325
GB00B128J450,55584363,IPO,GBP,2019-01-31,109.2,114.6,103.4,106.0,630365,572,107.72
GB00B128J450,55584363,IPO,GBP,2019-02-01,106.8,110.6,106.0,109.2,439284,478,108.85
GB00B128J450,55584363,IPO,GBP,2019-02-04,110.6,110.6,105.8,107.2,422918,262,107.065
GB00B128J450,55584363,IPO,GBP,2019-02-05,109.0,109.0,105.6,107.8,532545,637,107.035
GB00B128J450,55584363,IPO,GBP,2019-02-06,108.4,108.4,106.0,108.0,234214,164,107.31
GB00B128J450,55584363,IPO,GBP,2019-02-07,109.0,109.0,104.6,105.4,359521,318,106.065
GB00B128J450,55584363,IPO,GBP,2019-02-08,104.2,104.8,102.0,102.8,409084,422,103.015
GB00B128J450,55584363,IPO,GBP,2019-02-11,101.4,105.0,100.6,103.8,252149,386,103.5
GB00B128J450,55584363,IPO,GBP,2019-02-12,104.4,106.4,101.6,102.8,575266,640,102.975
GB00B128J450,55584363,IPO,GBP,2019-02-13,105.2,107.6,101.7,107.6,242689,186,106.275
GB00B128J450,55584363,IPO,GBP,2019-02-14,109.0,109.0,102.2,102.8,501148,339,103.92
GB00B128J450,55584363,IPO,GBP,2019-02-15,105.8,108.8,103.4,106.2,555854,354,106.6
GB00B128J450,55584363,IPO,GBP,2019-02-18,105.6,110.4,105.6,109.0,523296,543,108.465
GB00B128J450,55584363,IPO,GBP,2019-02-19,106.2,108.2,103.8,105.2,625748,370,105.23
GB00B128J450,55584363,IPO,GBP,2019-02-20,103.8,106.6,101.2,103.0,423272,673,103.215
GB00B128J450,55584363,IPO,GBP,2019-02-21,100.8,107.8,100.8,104.8,524326,664,105.36
GB00B128J450,55584363,IPO,GBP,2019-02-22,106.6,107.0,104.4,104.4,54018,74,105.175
GB00B128J450,55584363,IPO,GBP,2019-02-25,106.6,106.6,101.2,102.4,287883,345,102.855
GB00B128J450,55584363,IPO,GBP,2019-02-26,103.8,104.8,102.3,102.4,310896,282,102.705
GB00B128J450,55584363,IPO,GBP,2019-02-27,102.0,103.4,101.2,101.8,138747,133,102.195
GB00B128J450,55584363,IPO,GBP,2019-02-28,101.4,102.6,100.0,101.0,355536,211,101.285
GB00B128J450,55584363,IPO,GBP,2019-03-01,101.8,104.0,101.4,103.2,408550,210,103.08
GB00B128J450,55584363,IPO,GBP,2019-03-04,103.8,104.4,99.9,100.0,334711,321,101.655
GB00B128J450,55584363,IPO,GBP,2019-03-05,101.0,102.0,99.8,100.2,606422,277,100.425
GB00B128J450,55584363,IPO,GBP,2019-03-06,100.0,102.0,98.0,98.4,553841,498,99.325
GB00B128J450,55584363,IPO,GBP,2019-03-07,99.0,100.6,97.3,99.7,355044,369,99.5
GB00B128J450,55584363,IPO,GBP,2019-03-08,97.6,99.8,97.5,97.9,645195,665,98.265
GB00B128J450,55584363,IPO,GBP,2019-03-11,99.9,99.9,97.6,99.3,365078,192,98.665
GB00B128J450,55584363,IPO,GBP,2019-03-12,100.4,100.4,97.1,97.8,330046,330,98.675
GB00B128J450,55584363,IPO,GBP,2019-03-13,96.1,99.1,96.1,98.8,556272,449,98.455
GB00B128J450,55584363,IPO,GBP,2019-03-14,100.6,101.4,97.5,99.5,729399,743,99.915
GB00B128J450,55584363,IPO,GBP,2019-03-15,102.6,102.6,98.8,99.4,965276,410,100.475
GB00B128J450,55584363,IPO,GBP,2019-03-18,98.5,100.6,95.7,97.9,319455,280,97.78
GB00B128J450,55584363,IPO,GBP,2019-03-19,95.8,99.4,95.8,97.8,187721,151,98.21
GB00B128J450,55584363,IPO,GBP,2019-03-20,97.9,98.2,95.8,96.5,121085,121,96.8
GB00B128J450,55584363,IPO,GBP,2019-03-21,98.5,98.5,92.9,96.2,170258,239,95.41
GB00B128J450,55584363,IPO,GBP,2019-03-22,95.7,96.7,90.7,90.9,309274,283,92.72
GB00B128J450,55584363,IPO,GBP,2019-03-25,93.0,93.4,90.1,90.5,597988,697,91.255
GB00B128J450,55584363,IPO,GBP,2019-03-26,90.2,90.2,85.4,88.2,1363011,755,88.685
GB00B128J450,55584363,IPO,GBP,2019-03-27,89.6,89.6,87.5,88.0,679416,498,88.26
GB00B128J450,55584363,IPO,GBP,2019-03-28,87.0,89.8,87.0,88.2,858361,897,88.175
GB00B128J450,55584363,IPO,GBP,2019-03-29,88.6,90.4,87.1,87.8,306650,350,88.005
GB00B128J450,55584363,IPO,GBP,2019-04-01,87.4,89.6,86.8,89.1,440828,392,88.355
GB00B128J450,55584363,IPO,GBP,2019-04-02,86.5,92.5,86.5,91.4,550638,580,90.335
GB00B128J450,55584363,IPO,GBP,2019-04-03,89.4,96.5,89.4,94.6,880690,536,94.335
GB00B128J450,55584363,IPO,GBP,2019-04-04,94.1,99.7,94.1,99.0,1793963,783,98.46
GB00B128J450,55584363,IPO,GBP,2019-04-05,100.4,100.4,95.9,97.6,293693,382,98.385
GB00B128J450,55584363,IPO,GBP,2019-04-08,95.3,98.4,95.3,97.1,292003,402,97.525
GB00B128J450,55584363,IPO,GBP,2019-04-09,95.6,97.8,95.0,95.2,252664,232,96.295
GB00B128J450,55584363,IPO,GBP,2019-04-10,96.1,97.2,94.6,95.6,189301,212,95.585
GB00B128J450,55584363,IPO,GBP,2019-04-11,93.2,99.3,93.2,99.3,511821,348,97.785
GB00B128J450,55584363,IPO,GBP,2019-04-12,97.0,101.0,97.0,99.6,754301,232,99.9
GB00B128J450,55584363,IPO,GBP,2019-04-15,99.0,103.2,98.5,100.4,506488,312,100.79
GB00B128J450,55584363,IPO,GBP,2019-04-16,100.4,102.0,96.7,97.0,290165,291,98.395
GB00B128J450,55584363,IPO,GBP,2019-04-17,96.4,98.4,95.7,96.9,530591,591,96.81
GB00B128J450,55584363,IPO,GBP,2019-04-18,95.7,97.3,93.3,95.8,295063,393,95.225
GB00B128J450,55584363,IPO,GBP,2019-04-23,97.7,97.7,93.5,93.5,304283,268,93.93
GB00B128J450,55584363,IPO,GBP,2019-04-24,93.5,99.0,93.5,99.0,310795,264,97.145
GB00B128J450,55584363,IPO,GBP,2019-04-25,97.0,101.8,97.0,99.1,896855,785,100.49
GB00B128J450,55584363,IPO,GBP,2019-04-26,99.3,100.4,98.6,98.6,453579,302,99.425
GB00B128J450,55584363,IPO,GBP,2019-04-29,99.6,99.7,97.4,98.5,292312,415,98.51
GB00B128J450,55584363,IPO,GBP,2019-04-30,99.9,101.2,98.4,100.0,272392,370,99.69
GB00B128J450,55584363,IPO,GBP,2019-05-01,101.6,104.0,99.8,99.8,559612,341,101.42
GB00B128J450,55584363,IPO,GBP,2019-05-02,100.0,100.2,98.9,99.2,228490,294,99.61
GB00B128J450,55584363,IPO,GBP,2019-05-03,100.0,100.0,94.9,95.5,237093,227,96.56
GB00B128J450,55584363,IPO,GBP,2019-05-07,96.7,97.5,93.0,93.0,240067,102,93.775
GB00B128J450,55584363,IPO,GBP,2019-05-08,92.3,94.0,91.5,93.0,177732,288,92.54
GB00B128J450,55584363,IPO,GBP,2019-05-09,94.0,94.0,91.0,92.5,367412,450,91.945
GB00B128J450,55584363,IPO,GBP,2019-05-10,93.4,94.6,92.0,92.8,300759,206,92.755
GB00B128J450,55584363,IPO,GBP,2019-05-13,93.3,93.3,90.4,90.6,295028,173,91.045
GB00B128J450,55584363,IPO,GBP,2019-05-14,92.2,93.4,90.0,93.0,379816,395,92.44
GB00B128J450,55584363,IPO,GBP,2019-05-15,93.5,94.3,90.0,90.0,208947,226,91.34
