ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
GB00B19Z1432,41053366,PZC,GBP,2019-01-02,217.8,219.6,211.4,212.8,262507,553,213.39
GB00B19Z1432,41053366,PZC,GBP,2019-01-03,217.0,217.0,211.0,214.4,136979,328,213.93
GB00B19Z1432,41053366,PZC,GBP,2019-01-04,209.4,214.4,209.4,211.8,214503,346,212.26
GB00B19Z1432,41053366,PZC,GBP,2019-01-07,214.0,214.0,209.8,212.2,235478,492,211.41
GB00B19Z1432,41053366,PZC,GBP,2019-01-08,207.2,219.2,207.2,212.0,240634,433,212.44
GB00B19Z1432,41053366,PZC,GBP,2019-01-09,207.8,213.8,207.8,211.2,314749,557,212.07
GB00B19Z1432,41053366,PZC,GBP,2019-01-10,216.2,216.2,210.6,212.0,362090,423,212.35
GB00B19Z1432,41053366,PZC,GBP,2019-01-11,211.8,212.8,210.6,211.6,141716,236,211.77
GB00B19Z1432,41053366,PZC,GBP,2019-01-14,211.4,213.2,207.6,211.2,271438,445,210.94
GB00B19Z1432,41053366,PZC,GBP,2019-01-15,212.0,215.2,209.0,213.8,240326,403,212.43
GB00B19Z1432,41053366,PZC,GBP,2019-01-16,208.6,216.6,208.6,212.0,232395,390,212.93
GB00B19Z1432,41053366,PZC,GBP,2019-01-17,211.0,212.8,207.8,210.8,220918,215,209.49
GB00B19Z1432,41053366,PZC,GBP,2019-01-18,211.0,212.0,208.2,211.4,435262,622,210.9
GB00B19Z1432,41053366,PZC,GBP,2019-01-21,210.8,214.0,210.8,211.6,388525,394,212.8
GB00B19Z1432,41053366,PZC,GBP,2019-01-22,211.0,212.8,209.2,209.4,648780,1090,210.35
GB00B19Z1432,41053366,PZC,GBP,2019-01-23,209.4,213.8,207.8,213.4,749905,1228,209.95
GB00B19Z1432,41053366,PZC,GBP,2019-01-24,208.2,212.8,208.2,209.8,279695,495,211.06
GB00B19Z1432,41053366,PZC,GBP,2019-01-25,206.8,211.4,206.8,211.4,522805,320,210.15
GB00B19Z1432,41053366,PZC,GBP,2019-01-28,210.0,211.0,206.8,209.6,113137,182,209.46
GB00B19Z1432,41053366,PZC,GBP,2019-01-29,193.0,194.0,175.0,178.6,1363889,1968,183.3
GB00B19Z1432,41053366,PZC,GBP,2019-01-30,177.4,183.2,175.0,181.0,543674,844,178.57
GB00B19Z1432,41053366,PZC,GBP,2019-01-31,176.8,182.8,176.8,178.8,531554,687,180.13
GB00B19Z1432,41053366,PZC,GBP,2019-02-01,180.6,185.6,179.2,185.6,683769,757,182.36
GB00B19Z1432,41053366,PZC,GBP,2019-02-04,182.4,190.0,182.4,189.6,418001,658,188.25
GB00B19Z1432,41053366,PZC,GBP,2019-02-05,193.0,193.0,186.2,188.8,245903,394,188.05
GB00B19Z1432,41053366,PZC,GBP,2019-02-06,184.2,191.2,184.2,191.2,454452,403,188.59
GB00B19Z1432,41053366,PZC,GBP,2019-02-07,188.6,190.8,182.4,188.4,330889,608,187.46
