ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
GB00B1YW4409,45145440,III,GBP,2019-01-02,768.4,785.2,756.0,783.6,2075620,5191,778.42
GB00B1YW4409,45145440,III,GBP,2019-01-03,780.6,788.8,774.0,774.0,1745074,4216,779.52
GB00B1YW4409,45145440,III,GBP,2019-01-04,783.4,805.8,781.8,804.4,1583156,3636,797.04
GB00B1YW4409,45145440,III,GBP,2019-01-07,806.2,812.4,801.2,802.4,1560129,3613,804.96
GB00B1YW4409,45145440,III,GBP,2019-01-08,805.0,813.8,802.0,806.6,2360407,7205,806.72
GB00B1YW4409,45145440,III,GBP,2019-01-09,809.0,824.0,806.6,815.0,2294321,6043,815.4
GB00B1YW4409,45145440,III,GBP,2019-01-10,811.4,824.6,811.4,823.0,1378192,3524,821.66
GB00B1YW4409,45145440,III,GBP,2019-01-11,825.0,833.6,821.4,825.6,1490519,3470,826.36
GB00B1YW4409,45145440,III,GBP,2019-01-14,828.0,830.2,807.6,815.0,1507670,3641,816.68
GB00B1YW4409,45145440,III,GBP,2019-01-15,823.4,838.8,819.6,835.8,2284201,5115,831.48
GB00B1YW4409,45145440,III,GBP,2019-01-16,859.0,859.0,829.2,837.8,2680446,6539,837.42
GB00B1YW4409,45145440,III,GBP,2019-01-17,833.2,839.8,807.8,817.0,2160061,5596,817.84
GB00B1YW4409,45145440,III,GBP,2019-01-18,824.2,844.0,821.4,838.8,1924575,5315,834.72
GB00B1YW4409,45145440,III,GBP,2019-01-21,837.2,841.0,833.6,837.2,936233,2546,837.26
GB00B1YW4409,45145440,III,GBP,2019-01-22,827.4,846.0,827.4,837.2,1355607,3949,839.36
GB00B1YW4409,45145440,III,GBP,2019-01-23,840.0,840.0,811.8,812.6,1564137,3933,819.62
GB00B1YW4409,45145440,III,GBP,2019-01-24,819.4,835.8,816.4,824.0,1867357,4420,826.42
GB00B1YW4409,45145440,III,GBP,2019-01-25,832.0,838.8,819.8,819.8,1812884,4372,827.38
GB00B1YW4409,45145440,III,GBP,2019-01-28,817.8,824.6,808.6,810.8,1000632,2623,812.54
GB00B1YW4409,45145440,III,GBP,2019-01-29,812.4,834.0,812.4,830.4,1721869,3781,827.62
GB00B1YW4409,45145440,III,GBP,2019-01-30,825.2,850.2,825.2,843.8,1664634,5053,842.7
GB00B1YW4409,45145440,III,GBP,2019-01-31,831.0,857.6,831.0,849.6,3446902,10844,849.22
GB00B1YW4409,45145440,III,GBP,2019-02-01,851.6,874.0,851.6,870.2,1932953,7713,868.66
GB00B1YW4409,45145440,III,GBP,2019-02-04,868.8,886.6,867.2,885.6,2137500,5951,882.58
GB00B1YW4409,45145440,III,GBP,2019-02-05,882.8,908.4,879.8,908.4,3051874,7383,900.96
GB00B1YW4409,45145440,III,GBP,2019-02-06,910.8,916.4,899.6,911.8,2733529,7737,910.8
GB00B1YW4409,45145440,III,GBP,2019-02-07,910.4,924.4,907.8,908.2,2230724,7289,915.68
GB00B1YW4409,45145440,III,GBP,2019-02-08,913.2,913.2,903.4,904.8,2243143,6192,908.1
GB00B1YW4409,45145440,III,GBP,2019-02-11,911.4,921.4,906.2,921.0,1463001,3660,917.36
GB00B1YW4409,45145440,III,GBP,2019-02-12,921.0,922.2,907.0,910.0,2155021,5984,911.78
GB00B1YW4409,45145440,III,GBP,2019-02-13,908.8,931.2,908.8,930.8,1887382,5076,926.96
GB00B1YW4409,45145440,III,GBP,2019-02-14,937.2,949.2,932.2,935.2,2292387,6609,938.14
GB00B1YW4409,45145440,III,GBP,2019-02-15,936.2,955.2,933.4,947.0,2093382,5788,947.54
GB00B1YW4409,45145440,III,GBP,2019-02-18,942.2,948.6,935.6,940.8,1146408,3896,942.88
GB00B1YW4409,45145440,III,GBP,2019-02-19,939.8,952.0,936.6,944.2,1543957,3624,944.54
GB00B1YW4409,45145440,III,GBP,2019-02-20,942.0,951.0,940.6,950.6,1461604,4103,947.42
GB00B1YW4409,45145440,III,GBP,2019-02-21,949.0,953.0,938.8,945.6,2021535,5586,946.46
GB00B1YW4409,45145440,III,GBP,2019-02-22,947.0,959.6,944.4,953.0,1576027,4112,954.16
GB00B1YW4409,45145440,III,GBP,2019-02-25,954.2,958.6,950.0,955.8,1247362,3526,955.24
GB00B1YW4409,45145440,III,GBP,2019-02-26,947.8,965.0,943.2,958.0,1750622,4729,956.08
GB00B1YW4409,45145440,III,GBP,2019-02-27,951.4,957.0,931.8,935.4,2394286,7344,939.82
GB00B1YW4409,45145440,III,GBP,2019-02-28,933.8,952.2,927.8,945.8,2232187,4731,943.84
GB00B1YW4409,45145440,III,GBP,2019-03-01,950.0,965.2,946.8,956.6,2127912,4953,959.38
GB00B1YW4409,45145440,III,GBP,2019-03-04,958.8,963.6,953.8,955.4,1162574,3684,957.56
GB00B1YW4409,45145440,III,GBP,2019-03-05,952.2,967.6,951.0,961.8,1388995,4188,961.74
GB00B1YW4409,45145440,III,GBP,2019-03-06,956.8,968.6,956.0,966.4,1438455,4280,963.86
GB00B1YW4409,45145440,III,GBP,2019-03-07,959.4,967.4,950.4,957.6,1553539,7106,958.08
GB00B1YW4409,45145440,III,GBP,2019-03-08,950.6,957.4,937.6,942.2,2146051,6697,944.44
GB00B1YW4409,45145440,III,GBP,2019-03-11,951.2,965.8,949.8,956.4,1631358,4081,958.98
GB00B1YW4409,45145440,III,GBP,2019-03-12,957.0,970.0,954.8,959.2,2554448,7284,960.48
GB00B1YW4409,45145440,III,GBP,2019-03-13,955.8,974.0,955.8,965.0,1761975,4616,967.38
GB00B1YW4409,45145440,III,GBP,2019-03-14,966.6,972.4,960.0,960.0,2678057,7906,965.1
GB00B1YW4409,45145440,III,GBP,2019-03-15,961.6,968.6,949.2,949.2,7486359,8121,953.66
GB00B1YW4409,45145440,III,GBP,2019-03-18,955.0,972.0,951.4,972.0,2775454,6076,966.54
GB00B1YW4409,45145440,III,GBP,2019-03-19,967.0,978.8,967.0,973.6,2007437,4824,974.54
GB00B1YW4409,45145440,III,GBP,2019-03-20,972.6,981.0,965.0,965.6,2125657,5875,971.24
GB00B1YW4409,45145440,III,GBP,2019-03-21,960.6,978.4,960.6,969.2,2397612,6060,970.66
GB00B1YW4409,45145440,III,GBP,2019-03-22,970.0,978.8,955.6,959.8,2833146,7791,966.46
GB00B1YW4409,45145440,III,GBP,2019-03-25,961.6,963.2,949.6,950.8,1936707,5216,953.9
GB00B1YW4409,45145440,III,GBP,2019-03-26,959.2,963.2,949.2,957.2,2013174,5355,956.9
GB00B1YW4409,45145440,III,GBP,2019-03-27,963.8,970.6,957.6,970.6,1952895,4853,967.6
GB00B1YW4409,45145440,III,GBP,2019-03-28,967.4,977.8,967.4,971.0,2043932,5604,972.72
GB00B1YW4409,45145440,III,GBP,2019-03-29,970.0,988.4,970.0,984.8,2652838,6967,983.66
GB00B1YW4409,45145440,III,GBP,2019-04-01,986.0,996.0,982.8,996.0,2140635,5539,992.78
GB00B1YW4409,45145440,III,GBP,2019-04-02,1002.0,1017.6,996.2,1009.6,2260082,5718,1006.36
GB00B1YW4409,45145440,III,GBP,2019-04-03,1017.4,1034.6,1006.4,1031.4,2054826,4580,1026.0
GB00B1YW4409,45145440,III,GBP,2019-04-04,1030.0,1033.0,1024.0,1029.0,1662221,3705,1028.04
GB00B1YW4409,45145440,III,GBP,2019-04-05,1032.4,1036.6,1028.0,1032.0,1922572,4244,1032.5
GB00B1YW4409,45145440,III,GBP,2019-04-08,1030.4,1036.6,1024.0,1035.0,1742508,3747,1032.8
GB00B1YW4409,45145440,III,GBP,2019-04-09,1035.4,1039.6,1028.4,1028.6,2467160,4852,1032.1
GB00B1YW4409,45145440,III,GBP,2019-04-10,1030.0,1034.0,1022.4,1031.4,2167312,4605,1029.86
GB00B1YW4409,45145440,III,GBP,2019-04-11,1029.4,1047.0,1027.4,1042.4,1272321,2806,1040.64
GB00B1YW4409,45145440,III,GBP,2019-04-12,1047.0,1061.0,1043.4,1060.0,2139111,5643,1054.7
GB00B1YW4409,45145440,III,GBP,2019-04-15,1054.4,1067.0,1054.4,1063.0,1879902,3713,1063.58
GB00B1YW4409,45145440,III,GBP,2019-04-16,1065.0,1069.0,1063.0,1068.6,2420884,5595,1067.04
GB00B1YW4409,45145440,III,GBP,2019-04-17,1069.0,1082.6,1067.0,1078.6,1948326,5785,1077.02
GB00B1YW4409,45145440,III,GBP,2019-04-18,1081.4,1081.6,1066.4,1080.0,903065,2569,1076.66
GB00B1YW4409,45145440,III,GBP,2019-04-23,1034.0,1088.6,1034.0,1088.4,2771813,5752,1079.82
GB00B1YW4409,45145440,III,GBP,2019-04-24,1091.0,1093.6,1081.2,1082.0,2126180,4720,1084.5
GB00B1YW4409,45145440,III,GBP,2019-04-25,1083.0,1085.6,1071.4,1079.4,1799448,3290,1079.32
GB00B1YW4409,45145440,III,GBP,2019-04-26,1084.0,1086.0,1074.4,1079.0,2698050,5703,1078.3
GB00B1YW4409,45145440,III,GBP,2019-04-29,1083.0,1087.0,1077.0,1081.0,1546364,3702,1082.3
GB00B1YW4409,45145440,III,GBP,2019-04-30,1078.6,1085.0,1061.0,1070.6,2990079,5314,1070.38
GB00B1YW4409,45145440,III,GBP,2019-05-01,1074.4,1076.6,1067.4,1073.4,1341795,3792,1072.44
GB00B1YW4409,45145440,III,GBP,2019-05-02,1066.4,1076.0,1062.0,1068.6,1971425,3822,1069.08
GB00B1YW4409,45145440,III,GBP,2019-05-03,1070.0,1072.6,1064.0,1066.0,1443032,3602,1067.78
GB00B1YW4409,45145440,III,GBP,2019-05-07,1064.0,1076.0,1051.4,1057.4,2055550,4988,1060.48
GB00B1YW4409,45145440,III,GBP,2019-05-08,1052.6,1063.6,1050.4,1057.4,2884248,6353,1058.64
GB00B1YW4409,45145440,III,GBP,2019-05-09,1053.6,1066.6,1046.4,1050.4,2036492,4670,1053.68
GB00B1YW4409,45145440,III,GBP,2019-05-10,1053.6,1059.0,1039.4,1042.4,2033840,5428,1046.1
GB00B1YW4409,45145440,III,GBP,2019-05-13,1038.4,1043.6,1028.4,1032.4,1494765,3439,1034.58
