ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
GB00B2B0DG97,48005591,REL,GBP,2019-01-02,1594.4,1623.0,1571.0,1617.0,3958122,9861,1611.34
GB00B2B0DG97,48005591,REL,GBP,2019-01-03,1605.0,1617.0,1594.0,1603.0,3930081,11051,1606.36
GB00B2B0DG97,48005591,REL,GBP,2019-01-04,1613.0,1631.0,1601.0,1631.0,3429732,9165,1618.86
GB00B2B0DG97,48005591,REL,GBP,2019-01-07,1642.0,1645.0,1618.0,1631.0,3168231,8252,1627.8
GB00B2B0DG97,48005591,REL,GBP,2019-01-08,1632.0,1661.6,1630.4,1648.0,3283322,7691,1652.88
GB00B2B0DG97,48005591,REL,GBP,2019-01-09,1662.6,1664.6,1632.0,1633.4,5382980,10798,1642.7
GB00B2B0DG97,48005591,REL,GBP,2019-01-10,1630.4,1641.6,1620.0,1641.6,5259614,11058,1632.86
GB00B2B0DG97,48005591,REL,GBP,2019-01-11,1652.0,1658.0,1629.4,1638.4,3971959,7833,1640.44
GB00B2B0DG97,48005591,REL,GBP,2019-01-14,1632.4,1643.6,1614.0,1615.6,3851846,8398,1622.76
GB00B2B0DG97,48005591,REL,GBP,2019-01-15,1623.4,1634.6,1609.4,1632.0,3573501,8089,1626.34
GB00B2B0DG97,48005591,REL,GBP,2019-01-16,1631.4,1645.6,1615.0,1636.4,5610163,12934,1633.72
GB00B2B0DG97,48005591,REL,GBP,2019-01-17,1635.0,1660.0,1635.0,1646.4,4619974,10942,1646.98
GB00B2B0DG97,48005591,REL,GBP,2019-01-18,1645.0,1671.6,1643.0,1667.0,4882897,10757,1661.26
GB00B2B0DG97,48005591,REL,GBP,2019-01-21,1667.0,1681.6,1666.0,1672.6,2970791,7303,1675.1
GB00B2B0DG97,48005591,REL,GBP,2019-01-22,1671.0,1689.0,1669.4,1676.4,2901393,7353,1679.36
GB00B2B0DG97,48005591,REL,GBP,2019-01-23,1675.0,1676.0,1654.4,1660.4,4619808,10735,1661.5
GB00B2B0DG97,48005591,REL,GBP,2019-01-24,1663.0,1663.0,1638.0,1641.0,4036127,8263,1644.3
GB00B2B0DG97,48005591,REL,GBP,2019-01-25,1644.0,1646.0,1614.0,1620.0,5066943,12512,1626.16
GB00B2B0DG97,48005591,REL,GBP,2019-01-28,1613.0,1621.6,1606.0,1614.6,4630816,10171,1613.14
GB00B2B0DG97,48005591,REL,GBP,2019-01-29,1620.4,1650.0,1617.0,1647.0,6109924,12381,1640.14
GB00B2B0DG97,48005591,REL,GBP,2019-01-30,1649.0,1682.6,1649.0,1673.0,4186692,9839,1670.24
GB00B2B0DG97,48005591,REL,GBP,2019-01-31,1670.4,1696.0,1665.0,1686.4,6418692,12444,1683.32
GB00B2B0DG97,48005591,REL,GBP,2019-02-01,1690.4,1701.6,1684.0,1701.4,4091693,11028,1694.44
GB00B2B0DG97,48005591,REL,GBP,2019-02-04,1698.4,1713.0,1695.0,1713.0,4152619,7810,1706.12
GB00B2B0DG97,48005591,REL,GBP,2019-02-05,1715.0,1739.0,1707.4,1739.0,4866599,9056,1731.3
GB00B2B0DG97,48005591,REL,GBP,2019-02-06,1737.6,1739.0,1710.0,1715.6,3642997,8390,1721.2
GB00B2B0DG97,48005591,REL,GBP,2019-02-07,1711.4,1734.0,1706.0,1706.0,4782974,10488,1718.0
GB00B2B0DG97,48005591,REL,GBP,2019-02-08,1710.6,1725.0,1708.4,1721.0,4000049,8352,1719.7
GB00B2B0DG97,48005591,REL,GBP,2019-02-11,1730.4,1739.8,1715.0,1738.0,2718720,5520,1731.3
GB00B2B0DG97,48005591,REL,GBP,2019-02-12,1737.0,1739.0,1719.0,1727.0,2890918,5740,1726.74
GB00B2B0DG97,48005591,REL,GBP,2019-02-13,1710.0,1727.6,1692.0,1726.0,5385670,12376,1713.58
GB00B2B0DG97,48005591,REL,GBP,2019-02-14,1738.0,1750.0,1734.4,1742.0,3862799,9297,1742.7
GB00B2B0DG97,48005591,REL,GBP,2019-02-15,1738.0,1742.6,1716.4,1720.0,5182439,11249,1727.5
GB00B2B0DG97,48005591,REL,GBP,2019-02-18,1715.4,1715.6,1688.0,1692.4,5337195,11517,1698.2
GB00B2B0DG97,48005591,REL,GBP,2019-02-19,1687.0,1693.6,1673.4,1676.4,4971250,11088,1680.56
GB00B2B0DG97,48005591,REL,GBP,2019-02-20,1680.4,1688.0,1675.0,1685.0,3575627,8300,1682.7
GB00B2B0DG97,48005591,REL,GBP,2019-02-21,1685.0,1768.0,1683.4,1765.6,7752160,18452,1743.1
GB00B2B0DG97,48005591,REL,GBP,2019-02-22,1775.4,1781.6,1762.0,1769.4,4635439,10682,1771.28
GB00B2B0DG97,48005591,REL,GBP,2019-02-25,1772.0,1775.6,1745.6,1756.6,3345156,7919,1754.04
