ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
GB00B3FBWW43,441330025,SDI,GBP,2020-08-21,64.6,64.6,64.4,64.6,0,0,64.6
GB00B3FBWW43,441330025,SDI,GBP,2020-08-24,67.0,67.0,67.0,67.0,0,0,67.0
GB00B3FBWW43,441330025,SDI,GBP,2020-08-25,69.0,69.0,69.0,69.0,1165,1,69.0
GB00B3FBWW43,441330025,SDI,GBP,2020-08-26,67.6,67.6,67.4,67.6,0,0,67.6
GB00B3FBWW43,441330025,SDI,GBP,2020-08-27,68.6,68.6,68.4,68.6,0,0,68.6
GB00B3FBWW43,441330025,SDI,GBP,2020-08-28,68.6,68.6,68.4,68.6,0,0,68.6
GB00B3FBWW43,441330025,SDI,GBP,2020-09-01,69.0,69.0,69.0,69.0,0,0,69.0
GB00B3FBWW43,441330025,SDI,GBP,2020-09-02,71.0,71.0,71.0,71.0,0,0,71.0
GB00B3FBWW43,441330025,SDI,GBP,2020-09-03,68.6,68.6,68.6,68.6,3442,1,68.6
GB00B3FBWW43,441330025,SDI,GBP,2020-09-04,68.0,68.0,68.0,68.0,1176,1,68.0
GB00B3FBWW43,441330025,SDI,GBP,2020-09-07,67.4,67.4,67.4,67.4,1589,1,67.4
GB00B3FBWW43,441330025,SDI,GBP,2020-09-08,67.0,67.0,67.0,67.0,0,0,67.0
GB00B3FBWW43,441330025,SDI,GBP,2020-09-09,68.0,68.0,68.0,68.0,2700,1,68.0
GB00B3FBWW43,441330025,SDI,GBP,2020-09-10,67.0,67.0,67.0,67.0,0,0,67.0
GB00B3FBWW43,441330025,SDI,GBP,2020-09-11,67.0,67.0,67.0,67.0,0,0,67.0
GB00B3FBWW43,441330025,SDI,GBP,2020-09-14,67.0,67.0,67.0,67.0,0,0,67.0
GB00B3FBWW43,441330025,SDI,GBP,2020-09-15,67.0,67.0,67.0,67.0,0,0,67.0
GB00B3FBWW43,441330025,SDI,GBP,2020-09-16,67.0,67.0,67.0,67.0,0,0,67.0
GB00B3FBWW43,441330025,SDI,GBP,2020-09-17,66.0,66.0,66.0,66.0,0,0,66.0
GB00B3FBWW43,441330025,SDI,GBP,2020-09-18,63.2,63.2,63.2,63.2,0,0,63.2
GB00B3FBWW43,441330025,SDI,GBP,2020-09-21,59.4,59.4,59.4,59.4,15000,1,59.4
GB00B3FBWW43,441330025,SDI,GBP,2020-09-22,61.0,61.0,61.0,61.0,0,0,61.0
GB00B3FBWW43,441330025,SDI,GBP,2020-09-23,64.6,64.6,64.4,64.6,0,0,64.6
