ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
GB00B7KR2P84,103665937,EZJ,GBP,2019-01-02,935.856,952.694,906.7263,927.7738,1405779,5286,923.210702
GB00B7KR2P84,103665937,EZJ,GBP,2019-01-03,924.4062,945.1169,913.4615,914.3034,1467561,5222,922.7224
GB00B7KR2P84,103665937,EZJ,GBP,2019-01-04,918.5129,931.9833,909.252,931.9833,1813136,4796,924.06944
GB00B7KR2P84,103665937,EZJ,GBP,2019-01-07,936.1928,946.2956,924.4062,926.09,2275299,7368,932.791524
GB00B7KR2P84,103665937,EZJ,GBP,2019-01-08,920.1967,979.6348,916.8291,965.9961,2796184,9737,959.361888
GB00B7KR2P84,103665937,EZJ,GBP,2019-01-09,979.4665,985.023,953.8727,967.8482,2377776,8678,966.265468
GB00B7KR2P84,103665937,EZJ,GBP,2019-01-10,959.766,982.4973,950.5051,961.4498,1683652,5928,961.146716
GB00B7KR2P84,103665937,EZJ,GBP,2019-01-11,967.8482,982.4973,958.9241,980.8135,1570229,5531,974.41506
GB00B7KR2P84,103665937,EZJ,GBP,2019-01-14,982.4973,998.9985,976.604,991.7582,2855410,10017,990.091238
GB00B7KR2P84,103665937,EZJ,GBP,2019-01-15,998.1566,1001.5242,974.2467,985.023,2933127,11985,986.319526
GB00B7KR2P84,103665937,EZJ,GBP,2019-01-16,990.5795,1019.2041,982.4973,1004.3867,2122072,7265,1005.447494
GB00B7KR2P84,103665937,EZJ,GBP,2019-01-17,991.7582,997.6515,966.5012,984.1811,3398464,10863,980.47674
GB00B7KR2P84,103665937,EZJ,GBP,2019-01-18,940.0655,993.9471,933.6671,986.7068,5463259,18616,971.518924
GB00B7KR2P84,103665937,EZJ,GBP,2019-01-21,993.7788,1011.9638,977.4459,977.951,1977527,6480,988.47479
GB00B7KR2P84,103665937,EZJ,GBP,2019-01-22,968.185,1052.0382,965.6593,1039.4097,5257146,18458,1025.568904
GB00B7KR2P84,103665937,EZJ,GBP,2019-01-23,1031.8326,1078.979,1028.2967,1077.632,4240426,14906,1067.579714
GB00B7KR2P84,103665937,EZJ,GBP,2019-01-24,1071.2336,1084.8723,1038.9046,1056.0794,2877603,10760,1060.137318
GB00B7KR2P84,103665937,EZJ,GBP,2019-01-25,1064.1616,1097.5008,1056.5845,1088.2399,3499209,11953,1083.558976
GB00B7KR2P84,103665937,EZJ,GBP,2019-01-28,1092.2811,1108.4455,1078.8107,1088.5767,1825241,7627,1088.475672
GB00B7KR2P84,103665937,EZJ,GBP,2019-01-29,1080.9996,1097.5008,1067.5292,1075.6114,2891287,9614,1079.888292
GB00B7KR2P84,103665937,EZJ,GBP,2019-01-30,1073.9276,1099.1846,1065.8454,1086.051,1687601,7273,1085.949972
GB00B7KR2P84,103665937,EZJ,GBP,2019-01-31,1080.1577,1094.47,1061.9727,1064.1616,2632146,8035,1068.691022
GB00B7KR2P84,103665937,EZJ,GBP,2019-02-01,1060.794,1079.8209,1060.2889,1070.8968,2129012,8122,1069.499246
GB00B7KR2P84,103665937,EZJ,GBP,2019-02-04,1071.2336,1074.7695,1035.8738,1071.2336,2210132,8112,1061.13076
GB00B7KR2P84,103665937,EZJ,GBP,2019-02-05,1080.9996,1095.3119,1072.0755,1093.123,2456479,8475,1092.02849
GB00B7KR2P84,103665937,EZJ,GBP,2019-02-06,1091.1024,1116.3594,1073.4225,1111.308,2648567,10074,1104.623314
GB00B7KR2P84,103665937,EZJ,GBP,2019-02-07,1094.47,1105.4147,1084.3672,1095.817,2299414,7958,1096.40637
GB00B7KR2P84,103665937,EZJ,GBP,2019-02-08,1091.1024,1100.0265,1076.7901,1078.8107,2139626,7250,1083.660004
GB00B7KR2P84,103665937,EZJ,GBP,2019-02-11,1081.5047,1103.3941,1075.9482,1083.5253,1904259,7008,1086.791872
