ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
GB00B8C3BL03,129028068,SGE,GBP,2019-01-02,603.4,605.6,593.4,599.4,3755092,6567,598.93
GB00B8C3BL03,129028068,SGE,GBP,2019-01-03,593.8,594.4,572.2,572.2,4419919,7757,578.67
GB00B8C3BL03,129028068,SGE,GBP,2019-01-04,580.2,595.6,575.6,593.4,3657990,6120,588.01
GB00B8C3BL03,129028068,SGE,GBP,2019-01-07,599.4,603.8,592.6,598.6,3050177,4808,598.37
GB00B8C3BL03,129028068,SGE,GBP,2019-01-08,603.2,610.8,598.4,600.0,4202051,7469,602.43
GB00B8C3BL03,129028068,SGE,GBP,2019-01-09,607.0,620.6,606.8,608.8,4457483,8499,611.65
GB00B8C3BL03,129028068,SGE,GBP,2019-01-10,604.2,624.0,603.6,621.0,3311937,6093,619.11
GB00B8C3BL03,129028068,SGE,GBP,2019-01-11,612.0,612.0,596.6,608.0,3949710,6867,607.22
GB00B8C3BL03,129028068,SGE,GBP,2019-01-14,602.0,610.6,590.4,592.0,4456614,10170,596.84
GB00B8C3BL03,129028068,SGE,GBP,2019-01-15,593.8,605.0,592.0,604.0,4283851,8380,600.43
GB00B8C3BL03,129028068,SGE,GBP,2019-01-16,614.8,614.8,593.0,593.0,4836314,7882,599.67
GB00B8C3BL03,129028068,SGE,GBP,2019-01-17,628.0,644.4,620.4,625.0,9710142,18724,627.6
GB00B8C3BL03,129028068,SGE,GBP,2019-01-18,625.6,633.8,619.0,632.6,6096397,10331,628.61
GB00B8C3BL03,129028068,SGE,GBP,2019-01-21,632.0,633.2,625.6,628.0,2307001,3921,628.46
GB00B8C3BL03,129028068,SGE,GBP,2019-01-22,627.6,630.6,621.8,623.6,3247724,6063,625.31
GB00B8C3BL03,129028068,SGE,GBP,2019-01-23,620.0,627.6,617.0,624.2,3152277,7151,622.85
GB00B8C3BL03,129028068,SGE,GBP,2019-01-24,624.2,632.6,624.2,625.6,2414066,4790,627.07
GB00B8C3BL03,129028068,SGE,GBP,2019-01-25,629.2,635.0,626.0,630.2,3762787,6879,631.21
GB00B8C3BL03,129028068,SGE,GBP,2019-01-28,633.2,636.8,626.8,628.2,3683938,7538,628.8
GB00B8C3BL03,129028068,SGE,GBP,2019-01-29,627.6,635.8,622.6,628.8,4989684,6814,630.32
GB00B8C3BL03,129028068,SGE,GBP,2019-01-30,629.6,634.8,627.4,631.0,2365030,4413,631.17
GB00B8C3BL03,129028068,SGE,GBP,2019-01-31,631.0,634.2,623.4,626.0,3658539,4924,626.77
GB00B8C3BL03,129028068,SGE,GBP,2019-02-01,629.0,630.6,623.2,626.8,3128499,5993,626.19
GB00B8C3BL03,129028068,SGE,GBP,2019-02-04,629.4,645.5,628.6,642.8,3098004,5788,641.79
GB00B8C3BL03,129028068,SGE,GBP,2019-02-05,642.6,653.4,640.2,652.4,3455045,5767,650.42
GB00B8C3BL03,129028068,SGE,GBP,2019-02-06,649.6,659.2,649.6,655.4,2959606,5385,655.22
GB00B8C3BL03,129028068,SGE,GBP,2019-02-07,643.4,646.8,634.0,634.6,3375984,6932,639.5
GB00B8C3BL03,129028068,SGE,GBP,2019-02-08,638.6,643.8,632.2,641.6,3563315,6691,641.8
GB00B8C3BL03,129028068,SGE,GBP,2019-02-11,647.0,651.2,642.0,647.6,3352919,6500,647.88
GB00B8C3BL03,129028068,SGE,GBP,2019-02-12,647.0,648.4,634.0,640.0,2909759,5974,639.0
GB00B8C3BL03,129028068,SGE,GBP,2019-02-13,641.8,655.4,636.6,655.0,3332963,7095,650.34
GB00B8C3BL03,129028068,SGE,GBP,2019-02-14,659.8,665.2,651.8,662.8,4720666,8250,661.48
GB00B8C3BL03,129028068,SGE,GBP,2019-02-15,660.2,661.8,654.6,659.0,3459313,5641,659.11
GB00B8C3BL03,129028068,SGE,GBP,2019-02-18,657.2,664.6,655.0,660.0,1870924,4070,660.92
GB00B8C3BL03,129028068,SGE,GBP,2019-02-19,661.2,663.2,658.2,660.0,2309222,4496,660.34
GB00B8C3BL03,129028068,SGE,GBP,2019-02-20,659.2,664.6,658.4,662.6,2635520,4712,662.15
GB00B8C3BL03,129028068,SGE,GBP,2019-02-21,660.0,664.6,656.6,658.0,2107521,3850,659.82
GB00B8C3BL03,129028068,SGE,GBP,2019-02-22,660.0,664.4,658.4,663.8,2367563,4488,662.48
