ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
GB00B8DV9647,125984794,COG,GBP,2019-01-02,87.0,87.0,85.0,85.0,1099,1,87.0
GB00B8DV9647,125984794,COG,GBP,2019-01-03,83.6,83.6,83.6,83.6,0,0,83.6
GB00B8DV9647,125984794,COG,GBP,2019-01-04,83.6,83.6,83.6,83.6,0,0,83.6
GB00B8DV9647,125984794,COG,GBP,2019-01-07,83.6,83.6,83.6,83.6,0,0,83.6
GB00B8DV9647,125984794,COG,GBP,2019-01-08,83.0,83.0,83.0,83.0,0,0,83.0
GB00B8DV9647,125984794,COG,GBP,2019-01-09,83.0,83.0,83.0,83.0,0,0,83.0
GB00B8DV9647,125984794,COG,GBP,2019-01-10,82.6,82.6,82.6,82.6,0,0,82.6
GB00B8DV9647,125984794,COG,GBP,2019-01-11,79.0,79.0,79.0,79.0,0,0,79.0
GB00B8DV9647,125984794,COG,GBP,2019-01-14,79.0,79.0,79.0,79.0,0,0,79.0
GB00B8DV9647,125984794,COG,GBP,2019-01-15,79.0,79.0,79.0,79.0,0,0,79.0
GB00B8DV9647,125984794,COG,GBP,2019-01-16,79.0,79.0,79.0,79.0,0,0,79.0
GB00B8DV9647,125984794,COG,GBP,2019-01-17,79.0,79.0,79.0,79.0,0,0,79.0
GB00B8DV9647,125984794,COG,GBP,2019-01-18,79.0,79.0,79.0,79.0,0,0,79.0
GB00B8DV9647,125984794,COG,GBP,2019-01-21,79.0,79.0,79.0,79.0,0,0,79.0
GB00B8DV9647,125984794,COG,GBP,2019-01-22,79.0,79.0,79.0,79.0,0,0,79.0
GB00B8DV9647,125984794,COG,GBP,2019-01-23,79.0,79.0,79.0,79.0,0,0,79.0
GB00B8DV9647,125984794,COG,GBP,2019-01-24,79.0,79.0,79.0,79.0,0,0,79.0
GB00B8DV9647,125984794,COG,GBP,2019-01-25,79.0,79.0,79.0,79.0,0,0,79.0
GB00B8DV9647,125984794,COG,GBP,2019-01-28,79.0,79.0,79.0,79.0,0,0,79.0
GB00B8DV9647,125984794,COG,GBP,2019-01-29,79.0,79.0,79.0,79.0,0,0,79.0
GB00B8DV9647,125984794,COG,GBP,2019-01-30,79.0,79.0,79.0,79.0,0,0,79.0
GB00B8DV9647,125984794,COG,GBP,2019-01-31,90.0,90.0,90.0,90.0,0,0,90.0
GB00B8DV9647,125984794,COG,GBP,2019-02-01,91.6,91.6,91.6,91.6,0,0,91.6
GB00B8DV9647,125984794,COG,GBP,2019-02-04,91.6,91.6,91.6,91.6,0,0,91.6
GB00B8DV9647,125984794,COG,GBP,2019-02-05,91.6,91.6,91.6,91.6,0,0,91.6
GB00B8DV9647,125984794,COG,GBP,2019-02-06,86.0,86.0,86.0,86.0,0,0,86.0
GB00B8DV9647,125984794,COG,GBP,2019-02-07,86.0,86.0,86.0,86.0,0,0,86.0
GB00B8DV9647,125984794,COG,GBP,2019-02-08,86.0,86.0,86.0,86.0,0,0,86.0
GB00B8DV9647,125984794,COG,GBP,2019-02-11,84.0,84.0,84.0,84.0,0,0,84.0
GB00B8DV9647,125984794,COG,GBP,2019-02-12,84.0,84.0,84.0,84.0,0,0,84.0
GB00B8DV9647,125984794,COG,GBP,2019-02-13,85.0,85.0,85.0,85.0,0,0,85.0
GB00B8DV9647,125984794,COG,GBP,2019-02-14,84.6,84.6,84.6,84.6,0,0,84.6
GB00B8DV9647,125984794,COG,GBP,2019-02-15,84.6,84.6,84.6,84.6,0,0,84.6
GB00B8DV9647,125984794,COG,GBP,2019-02-18,84.6,84.6,84.6,84.6,0,0,84.6
