ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
GB00BCKFY513,134810363,FOXT,GBP,2019-01-02,54.0,54.0,51.5,52.6,101896,74,52.805
GB00BCKFY513,134810363,FOXT,GBP,2019-01-03,54.0,54.0,51.7,53.3,29589,68,52.77
GB00BCKFY513,134810363,FOXT,GBP,2019-01-04,52.0,53.2,51.6,53.2,15415,41,52.665
GB00BCKFY513,134810363,FOXT,GBP,2019-01-07,49.8,52.4,49.6,52.0,46042,84,50.635
GB00BCKFY513,134810363,FOXT,GBP,2019-01-08,52.4,52.4,50.1,52.4,79835,65,51.125
GB00BCKFY513,134810363,FOXT,GBP,2019-01-09,53.5,53.5,51.5,53.3,119770,90,52.1
GB00BCKFY513,134810363,FOXT,GBP,2019-01-10,53.3,53.3,51.4,52.7,57572,102,52.475
GB00BCKFY513,134810363,FOXT,GBP,2019-01-11,54.0,54.0,52.3,53.0,92679,98,52.975
GB00BCKFY513,134810363,FOXT,GBP,2019-01-14,54.0,54.0,51.5,53.0,13763,44,52.92
GB00BCKFY513,134810363,FOXT,GBP,2019-01-15,51.5,53.8,51.5,53.1,55179,58,53.12
GB00BCKFY513,134810363,FOXT,GBP,2019-01-16,52.8,53.9,52.2,52.8,153571,117,53.46
GB00BCKFY513,134810363,FOXT,GBP,2019-01-17,53.0,53.9,51.6,53.9,13341,40,52.985
GB00BCKFY513,134810363,FOXT,GBP,2019-01-18,54.3,54.5,51.8,52.7,105993,92,53.12
GB00BCKFY513,134810363,FOXT,GBP,2019-01-21,51.0,54.0,51.0,53.35,13419,31,53.235
GB00BCKFY513,134810363,FOXT,GBP,2019-01-22,52.6,53.0,51.8,53.0,9797,32,52.39
GB00BCKFY513,134810363,FOXT,GBP,2019-01-23,54.0,54.0,51.5,52.4,54652,84,52.345
GB00BCKFY513,134810363,FOXT,GBP,2019-01-24,51.0,53.8,51.0,51.6,79402,48,52.74
GB00BCKFY513,134810363,FOXT,GBP,2019-01-25,51.0,53.8,51.0,53.0,41967,29,53.26
GB00BCKFY513,134810363,FOXT,GBP,2019-01-28,51.0,53.6,51.0,52.2,34757,44,52.62
GB00BCKFY513,134810363,FOXT,GBP,2019-01-29,51.0,53.7,51.0,53.0,92038,149,53.17
GB00BCKFY513,134810363,FOXT,GBP,2019-01-30,54.0,54.0,52.9,53.5,80515,63,53.065
GB00BCKFY513,134810363,FOXT,GBP,2019-01-31,50.0,53.3,50.0,53.0,37752,26,53.03
GB00BCKFY513,134810363,FOXT,GBP,2019-02-01,53.5,53.5,52.4,53.5,46598,37,52.82
GB00BCKFY513,134810363,FOXT,GBP,2019-02-04,50.7,53.5,50.7,53.25,72175,38,52.53
GB00BCKFY513,134810363,FOXT,GBP,2019-02-05,51.0,53.1,51.0,53.0,56597,27,52.61
GB00BCKFY513,134810363,FOXT,GBP,2019-02-06,51.0,53.9,51.0,52.1,87054,55,52.945
GB00BCKFY513,134810363,FOXT,GBP,2019-02-07,51.0,52.3,51.0,51.0,8625,9,51.345
GB00BCKFY513,134810363,FOXT,GBP,2019-02-08,51.0,53.5,51.0,53.5,11202,11,52.905
GB00BCKFY513,134810363,FOXT,GBP,2019-02-11,51.0,54.0,51.0,54.0,12885,25,52.345
GB00BCKFY513,134810363,FOXT,GBP,2019-02-12,52.0,53.9,52.0,53.9,27399,17,52.895
GB00BCKFY513,134810363,FOXT,GBP,2019-02-13,51.0,53.3,51.0,52.65,23173,23,52.43
GB00BCKFY513,134810363,FOXT,GBP,2019-02-14,50.1,53.4,50.1,53.2,50309,23,52.995
GB00BCKFY513,134810363,FOXT,GBP,2019-02-15,55.4,55.4,51.9,52.0,60213,23,52.335
GB00BCKFY513,134810363,FOXT,GBP,2019-02-18,54.4,54.4,51.0,51.0,42274,61,52.755
GB00BCKFY513,134810363,FOXT,GBP,2019-02-19,51.4,54.0,51.4,53.65,179385,194,53.255
GB00BCKFY513,134810363,FOXT,GBP,2019-02-20,51.1,55.9,51.1,54.4,225952,213,54.015
GB00BCKFY513,134810363,FOXT,GBP,2019-02-21,54.9,56.7,54.9,55.3,621711,297,55.96
GB00BCKFY513,134810363,FOXT,GBP,2019-02-22,57.1,57.7,56.9,57.3,454270,78,57.09
GB00BCKFY513,134810363,FOXT,GBP,2019-02-25,60.1,65.8,58.3,59.1,453302,198,59.68
GB00BCKFY513,134810363,FOXT,GBP,2019-02-26,59.6,61.1,58.2,59.5,163412,94,59.7
GB00BCKFY513,134810363,FOXT,GBP,2019-02-27,61.7,61.7,60.6,61.2,77175,42,61.01
GB00BCKFY513,134810363,FOXT,GBP,2019-02-28,61.5,61.7,59.0,61.7,70229,38,60.355
GB00BCKFY513,134810363,FOXT,GBP,2019-03-01,62.0,62.9,59.1,62.0,358278,163,62.035
GB00BCKFY513,134810363,FOXT,GBP,2019-03-04,62.0,63.7,60.4,62.3,130421,70,62.05
GB00BCKFY513,134810363,FOXT,GBP,2019-03-05,63.6,64.2,63.2,63.5,70131,15,63.47
GB00BCKFY513,134810363,FOXT,GBP,2019-03-06,66.9,67.1,63.8,67.0,640401,215,65.79
GB00BCKFY513,134810363,FOXT,GBP,2019-03-07,65.0,71.2,65.0,67.3,168420,134,68.335
GB00BCKFY513,134810363,FOXT,GBP,2019-03-08,65.0,68.0,65.0,67.2,185172,110,66.79
GB00BCKFY513,134810363,FOXT,GBP,2019-03-11,68.1,68.4,66.5,66.5,9359,18,67.68
GB00BCKFY513,134810363,FOXT,GBP,2019-03-12,66.4,67.3,66.2,66.2,74855,54,66.605
GB00BCKFY513,134810363,FOXT,GBP,2019-03-13,63.0,67.7,63.0,66.5,132165,46,65.705
GB00BCKFY513,134810363,FOXT,GBP,2019-03-14,66.5,67.8,66.2,67.4,548124,274,67.1
GB00BCKFY513,134810363,FOXT,GBP,2019-03-15,66.3,67.4,65.4,66.9,154530,117,66.32
GB00BCKFY513,134810363,FOXT,GBP,2019-03-18,67.1,68.4,64.5,66.5,92379,54,66.335
GB00BCKFY513,134810363,FOXT,GBP,2019-03-19,66.5,66.5,65.7,66.5,23563,22,66.14
GB00BCKFY513,134810363,FOXT,GBP,2019-03-20,65.6,66.4,65.6,66.2,3125,7,66.38
GB00BCKFY513,134810363,FOXT,GBP,2019-03-21,66.5,66.5,65.1,66.5,39044,41,65.91
GB00BCKFY513,134810363,FOXT,GBP,2019-03-22,65.0,65.1,63.1,64.9,63879,44,64.03
GB00BCKFY513,134810363,FOXT,GBP,2019-03-25,65.6,65.8,64.5,64.5,44092,38,65.125
GB00BCKFY513,134810363,FOXT,GBP,2019-03-26,66.0,66.0,63.1,63.1,39102,32,63.9
GB00BCKFY513,134810363,FOXT,GBP,2019-03-27,66.0,66.0,60.9,60.9,8480,17,62.275
GB00BCKFY513,134810363,FOXT,GBP,2019-03-28,60.9,64.5,60.9,64.0,155987,80,63.605
GB00BCKFY513,134810363,FOXT,GBP,2019-03-29,65.5,65.5,62.5,63.7,204485,148,63.345
GB00BCKFY513,134810363,FOXT,GBP,2019-04-01,65.6,65.6,62.5,64.0,37584,37,63.82
GB00BCKFY513,134810363,FOXT,GBP,2019-04-02,62.8,64.4,62.8,64.2,583185,79,63.815
GB00BCKFY513,134810363,FOXT,GBP,2019-04-03,64.4,65.1,64.3,64.5,103389,57,64.535
GB00BCKFY513,134810363,FOXT,GBP,2019-04-04,64.8,64.8,63.5,63.8,50015,49,64.27
GB00BCKFY513,134810363,FOXT,GBP,2019-04-05,63.7,65.0,63.7,64.7,64476,26,64.35
GB00BCKFY513,134810363,FOXT,GBP,2019-04-08,64.0,64.5,63.0,63.9,23668,31,63.385
