ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
GB00BD3VFW73,253381733,CTEC,GBP,2019-01-02,139.0,139.0,130.4,135.95,7383067,5536,134.69
GB00BD3VFW73,253381733,CTEC,GBP,2019-01-03,135.7,137.8,134.9,135.0,4928305,3685,135.89
GB00BD3VFW73,253381733,CTEC,GBP,2019-01-04,134.3,140.4,134.3,140.0,8064410,5117,138.99
GB00BD3VFW73,253381733,CTEC,GBP,2019-01-07,142.2,143.9,139.0,141.75,6876957,5542,140.97
GB00BD3VFW73,253381733,CTEC,GBP,2019-01-08,141.2,142.3,139.5,140.15,6634136,5240,140.3
GB00BD3VFW73,253381733,CTEC,GBP,2019-01-09,140.9,145.1,139.9,142.3,5566149,4991,142.35
GB00BD3VFW73,253381733,CTEC,GBP,2019-01-10,142.1,144.3,141.2,142.55,5175602,3618,142.375
GB00BD3VFW73,253381733,CTEC,GBP,2019-01-11,143.0,144.9,141.1,143.0,4548608,3220,142.33
GB00BD3VFW73,253381733,CTEC,GBP,2019-01-14,142.2,142.2,139.0,139.0,2800303,2067,139.35
GB00BD3VFW73,253381733,CTEC,GBP,2019-01-15,139.5,140.3,135.5,136.75,6880378,5311,136.825
GB00BD3VFW73,253381733,CTEC,GBP,2019-01-16,137.2,138.8,134.8,138.2,6406607,5133,137.13
GB00BD3VFW73,253381733,CTEC,GBP,2019-01-17,137.9,140.7,136.6,138.45,5521320,3845,138.485
GB00BD3VFW73,253381733,CTEC,GBP,2019-01-18,141.1,141.1,138.6,140.2,6948447,4651,139.815
GB00BD3VFW73,253381733,CTEC,GBP,2019-01-21,140.2,142.1,139.0,141.55,5230002,3927,141.095
GB00BD3VFW73,253381733,CTEC,GBP,2019-01-22,142.0,144.9,139.2,139.85,6980179,4085,140.82
GB00BD3VFW73,253381733,CTEC,GBP,2019-01-23,139.5,140.7,137.8,138.0,6603904,3487,138.83
GB00BD3VFW73,253381733,CTEC,GBP,2019-01-24,139.0,140.4,138.4,139.0,6560281,4681,139.195
GB00BD3VFW73,253381733,CTEC,GBP,2019-01-25,139.1,140.4,138.4,139.65,6903422,4698,139.625
GB00BD3VFW73,253381733,CTEC,GBP,2019-01-28,139.1,141.3,138.8,139.95,8227772,8700,140.185
GB00BD3VFW73,253381733,CTEC,GBP,2019-01-29,139.6,143.7,139.1,141.2,8508930,5814,141.555
GB00BD3VFW73,253381733,CTEC,GBP,2019-01-30,142.5,142.8,139.8,141.5,5964459,4079,141.465
GB00BD3VFW73,253381733,CTEC,GBP,2019-01-31,142.4,146.1,142.4,142.8,9020794,5679,143.805
GB00BD3VFW73,253381733,CTEC,GBP,2019-02-01,142.6,143.7,141.1,142.35,6037333,3730,142.325
GB00BD3VFW73,253381733,CTEC,GBP,2019-02-04,143.3,143.3,140.3,140.5,8181005,4248,140.875
GB00BD3VFW73,253381733,CTEC,GBP,2019-02-05,140.9,147.3,140.9,146.8,8801252,5841,144.655
GB00BD3VFW73,253381733,CTEC,GBP,2019-02-06,146.7,147.2,144.9,145.7,5393144,2865,145.945
GB00BD3VFW73,253381733,CTEC,GBP,2019-02-07,145.9,147.9,144.05,144.05,3674511,1977,145.03
GB00BD3VFW73,253381733,CTEC,GBP,2019-02-08,143.9,143.9,140.8,142.0,6873720,4117,141.765
GB00BD3VFW73,253381733,CTEC,GBP,2019-02-11,143.3,144.8,141.8,143.6,5422473,3626,143.57
GB00BD3VFW73,253381733,CTEC,GBP,2019-02-12,143.8,147.6,143.6,145.65,7298556,4209,146.365
GB00BD3VFW73,253381733,CTEC,GBP,2019-02-13,146.8,148.7,145.7,148.25,7902243,4418,147.89
GB00BD3VFW73,253381733,CTEC,GBP,2019-02-14,125.0,128.3,113.3,120.2,40500682,24047,119.305
GB00BD3VFW73,253381733,CTEC,GBP,2019-02-15,120.9,121.0,115.3,118.55,18999248,10489,118.275
GB00BD3VFW73,253381733,CTEC,GBP,2019-02-18,120.1,123.2,118.9,121.45,8902240,5945,121.705
GB00BD3VFW73,253381733,CTEC,GBP,2019-02-19,121.2,121.7,119.6,121.2,6925480,4299,120.98
GB00BD3VFW73,253381733,CTEC,GBP,2019-02-20,121.7,127.0,121.4,126.55,7248644,4760,124.845
GB00BD3VFW73,253381733,CTEC,GBP,2019-02-21,127.1,130.0,126.2,130.0,11627144,6511,128.77
GB00BD3VFW73,253381733,CTEC,GBP,2019-02-22,130.4,131.4,128.9,129.05,9994603,5393,129.58
GB00BD3VFW73,253381733,CTEC,GBP,2019-02-25,129.8,129.9,128.0,128.9,7225863,3423,129.185
GB00BD3VFW73,253381733,CTEC,GBP,2019-02-26,128.5,129.8,127.5,128.95,6537990,3861,128.86
