ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
GB00BJFFLV09,362829916,CRDA,GBP,2019-04-29,5030.0,5194.0,5028.0,5153.0,265849,3334,5164.1
GB00BJFFLV09,362829916,CRDA,GBP,2019-04-30,5148.0,5183.0,5127.0,5181.0,371832,4673,5165.5
GB00BJFFLV09,362829916,CRDA,GBP,2019-05-01,5206.0,5208.0,5130.0,5136.0,153664,1242,5163.6
GB00BJFFLV09,362829916,CRDA,GBP,2019-05-02,5120.0,5135.0,5085.0,5095.0,254414,2929,5101.5
GB00BJFFLV09,362829916,CRDA,GBP,2019-05-03,5115.0,5155.0,5080.0,5080.0,286275,3319,5107.6
GB00BJFFLV09,362829916,CRDA,GBP,2019-05-07,5065.0,5100.0,4992.0,5035.0,451847,4094,5032.3
GB00BJFFLV09,362829916,CRDA,GBP,2019-05-08,5045.0,5135.0,5005.0,5125.0,465520,4631,5082.4
GB00BJFFLV09,362829916,CRDA,GBP,2019-05-09,5150.0,5170.0,5055.0,5065.0,374257,3512,5087.6
GB00BJFFLV09,362829916,CRDA,GBP,2019-05-10,5120.0,5120.0,5037.0,5070.0,289132,3056,5075.3
GB00BJFFLV09,362829916,CRDA,GBP,2019-05-13,5050.0,5060.0,4962.0,5010.0,334699,3628,5000.6
GB00BJFFLV09,362829916,CRDA,GBP,2019-05-14,5005.0,5075.0,5000.0,5075.0,280493,2204,5051.8
GB00BJFFLV09,362829916,CRDA,GBP,2019-05-15,5065.0,5145.0,5050.0,5105.0,317456,2765,5104.5
GB00BJFFLV09,362829916,CRDA,GBP,2019-05-16,5125.0,5190.0,5100.0,5140.0,468211,3844,5141.3
GB00BJFFLV09,362829916,CRDA,GBP,2019-05-17,5130.0,5150.0,5100.0,5135.0,383051,3573,5123.3
GB00BJFFLV09,362829916,CRDA,GBP,2019-05-20,5110.0,5140.0,5080.0,5095.0,284949,2537,5101.1
GB00BJFFLV09,362829916,CRDA,GBP,2019-05-21,5100.0,5145.0,5045.0,5070.0,349457,3505,5081.3
GB00BJFFLV09,362829916,CRDA,GBP,2019-05-22,5090.0,5185.0,5085.0,5155.0,377083,3717,5141.4
GB00BJFFLV09,362829916,CRDA,GBP,2019-05-23,5135.0,5145.0,5065.0,5115.0,308243,2979,5099.0
GB00BJFFLV09,362829916,CRDA,GBP,2019-05-24,5125.0,5165.0,5060.0,5135.0,296778,2825,5135.2
GB00BJFFLV09,362829916,CRDA,GBP,2019-05-28,5165.0,5215.0,5100.0,5100.0,520537,3153,5127.1
GB00BJFFLV09,362829916,CRDA,GBP,2019-05-29,5045.0,5100.0,4994.0,5030.0,270159,2637,5033.6
GB00BJFFLV09,362829916,CRDA,GBP,2019-05-30,5050.0,5080.0,5005.0,5080.0,256236,2027,5063.4
GB00BJFFLV09,362829916,CRDA,GBP,2019-05-31,5060.0,5070.0,5015.0,5070.0,393237,3069,5050.9
GB00BJFFLV09,362829916,CRDA,GBP,2019-06-03,5045.0,5130.0,5010.0,5115.0,312502,2890,5087.3
GB00BJFFLV09,362829916,CRDA,GBP,2019-06-04,5105.0,5125.0,4998.0,5040.0,529749,5119,5044.8
GB00BJFFLV09,362829916,CRDA,GBP,2019-06-05,5060.0,5095.0,5020.0,5085.0,400046,3197,5072.2
GB00BJFFLV09,362829916,CRDA,GBP,2019-06-06,5050.0,5170.0,5050.0,5105.0,328770,3072,5113.0
GB00BJFFLV09,362829916,CRDA,GBP,2019-06-07,5110.0,5225.0,5110.0,5200.0,280108,2627,5190.4
GB00BJFFLV09,362829916,CRDA,GBP,2019-06-10,5240.0,5240.0,5190.0,5230.0,198575,2126,5220.2
GB00BJFFLV09,362829916,CRDA,GBP,2019-06-11,5250.0,5265.0,5222.0,5260.0,288718,2478,5247.7
GB00BJFFLV09,362829916,CRDA,GBP,2019-06-12,5245.0,5285.0,5205.0,5250.0,362822,3032,5242.8
GB00BJFFLV09,362829916,CRDA,GBP,2019-06-13,5245.0,5290.0,5200.0,5245.0,374611,3402,5250.1
GB00BJFFLV09,362829916,CRDA,GBP,2019-06-14,5240.0,5250.0,5190.0,5240.0,327516,3181,5230.6
GB00BJFFLV09,362829916,CRDA,GBP,2019-06-17,5250.0,5270.0,5190.0,5235.0,340176,2867,5232.8
GB00BJFFLV09,362829916,CRDA,GBP,2019-06-18,5240.0,5345.0,5222.0,5335.0,323940,3417,5302.1
GB00BJFFLV09,362829916,CRDA,GBP,2019-06-19,5325.0,5345.0,5220.0,5230.0,377458,2819,5249.8
GB00BJFFLV09,362829916,CRDA,GBP,2019-06-20,5270.0,5365.0,5260.0,5330.0,312099,2828,5322.8
GB00BJFFLV09,362829916,CRDA,GBP,2019-06-21,5330.0,5375.0,5315.0,5375.0,730093,2961,5363.1
GB00BJFFLV09,362829916,CRDA,GBP,2019-06-24,5380.0,5395.0,5340.0,5345.0,264220,2315,5358.8
GB00BJFFLV09,362829916,CRDA,GBP,2019-06-25,5340.0,5360.0,5320.0,5335.0,252648,2648,5340.7
GB00BJFFLV09,362829916,CRDA,GBP,2019-06-26,5325.0,5350.0,5285.0,5285.0,346243,2394,5307.5
GB00BJFFLV09,362829916,CRDA,GBP,2019-06-27,5240.0,5240.0,5105.0,5150.0,721669,5779,5155.0
GB00BJFFLV09,362829916,CRDA,GBP,2019-06-28,5170.0,5180.0,5080.0,5120.0,609564,5238,5119.8
GB00BJFFLV09,362829916,CRDA,GBP,2019-07-01,5165.0,5215.0,5085.0,5090.0,703279,5885,5125.0
GB00BJFFLV09,362829916,CRDA,GBP,2019-07-02,5000.0,5020.0,4780.0,4888.0,1090450,11442,4871.2
GB00BJFFLV09,362829916,CRDA,GBP,2019-07-03,4920.0,4940.0,4846.0,4938.0,1026348,9748,4895.1
GB00BJFFLV09,362829916,CRDA,GBP,2019-07-04,4938.0,4976.0,4910.0,4970.0,301022,2343,4959.6
GB00BJFFLV09,362829916,CRDA,GBP,2019-07-05,4922.0,4938.0,4846.0,4880.0,647484,6481,4879.5
GB00BJFFLV09,362829916,CRDA,GBP,2019-07-08,4820.0,4898.0,4820.0,4884.0,364800,3901,4872.7
GB00BJFFLV09,362829916,CRDA,GBP,2019-07-09,4774.0,4844.0,4734.0,4834.0,622854,6673,4792.0
GB00BJFFLV09,362829916,CRDA,GBP,2019-07-10,4800.0,4842.0,4764.0,4812.0,489524,5325,4808.8
GB00BJFFLV09,362829916,CRDA,GBP,2019-07-11,4820.0,4822.0,4744.0,4784.0,601068,5518,4779.6
GB00BJFFLV09,362829916,CRDA,GBP,2019-07-12,4792.0,4824.0,4778.0,4790.0,465213,4524,4795.7
GB00BJFFLV09,362829916,CRDA,GBP,2019-07-15,4800.0,4875.0,4780.0,4856.0,532223,4990,4835.3
GB00BJFFLV09,362829916,CRDA,GBP,2019-07-16,4888.0,4940.0,4858.0,4876.0,636868,5816,4883.3
GB00BJFFLV09,362829916,CRDA,GBP,2019-07-17,4836.0,4912.0,4812.0,4900.0,591122,6750,4890.7
GB00BJFFLV09,362829916,CRDA,GBP,2019-07-18,4854.0,4881.0,4761.0,4820.0,667183,6122,4807.7
GB00BJFFLV09,362829916,CRDA,GBP,2019-07-19,4850.0,4882.0,4828.0,4836.0,395354,4079,4849.1
GB00BJFFLV09,362829916,CRDA,GBP,2019-07-22,4850.0,4850.0,4790.0,4796.0,360797,3722,4812.5
GB00BJFFLV09,362829916,CRDA,GBP,2019-07-23,4836.0,4848.0,4798.0,4826.0,727770,6196,4826.4
GB00BJFFLV09,362829916,CRDA,GBP,2019-07-24,4570.0,4696.0,4536.0,4662.0,1375191,12294,4640.3
GB00BJFFLV09,362829916,CRDA,GBP,2019-07-25,4696.0,4696.0,4606.0,4616.0,786410,8177,4638.4
GB00BJFFLV09,362829916,CRDA,GBP,2019-07-26,4614.0,4688.0,4594.0,4674.0,678040,5291,4655.8
GB00BJFFLV09,362829916,CRDA,GBP,2019-07-29,4666.0,4822.0,4654.0,4760.0,676014,6330,4766.3
GB00BJFFLV09,362829916,CRDA,GBP,2019-07-30,4770.0,4812.0,4738.0,4754.0,461821,5337,4769.9
GB00BJFFLV09,362829916,CRDA,GBP,2019-07-31,4710.0,4738.0,4642.0,4688.0,582066,5418,4688.7
GB00BJFFLV09,362829916,CRDA,GBP,2019-08-01,4672.0,4700.0,4632.0,4666.0,533723,6477,4664.3
GB00BJFFLV09,362829916,CRDA,GBP,2019-08-02,4618.0,4712.0,4572.0,4676.0,823131,8903,4676.5
GB00BJFFLV09,362829916,CRDA,GBP,2019-08-05,4654.0,4674.0,4608.0,4674.0,768059,8183,4650.2
GB00BJFFLV09,362829916,CRDA,GBP,2019-08-06,4628.0,4696.0,4586.0,4586.0,474757,5119,4630.5
GB00BJFFLV09,362829916,CRDA,GBP,2019-08-07,4600.0,4662.0,4600.0,4636.0,393722,4117,4632.8
GB00BJFFLV09,362829916,CRDA,GBP,2019-08-08,4662.0,4752.0,4644.0,4752.0,405106,4191,4722.6
GB00BJFFLV09,362829916,CRDA,GBP,2019-08-09,4734.0,4804.0,4718.0,4744.0,547963,5473,4762.3
GB00BJFFLV09,362829916,CRDA,GBP,2019-08-12,4782.0,4792.0,4696.0,4708.0,289430,3528,4718.1
GB00BJFFLV09,362829916,CRDA,GBP,2019-08-13,4604.0,4716.0,4576.0,4694.0,530169,5230,4662.9
GB00BJFFLV09,362829916,CRDA,GBP,2019-08-14,4698.0,4700.0,4644.0,4678.0,558407,5789,4672.6
GB00BJFFLV09,362829916,CRDA,GBP,2019-08-15,4676.0,4708.0,4624.0,4676.0,593788,7413,4669.4
GB00BJFFLV09,362829916,CRDA,GBP,2019-08-16,4616.0,4746.0,4616.0,4680.0,394607,4181,4680.8
GB00BJFFLV09,362829916,CRDA,GBP,2019-08-19,4702.0,4726.0,4664.0,4688.0,373036,4067,4688.8
GB00BJFFLV09,362829916,CRDA,GBP,2019-08-20,4692.0,4738.0,4630.0,4636.0,365428,4994,4665.4
GB00BJFFLV09,362829916,CRDA,GBP,2019-08-21,4628.0,4730.0,4628.0,4728.0,179117,2575,4716.9
GB00BJFFLV09,362829916,CRDA,GBP,2019-08-22,4698.0,4700.0,4614.0,4616.0,380663,3826,4632.8
GB00BJFFLV09,362829916,CRDA,GBP,2019-08-23,4660.0,4680.0,4580.0,4580.0,381815,4646,4619.6
GB00BJFFLV09,362829916,CRDA,GBP,2019-08-27,4580.0,4594.0,4523.0,4564.0,564422,5666,4552.9
GB00BJFFLV09,362829916,CRDA,GBP,2019-08-28,4564.0,4578.0,4514.0,4564.0,379006,4428,4553.2
GB00BJFFLV09,362829916,CRDA,GBP,2019-08-29,4562.0,4712.0,4510.0,4644.0,344778,4173,4643.5
GB00BJFFLV09,362829916,CRDA,GBP,2019-08-30,4650.0,4716.0,4628.0,4702.0,629768,5250,4688.0
GB00BJFFLV09,362829916,CRDA,GBP,2019-09-02,4692.0,4784.0,4692.0,4742.0,210467,2708,4754.1
