ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
GB00BKM69866,397181515,CRCL,GBP,2019-01-02,27.5,27.5,27.5,27.5,0,0,27.5
GB00BKM69866,397181515,CRCL,GBP,2019-01-03,27.5,27.5,27.5,27.5,0,0,27.5
GB00BKM69866,397181515,CRCL,GBP,2019-01-04,27.5,27.5,27.5,27.5,0,0,27.5
GB00BKM69866,397181515,CRCL,GBP,2019-01-07,22.5,22.5,22.5,22.5,0,0,22.5
GB00BKM69866,397181515,CRCL,GBP,2019-01-08,27.5,27.5,27.5,27.5,0,0,27.5
GB00BKM69866,397181515,CRCL,GBP,2019-01-09,27.5,27.5,27.5,27.5,0,0,27.5
GB00BKM69866,397181515,CRCL,GBP,2019-01-10,30.0,30.0,30.0,30.0,0,0,30.0
GB00BKM69866,397181515,CRCL,GBP,2019-01-11,30.0,30.0,30.0,30.0,0,0,30.0
GB00BKM69866,397181515,CRCL,GBP,2019-01-14,30.0,30.0,30.0,30.0,0,0,30.0
GB00BKM69866,397181515,CRCL,GBP,2019-01-15,30.0,30.0,30.0,30.0,0,0,30.0
GB00BKM69866,397181515,CRCL,GBP,2019-01-16,37.5,37.5,37.5,37.5,0,0,37.5
GB00BKM69866,397181515,CRCL,GBP,2019-01-17,32.5,32.5,32.5,32.5,0,0,32.5
GB00BKM69866,397181515,CRCL,GBP,2019-01-18,37.5,37.5,37.5,37.5,0,0,37.5
GB00BKM69866,397181515,CRCL,GBP,2019-01-21,40.0,40.0,40.0,40.0,0,0,40.0
GB00BKM69866,397181515,CRCL,GBP,2019-01-22,37.5,37.5,37.5,37.5,0,0,37.5
GB00BKM69866,397181515,CRCL,GBP,2019-01-23,35.0,35.0,35.0,35.0,0,0,35.0
GB00BKM69866,397181515,CRCL,GBP,2019-01-24,35.0,35.0,35.0,35.0,0,0,35.0
GB00BKM69866,397181515,CRCL,GBP,2019-01-25,37.5,37.5,37.5,37.5,0,0,37.5
GB00BKM69866,397181515,CRCL,GBP,2019-01-28,37.5,37.5,37.5,37.5,0,0,37.5
GB00BKM69866,397181515,CRCL,GBP,2019-01-29,35.0,35.0,35.0,35.0,0,0,35.0
GB00BKM69866,397181515,CRCL,GBP,2019-01-30,35.0,35.0,35.0,35.0,0,0,35.0
GB00BKM69866,397181515,CRCL,GBP,2019-01-31,35.0,35.0,35.0,35.0,0,0,35.0
GB00BKM69866,397181515,CRCL,GBP,2019-02-01,35.0,35.0,35.0,35.0,0,0,35.0
GB00BKM69866,397181515,CRCL,GBP,2019-02-04,32.5,32.5,32.5,32.5,0,0,32.5
GB00BKM69866,397181515,CRCL,GBP,2019-02-05,32.5,32.5,32.5,32.5,0,0,32.5
GB00BKM69866,397181515,CRCL,GBP,2019-02-06,20.0,25.0,20.0,25.0,2962,1,20.0
GB00BKM69866,397181515,CRCL,GBP,2019-02-07,30.0,30.0,30.0,30.0,0,0,30.0
GB00BKM69866,397181515,CRCL,GBP,2019-02-08,30.0,30.0,30.0,30.0,0,0,30.0
GB00BKM69866,397181515,CRCL,GBP,2019-02-11,30.0,30.0,30.0,30.0,0,0,30.0
GB00BKM69866,397181515,CRCL,GBP,2019-02-12,27.5,27.5,27.5,27.5,0,0,27.5
GB00BKM69866,397181515,CRCL,GBP,2019-02-13,20.0,25.0,20.0,25.0,9200,1,20.0
GB00BKM69866,397181515,CRCL,GBP,2019-02-14,25.0,25.0,25.0,25.0,0,0,25.0
GB00BKM69866,397181515,CRCL,GBP,2019-02-15,22.5,22.5,22.5,22.5,0,0,22.5
GB00BKM69866,397181515,CRCL,GBP,2019-02-18,22.5,22.5,22.5,22.5,0,0,22.5
GB00BKM69866,397181515,CRCL,GBP,2019-02-19,22.5,22.5,22.5,22.5,0,0,22.5
GB00BKM69866,397181515,CRCL,GBP,2019-02-20,20.0,20.0,20.0,20.0,0,0,20.0
GB00BKM69866,397181515,CRCL,GBP,2019-02-21,20.0,20.0,20.0,20.0,0,0,20.0
GB00BKM69866,397181515,CRCL,GBP,2019-02-22,20.0,20.0,20.0,20.0,0,0,20.0
GB00BKM69866,397181515,CRCL,GBP,2019-02-25,20.0,20.0,20.0,20.0,0,0,20.0
GB00BKM69866,397181515,CRCL,GBP,2019-02-26,20.0,20.0,20.0,20.0,0,0,20.0
GB00BKM69866,397181515,CRCL,GBP,2019-02-27,20.0,20.0,20.0,20.0,0,0,20.0
GB00BKM69866,397181515,CRCL,GBP,2019-02-28,20.0,20.0,20.0,20.0,0,0,20.0
GB00BKM69866,397181515,CRCL,GBP,2019-03-01,20.0,20.0,17.5,17.5,6363,1,20.0
GB00BKM69866,397181515,CRCL,GBP,2019-03-04,17.5,17.5,17.5,17.5,0,0,17.5
GB00BKM69866,397181515,CRCL,GBP,2019-03-05,17.5,17.5,17.5,17.5,0,0,17.5
GB00BKM69866,397181515,CRCL,GBP,2019-03-06,17.5,17.5,17.5,17.5,0,0,17.5
GB00BKM69866,397181515,CRCL,GBP,2019-03-07,17.5,17.5,17.5,17.5,0,0,17.5
GB00BKM69866,397181515,CRCL,GBP,2019-03-08,17.5,17.5,17.5,17.5,0,0,17.5
GB00BKM69866,397181515,CRCL,GBP,2019-03-11,10.0,10.0,9.0,9.0,5000,1,10.0
GB00BKM69866,397181515,CRCL,GBP,2019-03-12,10.5,10.5,10.5,10.5,0,0,10.5
GB00BKM69866,397181515,CRCL,GBP,2019-03-13,10.5,10.5,10.5,10.5,0,0,10.5
GB00BKM69866,397181515,CRCL,GBP,2019-03-14,9.5,9.5,9.5,9.5,0,0,9.5
GB00BKM69866,397181515,CRCL,GBP,2019-03-15,8.0,8.0,8.0,8.0,0,0,8.0
GB00BKM69866,397181515,CRCL,GBP,2019-03-18,8.5,8.5,8.5,8.5,0,0,8.5
GB00BKM69866,397181515,CRCL,GBP,2019-03-19,8.5,8.5,8.5,8.5,0,0,8.5
GB00BKM69866,397181515,CRCL,GBP,2019-03-20,9.0,9.0,9.0,9.0,0,0,9.0
GB00BKM69866,397181515,CRCL,GBP,2019-03-21,9.0,9.0,9.0,9.0,0,0,9.0
GB00BKM69866,397181515,CRCL,GBP,2019-03-22,9.0,9.0,9.0,9.0,0,0,9.0
GB00BKM69866,397181515,CRCL,GBP,2019-03-25,9.0,9.0,9.0,9.0,0,0,9.0
GB00BKM69866,397181515,CRCL,GBP,2019-03-26,9.0,9.0,9.0,9.0,0,0,9.0
GB00BKM69866,397181515,CRCL,GBP,2019-03-27,9.0,9.0,9.0,9.0,0,0,9.0
GB00BKM69866,397181515,CRCL,GBP,2019-03-28,9.0,9.0,9.0,9.0,0,0,9.0
GB00BKM69866,397181515,CRCL,GBP,2019-03-29,7.5,7.5,7.5,7.5,0,0,7.5
GB00BKM69866,397181515,CRCL,GBP,2019-04-01,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-04-02,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-04-03,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-04-04,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-04-05,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-04-08,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-04-09,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-04-10,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-04-11,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-04-12,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-04-15,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-04-16,7.0,7.0,7.0,7.0,0,0,7.0
GB00BKM69866,397181515,CRCL,GBP,2019-04-17,7.0,7.0,7.0,7.0,0,0,7.0
GB00BKM69866,397181515,CRCL,GBP,2019-04-18,5.5,5.5,5.5,5.5,0,0,5.5
GB00BKM69866,397181515,CRCL,GBP,2019-04-23,5.5,5.5,5.5,5.5,0,0,5.5
GB00BKM69866,397181515,CRCL,GBP,2019-04-24,5.5,5.5,5.5,5.5,0,0,5.5
GB00BKM69866,397181515,CRCL,GBP,2019-04-25,5.5,5.5,5.5,5.5,0,0,5.5
GB00BKM69866,397181515,CRCL,GBP,2019-04-26,5.5,5.5,5.5,5.5,0,0,5.5
GB00BKM69866,397181515,CRCL,GBP,2019-04-29,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-04-30,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-05-01,6.0,6.0,6.0,6.0,0,0,6.0
GB00BKM69866,397181515,CRCL,GBP,2019-05-02,5.5,5.5,5.5,5.5,0,0,5.5
GB00BKM69866,397181515,CRCL,GBP,2019-05-03,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-05-07,6.0,6.0,6.0,6.0,0,0,6.0
GB00BKM69866,397181515,CRCL,GBP,2019-05-08,6.0,6.0,6.0,6.0,0,0,6.0
GB00BKM69866,397181515,CRCL,GBP,2019-05-09,6.0,6.0,6.0,6.0,0,0,6.0
GB00BKM69866,397181515,CRCL,GBP,2019-05-10,6.0,6.0,6.0,6.0,0,0,6.0
GB00BKM69866,397181515,CRCL,GBP,2019-05-13,10.0,10.0,6.0,6.0,7500,2,10.0
GB00BKM69866,397181515,CRCL,GBP,2019-05-14,6.0,6.0,6.0,6.0,0,0,6.0
GB00BKM69866,397181515,CRCL,GBP,2019-05-15,10.0,10.0,6.0,6.0,9000,1,10.0
GB00BKM69866,397181515,CRCL,GBP,2019-05-16,6.0,6.0,6.0,6.0,0,0,6.0
GB00BKM69866,397181515,CRCL,GBP,2019-05-17,6.0,6.0,6.0,6.0,0,0,6.0
GB00BKM69866,397181515,CRCL,GBP,2019-05-20,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-05-21,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-05-22,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-05-23,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-05-24,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-05-28,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-05-29,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-05-30,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-05-31,6.0,6.0,6.0,6.0,0,0,6.0
GB00BKM69866,397181515,CRCL,GBP,2019-06-03,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-06-04,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-06-05,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-06-06,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-06-07,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-06-10,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-06-11,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-06-12,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-06-13,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-06-14,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-06-17,6.0,6.0,6.0,6.0,0,0,6.0
GB00BKM69866,397181515,CRCL,GBP,2019-06-18,6.0,6.0,6.0,6.0,0,0,6.0
GB00BKM69866,397181515,CRCL,GBP,2019-06-19,6.0,6.0,6.0,6.0,0,0,6.0
GB00BKM69866,397181515,CRCL,GBP,2019-06-20,6.0,6.0,6.0,6.0,0,0,6.0
GB00BKM69866,397181515,CRCL,GBP,2019-06-21,6.0,6.0,6.0,6.0,0,0,6.0
GB00BKM69866,397181515,CRCL,GBP,2019-06-24,7.0,7.0,7.0,7.0,0,0,7.0
GB00BKM69866,397181515,CRCL,GBP,2019-06-25,7.0,7.0,7.0,7.0,0,0,7.0
GB00BKM69866,397181515,CRCL,GBP,2019-06-26,7.0,7.0,7.0,7.0,0,0,7.0
GB00BKM69866,397181515,CRCL,GBP,2019-06-27,7.0,7.0,7.0,7.0,0,0,7.0
GB00BKM69866,397181515,CRCL,GBP,2019-06-28,7.0,7.0,7.0,7.0,0,0,7.0
GB00BKM69866,397181515,CRCL,GBP,2019-07-01,7.0,7.0,7.0,7.0,0,0,7.0
GB00BKM69866,397181515,CRCL,GBP,2019-07-02,7.0,7.0,7.0,7.0,0,0,7.0
GB00BKM69866,397181515,CRCL,GBP,2019-07-03,7.0,7.0,7.0,7.0,0,0,7.0
GB00BKM69866,397181515,CRCL,GBP,2019-07-04,7.0,7.0,7.0,7.0,0,0,7.0
GB00BKM69866,397181515,CRCL,GBP,2019-07-05,7.0,7.0,7.0,7.0,0,0,7.0
GB00BKM69866,397181515,CRCL,GBP,2019-07-08,7.0,7.0,7.0,7.0,0,0,7.0
GB00BKM69866,397181515,CRCL,GBP,2019-07-09,7.0,7.0,7.0,7.0,0,0,7.0
GB00BKM69866,397181515,CRCL,GBP,2019-07-10,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-07-11,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-07-12,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-07-15,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-07-16,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-07-17,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-07-18,6.5,6.5,6.5,6.5,0,0,6.5
GB00BKM69866,397181515,CRCL,GBP,2019-07-19,5.5,5.5,5.5,5.5,0,0,5.5
GB00BKM69866,397181515,CRCL,GBP,2019-07-22,5.5,5.5,5.5,5.5,0,0,5.5
GB00BKM69866,397181515,CRCL,GBP,2019-07-23,5.0,5.0,5.0,5.0,0,0,5.0
GB00BKM69866,397181515,CRCL,GBP,2019-07-24,5.0,5.0,5.0,5.0,0,0,5.0
GB00BKM69866,397181515,CRCL,GBP,2019-07-25,5.0,5.0,5.0,5.0,0,0,5.0
GB00BKM69866,397181515,CRCL,GBP,2019-07-26,5.0,5.0,5.0,5.0,0,0,5.0
GB00BKM69866,397181515,CRCL,GBP,2019-07-29,5.0,5.0,5.0,5.0,0,0,5.0
GB00BKM69866,397181515,CRCL,GBP,2019-07-30,5.0,5.0,5.0,5.0,0,0,5.0
GB00BKM69866,397181515,CRCL,GBP,2019-07-31,5.0,5.0,5.0,5.0,0,0,5.0
GB00BKM69866,397181515,CRCL,GBP,2019-08-01,5.0,5.0,5.0,5.0,0,0,5.0
GB00BKM69866,397181515,CRCL,GBP,2019-08-02,5.0,5.0,5.0,5.0,0,0,5.0
GB00BKM69866,397181515,CRCL,GBP,2019-08-05,5.0,5.0,5.0,5.0,0,0,5.0
GB00BKM69866,397181515,CRCL,GBP,2019-08-06,5.0,5.0,5.0,5.0,0,0,5.0
GB00BKM69866,397181515,CRCL,GBP,2019-08-07,5.0,5.0,5.0,5.0,0,0,5.0
GB00BKM69866,397181515,CRCL,GBP,2019-08-08,5.0,5.0,5.0,5.0,0,0,5.0
GB00BKM69866,397181515,CRCL,GBP,2019-08-09,5.0,5.0,5.0,5.0,0,0,5.0
GB00BKM69866,397181515,CRCL,GBP,2019-08-12,5.0,5.0,5.0,5.0,0,0,5.0
GB00BKM69866,397181515,CRCL,GBP,2019-08-13,5.0,5.0,5.0,5.0,0,0,5.0
GB00BKM69866,397181515,CRCL,GBP,2019-08-14,5.0,5.0,5.0,5.0,0,0,5.0
GB00BKM69866,397181515,CRCL,GBP,2019-08-15,5.0,5.0,5.0,5.0,0,0,5.0
GB00BKM69866,397181515,CRCL,GBP,2019-08-16,5.0,5.0,5.0,5.0,0,0,5.0
GB00BKM69866,397181515,CRCL,GBP,2019-08-19,5.0,5.0,5.0,5.0,0,0,5.0
GB00BKM69866,397181515,CRCL,GBP,2019-08-20,5.0,5.0,5.0,5.0,0,0,5.0
GB00BKM69866,397181515,CRCL,GBP,2019-08-21,5.0,5.0,5.0,5.0,0,0,5.0
GB00BKM69866,397181515,CRCL,GBP,2019-08-22,5.0,5.0,5.0,5.0,0,0,5.0
