ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
GB00BLTVCF91,152825031,SHOE,GBP,2019-01-02,179.0,179.0,178.0,179.0,0,0,179.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-01-03,179.0,179.0,178.0,179.0,0,0,179.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-01-04,179.0,179.0,178.0,179.0,0,0,179.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-01-07,179.0,180.0,179.0,179.0,0,0,179.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-01-08,179.0,180.0,179.0,179.0,0,0,179.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-01-09,202.0,202.0,201.0,202.0,0,0,202.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-01-10,214.0,214.0,213.0,214.0,0,0,214.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-01-11,218.0,218.0,218.0,218.0,0,0,218.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-01-14,225.0,225.0,225.0,225.0,0,0,225.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-01-15,223.0,223.0,222.0,223.0,0,0,223.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-01-16,231.0,231.0,231.0,231.0,0,0,231.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-01-17,231.0,231.0,231.0,231.0,0,0,231.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-01-18,221.0,221.0,221.0,221.0,0,0,221.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-01-21,216.0,216.0,215.0,216.0,0,0,216.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-01-22,215.0,215.0,214.0,215.0,0,0,214.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-01-23,221.0,221.0,220.0,221.0,0,0,221.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-01-24,220.0,220.0,220.0,220.0,909,1,220.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-01-25,221.0,221.0,220.0,221.0,0,0,221.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-01-28,223.0,223.0,222.0,223.0,0,0,223.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-01-29,227.0,227.0,226.0,227.0,0,0,227.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-01-30,227.0,228.0,227.0,227.0,0,0,227.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-01-31,235.0,235.0,234.0,235.0,0,0,235.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-02-01,237.0,237.0,236.0,237.0,0,0,237.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-02-04,244.0,245.0,244.0,244.0,0,0,244.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-02-05,242.0,242.0,242.0,242.0,305,1,242.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-02-06,238.0,238.0,237.0,238.0,0,0,237.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-02-07,234.0,234.0,234.0,234.0,0,0,234.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-02-08,233.0,233.0,232.0,233.0,0,0,233.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-02-11,233.0,233.0,232.0,233.0,0,0,233.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-02-12,233.0,233.0,232.0,233.0,0,0,233.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-02-13,233.0,233.0,232.0,233.0,0,0,233.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-02-14,233.0,233.0,232.0,233.0,0,0,233.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-02-15,233.0,233.0,232.0,233.0,0,0,233.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-02-18,230.0,230.0,230.0,230.0,5500,2,230.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-02-19,231.0,231.0,231.0,231.0,0,0,231.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-02-20,234.0,234.0,233.0,233.0,40,1,234.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-02-21,227.0,228.0,227.0,227.0,0,0,227.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-02-22,227.0,228.0,227.0,227.0,0,0,227.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-02-25,229.0,229.0,228.0,229.0,0,0,229.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-02-26,229.0,229.0,229.0,229.0,0,0,229.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-02-27,230.0,231.0,230.0,231.0,25250,3,230.8
GB00BLTVCF91,152825031,SHOE,GBP,2019-02-28,217.0,217.0,216.0,217.0,0,0,216.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-03-01,212.0,212.0,208.0,208.0,232,1,212.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-03-04,209.0,209.0,206.0,206.0,3500,1,209.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-03-05,202.0,203.0,202.0,202.0,0,0,202.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-03-06,204.0,205.0,204.0,204.0,0,0,204.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-03-07,206.0,207.0,206.0,206.0,0,0,206.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-03-08,215.0,215.0,214.0,215.0,0,0,214.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-03-11,211.0,211.0,210.0,210.0,475,1,211.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-03-12,202.0,203.0,202.0,202.0,0,0,202.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-03-13,205.0,205.0,205.0,205.0,0,0,205.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-03-14,206.0,206.0,205.0,206.0,0,0,206.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-03-15,207.0,207.0,207.0,207.0,0,0,207.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-03-18,212.0,212.0,212.0,212.0,0,0,212.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-03-19,212.0,212.0,211.0,212.0,0,0,212.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-03-20,209.0,209.0,209.0,209.0,0,0,209.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-03-21,208.0,209.0,208.0,208.0,0,0,208.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-03-22,212.0,212.0,211.0,212.0,0,0,212.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-03-25,212.0,212.0,211.0,212.0,0,0,212.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-03-26,213.0,213.0,212.0,213.0,0,0,212.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-03-27,213.0,213.0,212.0,213.0,0,0,212.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-03-28,215.0,215.0,215.0,215.0,0,0,215.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-03-29,215.0,215.0,215.0,215.0,0,0,215.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-04-01,214.0,214.0,214.0,214.0,0,0,214.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-04-02,213.0,213.0,213.0,213.0,0,0,213.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-04-03,213.0,213.0,213.0,213.0,0,0,213.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-04-04,210.0,210.0,210.0,210.0,0,0,210.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-04-05,210.0,210.0,210.0,210.0,0,0,210.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-04-08,213.0,213.0,213.0,213.0,0,0,213.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-04-09,213.0,213.0,213.0,213.0,0,0,213.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-04-10,213.0,213.0,213.0,213.0,0,0,213.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-04-11,214.0,214.0,214.0,214.0,0,0,214.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-04-12,218.0,218.0,218.0,218.0,0,0,218.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-04-15,216.0,216.0,216.0,216.0,0,0,216.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-04-16,216.0,216.0,216.0,216.0,0,0,216.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-04-17,216.0,216.0,216.0,216.0,0,0,216.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-04-18,216.0,216.0,216.0,216.0,0,0,216.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-04-23,214.0,216.0,214.0,216.0,980,1,214.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-04-24,216.0,216.0,216.0,216.0,0,0,216.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-04-25,216.0,216.0,216.0,216.0,0,0,216.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-04-26,216.0,216.0,216.0,216.0,0,0,216.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-04-29,214.0,214.0,214.0,214.0,0,0,214.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-04-30,210.0,210.0,210.0,210.0,0,0,210.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-05-01,208.0,208.0,208.0,208.0,0,0,208.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-05-02,208.0,208.0,208.0,208.0,0,0,208.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-05-03,207.0,207.0,207.0,207.0,0,0,207.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-05-07,210.0,210.0,210.0,210.0,2113,1,210.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-05-08,210.0,210.0,210.0,210.0,0,0,210.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-05-09,210.0,210.0,210.0,210.0,0,0,210.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-05-10,210.0,210.0,210.0,210.0,0,0,210.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-05-13,210.0,210.0,210.0,210.0,0,0,210.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-05-14,212.0,212.0,212.0,212.0,0,0,212.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-05-15,217.0,217.0,217.0,217.0,0,0,217.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-05-16,222.0,222.0,222.0,222.0,0,0,222.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-05-17,229.0,229.0,229.0,229.0,0,0,229.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-05-20,224.0,227.0,224.0,227.0,1510,1,224.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-05-21,214.0,214.0,214.0,214.0,0,0,214.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-05-22,214.0,214.0,214.0,214.0,0,0,214.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-05-23,214.0,214.0,214.0,214.0,0,0,214.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-05-24,213.0,213.0,213.0,213.0,0,0,213.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-05-28,209.0,209.0,209.0,209.0,0,0,209.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-05-29,209.0,209.0,209.0,209.0,0,0,209.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-05-30,207.0,207.0,207.0,207.0,0,0,207.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-05-31,205.0,205.0,205.0,205.0,0,0,205.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-06-03,203.0,203.0,203.0,203.0,0,0,203.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-06-04,202.0,202.0,202.0,202.0,0,0,202.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-06-05,198.0,198.0,198.0,198.0,0,0,198.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-06-06,198.0,198.0,198.0,198.0,0,0,198.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-06-07,202.0,202.0,202.0,202.0,0,0,202.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-06-10,199.0,199.0,199.0,199.0,0,0,199.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-06-11,195.0,195.0,195.0,195.0,0,0,195.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-06-12,195.0,195.0,195.0,195.0,0,0,195.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-06-13,196.0,196.0,196.0,196.0,0,0,196.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-06-14,196.0,196.0,196.0,196.0,0,0,196.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-06-17,188.5,188.5,188.5,188.5,0,0,188.5
GB00BLTVCF91,152825031,SHOE,GBP,2019-06-18,187.5,187.5,187.5,187.5,0,0,187.5
GB00BLTVCF91,152825031,SHOE,GBP,2019-06-19,184.0,187.5,184.0,187.5,3500,1,184.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-06-20,185.0,185.0,185.0,185.0,0,0,185.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-06-21,185.0,185.0,185.0,185.0,0,0,185.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-06-24,184.0,184.0,184.0,184.0,0,0,184.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-06-25,181.0,181.0,181.0,181.0,0,0,181.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-06-26,181.0,181.0,181.0,181.0,0,0,181.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-06-27,181.0,181.0,181.0,181.0,0,0,181.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-06-28,179.0,179.0,179.0,179.0,0,0,179.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-07-01,189.5,189.5,189.5,189.5,0,0,189.5
GB00BLTVCF91,152825031,SHOE,GBP,2019-07-02,196.0,196.0,196.0,196.0,0,0,196.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-07-03,199.0,199.0,199.0,199.0,0,0,199.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-07-04,212.0,212.0,212.0,212.0,0,0,212.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-07-05,216.0,216.0,216.0,216.0,0,0,216.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-07-08,216.0,216.0,216.0,216.0,0,0,216.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-07-09,212.0,212.0,212.0,212.0,0,0,212.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-07-10,213.0,213.0,213.0,213.0,0,0,213.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-07-11,213.0,213.0,213.0,213.0,0,0,213.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-07-12,217.0,217.0,217.0,217.0,0,0,217.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-07-15,216.0,219.0,216.0,219.0,14,1,216.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-07-16,222.0,222.0,222.0,222.0,0,0,222.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-07-17,226.0,226.0,226.0,226.0,0,0,226.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-07-18,220.0,220.0,220.0,220.0,0,0,220.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-07-19,220.0,220.0,220.0,220.0,0,0,220.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-07-22,219.0,219.0,219.0,219.0,0,0,219.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-07-23,218.0,218.0,218.0,218.0,0,0,218.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-07-24,217.0,217.0,217.0,217.0,0,0,217.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-07-25,217.0,217.0,217.0,217.0,0,0,217.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-07-26,217.0,217.0,217.0,217.0,0,0,217.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-07-29,217.0,217.0,217.0,217.0,0,0,217.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-07-30,212.0,212.0,212.0,212.0,0,0,212.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-07-31,208.0,208.0,208.0,208.0,0,0,208.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-08-01,208.0,208.0,208.0,208.0,0,0,208.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-08-02,205.0,205.0,205.0,205.0,0,0,205.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-08-05,199.0,199.0,199.0,199.0,0,0,199.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-08-06,198.0,198.0,198.0,198.0,0,0,198.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-08-07,201.0,201.0,201.0,201.0,0,0,201.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-08-08,201.0,201.0,201.0,201.0,0,0,201.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-08-09,201.0,201.0,201.0,201.0,0,0,201.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-08-12,198.0,198.0,198.0,198.0,0,0,198.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-08-13,198.0,198.0,198.0,198.0,0,0,198.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-08-14,192.5,192.5,192.5,192.5,0,0,192.5
GB00BLTVCF91,152825031,SHOE,GBP,2019-08-15,191.0,191.0,191.0,191.0,0,0,191.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-08-16,191.0,191.0,191.0,191.0,0,0,191.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-08-19,191.0,191.0,191.0,191.0,0,0,191.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-08-20,192.0,192.0,192.0,192.0,0,0,192.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-08-21,193.0,193.0,193.0,193.0,0,0,193.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-08-22,193.0,193.0,193.0,193.0,0,0,193.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-08-23,193.5,193.5,193.5,193.5,0,0,193.5
GB00BLTVCF91,152825031,SHOE,GBP,2019-08-27,197.5,197.5,197.5,197.5,0,0,197.5
GB00BLTVCF91,152825031,SHOE,GBP,2019-08-28,198.0,198.0,198.0,198.0,0,0,198.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-08-29,192.0,192.0,192.0,192.0,2500,1,192.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-08-30,132.0,132.0,132.0,132.0,0,0,132.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-09-02,134.0,134.0,134.0,134.0,0,0,134.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-09-03,132.0,132.0,132.0,132.0,0,0,132.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-09-04,130.0,130.0,130.0,130.0,0,0,130.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-09-05,129.0,129.0,129.0,129.0,0,0,129.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-09-06,128.0,129.0,128.0,129.0,10000,1,128.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-09-09,124.5,124.5,124.5,124.5,0,0,124.5
GB00BLTVCF91,152825031,SHOE,GBP,2019-09-10,126.0,126.0,126.0,126.0,0,0,126.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-09-11,126.0,126.0,126.0,126.0,0,0,126.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-09-12,126.0,126.0,126.0,126.0,0,0,126.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-09-13,126.0,126.0,126.0,126.0,0,0,126.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-09-16,125.5,125.5,125.5,125.5,0,0,125.5
GB00BLTVCF91,152825031,SHOE,GBP,2019-09-17,124.5,124.5,124.5,124.5,0,0,124.5
GB00BLTVCF91,152825031,SHOE,GBP,2019-09-18,124.5,124.5,124.5,124.5,0,0,124.5
GB00BLTVCF91,152825031,SHOE,GBP,2019-09-19,124.5,124.5,124.5,124.5,0,0,124.5
GB00BLTVCF91,152825031,SHOE,GBP,2019-09-20,126.0,126.0,126.0,126.0,0,0,126.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-09-23,124.0,124.0,124.0,124.0,600,1,124.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-09-24,125.0,125.0,125.0,125.0,0,0,125.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-09-25,125.0,125.0,125.0,125.0,0,0,125.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-09-26,125.0,125.0,125.0,125.0,0,0,125.0
GB00BLTVCF91,152825031,SHOE,GBP,2019-09-27,123.5,123.5,123.5,123.5,0,0,123.5
GB00BLTVCF91,152825031,SHOE,GBP,2019-09-30,123.5,123.5,123.5,123.5,0,0,123.5
GB00BLTVCF91,152825031,SHOE,GBP,2019-10-01,123.5,123.5,123.5,123.5,0,0,123.5
GB00BLTVCF91,152825031,SHOE,GBP,2019-10-02,121.5,121.5,121.5,121.5,0,0,121.5
GB00BLTVCF91,152825031,SHOE,GBP,2019-10-03,116.5,116.5,116.5,116.5,0,0,116.5
GB00BLTVCF91,152825031,SHOE,GBP,2019-10-04,115.5,115.5,115.5,115.5,0,0,115.5
GB00BLTVCF91,152825031,SHOE,GBP,2019-10-07,112.5,112.5,112.5,112.5,0,0,112.5
GB00BLTVCF91,152825031,SHOE,GBP,2019-10-08,112.5,112.5,112.5,112.5,0,0,112.5
