ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
GB00BMD6C023,517414303,ALK,GBP,2021-09-28,60.0,60.0,60.0,60.0,0,0,60.0
GB00BMD6C023,517414303,ALK,GBP,2021-09-29,60.0,60.0,60.0,60.0,0,0,60.0
GB00BMD6C023,517414303,ALK,GBP,2021-09-30,60.0,60.0,60.0,60.0,0,0,60.0
GB00BMD6C023,517414303,ALK,GBP,2021-10-01,150.0,150.0,150.0,150.0,0,0,150.0
GB00BMD6C023,517414303,ALK,GBP,2021-10-04,150.0,150.0,150.0,150.0,0,0,150.0
GB00BMD6C023,517414303,ALK,GBP,2021-10-05,150.0,150.0,150.0,150.0,0,0,150.0
GB00BMD6C023,517414303,ALK,GBP,2021-10-06,150.0,150.0,150.0,150.0,0,0,150.0
GB00BMD6C023,517414303,ALK,GBP,2021-10-07,150.0,150.0,150.0,150.0,0,0,150.0
GB00BMD6C023,517414303,ALK,GBP,2021-10-08,150.0,150.0,150.0,150.0,0,0,150.0
GB00BMD6C023,517414303,ALK,GBP,2021-10-11,150.0,150.0,150.0,150.0,0,0,150.0
GB00BMD6C023,517414303,ALK,GBP,2021-10-12,150.0,150.0,150.0,150.0,0,0,150.0
GB00BMD6C023,517414303,ALK,GBP,2021-10-13,150.0,150.0,150.0,150.0,0,0,150.0
GB00BMD6C023,517414303,ALK,GBP,2021-10-14,150.0,150.0,150.0,150.0,0,0,150.0
GB00BMD6C023,517414303,ALK,GBP,2021-10-15,150.0,150.0,150.0,150.0,0,0,150.0
GB00BMD6C023,517414303,ALK,GBP,2021-10-18,150.0,150.0,150.0,150.0,0,0,150.0
GB00BMD6C023,517414303,ALK,GBP,2021-10-19,150.0,150.0,150.0,150.0,0,0,150.0
GB00BMD6C023,517414303,ALK,GBP,2021-10-20,150.0,150.0,150.0,150.0,0,0,150.0
GB00BMD6C023,517414303,ALK,GBP,2021-10-21,150.0,150.0,150.0,150.0,0,0,150.0
GB00BMD6C023,517414303,ALK,GBP,2021-10-22,150.0,150.0,150.0,150.0,0,0,150.0
GB00BMD6C023,517414303,ALK,GBP,2021-10-25,150.0,150.0,150.0,150.0,0,0,150.0
GB00BMD6C023,517414303,ALK,GBP,2021-10-26,150.0,150.0,150.0,150.0,0,0,150.0
GB00BMD6C023,517414303,ALK,GBP,2021-10-27,150.0,150.0,150.0,150.0,0,0,150.0
GB00BMD6C023,517414303,ALK,GBP,2021-10-28,150.0,150.0,150.0,150.0,0,0,150.0
GB00BMD6C023,517414303,ALK,GBP,2021-10-29,150.0,150.0,150.0,150.0,0,0,150.0
GB00BMD6C023,517414303,ALK,GBP,2021-11-01,160.0,160.0,160.0,160.0,0,0,160.0
GB00BMD6C023,517414303,ALK,GBP,2021-11-02,125.0,125.0,125.0,125.0,0,0,125.0
GB00BMD6C023,517414303,ALK,GBP,2021-11-03,155.0,155.0,155.0,155.0,0,0,155.0
GB00BMD6C023,517414303,ALK,GBP,2021-11-04,135.0,135.0,135.0,135.0,0,0,135.0
GB00BMD6C023,517414303,ALK,GBP,2021-11-05,145.0,145.0,145.0,145.0,0,0,145.0
GB00BMD6C023,517414303,ALK,GBP,2021-11-08,150.0,150.0,150.0,150.0,0,0,150.0
GB00BMD6C023,517414303,ALK,GBP,2021-11-09,130.0,130.0,130.0,130.0,0,0,130.0
GB00BMD6C023,517414303,ALK,GBP,2021-11-10,140.0,140.0,140.0,140.0,0,0,140.0
GB00BMD6C023,517414303,ALK,GBP,2021-11-11,140.0,140.0,140.0,140.0,0,0,140.0
GB00BMD6C023,517414303,ALK,GBP,2021-11-12,130.0,130.0,130.0,130.0,0,0,130.0
GB00BMD6C023,517414303,ALK,GBP,2021-11-15,125.0,125.0,125.0,125.0,0,0,125.0
GB00BMD6C023,517414303,ALK,GBP,2021-11-16,135.0,135.0,135.0,135.0,0,0,135.0
GB00BMD6C023,517414303,ALK,GBP,2021-11-17,125.0,125.0,125.0,125.0,0,0,125.0
GB00BMD6C023,517414303,ALK,GBP,2021-11-18,115.0,115.0,115.0,115.0,0,0,115.0
GB00BMD6C023,517414303,ALK,GBP,2021-11-19,115.0,115.0,115.0,115.0,0,0,115.0
GB00BMD6C023,517414303,ALK,GBP,2021-11-22,135.0,135.0,135.0,135.0,0,0,135.0
GB00BMD6C023,517414303,ALK,GBP,2021-11-23,135.0,135.0,135.0,135.0,0,0,135.0
GB00BMD6C023,517414303,ALK,GBP,2021-11-24,135.0,135.0,135.0,135.0,0,0,135.0
GB00BMD6C023,517414303,ALK,GBP,2021-11-25,135.0,135.0,135.0,135.0,0,0,135.0
GB00BMD6C023,517414303,ALK,GBP,2021-11-26,135.0,135.0,135.0,135.0,0,0,135.0
GB00BMD6C023,517414303,ALK,GBP,2021-11-29,125.0,125.0,125.0,125.0,0,0,125.0
GB00BMD6C023,517414303,ALK,GBP,2021-11-30,125.0,125.0,125.0,125.0,0,0,125.0
GB00BMD6C023,517414303,ALK,GBP,2021-12-01,125.0,125.0,125.0,125.0,0,0,125.0
GB00BMD6C023,517414303,ALK,GBP,2021-12-02,120.0,120.0,120.0,120.0,0,0,120.0
GB00BMD6C023,517414303,ALK,GBP,2021-12-03,120.0,120.0,120.0,120.0,0,0,120.0
GB00BMD6C023,517414303,ALK,GBP,2021-12-06,120.0,120.0,120.0,120.0,0,0,120.0
GB00BMD6C023,517414303,ALK,GBP,2021-12-07,120.0,120.0,120.0,120.0,0,0,120.0
GB00BMD6C023,517414303,ALK,GBP,2021-12-08,120.0,120.0,120.0,120.0,0,0,120.0
GB00BMD6C023,517414303,ALK,GBP,2021-12-09,120.0,120.0,120.0,120.0,0,0,120.0
GB00BMD6C023,517414303,ALK,GBP,2021-12-10,120.0,120.0,120.0,120.0,0,0,120.0
GB00BMD6C023,517414303,ALK,GBP,2021-12-13,120.0,120.0,120.0,120.0,0,0,120.0
GB00BMD6C023,517414303,ALK,GBP,2021-12-14,115.0,115.0,115.0,115.0,0,0,115.0
GB00BMD6C023,517414303,ALK,GBP,2021-12-15,110.0,110.0,110.0,110.0,0,0,110.0
GB00BMD6C023,517414303,ALK,GBP,2021-12-16,110.0,110.0,110.0,110.0,0,0,110.0
GB00BMD6C023,517414303,ALK,GBP,2021-12-17,110.0,110.0,110.0,110.0,0,0,110.0
GB00BMD6C023,517414303,ALK,GBP,2021-12-20,110.0,110.0,110.0,110.0,0,0,110.0
GB00BMD6C023,517414303,ALK,GBP,2021-12-21,110.0,110.0,110.0,110.0,0,0,110.0
GB00BMD6C023,517414303,ALK,GBP,2021-12-22,110.0,110.0,110.0,110.0,0,0,110.0
GB00BMD6C023,517414303,ALK,GBP,2021-12-23,110.0,110.0,110.0,110.0,0,0,110.0
GB00BMD6C023,517414303,ALK,GBP,2021-12-24,110.0,110.0,110.0,110.0,0,0,110.0
GB00BMD6C023,517414303,ALK,GBP,2021-12-29,110.0,110.0,110.0,110.0,0,0,110.0
GB00BMD6C023,517414303,ALK,GBP,2021-12-30,110.0,110.0,110.0,110.0,0,0,110.0
GB00BMD6C023,517414303,ALK,GBP,2021-12-31,110.0,110.0,110.0,110.0,0,0,110.0
GB00BMD6C023,517414303,ALK,GBP,2022-01-04,107.4,107.4,107.4,107.4,0,0,107.4
GB00BMD6C023,517414303,ALK,GBP,2022-01-05,107.4,107.4,107.4,107.4,0,0,107.4
GB00BMD6C023,517414303,ALK,GBP,2022-01-06,107.4,107.4,107.4,107.4,0,0,107.4
GB00BMD6C023,517414303,ALK,GBP,2022-01-07,107.4,107.4,107.4,107.4,0,0,107.4
GB00BMD6C023,517414303,ALK,GBP,2022-01-10,107.4,107.4,107.4,107.4,0,0,107.4
GB00BMD6C023,517414303,ALK,GBP,2022-01-11,107.4,107.4,107.4,107.4,0,0,107.4
GB00BMD6C023,517414303,ALK,GBP,2022-01-12,107.4,107.4,107.4,107.4,0,0,107.4
GB00BMD6C023,517414303,ALK,GBP,2022-01-13,107.4,107.4,107.4,107.4,0,0,107.4
GB00BMD6C023,517414303,ALK,GBP,2022-01-14,107.4,107.4,107.4,107.4,0,0,107.4
GB00BMD6C023,517414303,ALK,GBP,2022-01-17,107.4,107.4,107.4,107.4,0,0,107.4
GB00BMD6C023,517414303,ALK,GBP,2022-01-18,107.4,107.4,107.4,107.4,0,0,107.4
GB00BMD6C023,517414303,ALK,GBP,2022-01-19,107.4,107.4,107.4,107.4,0,0,107.4
GB00BMD6C023,517414303,ALK,GBP,2022-01-20,107.4,107.4,107.4,107.4,0,0,107.4
GB00BMD6C023,517414303,ALK,GBP,2022-01-21,107.4,107.4,107.4,107.4,0,0,107.4
GB00BMD6C023,517414303,ALK,GBP,2022-01-24,107.4,107.4,107.4,107.4,0,0,107.4
