ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
GB00BMXH3352,524459673,MTRK,EUR,2021-11-03,0.01,0.01,0.01,0.01,0,0,0.01
GB00BMXH3352,524459673,MTRK,EUR,2021-11-04,6.5,6.5,6.5,6.5,0,0,6.5
GB00BMXH3352,524459673,MTRK,EUR,2021-11-05,6.25,6.37,5.55,6.0,570028,714,5.984
GB00BMXH3352,524459673,MTRK,EUR,2021-11-08,6.1,6.39,5.91,6.0,24841,63,6.049
GB00BMXH3352,524459673,MTRK,EUR,2021-11-09,6.0,6.04,5.87,6.0,86634,181,5.958
GB00BMXH3352,524459673,MTRK,EUR,2021-11-10,6.0,6.05,5.81,5.94,190575,264,5.924
GB00BMXH3352,524459673,MTRK,EUR,2021-11-11,5.9,5.95,5.85,5.94,78325,62,5.901
GB00BMXH3352,524459673,MTRK,EUR,2021-11-12,5.95,5.95,5.91,5.95,11428,23,5.948
GB00BMXH3352,524459673,MTRK,EUR,2021-11-15,5.95,6.5,5.95,6.3,74985,137,6.194
GB00BMXH3352,524459673,MTRK,EUR,2021-11-16,6.5,6.83,6.4,6.5,25972,78,6.545
GB00BMXH3352,524459673,MTRK,EUR,2021-11-17,6.5,6.5,6.32,6.5,20906,60,6.428
GB00BMXH3352,524459673,MTRK,EUR,2021-11-18,6.4,6.4,6.4,6.4,1724,17,6.4
GB00BMXH3352,524459673,MTRK,EUR,2021-11-19,6.5,6.6,6.4,6.5,33050,43,6.502
GB00BMXH3352,524459673,MTRK,EUR,2021-11-22,6.51,6.62,6.51,6.55,5143,24,6.604
GB00BMXH3352,524459673,MTRK,EUR,2021-11-23,6.55,6.55,6.41,6.41,5817,23,6.5
GB00BMXH3352,524459673,MTRK,EUR,2021-11-24,6.5,6.5,6.48,6.5,5067,12,6.491
GB00BMXH3352,524459673,MTRK,EUR,2021-11-25,6.5,6.51,6.5,6.51,418,3,6.5
GB00BMXH3352,524459673,MTRK,EUR,2021-11-26,6.4,6.55,6.4,6.5,23203,28,6.498
GB00BMXH3352,524459673,MTRK,EUR,2021-11-29,6.5,6.7,6.5,6.5,19581,21,6.502
GB00BMXH3352,524459673,MTRK,EUR,2021-11-30,6.6,6.6,6.35,6.5,20094,30,6.489
GB00BMXH3352,524459673,MTRK,EUR,2021-12-01,6.5,6.6,6.44,6.5,102226,73,6.502
GB00BMXH3352,524459673,MTRK,EUR,2021-12-02,6.51,6.51,6.42,6.5,71365,44,6.5
GB00BMXH3352,524459673,MTRK,EUR,2021-12-03,6.6,6.6,6.4,6.5,297005,68,6.503
GB00BMXH3352,524459673,MTRK,EUR,2021-12-06,6.5,6.56,6.5,6.5,13827,28,6.503
GB00BMXH3352,524459673,MTRK,EUR,2021-12-07,6.5,6.51,6.45,6.45,28640,57,6.481
GB00BMXH3352,524459673,MTRK,EUR,2021-12-08,6.5,6.5,6.4,6.45,46018,138,6.435
GB00BMXH3352,524459673,MTRK,EUR,2021-12-09,6.5,6.5,6.45,6.45,26209,54,6.496
GB00BMXH3352,524459673,MTRK,EUR,2021-12-10,6.4,6.4,6.4,6.4,3045,5,6.4
GB00BMXH3352,524459673,MTRK,EUR,2021-12-13,6.45,6.45,6.4,6.45,31610,39,6.436
GB00BMXH3352,524459673,MTRK,EUR,2021-12-14,6.45,6.5,6.45,6.45,5245,15,6.455
GB00BMXH3352,524459673,MTRK,EUR,2021-12-15,6.41,6.41,6.41,6.41,1753,6,6.41
GB00BMXH3352,524459673,MTRK,EUR,2021-12-16,6.45,6.45,6.42,6.45,15041,31,6.449
