ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
GB00BNHSJN34,561593183,2FQ0,EUR,2022-05-23,1.365,1.365,1.365,1.365,0,0,1.365
GB00BNHSJN34,561593183,2FQ0,EUR,2022-05-24,1.4,1.4,1.4,1.4,0,0,1.4
GB00BNHSJN34,561593183,2FQ0,EUR,2022-05-25,1.41,1.41,1.4,1.405,10,1,1.407
GB00BNHSJN34,561593183,2FQ0,EUR,2022-05-26,1.355,1.355,1.355,1.355,0,0,1.355
GB00BNHSJN34,561593183,2FQ0,EUR,2022-05-27,1.375,1.375,1.375,1.375,0,0,1.375
GB00BNHSJN34,561593183,2FQ0,EUR,2022-05-30,1.36,1.36,1.36,1.36,0,0,1.36
GB00BNHSJN34,561593183,2FQ0,EUR,2022-05-31,1.44,1.44,1.385,1.385,72,1,1.439
GB00BNHSJN34,561593183,2FQ0,EUR,2022-06-01,1.365,1.365,1.365,1.365,0,0,1.365
GB00BNHSJN34,561593183,2FQ0,EUR,2022-06-02,1.335,1.335,1.335,1.335,0,0,1.335
GB00BNHSJN34,561593183,2FQ0,EUR,2022-06-03,1.31,1.31,1.31,1.31,0,0,1.31
GB00BNHSJN34,561593183,2FQ0,EUR,2022-06-06,1.33,1.33,1.33,1.33,0,0,1.33
GB00BNHSJN34,561593183,2FQ0,EUR,2022-06-07,1.345,1.345,1.345,1.345,0,0,1.345
GB00BNHSJN34,561593183,2FQ0,EUR,2022-06-08,1.345,1.345,1.345,1.345,0,0,1.345
GB00BNHSJN34,561593183,2FQ0,EUR,2022-06-09,1.32,1.32,1.32,1.32,0,0,1.32
GB00BNHSJN34,561593183,2FQ0,EUR,2022-06-10,1.305,1.305,1.305,1.305,0,0,1.305
GB00BNHSJN34,561593183,2FQ0,EUR,2022-06-13,1.26,1.26,1.26,1.26,0,0,1.26
GB00BNHSJN34,561593183,2FQ0,EUR,2022-06-14,1.23,1.23,1.23,1.23,0,0,1.23
GB00BNHSJN34,561593183,2FQ0,EUR,2022-06-15,1.26,1.26,1.25,1.255,6,1,1.2565
GB00BNHSJN34,561593183,2FQ0,EUR,2022-06-16,1.25,1.25,1.25,1.25,0,0,1.25
GB00BNHSJN34,561593183,2FQ0,EUR,2022-06-17,1.24,1.24,1.24,1.24,0,0,1.24
GB00BNHSJN34,561593183,2FQ0,EUR,2022-06-20,1.245,1.245,1.245,1.245,0,0,1.245
GB00BNHSJN34,561593183,2FQ0,EUR,2022-06-21,1.235,1.235,1.235,1.235,0,0,1.235
GB00BNHSJN34,561593183,2FQ0,EUR,2022-06-22,1.245,1.245,1.245,1.245,0,0,1.245
GB00BNHSJN34,561593183,2FQ0,EUR,2022-06-23,1.235,1.235,1.235,1.235,0,0,1.235
GB00BNHSJN34,561593183,2FQ0,EUR,2022-06-24,1.215,1.215,1.215,1.215,0,0,1.215
GB00BNHSJN34,561593183,2FQ0,EUR,2022-06-27,1.255,1.255,1.255,1.255,0,0,1.255
GB00BNHSJN34,561593183,2FQ0,EUR,2022-06-28,1.24,1.25,1.24,1.24,1,1,1.24
GB00BNHSJN34,561593183,2FQ0,EUR,2022-06-29,1.21,1.21,1.21,1.21,0,0,1.21
GB00BNHSJN34,561593183,2FQ0,EUR,2022-06-30,1.195,1.195,1.195,1.195,0,0,1.195
GB00BNHSJN34,561593183,2FQ0,EUR,2022-07-01,1.145,1.145,1.145,1.145,0,0,1.145
GB00BNHSJN34,561593183,2FQ0,EUR,2022-07-04,1.125,1.125,1.125,1.125,0,0,1.125
GB00BNHSJN34,561593183,2FQ0,EUR,2022-07-05,1.12,1.12,1.12,1.12,0,0,1.12
GB00BNHSJN34,561593183,2FQ0,EUR,2022-07-06,1.085,1.085,1.085,1.085,0,0,1.085
GB00BNHSJN34,561593183,2FQ0,EUR,2022-07-07,1.085,1.085,1.085,1.085,0,0,1.085
GB00BNHSJN34,561593183,2FQ0,EUR,2022-07-08,1.125,1.125,1.125,1.125,0,0,1.125
GB00BNHSJN34,561593183,2FQ0,EUR,2022-07-11,1.14,1.14,1.14,1.14,0,0,1.14
GB00BNHSJN34,561593183,2FQ0,EUR,2022-07-12,1.155,1.155,1.155,1.155,0,0,1.155
GB00BNHSJN34,561593183,2FQ0,EUR,2022-07-13,1.17,1.17,1.17,1.17,0,0,1.17
GB00BNHSJN34,561593183,2FQ0,EUR,2022-07-14,1.145,1.145,1.145,1.145,0,0,1.145
GB00BNHSJN34,561593183,2FQ0,EUR,2022-07-15,1.125,1.125,1.125,1.125,0,0,1.125
GB00BNHSJN34,561593183,2FQ0,EUR,2022-07-18,1.13,1.13,1.13,1.13,0,0,1.13
GB00BNHSJN34,561593183,2FQ0,EUR,2022-07-19,1.155,1.155,1.155,1.155,0,0,1.155
GB00BNHSJN34,561593183,2FQ0,EUR,2022-07-20,1.175,1.175,1.175,1.175,0,0,1.175
GB00BNHSJN34,561593183,2FQ0,EUR,2022-07-21,1.17,1.17,1.17,1.17,0,0,1.17
GB00BNHSJN34,561593183,2FQ0,EUR,2022-07-22,1.18,1.18,1.18,1.18,0,0,1.18
GB00BNHSJN34,561593183,2FQ0,EUR,2022-07-25,1.19,1.19,1.19,1.19,0,0,1.19
GB00BNHSJN34,561593183,2FQ0,EUR,2022-07-26,1.165,1.165,1.165,1.165,0,0,1.165
GB00BNHSJN34,561593183,2FQ0,EUR,2022-07-27,1.2,1.2,1.2,1.2,0,0,1.2
GB00BNHSJN34,561593183,2FQ0,EUR,2022-07-28,1.21,1.21,1.21,1.21,0,0,1.21
GB00BNHSJN34,561593183,2FQ0,EUR,2022-07-29,1.185,1.185,1.185,1.185,0,0,1.185
GB00BNHSJN34,561593183,2FQ0,EUR,2022-08-01,1.2,1.2,1.2,1.2,0,0,1.2
GB00BNHSJN34,561593183,2FQ0,EUR,2022-08-02,1.39,1.39,1.39,1.39,0,0,1.39
GB00BNHSJN34,561593183,2FQ0,EUR,2022-08-03,1.43,1.43,1.43,1.43,0,0,1.43
GB00BNHSJN34,561593183,2FQ0,EUR,2022-08-04,1.41,1.41,1.41,1.41,0,0,1.41
GB00BNHSJN34,561593183,2FQ0,EUR,2022-08-05,1.42,1.42,1.42,1.42,0,0,1.42
GB00BNHSJN34,561593183,2FQ0,EUR,2022-08-08,1.39,1.39,1.39,1.39,0,0,1.39
GB00BNHSJN34,561593183,2FQ0,EUR,2022-08-09,1.38,1.38,1.38,1.38,0,0,1.38
GB00BNHSJN34,561593183,2FQ0,EUR,2022-08-10,1.375,1.375,1.375,1.375,0,0,1.375
GB00BNHSJN34,561593183,2FQ0,EUR,2022-08-11,1.33,1.33,1.33,1.33,0,0,1.33
GB00BNHSJN34,561593183,2FQ0,EUR,2022-08-12,1.295,1.295,1.295,1.295,0,0,1.295
GB00BNHSJN34,561593183,2FQ0,EUR,2022-08-15,1.315,1.315,1.315,1.315,0,0,1.315
GB00BNHSJN34,561593183,2FQ0,EUR,2022-08-16,1.32,1.32,1.32,1.32,0,0,1.32
GB00BNHSJN34,561593183,2FQ0,EUR,2022-08-17,1.335,1.335,1.335,1.335,0,0,1.335
GB00BNHSJN34,561593183,2FQ0,EUR,2022-08-18,1.275,1.275,1.275,1.275,0,0,1.275
GB00BNHSJN34,561593183,2FQ0,EUR,2022-08-19,1.27,1.27,1.27,1.27,0,0,1.27
GB00BNHSJN34,561593183,2FQ0,EUR,2022-08-22,1.24,1.24,1.24,1.24,0,0,1.24
GB00BNHSJN34,561593183,2FQ0,EUR,2022-08-23,1.2,1.2,1.2,1.2,0,0,1.2
GB00BNHSJN34,561593183,2FQ0,EUR,2022-08-24,1.2,1.2,1.2,1.2,0,0,1.2
GB00BNHSJN34,561593183,2FQ0,EUR,2022-08-25,1.205,1.205,1.205,1.205,0,0,1.205
GB00BNHSJN34,561593183,2FQ0,EUR,2022-08-26,1.195,1.195,1.195,1.195,0,0,1.195
GB00BNHSJN34,561593183,2FQ0,EUR,2022-08-29,1.175,1.175,1.175,1.175,0,0,1.175
GB00BNHSJN34,561593183,2FQ0,EUR,2022-08-30,1.17,1.17,1.17,1.17,0,0,1.17
GB00BNHSJN34,561593183,2FQ0,EUR,2022-08-31,1.195,1.195,1.195,1.195,0,0,1.195
GB00BNHSJN34,561593183,2FQ0,EUR,2022-09-01,1.17,1.17,1.17,1.17,0,0,1.17
GB00BNHSJN34,561593183,2FQ0,EUR,2022-09-02,1.13,1.13,1.13,1.13,0,0,1.13
GB00BNHSJN34,561593183,2FQ0,EUR,2022-09-05,1.15,1.15,1.15,1.15,0,0,1.15
