ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
GB00BNTJ3546,483963034,ALLFG,EUR,2021-04-23,12.65,13.99,12.265,13.85,20293776,34303,13.265
GB00BNTJ3546,483963034,ALLFG,EUR,2021-04-26,14.0,14.29,13.66,14.07,1073647,2539,14.077
GB00BNTJ3546,483963034,ALLFG,EUR,2021-04-27,14.15,14.17,13.57,13.82,1125066,2278,13.754
GB00BNTJ3546,483963034,ALLFG,EUR,2021-04-28,14.0,14.005,13.64,13.75,317451,965,13.764
GB00BNTJ3546,483963034,ALLFG,EUR,2021-04-29,14.0,14.0,13.82,13.95,300535,741,13.9415
GB00BNTJ3546,483963034,ALLFG,EUR,2021-04-30,13.945,14.0,13.8,13.98,184691,502,13.9445
GB00BNTJ3546,483963034,ALLFG,EUR,2021-05-03,13.98,14.0,13.8,13.96,32787,230,13.957
GB00BNTJ3546,483963034,ALLFG,EUR,2021-05-04,13.98,14.0,13.42,13.53,252986,601,13.73
GB00BNTJ3546,483963034,ALLFG,EUR,2021-05-05,13.665,13.665,13.0,13.2,288349,897,13.2085
GB00BNTJ3546,483963034,ALLFG,EUR,2021-05-06,13.7,13.7,13.245,13.25,97617,558,13.266
GB00BNTJ3546,483963034,ALLFG,EUR,2021-05-07,13.3,13.37,13.02,13.05,473286,1046,13.0855
GB00BNTJ3546,483963034,ALLFG,EUR,2021-05-10,13.07,13.18,13.015,13.1,350222,954,13.0705
GB00BNTJ3546,483963034,ALLFG,EUR,2021-05-11,13.1,13.185,13.025,13.1,110395,297,13.0935
GB00BNTJ3546,483963034,ALLFG,EUR,2021-05-12,13.68,13.68,13.085,13.575,110657,314,13.5105
GB00BNTJ3546,483963034,ALLFG,EUR,2021-05-13,13.6,13.71,13.02,13.525,92462,323,13.4385
GB00BNTJ3546,483963034,ALLFG,EUR,2021-05-14,13.57,13.9,13.5,13.75,175554,540,13.7205
GB00BNTJ3546,483963034,ALLFG,EUR,2021-05-17,13.8,13.85,13.59,13.635,93568,315,13.757
GB00BNTJ3546,483963034,ALLFG,EUR,2021-05-18,13.81,13.81,13.505,13.595,110682,218,13.601
GB00BNTJ3546,483963034,ALLFG,EUR,2021-05-19,13.43,13.45,13.005,13.08,81117,294,13.089
GB00BNTJ3546,483963034,ALLFG,EUR,2021-05-20,13.49,13.59,13.06,13.415,53643,263,13.357
GB00BNTJ3546,483963034,ALLFG,EUR,2021-05-21,13.59,13.7,13.06,13.45,80972,1087,13.5015
GB00BNTJ3546,483963034,ALLFG,EUR,2021-05-24,13.765,13.77,13.31,13.625,13655,174,13.542
GB00BNTJ3546,483963034,ALLFG,EUR,2021-05-25,13.43,13.72,13.43,13.61,34558,184,13.6375
GB00BNTJ3546,483963034,ALLFG,EUR,2021-05-26,13.62,13.8,13.385,13.39,117008,420,13.613
GB00BNTJ3546,483963034,ALLFG,EUR,2021-05-27,13.66,13.66,13.1,13.25,110267,668,13.24
GB00BNTJ3546,483963034,ALLFG,EUR,2021-05-28,13.3,13.76,13.265,13.745,69947,297,13.625
GB00BNTJ3546,483963034,ALLFG,EUR,2021-05-31,13.9,13.91,13.4,13.75,68612,253,13.713
GB00BNTJ3546,483963034,ALLFG,EUR,2021-06-01,13.75,13.965,13.585,13.66,89457,218,13.752
GB00BNTJ3546,483963034,ALLFG,EUR,2021-06-02,13.66,14.46,13.4,14.455,341069,1428,14.0685
GB00BNTJ3546,483963034,ALLFG,EUR,2021-06-03,14.6,15.5,14.35,14.8,489848,2631,14.853
GB00BNTJ3546,483963034,ALLFG,EUR,2021-06-04,15.0,15.06,14.06,14.4,243723,1091,14.427
GB00BNTJ3546,483963034,ALLFG,EUR,2021-06-07,14.4,14.58,14.1,14.46,161932,879,14.4305
GB00BNTJ3546,483963034,ALLFG,EUR,2021-06-08,14.605,15.0,14.4,14.88,146810,1162,14.7255
GB00BNTJ3546,483963034,ALLFG,EUR,2021-06-09,15.0,15.7,14.945,15.5,315582,1631,15.361
GB00BNTJ3546,483963034,ALLFG,EUR,2021-06-10,15.575,16.0,15.12,15.66,199176,1274,15.631
GB00BNTJ3546,483963034,ALLFG,EUR,2021-06-11,15.89,16.7,15.75,16.2,428809,2384,16.189
GB00BNTJ3546,483963034,ALLFG,EUR,2021-06-14,16.255,16.655,15.675,16.155,344947,2027,16.155
GB00BNTJ3546,483963034,ALLFG,EUR,2021-06-15,16.1,16.195,15.53,15.705,416127,2161,15.7805
GB00BNTJ3546,483963034,ALLFG,EUR,2021-06-16,15.73,16.0,15.5,15.74,260714,1694,15.713
GB00BNTJ3546,483963034,ALLFG,EUR,2021-06-17,15.505,15.605,15.045,15.1,279310,1142,15.2335
GB00BNTJ3546,483963034,ALLFG,EUR,2021-06-18,15.1,15.195,14.72,14.76,3417973,3541,14.779
GB00BNTJ3546,483963034,ALLFG,EUR,2021-06-21,14.655,14.76,14.29,14.6,183263,1435,14.535
GB00BNTJ3546,483963034,ALLFG,EUR,2021-06-22,14.6,14.6,14.3,14.51,383224,1350,14.5145
GB00BNTJ3546,483963034,ALLFG,EUR,2021-06-23,14.45,14.54,14.2,14.295,362111,1943,14.345
GB00BNTJ3546,483963034,ALLFG,EUR,2021-06-24,14.17,14.46,14.17,14.31,245954,755,14.332
GB00BNTJ3546,483963034,ALLFG,EUR,2021-06-25,14.4,14.41,14.12,14.13,188025,848,14.2305
GB00BNTJ3546,483963034,ALLFG,EUR,2021-06-28,14.2,14.39,14.0,14.38,311906,1068,14.1485
GB00BNTJ3546,483963034,ALLFG,EUR,2021-06-29,14.23,14.665,14.22,14.66,126222,686,14.563
GB00BNTJ3546,483963034,ALLFG,EUR,2021-06-30,14.7,15.04,14.6,14.68,336225,1609,14.748
GB00BNTJ3546,483963034,ALLFG,EUR,2021-07-01,15.0,15.0,14.32,14.43,242704,1202,14.506
GB00BNTJ3546,483963034,ALLFG,EUR,2021-07-02,14.45,14.595,14.285,14.43,191654,1048,14.484
GB00BNTJ3546,483963034,ALLFG,EUR,2021-07-05,14.425,14.49,14.11,14.45,123441,708,14.3785
GB00BNTJ3546,483963034,ALLFG,EUR,2021-07-06,14.44,14.705,14.31,14.385,151479,809,14.424
GB00BNTJ3546,483963034,ALLFG,EUR,2021-07-07,14.425,14.785,14.35,14.77,175687,926,14.6675
GB00BNTJ3546,483963034,ALLFG,EUR,2021-07-08,14.72,14.86,14.545,14.81,157460,1342,14.7225
GB00BNTJ3546,483963034,ALLFG,EUR,2021-07-09,14.63,14.915,14.3,14.88,115534,885,14.7735
GB00BNTJ3546,483963034,ALLFG,EUR,2021-07-12,14.615,15.035,14.615,14.775,185199,717,14.9365
GB00BNTJ3546,483963034,ALLFG,EUR,2021-07-13,14.745,14.85,14.44,14.495,112561,954,14.603
GB00BNTJ3546,483963034,ALLFG,EUR,2021-07-14,14.21,14.5,14.195,14.24,155497,1289,14.2855
GB00BNTJ3546,483963034,ALLFG,EUR,2021-07-15,14.2,14.27,13.9,14.11,333760,2525,14.108
GB00BNTJ3546,483963034,ALLFG,EUR,2021-07-16,14.0,14.43,14.0,14.24,190729,1196,14.235
GB00BNTJ3546,483963034,ALLFG,EUR,2021-07-19,14.1,14.485,13.93,14.3,304422,1817,14.188
GB00BNTJ3546,483963034,ALLFG,EUR,2021-07-20,14.68,14.68,14.12,14.34,198716,1265,14.3725
GB00BNTJ3546,483963034,ALLFG,EUR,2021-07-21,14.07,14.53,14.07,14.51,116313,914,14.4655
GB00BNTJ3546,483963034,ALLFG,EUR,2021-07-22,14.58,14.73,14.355,14.42,252520,1436,14.5105
GB00BNTJ3546,483963034,ALLFG,EUR,2021-07-23,14.27,14.735,14.27,14.595,256611,1223,14.5965
GB00BNTJ3546,483963034,ALLFG,EUR,2021-07-26,14.57,14.65,14.22,14.36,165265,1284,14.3535
GB00BNTJ3546,483963034,ALLFG,EUR,2021-07-27,14.565,14.69,14.205,14.455,159811,791,14.395
GB00BNTJ3546,483963034,ALLFG,EUR,2021-07-28,14.62,15.06,14.02,14.89,341489,1773,14.8625
GB00BNTJ3546,483963034,ALLFG,EUR,2021-07-29,14.405,15.08,14.405,14.695,175915,1139,14.773
GB00BNTJ3546,483963034,ALLFG,EUR,2021-07-30,14.48,15.065,14.48,14.83,228090,1745,14.7875
GB00BNTJ3546,483963034,ALLFG,EUR,2021-08-02,14.2,15.15,14.2,14.875,176354,967,14.8475
GB00BNTJ3546,483963034,ALLFG,EUR,2021-08-03,14.3,15.1,14.3,14.74,304150,1543,14.784
GB00BNTJ3546,483963034,ALLFG,EUR,2021-08-04,15.18,15.18,14.4,14.755,340206,1187,14.686
GB00BNTJ3546,483963034,ALLFG,EUR,2021-08-05,14.57,14.77,14.57,14.595,108135,823,14.6385
GB00BNTJ3546,483963034,ALLFG,EUR,2021-08-06,14.52,14.805,14.475,14.72,125381,983,14.6585
GB00BNTJ3546,483963034,ALLFG,EUR,2021-08-09,14.61,15.2,14.61,14.715,85566,739,14.7165
GB00BNTJ3546,483963034,ALLFG,EUR,2021-08-10,14.66,15.27,14.655,14.995,487961,1834,15.061
GB00BNTJ3546,483963034,ALLFG,EUR,2021-08-11,15.5,15.5,14.9,15.095,209732,1273,15.064
GB00BNTJ3546,483963034,ALLFG,EUR,2021-08-12,14.65,15.165,14.65,15.05,121567,803,15.04
GB00BNTJ3546,483963034,ALLFG,EUR,2021-08-13,15.215,15.35,14.94,14.965,99269,869,15.043
