ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
GB00BW9PJQ87,196222691,G4M,GBP,2019-01-02,512.0,512.0,512.0,512.0,0,0,512.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-01-03,510.0,510.0,510.0,510.0,0,0,510.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-01-04,235.0,235.0,235.0,235.0,37755,1,235.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-01-07,213.0,230.0,213.0,216.6,36725,3,223.64
GB00BW9PJQ87,196222691,G4M,GBP,2019-01-08,222.6,222.6,222.4,222.6,0,0,222.6
GB00BW9PJQ87,196222691,G4M,GBP,2019-01-09,224.0,224.0,220.0,220.0,33419,3,223.72
GB00BW9PJQ87,196222691,G4M,GBP,2019-01-10,212.6,212.6,212.4,212.6,0,0,212.4
GB00BW9PJQ87,196222691,G4M,GBP,2019-01-11,202.0,202.0,202.0,202.0,416,1,202.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-01-14,177.6,177.6,173.0,173.0,6084,2,176.4
GB00BW9PJQ87,196222691,G4M,GBP,2019-01-15,175.0,175.0,175.0,175.0,1980,1,175.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-01-16,170.0,170.0,170.0,170.0,0,0,170.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-01-17,162.6,180.0,162.4,180.0,2500,1,162.5
GB00BW9PJQ87,196222691,G4M,GBP,2019-01-18,195.0,195.0,195.0,195.0,0,0,195.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-01-21,208.0,217.6,208.0,217.6,3000,1,208.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-01-22,209.0,209.0,209.0,209.0,651,1,209.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-01-23,191.6,191.6,191.4,191.6,0,0,191.4
GB00BW9PJQ87,196222691,G4M,GBP,2019-01-24,200.0,200.0,200.0,200.0,0,0,200.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-01-25,200.0,200.0,200.0,200.0,0,0,200.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-01-28,185.0,185.0,185.0,185.0,0,0,185.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-01-29,180.0,180.0,180.0,180.0,0,0,180.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-01-30,185.0,185.0,185.0,185.0,0,0,185.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-01-31,185.0,185.0,185.0,185.0,0,0,185.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-02-01,185.0,185.0,185.0,185.0,0,0,185.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-02-04,185.0,185.0,185.0,185.0,0,0,185.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-02-05,185.0,185.0,185.0,185.0,0,0,185.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-02-06,181.4,181.6,177.6,177.6,3249,1,181.5
GB00BW9PJQ87,196222691,G4M,GBP,2019-02-07,177.6,177.6,177.4,177.6,0,0,177.6
GB00BW9PJQ87,196222691,G4M,GBP,2019-02-08,177.6,177.6,177.4,177.6,0,0,177.6
GB00BW9PJQ87,196222691,G4M,GBP,2019-02-11,180.0,180.0,180.0,180.0,0,0,180.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-02-12,180.0,180.0,180.0,180.0,0,0,180.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-02-13,180.0,180.0,180.0,180.0,0,0,180.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-02-14,180.0,180.0,180.0,180.0,0,0,180.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-02-15,175.0,175.0,175.0,175.0,0,0,175.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-02-18,175.0,175.0,175.0,175.0,0,0,175.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-02-19,172.6,172.6,172.4,172.6,0,0,172.6
GB00BW9PJQ87,196222691,G4M,GBP,2019-02-20,175.0,180.0,175.0,180.0,12499,1,175.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-02-21,180.0,180.0,180.0,180.0,0,0,180.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-02-22,180.0,180.0,180.0,180.0,0,0,180.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-02-25,180.0,180.0,180.0,180.0,0,0,180.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-02-26,185.0,185.0,185.0,185.0,0,0,185.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-02-27,190.0,190.0,190.0,190.0,0,0,190.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-02-28,195.0,195.0,195.0,195.0,0,0,195.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-03-01,195.0,195.0,195.0,195.0,0,0,195.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-03-04,185.0,185.0,185.0,185.0,0,0,185.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-03-05,185.0,185.0,185.0,185.0,0,0,185.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-03-06,195.0,195.0,195.0,195.0,0,0,195.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-03-07,195.0,195.0,195.0,195.0,0,0,195.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-03-08,197.0,197.0,195.0,195.0,3248,1,197.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-03-11,194.0,194.0,194.0,194.0,0,0,194.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-03-12,192.6,192.6,192.4,192.6,0,0,192.6
GB00BW9PJQ87,196222691,G4M,GBP,2019-03-13,188.0,188.0,187.6,187.6,870,1,188.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-03-14,187.6,187.6,187.4,187.6,0,0,187.4
GB00BW9PJQ87,196222691,G4M,GBP,2019-03-15,187.6,187.6,187.4,187.6,0,0,187.4
GB00BW9PJQ87,196222691,G4M,GBP,2019-03-18,187.6,187.6,187.4,187.6,0,0,187.4
GB00BW9PJQ87,196222691,G4M,GBP,2019-03-19,194.0,194.0,194.0,194.0,0,0,194.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-03-20,200.0,200.0,200.0,200.0,9999,1,200.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-03-21,202.4,202.6,202.4,202.4,0,0,202.4
GB00BW9PJQ87,196222691,G4M,GBP,2019-03-22,202.4,202.6,202.4,202.4,0,0,202.4
GB00BW9PJQ87,196222691,G4M,GBP,2019-03-25,205.0,205.0,205.0,205.0,0,0,205.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-03-26,207.6,207.6,207.4,207.6,0,0,207.6
GB00BW9PJQ87,196222691,G4M,GBP,2019-03-27,206.0,206.0,206.0,206.0,277,1,206.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-03-28,217.6,217.6,217.4,217.6,0,0,217.6
GB00BW9PJQ87,196222691,G4M,GBP,2019-03-29,217.6,217.6,217.4,217.6,0,0,217.6
GB00BW9PJQ87,196222691,G4M,GBP,2019-04-01,215.0,215.0,215.0,215.0,0,0,215.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-04-02,204.0,204.0,204.0,204.0,0,0,204.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-04-03,197.6,197.6,197.4,197.6,0,0,197.6
GB00BW9PJQ87,196222691,G4M,GBP,2019-04-04,191.0,191.0,182.4,182.4,385,1,191.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-04-05,192.6,192.6,192.4,192.6,0,0,192.6
GB00BW9PJQ87,196222691,G4M,GBP,2019-04-08,192.6,192.6,192.4,192.6,0,0,192.6
GB00BW9PJQ87,196222691,G4M,GBP,2019-04-09,192.6,192.6,192.4,192.6,0,0,192.6
GB00BW9PJQ87,196222691,G4M,GBP,2019-04-10,185.0,185.0,185.0,185.0,0,0,185.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-04-11,185.0,185.0,185.0,185.0,0,0,185.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-04-12,185.0,185.0,185.0,185.0,0,0,185.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-04-15,177.5,177.5,177.5,177.5,0,0,177.5
GB00BW9PJQ87,196222691,G4M,GBP,2019-04-16,177.5,177.5,177.5,177.5,0,0,177.5
GB00BW9PJQ87,196222691,G4M,GBP,2019-04-17,180.0,180.0,180.0,180.0,0,0,180.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-04-18,184.5,184.5,180.0,180.0,5000,1,184.5
GB00BW9PJQ87,196222691,G4M,GBP,2019-04-23,180.0,180.0,180.0,180.0,0,0,180.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-04-24,180.0,180.0,180.0,180.0,0,0,180.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-04-25,184.0,184.0,184.0,184.0,0,0,184.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-04-26,186.5,186.5,186.5,186.5,0,0,186.5
GB00BW9PJQ87,196222691,G4M,GBP,2019-04-29,186.5,186.5,186.5,186.5,0,0,186.5
GB00BW9PJQ87,196222691,G4M,GBP,2019-04-30,187.5,187.5,187.5,187.5,0,0,187.5
GB00BW9PJQ87,196222691,G4M,GBP,2019-05-01,187.5,187.5,187.5,187.5,0,0,187.5
GB00BW9PJQ87,196222691,G4M,GBP,2019-05-02,187.5,187.5,187.5,187.5,0,0,187.5
GB00BW9PJQ87,196222691,G4M,GBP,2019-05-03,187.5,187.5,187.5,187.5,0,0,187.5
GB00BW9PJQ87,196222691,G4M,GBP,2019-05-07,187.5,187.5,187.5,187.5,0,0,187.5
GB00BW9PJQ87,196222691,G4M,GBP,2019-05-08,187.5,187.5,187.5,187.5,0,0,187.5
GB00BW9PJQ87,196222691,G4M,GBP,2019-05-09,187.5,187.5,187.5,187.5,0,0,187.5
GB00BW9PJQ87,196222691,G4M,GBP,2019-05-10,187.5,187.5,187.5,187.5,0,0,187.5
GB00BW9PJQ87,196222691,G4M,GBP,2019-05-13,187.5,187.5,187.5,187.5,0,0,187.5
GB00BW9PJQ87,196222691,G4M,GBP,2019-05-14,190.0,190.0,190.0,190.0,0,0,190.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-05-15,200.0,212.5,200.0,212.5,386,1,200.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-05-16,205.0,205.0,205.0,205.0,1500,1,205.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-05-17,202.5,202.5,202.5,202.5,0,0,202.5
GB00BW9PJQ87,196222691,G4M,GBP,2019-05-20,205.0,205.0,205.0,205.0,0,0,205.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-05-21,212.5,212.5,212.5,212.5,0,0,212.5
GB00BW9PJQ87,196222691,G4M,GBP,2019-05-22,245.0,245.0,245.0,245.0,0,0,245.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-05-23,250.0,250.0,250.0,250.0,0,0,250.0
GB00BW9PJQ87,196222691,G4M,GBP,2019-05-24,252.5,252.5,252.5,252.5,0,0,252.5
GB00BW9PJQ87,196222691,G4M,GBP,2019-05-28,237.5,237.5,237.5,237.5,0,0,237.5
