ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
GB00BY2Z0H74,197339936,PRTC,GBP,2019-01-02,171.0,176.0,167.0,176.0,16006,16,173.8
GB00BY2Z0H74,197339936,PRTC,GBP,2019-01-03,177.0,177.6,170.4,175.0,7284,8,176.58
GB00BY2Z0H74,197339936,PRTC,GBP,2019-01-04,175.4,176.0,166.0,169.4,6992,12,171.8
GB00BY2Z0H74,197339936,PRTC,GBP,2019-01-07,166.6,170.0,166.0,170.0,11184,12,168.79
GB00BY2Z0H74,197339936,PRTC,GBP,2019-01-08,171.4,172.0,166.4,171.4,9755,24,169.47
GB00BY2Z0H74,197339936,PRTC,GBP,2019-01-09,170.0,178.0,170.0,177.4,61041,40,172.84
GB00BY2Z0H74,197339936,PRTC,GBP,2019-01-10,178.0,178.0,173.0,178.0,661,7,177.69
GB00BY2Z0H74,197339936,PRTC,GBP,2019-01-11,173.0,178.0,173.0,175.0,20387,24,174.42
GB00BY2Z0H74,197339936,PRTC,GBP,2019-01-14,178.0,178.0,172.4,175.0,16258,3,174.69
GB00BY2Z0H74,197339936,PRTC,GBP,2019-01-15,175.0,175.0,171.0,175.0,52709,26,174.91
GB00BY2Z0H74,197339936,PRTC,GBP,2019-01-16,172.0,174.6,170.0,170.4,12918,11,171.91
GB00BY2Z0H74,197339936,PRTC,GBP,2019-01-17,170.0,177.6,170.0,172.0,8559,4,172.0
GB00BY2Z0H74,197339936,PRTC,GBP,2019-01-18,173.4,175.0,172.0,174.0,23390,24,174.21
GB00BY2Z0H74,197339936,PRTC,GBP,2019-01-21,172.4,177.6,168.0,169.8,5389,11,172.79
GB00BY2Z0H74,197339936,PRTC,GBP,2019-01-22,166.6,172.0,166.4,172.0,8516,8,171.41
GB00BY2Z0H74,197339936,PRTC,GBP,2019-01-23,172.4,175.0,165.4,172.8,132604,131,174.91
GB00BY2Z0H74,197339936,PRTC,GBP,2019-01-24,177.0,177.0,170.0,170.0,4662,6,171.45
GB00BY2Z0H74,197339936,PRTC,GBP,2019-01-25,177.0,177.0,170.0,170.0,25407,22,174.62
GB00BY2Z0H74,197339936,PRTC,GBP,2019-01-28,173.0,177.0,167.4,172.0,8422,38,172.6
GB00BY2Z0H74,197339936,PRTC,GBP,2019-01-29,177.4,177.6,174.4,175.0,4320,9,174.88
GB00BY2Z0H74,197339936,PRTC,GBP,2019-01-30,178.0,178.0,170.0,170.0,309,2,170.05
GB00BY2Z0H74,197339936,PRTC,GBP,2019-01-31,178.0,178.0,170.0,170.0,3830,3,170.02
GB00BY2Z0H74,197339936,PRTC,GBP,2019-02-01,170.0,171.0,170.0,171.0,4551,5,170.54
GB00BY2Z0H74,197339936,PRTC,GBP,2019-02-04,168.0,174.0,168.0,170.0,39216,40,170.82
GB00BY2Z0H74,197339936,PRTC,GBP,2019-02-05,170.4,177.6,169.2,170.0,13565,51,170.03
GB00BY2Z0H74,197339936,PRTC,GBP,2019-02-06,170.4,170.6,170.4,170.4,3409,2,170.5
GB00BY2Z0H74,197339936,PRTC,GBP,2019-02-07,172.0,175.0,172.0,173.4,16087,15,172.99
GB00BY2Z0H74,197339936,PRTC,GBP,2019-02-08,174.0,174.0,174.0,174.0,3323,1,174.0
