ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
GB00BYQCS703,276327948,KNB,GBP,2019-01-02,4.8,4.8,4.8,4.8,0,0,4.8
GB00BYQCS703,276327948,KNB,GBP,2019-01-03,4.8,4.8,4.8,4.8,0,0,4.8
GB00BYQCS703,276327948,KNB,GBP,2019-01-04,4.8,4.8,4.8,4.8,0,0,4.8
GB00BYQCS703,276327948,KNB,GBP,2019-01-07,4.8,4.8,4.8,4.8,0,0,4.8
GB00BYQCS703,276327948,KNB,GBP,2019-01-08,4.8,4.8,4.8,4.8,0,0,4.8
GB00BYQCS703,276327948,KNB,GBP,2019-01-09,4.8,4.8,4.8,4.8,0,0,4.8
GB00BYQCS703,276327948,KNB,GBP,2019-01-10,4.8,4.8,4.8,4.8,0,0,4.8
GB00BYQCS703,276327948,KNB,GBP,2019-01-11,4.8,4.8,4.8,4.8,0,0,4.8
GB00BYQCS703,276327948,KNB,GBP,2019-01-14,4.8,4.8,4.8,4.8,0,0,4.8
GB00BYQCS703,276327948,KNB,GBP,2019-01-15,4.8,4.8,4.8,4.8,0,0,4.8
GB00BYQCS703,276327948,KNB,GBP,2019-01-16,4.8,4.8,4.8,4.8,0,0,4.8
GB00BYQCS703,276327948,KNB,GBP,2019-01-17,4.8,4.8,4.8,4.8,0,0,4.8
GB00BYQCS703,276327948,KNB,GBP,2019-01-18,4.8,4.8,4.8,4.8,0,0,4.8
GB00BYQCS703,276327948,KNB,GBP,2019-01-21,4.8,4.8,4.8,4.8,0,0,4.8
GB00BYQCS703,276327948,KNB,GBP,2019-01-22,4.8,4.8,4.8,4.8,0,0,4.8
GB00BYQCS703,276327948,KNB,GBP,2019-01-23,4.8,4.8,4.8,4.8,0,0,4.8
GB00BYQCS703,276327948,KNB,GBP,2019-01-24,4.8,4.8,4.8,4.8,0,0,4.8
GB00BYQCS703,276327948,KNB,GBP,2019-01-25,4.8,4.8,4.8,4.8,0,0,4.8
GB00BYQCS703,276327948,KNB,GBP,2019-01-28,4.85,4.85,4.85,4.85,0,0,4.85
GB00BYQCS703,276327948,KNB,GBP,2019-01-29,4.75,4.75,4.75,4.75,0,0,4.75
GB00BYQCS703,276327948,KNB,GBP,2019-01-30,4.75,4.75,4.75,4.75,0,0,4.75
GB00BYQCS703,276327948,KNB,GBP,2019-01-31,4.75,4.75,4.75,4.75,0,0,4.75
GB00BYQCS703,276327948,KNB,GBP,2019-02-01,4.75,4.75,4.75,4.75,0,0,4.75
GB00BYQCS703,276327948,KNB,GBP,2019-02-04,4.75,4.75,4.75,4.75,0,0,4.75
GB00BYQCS703,276327948,KNB,GBP,2019-02-05,4.35,4.35,4.35,4.35,0,0,4.35
GB00BYQCS703,276327948,KNB,GBP,2019-02-06,4.65,4.65,4.65,4.65,0,0,4.65
GB00BYQCS703,276327948,KNB,GBP,2019-02-07,4.65,4.65,4.65,4.65,0,0,4.65
GB00BYQCS703,276327948,KNB,GBP,2019-02-08,4.65,4.65,4.65,4.65,0,0,4.65
GB00BYQCS703,276327948,KNB,GBP,2019-02-11,4.65,4.65,4.65,4.65,0,0,4.65
GB00BYQCS703,276327948,KNB,GBP,2019-02-12,4.65,4.65,4.65,4.65,0,0,4.65
GB00BYQCS703,276327948,KNB,GBP,2019-02-13,4.65,4.65,4.65,4.65,0,0,4.65
GB00BYQCS703,276327948,KNB,GBP,2019-02-14,4.65,4.65,4.65,4.65,0,0,4.65
GB00BYQCS703,276327948,KNB,GBP,2019-02-15,4.65,4.65,4.65,4.65,0,0,4.65
GB00BYQCS703,276327948,KNB,GBP,2019-02-18,4.65,4.65,4.65,4.65,0,0,4.65
GB00BYQCS703,276327948,KNB,GBP,2019-02-19,4.65,4.65,4.65,4.65,0,0,4.65
GB00BYQCS703,276327948,KNB,GBP,2019-02-20,4.65,4.65,4.65,4.65,0,0,4.65
GB00BYQCS703,276327948,KNB,GBP,2019-02-21,4.65,4.65,4.65,4.65,0,0,4.65
GB00BYQCS703,276327948,KNB,GBP,2019-02-22,4.65,4.65,4.65,4.65,0,0,4.65
GB00BYQCS703,276327948,KNB,GBP,2019-02-25,4.65,4.65,4.65,4.65,0,0,4.65
