ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
GB00BYW79Y38,215457701,NFX,GBP,2019-01-02,2.1,2.1,2.1,2.1,0,0,2.1
GB00BYW79Y38,215457701,NFX,GBP,2019-01-03,2.2,2.2,2.2,2.2,0,0,2.2
GB00BYW79Y38,215457701,NFX,GBP,2019-01-04,2.4,2.4,2.4,2.4,0,0,2.4
GB00BYW79Y38,215457701,NFX,GBP,2019-01-07,2.24,2.24,2.24,2.24,0,0,2.24
GB00BYW79Y38,215457701,NFX,GBP,2019-01-08,2.24,2.24,2.24,2.24,0,0,2.24
GB00BYW79Y38,215457701,NFX,GBP,2019-01-09,2.3,2.3,2.3,2.3,0,0,2.3
GB00BYW79Y38,215457701,NFX,GBP,2019-01-10,2.3,2.3,2.3,2.3,0,0,2.3
GB00BYW79Y38,215457701,NFX,GBP,2019-01-11,2.2,2.2,2.2,2.2,0,0,2.2
GB00BYW79Y38,215457701,NFX,GBP,2019-01-14,2.2,2.2,2.2,2.2,0,0,2.2
GB00BYW79Y38,215457701,NFX,GBP,2019-01-15,2.14,2.14,2.14,2.14,0,0,2.14
GB00BYW79Y38,215457701,NFX,GBP,2019-01-16,2.0,2.0,2.0,2.0,100000,1,2.0
GB00BYW79Y38,215457701,NFX,GBP,2019-01-17,2.14,2.14,2.14,2.14,0,0,2.14
GB00BYW79Y38,215457701,NFX,GBP,2019-01-18,2.14,2.14,2.14,2.14,0,0,2.14
GB00BYW79Y38,215457701,NFX,GBP,2019-01-21,2.0,2.14,2.0,2.14,100000,1,2.0
GB00BYW79Y38,215457701,NFX,GBP,2019-01-22,2.14,2.14,2.14,2.14,0,0,2.14
GB00BYW79Y38,215457701,NFX,GBP,2019-01-23,2.1,2.1,2.1,2.1,0,0,2.1
GB00BYW79Y38,215457701,NFX,GBP,2019-01-24,2.1,2.1,2.1,2.1,0,0,2.1
GB00BYW79Y38,215457701,NFX,GBP,2019-01-25,2.0,2.0,2.0,2.0,100000,1,2.0
GB00BYW79Y38,215457701,NFX,GBP,2019-01-28,2.4,2.4,2.4,2.4,0,0,2.4
GB00BYW79Y38,215457701,NFX,GBP,2019-01-29,2.36,2.36,2.36,2.36,0,0,2.36
GB00BYW79Y38,215457701,NFX,GBP,2019-01-30,2.4,2.4,2.4,2.4,0,0,2.4
GB00BYW79Y38,215457701,NFX,GBP,2019-01-31,2.4,2.4,2.4,2.4,0,0,2.4
GB00BYW79Y38,215457701,NFX,GBP,2019-02-01,2.2,2.2,2.2,2.2,0,0,2.2
GB00BYW79Y38,215457701,NFX,GBP,2019-02-04,2.1,2.1,2.1,2.1,0,0,2.1
GB00BYW79Y38,215457701,NFX,GBP,2019-02-05,2.1,2.1,2.1,2.1,0,0,2.1
GB00BYW79Y38,215457701,NFX,GBP,2019-02-06,2.1,2.1,2.1,2.1,0,0,2.1
GB00BYW79Y38,215457701,NFX,GBP,2019-02-07,2.04,2.04,2.04,2.04,0,0,2.04
GB00BYW79Y38,215457701,NFX,GBP,2019-02-08,2.02,2.02,2.02,2.02,0,0,2.02
GB00BYW79Y38,215457701,NFX,GBP,2019-02-11,2.0,2.0,1.98,1.98,100000,1,2.0
GB00BYW79Y38,215457701,NFX,GBP,2019-02-12,1.94,1.94,1.94,1.94,0,0,1.94
GB00BYW79Y38,215457701,NFX,GBP,2019-02-13,2.1,2.1,2.1,2.1,0,0,2.1
GB00BYW79Y38,215457701,NFX,GBP,2019-02-14,2.04,2.04,2.04,2.04,0,0,2.04
GB00BYW79Y38,215457701,NFX,GBP,2019-02-15,2.0,2.0,2.0,2.0,0,0,2.0
GB00BYW79Y38,215457701,NFX,GBP,2019-02-18,2.0,2.0,2.0,2.0,0,0,2.0
GB00BYW79Y38,215457701,NFX,GBP,2019-02-19,2.14,2.14,2.14,2.14,0,0,2.14
GB00BYW79Y38,215457701,NFX,GBP,2019-02-20,2.1,2.1,2.1,2.1,0,0,2.1
GB00BYW79Y38,215457701,NFX,GBP,2019-02-21,2.1,2.1,2.1,2.1,0,0,2.1
GB00BYW79Y38,215457701,NFX,GBP,2019-02-22,2.1,2.1,2.1,2.1,0,0,2.1
GB00BYW79Y38,215457701,NFX,GBP,2019-02-25,2.1,2.1,2.1,2.1,0,0,2.1
GB00BYW79Y38,215457701,NFX,GBP,2019-02-26,2.1,2.1,2.1,2.1,0,0,2.1
GB00BYW79Y38,215457701,NFX,GBP,2019-02-27,2.1,2.1,2.1,2.1,0,0,2.1
GB00BYW79Y38,215457701,NFX,GBP,2019-02-28,2.1,2.1,2.04,2.04,52000,1,2.1
GB00BYW79Y38,215457701,NFX,GBP,2019-03-01,2.04,2.04,2.04,2.04,0,0,2.04
