ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
GB00BYYN4225,211137368,HSW,GBP,2019-01-02,187.3213,197.1803,187.3213,190.279,113260,114,192.79305925
GB00BYYN4225,211137368,HSW,GBP,2019-01-03,187.3213,197.1803,187.3213,197.1803,169032,13,197.13102632
GB00BYYN4225,211137368,HSW,GBP,2019-01-04,198.1662,198.1662,185.8425,188.3072,73440,84,188.99733807
GB00BYYN4225,211137368,HSW,GBP,2019-01-07,184.8566,192.2508,184.3636,188.3072,58641,66,189.49028887
GB00BYYN4225,211137368,HSW,GBP,2019-01-08,183.3777,194.2226,183.3777,192.2508,46167,117,190.57478064
GB00BYYN4225,211137368,HSW,GBP,2019-01-09,188.3072,198.1662,188.3072,198.1662,62246,135,196.4408952
GB00BYYN4225,211137368,HSW,GBP,2019-01-10,202.1098,202.1098,194.2226,195.2085,294969,199,198.80705906
GB00BYYN4225,211137368,HSW,GBP,2019-01-11,191.7579,202.1098,191.2649,201.6169,21235,69,200.58168195
GB00BYYN4225,211137368,HSW,GBP,2019-01-14,197.1803,203.0957,195.2085,196.1944,8726,28,197.22961648
GB00BYYN4225,211137368,HSW,GBP,2019-01-15,195.2085,206.0534,195.2085,199.1521,37585,44,202.15912452
GB00BYYN4225,211137368,HSW,GBP,2019-01-16,195.2085,202.1098,195.2085,197.6733,32396,34,199.64507542
GB00BYYN4225,211137368,HSW,GBP,2019-01-17,203.5887,209.997,201.1239,201.1239,158902,128,205.80696047
GB00BYYN4225,211137368,HSW,GBP,2019-01-18,197.1803,214.9266,197.1803,207.0393,111878,145,208.02523908
GB00BYYN4225,211137368,HSW,GBP,2019-01-21,202.1098,213.9406,202.1098,211.9688,24294,84,213.0040422
GB00BYYN4225,211137368,HSW,GBP,2019-01-22,213.9406,213.9406,204.0816,205.0675,83025,98,206.74356699
GB00BYYN4225,211137368,HSW,GBP,2019-01-23,197.1803,209.997,197.1803,209.5041,41140,109,203.44079661
GB00BYYN4225,211137368,HSW,GBP,2019-01-24,209.5041,211.9688,204.0816,209.0111,104928,118,209.01114069
GB00BYYN4225,211137368,HSW,GBP,2019-01-25,209.0111,210.9829,205.0675,209.0111,12073,40,208.71537021
GB00BYYN4225,211137368,HSW,GBP,2019-01-28,201.6169,211.9688,197.1803,202.1098,15062,35,206.99004239
GB00BYYN4225,211137368,HSW,GBP,2019-01-29,207.0393,209.0111,198.1662,200.138,37917,41,205.31400966
GB00BYYN4225,211137368,HSW,GBP,2019-01-30,194.7156,202.1098,194.7156,201.1239,24758,32,201.32110815
GB00BYYN4225,211137368,HSW,GBP,2019-01-31,194.2226,207.0393,194.2226,203.0957,86706,117,203.73656709
GB00BYYN4225,211137368,HSW,GBP,2019-02-01,205.0675,205.0675,201.1239,204.5746,36448,22,204.03233757
GB00BYYN4225,211137368,HSW,GBP,2019-02-04,197.1803,205.0675,197.1803,200.138,1690,10,202.15912452
GB00BYYN4225,211137368,HSW,GBP,2019-02-05,209.997,209.997,197.1803,200.138,49997,70,200.87745243
GB00BYYN4225,211137368,HSW,GBP,2019-02-06,197.1803,204.0816,194.2226,194.2226,14365,13,197.77186237
GB00BYYN4225,211137368,HSW,GBP,2019-02-07,199.1521,202.1098,192.2508,193.2367,58447,64,196.1944198
GB00BYYN4225,211137368,HSW,GBP,2019-02-08,199.1521,199.1521,191.2649,194.2226,121291,144,194.81415755
GB00BYYN4225,211137368,HSW,GBP,2019-02-11,197.1803,199.1521,192.7438,196.1944,85432,80,196.78596076
GB00BYYN4225,211137368,HSW,GBP,2019-02-12,201.1239,201.1239,196.1944,197.1803,45039,57,197.47609189
GB00BYYN4225,211137368,HSW,GBP,2019-02-13,201.1239,201.1239,192.2508,200.631,50262,22,196.73666568
GB00BYYN4225,211137368,HSW,GBP,2019-02-14,195.2085,197.1803,194.2226,194.2226,11540,30,195.80005915
GB00BYYN4225,211137368,HSW,GBP,2019-02-15,192.7438,196.1944,191.7579,192.2508,2075,9,192.89164941
GB00BYYN4225,211137368,HSW,GBP,2019-02-18,188.3072,200.138,187.8143,190.279,133,3,192.74376417
GB00BYYN4225,211137368,HSW,GBP,2019-02-19,188.3072,193.2367,188.3072,192.2508,11269,27,191.80715765
GB00BYYN4225,211137368,HSW,GBP,2019-02-20,188.3072,197.1803,187.8143,193.7297,148632,48,194.56768215
GB00BYYN4225,211137368,HSW,GBP,2019-02-21,202.1098,202.1098,191.7579,193.2367,158587,73,193.28601006
GB00BYYN4225,211137368,HSW,GBP,2019-02-22,194.7156,195.7015,192.7438,194.7156,17484,20,194.32120674
GB00BYYN4225,211137368,HSW,GBP,2019-02-25,196.1944,196.1944,193.7297,195.2085,164538,78,194.76486247
GB00BYYN4225,211137368,HSW,GBP,2019-02-26,190.279,193.7297,189.2931,192.2508,26892,56,192.20151829
GB00BYYN4225,211137368,HSW,GBP,2019-02-27,190.772,192.2508,185.8425,190.279,20236,58,191.11702652
GB00BYYN4225,211137368,HSW,GBP,2019-02-28,192.2508,196.6874,189.2931,195.2085,48314,71,194.12402642
GB00BYYN4225,211137368,HSW,GBP,2019-03-01,197.6733,198.1662,192.2508,194.2226,48213,117,194.07473134
GB00BYYN4225,211137368,HSW,GBP,2019-03-04,199.1521,202.1098,196.6874,199.1521,76700,76,199.34930494
GB00BYYN4225,211137368,HSW,GBP,2019-03-05,193.2367,204.0816,193.2367,198.6592,57562,63,199.79296066
GB00BYYN4225,211137368,HSW,GBP,2019-03-06,194.2226,206.0534,194.2226,199.1521,52159,94,199.9408459
GB00BYYN4225,211137368,HSW,GBP,2019-03-07,207.0393,207.0393,191.2649,195.2085,159631,170,197.47609189
GB00BYYN4225,211137368,HSW,GBP,2019-03-08,193.2367,193.2367,188.3072,188.8002,9115,6,189.19451839
GB00BYYN4225,211137368,HSW,GBP,2019-03-11,193.7297,196.1944,189.2931,192.2508,23009,31,192.49728877
GB00BYYN4225,211137368,HSW,GBP,2019-03-12,193.7297,194.2226,182.3918,182.8847,38765,64,188.1593217
GB00BYYN4225,211137368,HSW,GBP,2019-03-13,184.3636,192.2508,183.3777,183.3777,41579,77,186.72976437
GB00BYYN4225,211137368,HSW,GBP,2019-03-14,183.8706,197.1803,183.8706,186.8284,16334,32,189.39169871
GB00BYYN4225,211137368,HSW,GBP,2019-03-15,192.7438,202.1098,192.2508,199.1521,12957,25,197.32820664
GB00BYYN4225,211137368,HSW,GBP,2019-03-18,192.2508,201.1239,192.2508,201.1239,3774,5,198.60987873
GB00BYYN4225,211137368,HSW,GBP,2019-03-19,199.1521,199.1521,188.8002,190.279,48354,18,191.56068224
GB00BYYN4225,211137368,HSW,GBP,2019-03-20,191.2649,196.1944,187.3213,187.3213,6531,28,191.1663216
GB00BYYN4225,211137368,HSW,GBP,2019-03-21,192.2508,192.2508,184.3636,186.8284,39436,144,188.80015774
GB00BYYN4225,211137368,HSW,GBP,2019-03-22,190.772,192.2508,184.8566,186.8284,47250,62,186.68046929
GB00BYYN4225,211137368,HSW,GBP,2019-03-25,182.3918,184.3636,179.4341,182.3918,22075,84,182.6382727
GB00BYYN4225,211137368,HSW,GBP,2019-03-26,178.4482,186.3354,177.9552,178.4482,3908,17,179.8777482
GB00BYYN4225,211137368,HSW,GBP,2019-03-27,178.4482,185.8425,177.9552,178.4482,20287,10,182.29320714
GB00BYYN4225,211137368,HSW,GBP,2019-03-28,183.8706,190.772,183.8706,187.3213,16089,11,187.41989549
