ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
HK2356013600,603531815,RY2,EUR,2022-12-16,0.656,0.656,0.656,0.656,0,0,0.656
HK2356013600,603531815,RY2,EUR,2022-12-19,0.676,0.68,0.656,0.656,162,1,0.675
HK2356013600,603531815,RY2,EUR,2022-12-20,0.65,0.65,0.65,0.65,0,0,0.65
HK2356013600,603531815,RY2,EUR,2022-12-21,0.646,0.646,0.646,0.646,0,0,0.646
HK2356013600,603531815,RY2,EUR,2022-12-22,0.65,0.65,0.65,0.65,0,0,0.65
HK2356013600,603531815,RY2,EUR,2022-12-23,0.65,0.65,0.65,0.65,0,0,0.65
HK2356013600,603531815,RY2,EUR,2022-12-27,0.65,0.65,0.65,0.65,0,0,0.65
HK2356013600,603531815,RY2,EUR,2022-12-28,0.666,0.666,0.666,0.666,0,0,0.666
HK2356013600,603531815,RY2,EUR,2022-12-29,0.66,0.66,0.66,0.66,0,0,0.66
HK2356013600,603531815,RY2,EUR,2022-12-30,0.66,0.66,0.66,0.66,0,0,0.66
HK2356013600,603531815,RY2,EUR,2023-01-02,0.66,0.66,0.66,0.66,0,0,0.66
HK2356013600,603531815,RY2,EUR,2023-01-03,0.686,0.686,0.686,0.686,0,0,0.686
HK2356013600,603531815,RY2,EUR,2023-01-04,0.69,0.69,0.69,0.69,0,0,0.69
HK2356013600,603531815,RY2,EUR,2023-01-05,0.696,0.696,0.696,0.696,0,0,0.696
HK2356013600,603531815,RY2,EUR,2023-01-06,0.71,0.71,0.71,0.71,0,0,0.71
HK2356013600,603531815,RY2,EUR,2023-01-09,0.71,0.71,0.71,0.71,0,0,0.71
HK2356013600,603531815,RY2,EUR,2023-01-10,0.7,0.7,0.7,0.7,0,0,0.7
HK2356013600,603531815,RY2,EUR,2023-01-11,0.71,0.71,0.71,0.71,0,0,0.71
HK2356013600,603531815,RY2,EUR,2023-01-12,0.696,0.696,0.696,0.696,0,0,0.696
HK2356013600,603531815,RY2,EUR,2023-01-13,0.72,0.72,0.72,0.72,0,0,0.72
HK2356013600,603531815,RY2,EUR,2023-01-16,0.72,0.72,0.72,0.72,0,0,0.72
HK2356013600,603531815,RY2,EUR,2023-01-17,0.71,0.71,0.71,0.71,0,0,0.71
HK2356013600,603531815,RY2,EUR,2023-01-18,0.71,0.71,0.71,0.71,0,0,0.71
HK2356013600,603531815,RY2,EUR,2023-01-19,0.704,0.704,0.704,0.704,0,0,0.704
HK2356013600,603531815,RY2,EUR,2023-01-20,0.714,0.714,0.714,0.714,0,0,0.714
HK2356013600,603531815,RY2,EUR,2023-01-23,0.71,0.71,0.71,0.71,0,0,0.71
HK2356013600,603531815,RY2,EUR,2023-01-24,0.714,0.714,0.714,0.714,0,0,0.714
HK2356013600,603531815,RY2,EUR,2023-01-25,0.71,0.71,0.71,0.71,0,0,0.71
HK2356013600,603531815,RY2,EUR,2023-01-26,0.724,0.724,0.724,0.724,0,0,0.724
HK2356013600,603531815,RY2,EUR,2023-01-27,0.734,0.734,0.734,0.734,0,0,0.734
HK2356013600,603531815,RY2,EUR,2023-01-30,0.73,0.73,0.73,0.73,0,0,0.73
HK2356013600,603531815,RY2,EUR,2023-01-31,0.724,0.724,0.724,0.724,0,0,0.724
HK2356013600,603531815,RY2,EUR,2023-02-01,0.724,0.724,0.724,0.724,0,0,0.724
HK2356013600,603531815,RY2,EUR,2023-02-02,0.724,0.724,0.724,0.724,0,0,0.724
HK2356013600,603531815,RY2,EUR,2023-02-03,0.73,0.73,0.73,0.73,0,0,0.73
HK2356013600,603531815,RY2,EUR,2023-02-06,0.76,0.76,0.76,0.76,5670,1,0.76
HK2356013600,603531815,RY2,EUR,2023-02-07,0.734,0.734,0.734,0.734,0,0,0.734
HK2356013600,603531815,RY2,EUR,2023-02-08,0.756,0.756,0.756,0.756,0,0,0.756
HK2356013600,603531815,RY2,EUR,2023-02-09,0.75,0.75,0.75,0.75,0,0,0.75
HK2356013600,603531815,RY2,EUR,2023-02-10,0.76,0.76,0.76,0.76,0,0,0.76
HK2356013600,603531815,RY2,EUR,2023-02-13,0.776,0.776,0.776,0.776,0,0,0.776
HK2356013600,603531815,RY2,EUR,2023-02-14,0.78,0.78,0.78,0.78,0,0,0.78
HK2356013600,603531815,RY2,EUR,2023-02-15,0.776,0.776,0.776,0.776,0,0,0.776
HK2356013600,603531815,RY2,EUR,2023-02-16,0.78,0.78,0.78,0.78,0,0,0.78
HK2356013600,603531815,RY2,EUR,2023-02-17,0.8,0.8,0.8,0.8,0,0,0.8
HK2356013600,603531815,RY2,EUR,2023-02-20,0.796,0.796,0.796,0.796,0,0,0.796
HK2356013600,603531815,RY2,EUR,2023-02-21,0.79,0.79,0.79,0.79,0,0,0.79
HK2356013600,603531815,RY2,EUR,2023-02-22,0.8,0.8,0.8,0.8,0,0,0.8
HK2356013600,603531815,RY2,EUR,2023-02-23,0.79,0.79,0.79,0.79,0,0,0.79
HK2356013600,603531815,RY2,EUR,2023-02-24,0.776,0.776,0.776,0.776,0,0,0.776
HK2356013600,603531815,RY2,EUR,2023-02-27,0.76,0.76,0.76,0.76,0,0,0.76
HK2356013600,603531815,RY2,EUR,2023-02-28,0.756,0.756,0.756,0.756,0,0,0.756
HK2356013600,603531815,RY2,EUR,2023-03-01,0.77,0.77,0.77,0.77,0,0,0.77
HK2356013600,603531815,RY2,EUR,2023-03-02,0.78,0.78,0.78,0.78,0,0,0.78
HK2356013600,603531815,RY2,EUR,2023-03-03,0.78,0.78,0.78,0.78,0,0,0.78
HK2356013600,603531815,RY2,EUR,2023-03-06,0.77,0.77,0.77,0.77,0,0,0.77
HK2356013600,603531815,RY2,EUR,2023-03-07,0.78,0.78,0.78,0.78,0,0,0.78
HK2356013600,603531815,RY2,EUR,2023-03-08,0.776,0.776,0.776,0.776,0,0,0.776
HK2356013600,603531815,RY2,EUR,2023-03-09,0.77,0.77,0.77,0.77,0,0,0.77
HK2356013600,603531815,RY2,EUR,2023-03-10,0.74,0.74,0.74,0.74,0,0,0.74
HK2356013600,603531815,RY2,EUR,2023-03-13,0.744,0.744,0.744,0.744,0,0,0.744
HK2356013600,603531815,RY2,EUR,2023-03-14,0.7,0.7,0.7,0.7,0,0,0.7
HK2356013600,603531815,RY2,EUR,2023-03-15,0.72,0.72,0.72,0.72,0,0,0.72
HK2356013600,603531815,RY2,EUR,2023-03-16,0.696,0.696,0.696,0.696,0,0,0.696
HK2356013600,603531815,RY2,EUR,2023-03-17,0.724,0.724,0.724,0.724,0,0,0.724
HK2356013600,603531815,RY2,EUR,2023-03-20,0.71,0.71,0.686,0.686,1050,1,0.71
HK2356013600,603531815,RY2,EUR,2023-03-21,0.68,0.68,0.68,0.68,0,0,0.68
HK2356013600,603531815,RY2,EUR,2023-03-22,0.686,0.686,0.686,0.686,0,0,0.686
HK2356013600,603531815,RY2,EUR,2023-03-23,0.72,0.72,0.72,0.72,0,0,0.72
HK2356013600,603531815,RY2,EUR,2023-03-24,0.69,0.69,0.69,0.69,0,0,0.69
HK2356013600,603531815,RY2,EUR,2023-03-27,0.68,0.68,0.68,0.68,0,0,0.68
HK2356013600,603531815,RY2,EUR,2023-03-28,0.69,0.69,0.69,0.69,0,0,0.69
HK2356013600,603531815,RY2,EUR,2023-03-29,0.69,0.69,0.69,0.69,0,0,0.69
HK2356013600,603531815,RY2,EUR,2023-03-30,0.686,0.686,0.686,0.686,0,0,0.686
HK2356013600,603531815,RY2,EUR,2023-03-31,0.696,0.696,0.696,0.696,0,0,0.696
HK2356013600,603531815,RY2,EUR,2023-04-03,0.7,0.7,0.7,0.7,0,0,0.7
HK2356013600,603531815,RY2,EUR,2023-04-04,0.7,0.7,0.7,0.7,0,0,0.7
HK2356013600,603531815,RY2,EUR,2023-04-05,0.704,0.704,0.704,0.704,0,0,0.704
HK2356013600,603531815,RY2,EUR,2023-04-06,0.704,0.704,0.704,0.704,0,0,0.704
HK2356013600,603531815,RY2,EUR,2023-04-11,0.724,0.724,0.724,0.724,0,0,0.724
HK2356013600,603531815,RY2,EUR,2023-04-12,0.73,0.73,0.73,0.73,0,0,0.73
HK2356013600,603531815,RY2,EUR,2023-04-13,0.724,0.724,0.724,0.724,0,0,0.724
HK2356013600,603531815,RY2,EUR,2023-04-14,0.73,0.73,0.73,0.73,0,0,0.73
HK2356013600,603531815,RY2,EUR,2023-04-17,0.724,0.724,0.724,0.724,0,0,0.724
HK2356013600,603531815,RY2,EUR,2023-04-18,0.734,0.734,0.734,0.734,0,0,0.734
HK2356013600,603531815,RY2,EUR,2023-04-19,0.73,0.73,0.73,0.73,0,0,0.73
HK2356013600,603531815,RY2,EUR,2023-04-20,0.756,0.76,0.734,0.734,26,1,0.755
HK2356013600,603531815,RY2,EUR,2023-04-21,0.73,0.73,0.73,0.73,0,0,0.73
HK2356013600,603531815,RY2,EUR,2023-04-24,0.724,0.724,0.724,0.724,0,0,0.724
HK2356013600,603531815,RY2,EUR,2023-04-25,0.72,0.72,0.72,0.72,0,0,0.72
HK2356013600,603531815,RY2,EUR,2023-04-26,0.714,0.714,0.714,0.714,0,0,0.714
HK2356013600,603531815,RY2,EUR,2023-04-27,0.72,0.72,0.72,0.72,0,0,0.72
HK2356013600,603531815,RY2,EUR,2023-04-28,0.714,0.714,0.714,0.714,0,0,0.714
HK2356013600,603531815,RY2,EUR,2023-05-02,0.724,0.724,0.724,0.724,0,0,0.724
HK2356013600,603531815,RY2,EUR,2023-05-03,0.72,0.72,0.72,0.72,0,0,0.72
HK2356013600,603531815,RY2,EUR,2023-05-04,0.734,0.734,0.734,0.734,0,0,0.734
HK2356013600,603531815,RY2,EUR,2023-05-05,0.73,0.73,0.73,0.73,0,0,0.73
HK2356013600,603531815,RY2,EUR,2023-05-08,0.744,0.744,0.744,0.744,0,0,0.744
HK2356013600,603531815,RY2,EUR,2023-05-09,0.744,0.744,0.744,0.744,0,0,0.744
HK2356013600,603531815,RY2,EUR,2023-05-10,0.734,0.734,0.734,0.734,0,0,0.734
HK2356013600,603531815,RY2,EUR,2023-05-11,0.734,0.734,0.734,0.734,0,0,0.734
HK2356013600,603531815,RY2,EUR,2023-05-12,0.734,0.734,0.734,0.734,0,0,0.734
HK2356013600,603531815,RY2,EUR,2023-05-15,0.724,0.724,0.724,0.724,0,0,0.724
HK2356013600,603531815,RY2,EUR,2023-05-16,0.72,0.72,0.72,0.72,0,0,0.72
HK2356013600,603531815,RY2,EUR,2023-05-17,0.71,0.71,0.71,0.71,0,0,0.71
HK2356013600,603531815,RY2,EUR,2023-05-18,0.71,0.71,0.71,0.71,0,0,0.71
HK2356013600,603531815,RY2,EUR,2023-05-19,0.714,0.714,0.714,0.714,0,0,0.714
HK2356013600,603531815,RY2,EUR,2023-05-22,0.714,0.714,0.714,0.714,0,0,0.714
HK2356013600,603531815,RY2,EUR,2023-05-23,0.71,0.71,0.71,0.71,0,0,0.71
HK2356013600,603531815,RY2,EUR,2023-05-24,0.7,0.7,0.7,0.7,0,0,0.7
HK2356013600,603531815,RY2,EUR,2023-05-25,0.69,0.69,0.69,0.69,0,0,0.69
HK2356013600,603531815,RY2,EUR,2023-05-26,0.69,0.69,0.69,0.69,0,0,0.69
HK2356013600,603531815,RY2,EUR,2023-05-29,0.69,0.69,0.69,0.69,0,0,0.69
HK2356013600,603531815,RY2,EUR,2023-05-30,0.69,0.69,0.69,0.69,0,0,0.69
HK2356013600,603531815,RY2,EUR,2023-05-31,0.68,0.68,0.68,0.68,0,0,0.68
HK2356013600,603531815,RY2,EUR,2023-06-01,0.676,0.676,0.676,0.676,0,0,0.676
HK2356013600,603531815,RY2,EUR,2023-06-02,0.696,0.696,0.696,0.696,0,0,0.696
HK2356013600,603531815,RY2,EUR,2023-06-05,0.696,0.696,0.696,0.696,0,0,0.696
HK2356013600,603531815,RY2,EUR,2023-06-06,0.704,0.704,0.704,0.704,0,0,0.704
HK2356013600,603531815,RY2,EUR,2023-06-07,0.67,0.67,0.67,0.67,0,0,0.67
HK2356013600,603531815,RY2,EUR,2023-06-08,0.67,0.67,0.67,0.67,0,0,0.67
HK2356013600,603531815,RY2,EUR,2023-06-09,0.676,0.676,0.676,0.676,0,0,0.676
HK2356013600,603531815,RY2,EUR,2023-06-12,0.67,0.67,0.67,0.67,0,0,0.67
HK2356013600,603531815,RY2,EUR,2023-06-13,0.67,0.67,0.67,0.67,0,0,0.67
HK2356013600,603531815,RY2,EUR,2023-06-14,0.66,0.66,0.66,0.66,0,0,0.66
HK2356013600,603531815,RY2,EUR,2023-06-15,0.66,0.66,0.66,0.66,0,0,0.66
HK2356013600,603531815,RY2,EUR,2023-06-16,0.66,0.66,0.66,0.66,0,0,0.66
HK2356013600,603531815,RY2,EUR,2023-06-19,0.656,0.656,0.656,0.656,0,0,0.656
HK2356013600,603531815,RY2,EUR,2023-06-20,0.67,0.67,0.65,0.65,17,1,0.67
HK2356013600,603531815,RY2,EUR,2023-06-21,0.64,0.64,0.64,0.64,0,0,0.64
HK2356013600,603531815,RY2,EUR,2023-06-22,0.646,0.646,0.646,0.646,0,0,0.646
HK2356013600,603531815,RY2,EUR,2023-06-23,0.64,0.64,0.64,0.64,0,0,0.64
HK2356013600,603531815,RY2,EUR,2023-06-26,0.64,0.64,0.64,0.64,0,0,0.64
HK2356013600,603531815,RY2,EUR,2023-06-27,0.646,0.646,0.646,0.646,0,0,0.646
HK2356013600,603531815,RY2,EUR,2023-06-28,0.65,0.65,0.65,0.65,0,0,0.65
HK2356013600,603531815,RY2,EUR,2023-06-29,0.656,0.656,0.656,0.656,0,0,0.656
HK2356013600,603531815,RY2,EUR,2023-06-30,0.67,0.67,0.67,0.67,0,0,0.67
HK2356013600,603531815,RY2,EUR,2023-07-03,0.676,0.676,0.676,0.676,0,0,0.676
HK2356013600,603531815,RY2,EUR,2023-07-04,0.676,0.676,0.676,0.676,0,0,0.676
HK2356013600,603531815,RY2,EUR,2023-07-05,0.66,0.66,0.66,0.66,0,0,0.66
HK2356013600,603531815,RY2,EUR,2023-07-06,0.65,0.65,0.65,0.65,0,0,0.65
HK2356013600,603531815,RY2,EUR,2023-07-07,0.64,0.64,0.64,0.64,0,0,0.64
HK2356013600,603531815,RY2,EUR,2023-07-10,0.646,0.646,0.646,0.646,0,0,0.646
HK2356013600,603531815,RY2,EUR,2023-07-11,0.646,0.646,0.646,0.646,0,0,0.646
HK2356013600,603531815,RY2,EUR,2023-07-12,0.636,0.636,0.636,0.636,0,0,0.636
HK2356013600,603531815,RY2,EUR,2023-07-13,0.636,0.636,0.636,0.636,0,0,0.636
HK2356013600,603531815,RY2,EUR,2023-07-14,0.64,0.64,0.64,0.64,0,0,0.64
HK2356013600,603531815,RY2,EUR,2023-07-17,0.64,0.64,0.64,0.64,0,0,0.64
HK2356013600,603531815,RY2,EUR,2023-07-18,0.636,0.636,0.636,0.636,0,0,0.636
HK2356013600,603531815,RY2,EUR,2023-07-19,0.636,0.636,0.636,0.636,0,0,0.636
HK2356013600,603531815,RY2,EUR,2023-07-20,0.646,0.646,0.646,0.646,0,0,0.646
HK2356013600,603531815,RY2,EUR,2023-07-21,0.636,0.636,0.636,0.636,0,0,0.636
HK2356013600,603531815,RY2,EUR,2023-07-24,0.64,0.64,0.64,0.64,0,0,0.64
HK2356013600,603531815,RY2,EUR,2023-07-25,0.656,0.656,0.656,0.656,0,0,0.656
HK2356013600,603531815,RY2,EUR,2023-07-26,0.666,0.666,0.666,0.666,0,0,0.666
HK2356013600,603531815,RY2,EUR,2023-07-27,0.676,0.676,0.676,0.676,0,0,0.676
HK2356013600,603531815,RY2,EUR,2023-07-28,0.67,0.67,0.67,0.67,0,0,0.67
HK2356013600,603531815,RY2,EUR,2023-07-31,0.696,0.7,0.67,0.67,150,1,0.695
HK2356013600,603531815,RY2,EUR,2023-08-01,0.666,0.666,0.666,0.666,0,0,0.666
HK2356013600,603531815,RY2,EUR,2023-08-02,0.66,0.66,0.66,0.66,0,0,0.66
HK2356013600,603531815,RY2,EUR,2023-08-03,0.67,0.67,0.67,0.67,0,0,0.67
HK2356013600,603531815,RY2,EUR,2023-08-04,0.686,0.69,0.66,0.66,17,1,0.685
HK2356013600,603531815,RY2,EUR,2023-08-07,0.66,0.66,0.66,0.66,0,0,0.66
HK2356013600,603531815,RY2,EUR,2023-08-08,0.646,0.646,0.646,0.646,0,0,0.646
HK2356013600,603531815,RY2,EUR,2023-08-09,0.656,0.656,0.656,0.656,0,0,0.656
HK2356013600,603531815,RY2,EUR,2023-08-10,0.65,0.65,0.65,0.65,0,0,0.65
HK2356013600,603531815,RY2,EUR,2023-08-11,0.64,0.646,0.64,0.646,17,1,0.64
HK2356013600,603531815,RY2,EUR,2023-08-14,0.64,0.64,0.64,0.64,0,0,0.64
HK2356013600,603531815,RY2,EUR,2023-08-15,0.62,0.62,0.62,0.62,0,0,0.62
HK2356013600,603531815,RY2,EUR,2023-08-16,0.62,0.62,0.62,0.62,0,0,0.62
HK2356013600,603531815,RY2,EUR,2023-08-17,0.614,0.614,0.614,0.614,0,0,0.614
HK2356013600,603531815,RY2,EUR,2023-08-18,0.61,0.61,0.61,0.61,0,0,0.61
HK2356013600,603531815,RY2,EUR,2023-08-21,0.59,0.59,0.59,0.59,0,0,0.59
HK2356013600,603531815,RY2,EUR,2023-08-22,0.594,0.594,0.594,0.594,0,0,0.594
HK2356013600,603531815,RY2,EUR,2023-08-23,0.6,0.6,0.6,0.6,0,0,0.6
HK2356013600,603531815,RY2,EUR,2023-08-24,0.614,0.614,0.614,0.614,0,0,0.614
HK2356013600,603531815,RY2,EUR,2023-08-25,0.604,0.604,0.604,0.604,0,0,0.604
HK2356013600,603531815,RY2,EUR,2023-08-28,0.61,0.61,0.61,0.61,0,0,0.61
HK2356013600,603531815,RY2,EUR,2023-08-29,0.614,0.614,0.614,0.614,0,0,0.614
HK2356013600,603531815,RY2,EUR,2023-08-30,0.614,0.614,0.614,0.614,0,0,0.614
HK2356013600,603531815,RY2,EUR,2023-08-31,0.614,0.614,0.614,0.614,0,0,0.614
HK2356013600,603531815,RY2,EUR,2023-09-01,0.62,0.62,0.62,0.62,0,0,0.62
HK2356013600,603531815,RY2,EUR,2023-09-04,0.63,0.63,0.63,0.63,0,0,0.63
HK2356013600,603531815,RY2,EUR,2023-09-05,0.626,0.626,0.626,0.626,0,0,0.626
HK2356013600,603531815,RY2,EUR,2023-09-06,0.63,0.63,0.63,0.63,0,0,0.63
HK2356013600,603531815,RY2,EUR,2023-09-07,0.614,0.614,0.614,0.614,0,0,0.614
HK2356013600,603531815,RY2,EUR,2023-09-08,0.614,0.614,0.614,0.614,0,0,0.614
