ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
ID1000117609,603529291,BUR,EUR,2022-12-16,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2022-12-19,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2022-12-20,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2022-12-21,0.013,0.013,0.013,0.013,10000,1,0.013
ID1000117609,603529291,BUR,EUR,2022-12-22,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2022-12-23,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2022-12-27,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2022-12-28,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2022-12-29,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2022-12-30,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-01-02,0.013,0.013,0.007,0.007,384,1,0.013
ID1000117609,603529291,BUR,EUR,2023-01-03,0.0135,0.014,0.0135,0.014,15000,1,0.0135
ID1000117609,603529291,BUR,EUR,2023-01-04,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-01-05,0.0125,0.0125,0.007,0.007,1573,1,0.0125
ID1000117609,603529291,BUR,EUR,2023-01-06,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-01-09,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-01-10,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-01-11,0.013,0.013,0.007,0.007,640,1,0.013
ID1000117609,603529291,BUR,EUR,2023-01-12,0.0125,0.0125,0.007,0.007,4000,2,0.0125
ID1000117609,603529291,BUR,EUR,2023-01-13,0.0125,0.0125,0.007,0.007,400,1,0.0125
ID1000117609,603529291,BUR,EUR,2023-01-16,0.008,0.008,0.008,0.008,0,0,0.008
ID1000117609,603529291,BUR,EUR,2023-01-17,0.008,0.008,0.008,0.008,0,0,0.008
ID1000117609,603529291,BUR,EUR,2023-01-18,0.008,0.008,0.008,0.008,0,0,0.008
ID1000117609,603529291,BUR,EUR,2023-01-19,0.008,0.008,0.008,0.008,0,0,0.008
ID1000117609,603529291,BUR,EUR,2023-01-20,0.008,0.008,0.008,0.008,0,0,0.008
ID1000117609,603529291,BUR,EUR,2023-01-23,0.008,0.008,0.008,0.008,0,0,0.008
ID1000117609,603529291,BUR,EUR,2023-01-24,0.009,0.009,0.009,0.009,0,0,0.009
ID1000117609,603529291,BUR,EUR,2023-01-25,0.009,0.009,0.009,0.009,0,0,0.009
ID1000117609,603529291,BUR,EUR,2023-01-26,0.015,0.015,0.009,0.009,333,1,0.015
ID1000117609,603529291,BUR,EUR,2023-01-27,0.0145,0.0145,0.008,0.008,3612,3,0.0145
ID1000117609,603529291,BUR,EUR,2023-01-30,0.008,0.008,0.008,0.008,0,0,0.008
ID1000117609,603529291,BUR,EUR,2023-01-31,0.0145,0.0145,0.008,0.008,344,1,0.0145
ID1000117609,603529291,BUR,EUR,2023-02-01,0.015,0.015,0.009,0.009,100300,2,0.009
ID1000117609,603529291,BUR,EUR,2023-02-02,0.009,0.009,0.009,0.009,0,0,0.009
ID1000117609,603529291,BUR,EUR,2023-02-03,0.009,0.009,0.009,0.009,0,0,0.009
ID1000117609,603529291,BUR,EUR,2023-02-06,0.008,0.008,0.008,0.008,0,0,0.008
ID1000117609,603529291,BUR,EUR,2023-02-07,0.0145,0.0145,0.009,0.009,2068,1,0.0145
ID1000117609,603529291,BUR,EUR,2023-02-08,0.0145,0.0145,0.009,0.009,3103,1,0.0145
ID1000117609,603529291,BUR,EUR,2023-02-09,0.009,0.009,0.009,0.009,0,0,0.009
ID1000117609,603529291,BUR,EUR,2023-02-10,0.0135,0.014,0.0135,0.014,96132,1,0.0135
ID1000117609,603529291,BUR,EUR,2023-02-13,0.008,0.008,0.008,0.008,0,0,0.008
ID1000117609,603529291,BUR,EUR,2023-02-14,0.008,0.008,0.008,0.008,0,0,0.008
ID1000117609,603529291,BUR,EUR,2023-02-15,0.008,0.008,0.008,0.008,0,0,0.008
ID1000117609,603529291,BUR,EUR,2023-02-16,0.008,0.008,0.008,0.008,0,0,0.008
ID1000117609,603529291,BUR,EUR,2023-02-17,0.0075,0.008,0.0075,0.008,640,1,0.0075
ID1000117609,603529291,BUR,EUR,2023-02-20,0.008,0.008,0.008,0.008,0,0,0.008
ID1000117609,603529291,BUR,EUR,2023-02-21,0.0135,0.014,0.0135,0.014,5000,1,0.0135
ID1000117609,603529291,BUR,EUR,2023-02-22,0.008,0.008,0.008,0.008,0,0,0.008
ID1000117609,603529291,BUR,EUR,2023-02-23,0.008,0.008,0.008,0.008,0,0,0.008
ID1000117609,603529291,BUR,EUR,2023-02-24,0.008,0.008,0.008,0.008,0,0,0.008
ID1000117609,603529291,BUR,EUR,2023-02-27,0.0135,0.0135,0.007,0.007,500,1,0.0135
ID1000117609,603529291,BUR,EUR,2023-02-28,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-03-01,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-03-02,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-03-03,0.008,0.008,0.008,0.008,0,0,0.008
ID1000117609,603529291,BUR,EUR,2023-03-06,0.008,0.008,0.008,0.008,0,0,0.008
ID1000117609,603529291,BUR,EUR,2023-03-07,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-03-08,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-03-09,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-03-10,0.006,0.007,0.006,0.007,4034,1,0.006
ID1000117609,603529291,BUR,EUR,2023-03-13,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-03-14,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-03-15,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-03-16,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-03-17,0.006,0.006,0.006,0.006,0,0,0.006
ID1000117609,603529291,BUR,EUR,2023-03-20,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-03-21,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-03-22,0.012,0.012,0.012,0.012,10000,1,0.012
ID1000117609,603529291,BUR,EUR,2023-03-23,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-03-24,0.012,0.012,0.012,0.012,10000,1,0.012
ID1000117609,603529291,BUR,EUR,2023-03-27,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-03-28,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-03-29,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-03-30,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-03-31,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-04-03,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-04-04,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-04-05,0.008,0.008,0.008,0.008,0,0,0.008
ID1000117609,603529291,BUR,EUR,2023-04-06,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-04-11,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-04-12,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-04-13,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-04-14,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-04-17,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-04-18,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-04-19,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-04-20,0.0065,0.007,0.0065,0.007,3243,1,0.0065
ID1000117609,603529291,BUR,EUR,2023-04-21,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-04-24,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-04-25,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-04-26,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-04-27,0.013,0.013,0.013,0.013,5000,1,0.013
ID1000117609,603529291,BUR,EUR,2023-04-28,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-05-02,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-05-03,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-05-04,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-05-05,0.0125,0.0125,0.007,0.007,800,1,0.0125
ID1000117609,603529291,BUR,EUR,2023-05-08,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-05-09,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-05-10,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-05-11,0.006,0.006,0.006,0.006,0,0,0.006
ID1000117609,603529291,BUR,EUR,2023-05-12,0.006,0.006,0.006,0.006,0,0,0.006
ID1000117609,603529291,BUR,EUR,2023-05-15,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-05-16,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-05-17,0.006,0.006,0.006,0.006,0,0,0.006
ID1000117609,603529291,BUR,EUR,2023-05-18,0.006,0.006,0.006,0.006,0,0,0.006
ID1000117609,603529291,BUR,EUR,2023-05-19,0.006,0.006,0.006,0.006,0,0,0.006
ID1000117609,603529291,BUR,EUR,2023-05-22,0.007,0.007,0.007,0.007,0,0,0.007
ID1000117609,603529291,BUR,EUR,2023-05-23,0.006,0.006,0.006,0.006,0,0,0.006
ID1000117609,603529291,BUR,EUR,2023-05-24,0.006,0.006,0.006,0.006,0,0,0.006
ID1000117609,603529291,BUR,EUR,2023-05-25,0.006,0.006,0.006,0.006,0,0,0.006
ID1000117609,603529291,BUR,EUR,2023-05-26,0.006,0.006,0.006,0.006,0,0,0.006
ID1000117609,603529291,BUR,EUR,2023-05-29,0.006,0.006,0.006,0.006,0,0,0.006
ID1000117609,603529291,BUR,EUR,2023-05-30,0.006,0.006,0.006,0.006,0,0,0.006
