ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE0006K7DEL9,663577693,GCOR,EUR,2023-11-02,25.14,25.14,25.14,25.14,0,0,25.14
IE0006K7DEL9,663577693,GCOR,EUR,2023-11-03,25.17,25.17,25.17,25.17,0,0,25.17
IE0006K7DEL9,663577693,GCOR,EUR,2023-11-06,25.11,25.11,25.11,25.11,0,0,25.11
IE0006K7DEL9,663577693,GCOR,EUR,2023-11-07,25.14,25.14,25.14,25.14,0,0,25.14
IE0006K7DEL9,663577693,GCOR,EUR,2023-11-08,25.15,25.15,25.15,25.15,0,0,25.15
IE0006K7DEL9,663577693,GCOR,EUR,2023-11-09,25.17,25.17,25.17,25.17,0,0,25.17
IE0006K7DEL9,663577693,GCOR,EUR,2023-11-10,25.11,25.11,25.11,25.11,0,0,25.11
IE0006K7DEL9,663577693,GCOR,EUR,2023-11-13,25.11,25.11,25.11,25.11,0,0,25.11
IE0006K7DEL9,663577693,GCOR,EUR,2023-11-14,25.21,25.21,25.21,25.21,0,0,25.21
IE0006K7DEL9,663577693,GCOR,EUR,2023-11-15,25.2,25.2,25.2,25.2,0,0,25.2
IE0006K7DEL9,663577693,GCOR,EUR,2023-11-16,25.24,25.24,25.24,25.24,0,0,25.24
IE0006K7DEL9,663577693,GCOR,EUR,2023-11-17,25.23,25.23,25.23,25.23,0,0,25.23
IE0006K7DEL9,663577693,GCOR,EUR,2023-11-20,25.2,25.2,25.2,25.2,0,0,25.2
IE0006K7DEL9,663577693,GCOR,EUR,2023-11-21,25.24,25.24,25.24,25.24,0,0,25.24
IE0006K7DEL9,663577693,GCOR,EUR,2023-11-22,25.23,25.23,25.23,25.23,0,0,25.23
IE0006K7DEL9,663577693,GCOR,EUR,2023-11-23,25.2,25.2,25.2,25.2,0,0,25.2
IE0006K7DEL9,663577693,GCOR,EUR,2023-11-24,25.18,25.18,25.18,25.18,0,0,25.18
IE0006K7DEL9,663577693,GCOR,EUR,2023-11-27,25.24,25.24,25.24,25.24,0,0,25.24
IE0006K7DEL9,663577693,GCOR,EUR,2023-11-28,25.3,25.3,25.3,25.3,0,0,25.3
IE0006K7DEL9,663577693,GCOR,EUR,2023-11-29,25.37,25.37,25.37,25.37,0,0,25.37
IE0006K7DEL9,663577693,GCOR,EUR,2023-11-30,25.37,25.37,25.37,25.37,0,0,25.37
IE0006K7DEL9,663577693,GCOR,EUR,2023-12-01,25.48,25.48,25.48,25.48,0,0,25.48
IE0006K7DEL9,663577693,GCOR,EUR,2023-12-04,25.47,25.47,25.47,25.47,0,0,25.47
IE0006K7DEL9,663577693,GCOR,EUR,2023-12-05,25.54,25.54,25.54,25.54,0,0,25.54
IE0006K7DEL9,663577693,GCOR,EUR,2023-12-06,25.56,25.56,25.56,25.56,0,0,25.56
IE0006K7DEL9,663577693,GCOR,EUR,2023-12-07,25.57,25.57,25.57,25.57,0,0,25.57
IE0006K7DEL9,663577693,GCOR,EUR,2023-12-08,25.53,25.53,25.53,25.53,0,0,25.53
IE0006K7DEL9,663577693,GCOR,EUR,2023-12-11,25.53,25.53,25.53,25.53,0,0,25.53
IE0006K7DEL9,663577693,GCOR,EUR,2023-12-12,25.54,25.54,25.54,25.54,0,0,25.54
IE0006K7DEL9,663577693,GCOR,EUR,2023-12-13,25.58,25.58,25.58,25.58,0,0,25.58
IE0006K7DEL9,663577693,GCOR,EUR,2023-12-14,25.66,25.66,25.66,25.66,0,0,25.66
IE0006K7DEL9,663577693,GCOR,EUR,2023-12-15,25.71,25.71,25.71,25.71,0,0,25.71
IE0006K7DEL9,663577693,GCOR,EUR,2023-12-18,25.66,25.66,25.66,25.66,0,0,25.66
IE0006K7DEL9,663577693,GCOR,EUR,2023-12-19,25.69,25.69,25.69,25.69,0,0,25.69
IE0006K7DEL9,663577693,GCOR,EUR,2023-12-20,25.734,25.734,25.72,25.72,175,1,25.733
IE0006K7DEL9,663577693,GCOR,EUR,2023-12-21,25.73,25.73,25.73,25.73,0,0,25.73
IE0006K7DEL9,663577693,GCOR,EUR,2023-12-22,25.76,25.76,25.76,25.76,0,0,25.76
IE0006K7DEL9,663577693,GCOR,EUR,2023-12-27,25.78,25.78,25.78,25.78,0,0,25.78
IE0006K7DEL9,663577693,GCOR,EUR,2023-12-28,25.77,25.77,25.77,25.77,0,0,25.77
IE0006K7DEL9,663577693,GCOR,EUR,2023-12-29,25.75,25.75,25.75,25.75,0,0,25.75
