ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE0008471009,10368780,EUN2,EUR,2019-01-02,30.126,30.47,29.854,30.44,300750,193,30.1366
IE0008471009,10368780,EUN2,EUR,2019-01-03,30.166,30.3,29.974,30.036,193382,163,30.1272
IE0008471009,10368780,EUN2,EUR,2019-01-04,30.34,30.996,30.214,30.996,215281,95,30.4954
IE0008471009,10368780,EUN2,EUR,2019-01-07,30.97,30.986,30.65,30.86,181266,153,30.7466
IE0008471009,10368780,EUN2,EUR,2019-01-08,30.87,31.26,30.87,31.116,270097,140,31.0824
IE0008471009,10368780,EUN2,EUR,2019-01-09,31.26,31.376,31.07,31.176,465218,185,31.292
IE0008471009,10368780,EUN2,EUR,2019-01-10,30.996,31.306,30.914,31.306,339584,189,31.058
IE0008471009,10368780,EUN2,EUR,2019-01-11,31.266,31.34,31.054,31.156,179647,145,31.208
IE0008471009,10368780,EUN2,EUR,2019-01-14,31.02,31.08,30.84,31.02,159745,108,30.9574
IE0008471009,10368780,EUN2,EUR,2019-01-15,31.316,31.36,30.92,31.2,279692,142,31.117
IE0008471009,10368780,EUN2,EUR,2019-01-16,31.27,31.276,31.104,31.236,128339,83,31.185
IE0008471009,10368780,EUN2,EUR,2019-01-17,31.05,31.25,31.024,31.25,97104,57,31.1272
IE0008471009,10368780,EUN2,EUR,2019-01-18,31.39,31.846,31.39,31.846,754138,202,31.6328
IE0008471009,10368780,EUN2,EUR,2019-01-21,31.756,31.776,31.684,31.76,140710,117,31.7372
IE0008471009,10368780,EUN2,EUR,2019-01-22,31.61,31.7,31.42,31.42,257198,120,31.5864
IE0008471009,10368780,EUN2,EUR,2019-01-23,31.436,31.81,31.434,31.58,166622,94,31.68
IE0008471009,10368780,EUN2,EUR,2019-01-24,31.606,31.85,31.56,31.796,293685,120,31.7084
IE0008471009,10368780,EUN2,EUR,2019-01-25,31.95,32.17,31.924,32.024,312839,156,32.0648
IE0008471009,10368780,EUN2,EUR,2019-01-28,31.96,32.046,31.8,31.95,241526,209,31.9144
IE0008471009,10368780,EUN2,EUR,2019-01-29,31.846,32.15,31.8,32.016,232262,158,31.9484
IE0008471009,10368780,EUN2,EUR,2019-01-30,32.046,32.21,32.0,32.21,137395,109,32.0466
IE0008471009,10368780,EUN2,EUR,2019-01-31,32.22,32.33,31.83,32.204,452000,206,32.0822
IE0008471009,10368780,EUN2,EUR,2019-02-01,32.18,32.266,32.0,32.21,223007,181,32.1638
IE0008471009,10368780,EUN2,EUR,2019-02-04,32.28,32.3,31.99,32.25,254700,235,32.1564
