ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE000TSML5I8,546952173,XRME,EUR,2022-02-28,8.055,8.055,8.055,8.055,0,0,8.055
IE000TSML5I8,546952173,XRME,EUR,2022-03-01,7.971,7.971,7.971,7.971,0,0,7.971
IE000TSML5I8,546952173,XRME,EUR,2022-03-02,8.04,8.04,8.04,8.04,0,0,8.04
IE000TSML5I8,546952173,XRME,EUR,2022-03-03,8.013,8.013,8.003,8.003,2376,1,8.013
IE000TSML5I8,546952173,XRME,EUR,2022-03-04,7.932,7.932,7.861,7.861,21400,1,7.932
IE000TSML5I8,546952173,XRME,EUR,2022-03-07,7.794,7.794,7.794,7.794,0,0,7.794
IE000TSML5I8,546952173,XRME,EUR,2022-03-08,7.61,7.61,7.61,7.61,0,0,7.61
IE000TSML5I8,546952173,XRME,EUR,2022-03-09,7.791,7.791,7.791,7.791,0,0,7.791
IE000TSML5I8,546952173,XRME,EUR,2022-03-10,7.699,7.699,7.699,7.699,0,0,7.699
IE000TSML5I8,546952173,XRME,EUR,2022-03-11,7.771,7.771,7.771,7.771,0,0,7.771
IE000TSML5I8,546952173,XRME,EUR,2022-03-14,7.645,7.645,7.645,7.645,0,0,7.645
IE000TSML5I8,546952173,XRME,EUR,2022-03-15,7.723,7.723,7.723,7.723,0,0,7.723
IE000TSML5I8,546952173,XRME,EUR,2022-03-16,7.89,7.89,7.89,7.89,0,0,7.89
IE000TSML5I8,546952173,XRME,EUR,2022-03-17,7.998,7.998,7.998,7.998,0,0,7.998
IE000TSML5I8,546952173,XRME,EUR,2022-03-18,8.099,8.099,8.099,8.099,0,0,8.099
IE000TSML5I8,546952173,XRME,EUR,2022-03-21,8.199,8.199,8.199,8.199,0,0,8.199
IE000TSML5I8,546952173,XRME,EUR,2022-03-22,8.237,8.237,8.237,8.237,0,0,8.237
IE000TSML5I8,546952173,XRME,EUR,2022-03-23,8.232,8.232,8.232,8.232,0,0,8.232
IE000TSML5I8,546952173,XRME,EUR,2022-03-24,8.224,8.224,8.224,8.224,0,0,8.224
IE000TSML5I8,546952173,XRME,EUR,2022-03-25,8.269,8.269,8.269,8.269,0,0,8.269
IE000TSML5I8,546952173,XRME,EUR,2022-03-28,8.319,8.319,8.319,8.319,0,0,8.319
IE000TSML5I8,546952173,XRME,EUR,2022-03-29,8.46,8.46,8.46,8.46,0,0,8.46
IE000TSML5I8,546952173,XRME,EUR,2022-03-30,8.454,8.454,8.454,8.454,0,0,8.454
IE000TSML5I8,546952173,XRME,EUR,2022-03-31,8.422,8.422,8.422,8.422,0,0,8.422
IE000TSML5I8,546952173,XRME,EUR,2022-04-01,8.315,8.315,8.315,8.315,0,0,8.315
IE000TSML5I8,546952173,XRME,EUR,2022-04-04,8.375,8.375,8.375,8.375,0,0,8.375
IE000TSML5I8,546952173,XRME,EUR,2022-04-05,8.36,8.36,8.36,8.36,0,0,8.36
IE000TSML5I8,546952173,XRME,EUR,2022-04-06,8.17,8.17,8.17,8.17,0,0,8.17
IE000TSML5I8,546952173,XRME,EUR,2022-04-07,8.143,8.143,8.143,8.143,0,0,8.143
IE000TSML5I8,546952173,XRME,EUR,2022-04-08,8.227,8.227,8.227,8.227,0,0,8.227
IE000TSML5I8,546952173,XRME,EUR,2022-04-11,8.08,8.08,8.08,8.08,0,0,8.08
IE000TSML5I8,546952173,XRME,EUR,2022-04-12,8.128,8.128,8.128,8.128,0,0,8.128
IE000TSML5I8,546952173,XRME,EUR,2022-04-13,8.081,8.081,8.081,8.081,0,0,8.081
IE000TSML5I8,546952173,XRME,EUR,2022-04-14,8.084,8.084,8.084,8.084,0,0,8.084
IE000TSML5I8,546952173,XRME,EUR,2022-04-19,8.118,8.118,8.118,8.118,0,0,8.118
IE000TSML5I8,546952173,XRME,EUR,2022-04-20,8.143,8.143,8.143,8.143,0,0,8.143
IE000TSML5I8,546952173,XRME,EUR,2022-04-21,8.16,8.16,8.16,8.16,0,0,8.16
IE000TSML5I8,546952173,XRME,EUR,2022-04-22,7.883,7.883,7.883,7.883,0,0,7.883
IE000TSML5I8,546952173,XRME,EUR,2022-04-25,7.674,7.674,7.674,7.674,0,0,7.674
IE000TSML5I8,546952173,XRME,EUR,2022-04-26,7.672,7.672,7.654,7.654,3000,2,7.6655
IE000TSML5I8,546952173,XRME,EUR,2022-04-27,7.624,7.624,7.624,7.624,0,0,7.624
IE000TSML5I8,546952173,XRME,EUR,2022-04-28,7.647,7.647,7.647,7.647,0,0,7.647
IE000TSML5I8,546952173,XRME,EUR,2022-04-29,7.658,7.658,7.658,7.658,0,0,7.658
IE000TSML5I8,546952173,XRME,EUR,2022-05-02,7.472,7.472,7.472,7.472,0,0,7.472
IE000TSML5I8,546952173,XRME,EUR,2022-05-03,7.605,7.605,7.605,7.605,0,0,7.605
IE000TSML5I8,546952173,XRME,EUR,2022-05-04,7.524,7.524,7.524,7.524,0,0,7.524
IE000TSML5I8,546952173,XRME,EUR,2022-05-05,7.531,7.531,7.531,7.531,0,0,7.531
IE000TSML5I8,546952173,XRME,EUR,2022-05-06,7.508,7.508,7.508,7.508,0,0,7.508
IE000TSML5I8,546952173,XRME,EUR,2022-05-09,7.24,7.24,7.24,7.24,0,0,7.24
IE000TSML5I8,546952173,XRME,EUR,2022-05-10,7.176,7.176,7.176,7.176,0,0,7.176
IE000TSML5I8,546952173,XRME,EUR,2022-05-11,7.262,7.262,7.262,7.262,0,0,7.262
IE000TSML5I8,546952173,XRME,EUR,2022-05-12,7.026,7.107,7.026,7.107,3000,2,7.052
IE000TSML5I8,546952173,XRME,EUR,2022-05-13,7.275,7.275,7.275,7.275,0,0,7.275
IE000TSML5I8,546952173,XRME,EUR,2022-05-16,7.219,7.219,7.219,7.219,0,0,7.219
IE000TSML5I8,546952173,XRME,EUR,2022-05-17,7.334,7.334,7.334,7.334,0,0,7.334
IE000TSML5I8,546952173,XRME,EUR,2022-05-18,7.185,7.185,7.185,7.185,0,0,7.185
IE000TSML5I8,546952173,XRME,EUR,2022-05-19,7.053,7.053,7.053,7.053,0,0,7.053
IE000TSML5I8,546952173,XRME,EUR,2022-05-20,7.006,7.006,7.006,7.006,0,0,7.006
IE000TSML5I8,546952173,XRME,EUR,2022-05-23,7.165,7.165,7.165,7.165,0,0,7.165
IE000TSML5I8,546952173,XRME,EUR,2022-05-24,7.015,7.015,7.015,7.015,0,0,7.015
IE000TSML5I8,546952173,XRME,EUR,2022-05-25,7.151,7.151,7.151,7.151,0,0,7.151
IE000TSML5I8,546952173,XRME,EUR,2022-05-26,7.301,7.301,7.301,7.301,0,0,7.301
IE000TSML5I8,546952173,XRME,EUR,2022-05-27,7.449,7.449,7.449,7.449,0,0,7.449
IE000TSML5I8,546952173,XRME,EUR,2022-05-30,7.557,7.557,7.557,7.557,0,0,7.557
IE000TSML5I8,546952173,XRME,EUR,2022-05-31,7.452,7.452,7.452,7.452,0,0,7.452
IE000TSML5I8,546952173,XRME,EUR,2022-06-01,7.38,7.38,7.38,7.38,0,0,7.38
IE000TSML5I8,546952173,XRME,EUR,2022-06-02,7.446,7.446,7.446,7.446,0,0,7.446
IE000TSML5I8,546952173,XRME,EUR,2022-06-03,7.402,7.402,7.402,7.402,0,0,7.402
IE000TSML5I8,546952173,XRME,EUR,2022-06-06,7.471,7.471,7.471,7.471,0,0,7.471
IE000TSML5I8,546952173,XRME,EUR,2022-06-07,7.438,7.438,7.438,7.438,0,0,7.438
IE000TSML5I8,546952173,XRME,EUR,2022-06-08,7.503,7.503,7.503,7.503,0,0,7.503
IE000TSML5I8,546952173,XRME,EUR,2022-06-09,7.382,7.382,7.382,7.382,0,0,7.382
IE000TSML5I8,546952173,XRME,EUR,2022-06-10,7.024,7.024,7.024,7.024,0,0,7.024
