ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00B3CNHJ55,68490590,RTWO,USD,2019-01-02,55.61,56.57,55.61,56.365,2,2,56.09
IE00B3CNHJ55,68490590,RTWO,USD,2019-01-03,55.79,55.875,55.52,55.875,369,5,55.6655
IE00B3CNHJ55,68490590,RTWO,USD,2019-01-04,55.93,57.22,55.93,57.16,1256,5,56.9625
IE00B3CNHJ55,68490590,RTWO,USD,2019-01-07,57.56,58.28,57.41,58.28,4972,10,57.518
IE00B3CNHJ55,68490590,RTWO,USD,2019-01-08,58.5,58.9,58.5,58.845,1081,4,58.593
IE00B3CNHJ55,68490590,RTWO,USD,2019-01-09,59.69,59.71,59.69,59.71,298,2,59.69
IE00B3CNHJ55,68490590,RTWO,USD,2019-01-10,59.805,59.805,59.805,59.805,0,0,59.805
IE00B3CNHJ55,68490590,RTWO,USD,2019-01-11,60.19,60.21,59.84,59.86,564,5,59.976
IE00B3CNHJ55,68490590,RTWO,USD,2019-01-14,59.75,59.75,59.635,59.635,650,1,59.75
IE00B3CNHJ55,68490590,RTWO,USD,2019-01-15,59.98,59.98,59.815,59.815,2898,2,59.8785
IE00B3CNHJ55,68490590,RTWO,USD,2019-01-16,60.58,60.58,60.58,60.58,0,0,60.58
IE00B3CNHJ55,68490590,RTWO,USD,2019-01-17,60.24,60.71,60.24,60.71,394,3,60.3385
IE00B3CNHJ55,68490590,RTWO,USD,2019-01-18,61.23,61.72,61.23,61.72,347,4,61.363
IE00B3CNHJ55,68490590,RTWO,USD,2019-01-21,61.56,61.56,61.36,61.36,238,1,61.56
IE00B3CNHJ55,68490590,RTWO,USD,2019-01-22,61.08,61.08,61.08,61.08,0,0,61.08
IE00B3CNHJ55,68490590,RTWO,USD,2019-01-23,60.79,60.79,60.595,60.595,39189,9,60.778
IE00B3CNHJ55,68490590,RTWO,USD,2019-01-24,60.44,60.885,60.44,60.885,25,1,60.44
IE00B3CNHJ55,68490590,RTWO,USD,2019-01-25,61.08,61.685,61.08,61.685,3405,2,61.1065
IE00B3CNHJ55,68490590,RTWO,USD,2019-01-28,61.39,61.475,61.39,61.475,67,1,61.39
IE00B3CNHJ55,68490590,RTWO,USD,2019-01-29,61.1,61.245,61.1,61.245,129,3,61.1715
IE00B3CNHJ55,68490590,RTWO,USD,2019-01-30,61.28,61.425,61.28,61.425,987,1,61.28
IE00B3CNHJ55,68490590,RTWO,USD,2019-01-31,62.06,62.365,62.06,62.365,346,1,62.06
IE00B3CNHJ55,68490590,RTWO,USD,2019-02-01,62.58,62.58,62.435,62.435,3207,1,62.58
IE00B3CNHJ55,68490590,RTWO,USD,2019-02-04,62.63,62.81,62.48,62.775,716,5,62.6135
IE00B3CNHJ55,68490590,RTWO,USD,2019-02-05,63.07,63.44,63.05,63.27,3008,6,63.1015
IE00B3CNHJ55,68490590,RTWO,USD,2019-02-06,63.115,63.115,63.115,63.115,0,0,63.115
IE00B3CNHJ55,68490590,RTWO,USD,2019-02-07,63.29,63.29,62.38,62.38,100,2,63.1525
IE00B3CNHJ55,68490590,RTWO,USD,2019-02-08,62.36,62.41,62.36,62.385,1196,5,62.3655
IE00B3CNHJ55,68490590,RTWO,USD,2019-02-11,63.04,63.06,62.84,62.95,473,5,63.0065
IE00B3CNHJ55,68490590,RTWO,USD,2019-02-12,63.59,64.125,63.59,64.125,4836,11,63.7805
IE00B3CNHJ55,68490590,RTWO,USD,2019-02-13,64.16,64.23,64.015,64.015,353,4,64.155
IE00B3CNHJ55,68490590,RTWO,USD,2019-02-14,64.32,64.32,64.1,64.24,448,4,64.142
IE00B3CNHJ55,68490590,RTWO,USD,2019-02-15,64.34,65.275,64.32,65.275,2741,12,64.6595
IE00B3CNHJ55,68490590,RTWO,USD,2019-02-18,65.25,65.36,65.25,65.33,164,2,65.305
IE00B3CNHJ55,68490590,RTWO,USD,2019-02-19,65.39,65.55,65.3,65.475,408,5,65.4465
IE00B3CNHJ55,68490590,RTWO,USD,2019-02-20,65.52,65.705,65.52,65.705,63,1,65.52
IE00B3CNHJ55,68490590,RTWO,USD,2019-02-21,66.37,66.37,65.445,65.445,600,6,65.948
IE00B3CNHJ55,68490590,RTWO,USD,2019-02-22,65.72,66.21,65.7,66.13,2041,6,65.8075
IE00B3CNHJ55,68490590,RTWO,USD,2019-02-25,66.68,66.68,66.47,66.565,194,3,66.5925
IE00B3CNHJ55,68490590,RTWO,USD,2019-02-26,66.18,66.18,66.005,66.005,681,9,66.129
IE00B3CNHJ55,68490590,RTWO,USD,2019-02-27,65.63,65.63,65.63,65.63,0,0,65.63
IE00B3CNHJ55,68490590,RTWO,USD,2019-02-28,65.65,65.76,65.64,65.725,579,4,65.6855
IE00B3CNHJ55,68490590,RTWO,USD,2019-03-01,65.97,66.02,65.765,65.765,910,8,65.946
IE00B3CNHJ55,68490590,RTWO,USD,2019-03-04,66.29,66.29,65.605,65.605,125,3,66.121
IE00B3CNHJ55,68490590,RTWO,USD,2019-03-05,65.7,65.7,65.475,65.475,432,9,65.558
IE00B3CNHJ55,68490590,RTWO,USD,2019-03-06,65.24,65.26,64.67,64.67,610,4,65.1065
IE00B3CNHJ55,68490590,RTWO,USD,2019-03-07,63.88,63.95,63.6,63.925,528,6,63.789
IE00B3CNHJ55,68490590,RTWO,USD,2019-03-08,63.38,63.45,63.31,63.45,2402,6,63.379
IE00B3CNHJ55,68490590,RTWO,USD,2019-03-11,64.0,64.26,64.0,64.26,48,2,64.067
IE00B3CNHJ55,68490590,RTWO,USD,2019-03-12,64.74,64.8,64.35,64.8,2667,9,64.531
IE00B3CNHJ55,68490590,RTWO,USD,2019-03-13,64.14,64.985,64.14,64.985,491,1,64.14
IE00B3CNHJ55,68490590,RTWO,USD,2019-03-14,64.9,64.9,64.61,64.795,722,4,64.743
IE00B3CNHJ55,68490590,RTWO,USD,2019-03-15,64.89,65.14,64.67,65.14,140,3,64.81
IE00B3CNHJ55,68490590,RTWO,USD,2019-03-18,64.7,64.92,64.7,64.765,362,4,64.8465
IE00B3CNHJ55,68490590,RTWO,USD,2019-03-19,65.22,65.45,65.22,65.345,3058,9,65.246
